"topic","term","beta"
1,"ahead",4.59560301894354e-07
2,"ahead",0.00293758935072504
3,"ahead",0.000981067433432632
4,"ahead",0.000689503666114918
5,"ahead",5.53179036948488e-07
6,"ahead",0.00176786993683262
7,"ahead",0.000119977148723197
8,"ahead",7.5579398402955e-05
9,"ahead",6.03040651573363e-07
10,"ahead",0.000763974835151715
11,"ahead",0.000829482708058101
12,"ahead",0.000807319053927475
13,"ahead",0.000824367700528361
14,"ahead",3.1569115006286e-05
15,"ahead",0.00253476308938619
16,"ahead",6.22772420897004e-07
17,"ahead",3.0223063990523e-05
18,"ahead",7.12878797059803e-07
19,"ahead",0.000710718097178804
20,"ahead",0.000163652900151222
21,"ahead",8.27066238908008e-07
22,"ahead",4.94776443510274e-05
23,"ahead",7.6700324163461e-06
24,"ahead",7.73734499196477e-07
1,"approv",4.59560301894354e-07
2,"approv",8.36920042941607e-06
3,"approv",6.16635721830692e-07
4,"approv",1.52256330056922e-05
5,"approv",0.00168221745136035
6,"approv",6.37989872548763e-07
7,"approv",7.94550653796006e-07
8,"approv",7.48310875276782e-07
9,"approv",6.03040651573363e-07
10,"approv",6.5241232720044e-07
11,"approv",0.0023958387522202
12,"approv",7.98535167089491e-07
13,"approv",0.000682687701074092
14,"approv",6.19002255025215e-07
15,"approv",6.72172656957357e-07
16,"approv",0.00462782185968564
17,"approv",5.92609097853392e-07
18,"approv",7.12878797059803e-07
19,"approv",7.552795931762e-07
20,"approv",4.18549616755043e-07
21,"approv",8.27066238908008e-07
22,"approv",0.00265774358730025
23,"approv",6.97275674213282e-07
24,"approv",7.73734499196477e-07
1,"avail",4.59560301894354e-07
2,"avail",0.00038878740176651
3,"avail",6.16635721830692e-07
4,"avail",7.250301431282e-07
5,"avail",0.000869044267046074
6,"avail",6.37989872548763e-07
7,"avail",0.0037590191431089
8,"avail",7.48310875276782e-07
9,"avail",0.00126698840895564
10,"avail",6.5241232720044e-07
11,"avail",5.71662789840181e-07
12,"avail",7.98535167089491e-07
13,"avail",5.24740738719518e-07
14,"avail",6.19002255025215e-07
15,"avail",0.00211801604207263
16,"avail",0.000704355608034511
17,"avail",6.51870007638732e-06
18,"avail",0.00193974320679972
19,"avail",7.552795931762e-07
20,"avail",4.18549616755043e-07
21,"avail",8.27066238908008e-07
22,"avail",6.10835115444783e-07
23,"avail",0.0042261878614067
24,"avail",0.000681660093792096
1,"bank",4.59560301894354e-07
2,"bank",7.60836402674189e-07
3,"bank",6.16635721830692e-07
4,"bank",0.032366070619386
5,"bank",5.53179036948488e-07
6,"bank",0.000447230900656683
7,"bank",7.94550653796006e-07
8,"bank",7.48310875276782e-07
9,"bank",6.03040651573363e-07
10,"bank",6.5241232720044e-07
11,"bank",1.77215464850456e-05
12,"bank",7.98535167089491e-07
13,"bank",5.24740738719518e-07
14,"bank",6.19002255025215e-07
15,"bank",6.72172656957357e-07
16,"bank",6.22772420897004e-07
17,"bank",5.92609097853392e-07
18,"bank",0.114888259812955
19,"bank",7.552795931762e-07
20,"bank",4.18549616755043e-07
21,"bank",8.27066238908008e-07
22,"bank",6.10835115444783e-07
23,"bank",7.6700324163461e-06
24,"bank",7.73734499196477e-07
1,"committe",4.59560301894354e-07
2,"committe",0.0611643992473806
3,"committe",1.91157073767515e-05
4,"committe",7.250301431282e-07
5,"committe",5.53179036948488e-07
6,"committe",6.37989872548763e-07
7,"committe",7.94550653796006e-07
8,"committe",7.48310875276782e-07
9,"committe",6.03040651573363e-07
10,"committe",6.5241232720044e-07
11,"committe",1.20049185866438e-05
12,"committe",7.98535167089491e-07
13,"committe",5.24740738719518e-07
14,"committe",6.19002255025215e-07
15,"committe",6.72172656957357e-07
16,"committe",6.22772420897004e-07
17,"committe",5.92609097853392e-07
18,"committe",7.12878797059803e-07
19,"committe",7.552795931762e-07
20,"committe",4.18549616755043e-07
21,"committe",8.27066238908008e-07
22,"committe",6.10835115444783e-07
23,"committe",6.97275674213282e-07
24,"committe",7.73734499196477e-07
1,"debt",4.59560301894354e-07
2,"debt",8.36920042941607e-06
3,"debt",6.16635721830692e-07
4,"debt",0.01061516632554
5,"debt",5.53179036948488e-07
6,"debt",6.37989872548763e-07
7,"debt",2.46310702676762e-05
8,"debt",0.012998908214433
9,"debt",6.03040651573363e-07
10,"debt",6.5241232720044e-07
11,"debt",5.71662789840181e-07
12,"debt",7.98535167089491e-07
13,"debt",5.24740738719518e-07
14,"debt",6.19002255025215e-07
15,"debt",6.72172656957357e-07
16,"debt",6.22772420897004e-07
17,"debt",5.92609097853392e-07
18,"debt",0.0240033419758006
19,"debt",7.552795931762e-07
20,"debt",4.18549616755043e-07
21,"debt",8.27066238908008e-07
22,"debt",0.00257833502229243
23,"debt",6.97275674213282e-07
24,"debt",7.73734499196477e-07
1,"direct",0.000524358304461457
2,"direct",0.0166859031470476
3,"direct",0.00203551451776312
4,"direct",7.250301431282e-07
5,"direct",0.000813726363351225
6,"direct",6.37989872548763e-07
7,"direct",7.94550653796006e-07
8,"direct",0.0016694815627425
9,"direct",0.00102577214832629
10,"direct",2.02247821432136e-05
11,"direct",0.00125822980043824
12,"direct",7.98535167089491e-07
13,"direct",0.000719419552784458
14,"direct",0.000817701978888309
15,"direct",6.72172656957357e-07
16,"direct",0.00116520719949829
17,"direct",0.000379862431724024
18,"direct",7.12878797059803e-07
19,"direct",7.552795931762e-07
20,"direct",4.18549616755043e-07
21,"direct",4.21803781843084e-05
22,"direct",6.10835115444783e-07
23,"direct",6.97275674213282e-07
24,"direct",7.73734499196477e-07
1,"discuss",4.59560301894354e-07
2,"discuss",0.00860582055064774
3,"discuss",6.16635721830692e-07
4,"discuss",0.000972265421934917
5,"discuss",5.53179036948488e-07
6,"discuss",6.37989872548763e-07
7,"discuss",7.94550653796006e-07
8,"discuss",7.48310875276782e-07
9,"discuss",6.03040651573363e-07
10,"discuss",6.5241232720044e-07
11,"discuss",0.00535133537569393
12,"discuss",7.98535167089491e-07
13,"discuss",5.77214812591469e-06
14,"discuss",6.19002255025215e-07
15,"discuss",0.00327415301203928
16,"discuss",6.22772420897004e-07
17,"discuss",5.92609097853392e-07
18,"discuss",7.12878797059803e-07
19,"discuss",7.552795931762e-07
20,"discuss",4.18549616755043e-07
21,"discuss",8.27066238908008e-07
22,"discuss",6.10835115444783e-07
23,"discuss",6.97275674213282e-07
24,"discuss",7.73734499196477e-07
1,"domest",4.59560301894354e-07
2,"domest",0.00398754358641542
3,"domest",6.16635721830692e-07
4,"domest",0.00318360735847593
5,"domest",5.53179036948488e-07
6,"domest",0.000434471103205708
7,"domest",7.94550653796006e-07
8,"domest",3.81638546391158e-05
9,"domest",6.63344716730699e-06
10,"domest",6.5241232720044e-07
11,"domest",5.71662789840181e-07
12,"domest",8.78388683798441e-06
13,"domest",1.10195555131099e-05
14,"domest",0.00160383484277033
15,"domest",7.39389922653093e-06
16,"domest",6.22772420897004e-07
17,"domest",5.92609097853392e-07
18,"domest",7.12878797059803e-07
19,"domest",0.000265103137204846
20,"domest",4.18549616755043e-07
21,"domest",0.0099669752450804
22,"domest",0.00176592431875087
23,"domest",0.00442839780692855
24,"domest",7.73734499196477e-07
1,"feder",4.59560301894354e-07
2,"feder",0.034154706952447
3,"feder",0.00241782866529815
4,"feder",7.250301431282e-07
5,"feder",5.53179036948488e-07
6,"feder",0.0172837836372185
7,"feder",7.94550653796006e-07
8,"feder",0.000689194316129916
9,"feder",0.0012971404415343
10,"feder",0.00219275783172068
11,"feder",5.71662789840181e-07
12,"feder",7.98535167089491e-07
13,"feder",5.24740738719518e-07
14,"feder",6.19002255025215e-07
15,"feder",6.72172656957357e-07
16,"feder",0.00581108945938994
17,"feder",5.92609097853392e-07
18,"feder",0.00262410685197713
19,"feder",7.552795931762e-07
20,"feder",4.18549616755043e-07
21,"feder",8.27066238908008e-07
22,"feder",0.00824077654246556
23,"feder",6.97275674213282e-07
24,"feder",7.73734499196477e-07
1,"financi",4.59560301894354e-07
2,"financi",0.0139773255535275
3,"financi",0.000826908502974959
4,"financi",0.0056922116536995
5,"financi",6.08496940643336e-06
6,"financi",0.000243074141441079
7,"financi",7.94550653796006e-07
8,"financi",0.00437088382249168
9,"financi",6.63344716730699e-06
10,"financi",2.67489054152181e-05
11,"financi",5.71662789840181e-07
12,"financi",8.78388683798441e-06
13,"financi",5.77214812591469e-06
