"topic","term","beta"
9,"debt",7.0719228374397e-08
10,"debt",0.000236488181417672
11,"debt",2.46739576283291e-09
12,"debt",1.83686880216681e-16
13,"debt",0.0202761577809164
14,"debt",1.26123039317085e-10
15,"debt",0.00164615427638127
16,"debt",3.59534663397587e-05
17,"debt",5.56001110650936e-11
18,"debt",0.00212517585372043
19,"debt",0.0138759089311913
20,"debt",0.00159865500835484
21,"debt",4.56413208859274e-09
22,"debt",0.00424334279922252
23,"debt",0.0178738017355925
24,"debt",1.66033703395169e-10
25,"debt",0.00956024631550307
26,"debt",1.97952038093353e-05
27,"debt",0.000354755540017733
28,"debt",4.26344003857367e-09
29,"debt",1.04284823398052e-06
30,"debt",3.59169263974890e-11
1,"direct",0.00103739102849789
2,"direct",0.00151942068016021
3,"direct",0.000158278138260504
4,"direct",2.88553785317484e-16
5,"direct",4.01053221783209e-20
6,"direct",2.88202840381347e-06
7,"direct",0.00096740524243822
8,"direct",3.30484547430933e-05
9,"direct",0.000844751340595082
10,"direct",0.000921320352399761
11,"direct",0.000101958010095385
12,"direct",0.000148217686405598
13,"direct",8.93262380494192e-05
14,"direct",0.00110510419416381
15,"direct",9.33817256651636e-17
16,"direct",0.000660498538186935
17,"direct",0.00122381354577482
18,"direct",0.0002605641508844
19,"direct",5.13702471665029e-05
20,"direct",0.000883919805765146
21,"direct",0.000428547094173423
22,"direct",0.027913551185426
23,"direct",0.0016611400819031
24,"direct",0.000725469180010668
25,"direct",0.000306472129042277
26,"direct",0.00115383702793301
27,"direct",5.2004116002096e-05
28,"direct",0.00139026822592532
29,"direct",0.00133956997469699
30,"direct",7.66968122818445e-07
1,"discuss",1.02520791873906e-08
2,"discuss",3.22854484169832e-09
3,"discuss",6.71794425124401e-06
4,"discuss",8.57819935209665e-12
5,"discuss",1.02152732465418e-12
6,"discuss",1.19099144052984e-07
7,"discuss",1.43663356621458e-05
8,"discuss",8.77640998497905e-12
9,"discuss",7.09380952892027e-05
10,"discuss",1.09062551383972e-06
11,"discuss",4.17650001225702e-08
12,"discuss",9.1278046110339e-07
13,"discuss",1.60938420333778e-09
14,"discuss",1.45706184028202e-08
15,"discuss",0.00348744558496787
16,"discuss",0.000998619254215721
17,"discuss",0.00307794862951188
18,"discuss",0.000363234169358623
19,"discuss",0.00114360525915883
20,"discuss",6.01534046875397e-05
21,"discuss",0.000498470355023928
22,"discuss",0.00983898848577679
23,"discuss",2.26218723155972e-12
24,"discuss",0.000504858532802681
25,"discuss",0.000152224317341546
26,"discuss",0.00114178613536605
27,"discuss",2.64754337568047e-10
28,"discuss",0.000133781563880595
29,"discuss",0.00396673960141173
30,"discuss",1.67344314064462e-12
1,"domest",0.000418739620953944
2,"domest",3.38634661597515e-08
3,"domest",0.000333633189266141
4,"domest",0.00102401655247704
5,"domest",0.00240179739363213
6,"domest",0.00159907238313041
7,"domest",1.73364103381137e-06
8,"domest",0.00295084140887729
9,"domest",1.79997608368396e-16
10,"domest",0.000370843992374087
11,"domest",0.000847098526601593
12,"domest",4.9089557200904e-20
13,"domest",1.18545321869103e-16
14,"domest",4.28199399037634e-09
15,"domest",0.00131935730534956
16,"domest",0.0016929355277998
17,"domest",6.5746818161293e-08
18,"domest",1.30500212328959e-05
19,"domest",0.00241421696273297
20,"domest",0.00128255030357155
21,"domest",0.000164845023334263
22,"domest",0.00707436757589247
23,"domest",1.00569537109626e-06
24,"domest",7.6422960074525e-09
25,"domest",0.00333449783984793
26,"domest",0.000484511153732515
27,"domest",0.00564805115841588
28,"domest",3.148911108402e-11
29,"domest",0.0012384595209069
30,"domest",8.37045816118952e-06
1,"feder",4.70977244030551e-05
2,"feder",4.25639687825275e-05
3,"feder",4.16747392768481e-06
4,"feder",1.33408221283586e-09
5,"feder",3.34540871547911e-11
6,"feder",5.12032301482488e-10
7,"feder",1.35979013473041e-05
8,"feder",0.00139082433797483
9,"feder",8.7883145751551e-05
10,"feder",0.000180142637678832
11,"feder",0.00178089068955667
12,"feder",4.61665382457409e-09
13,"feder",0.00442345433242563
14,"feder",0.0167735105561329
15,"feder",0.0191898633766485
16,"feder",3.08515858211191e-14
17,"feder",0.00106275282679733
18,"feder",0.00231280255779993
19,"feder",2.79849153660776e-14
20,"feder",1.13247240208353e-11
21,"feder",0.00928678395011289
22,"feder",0.0312536532763911
23,"feder",0.0059964417806871
24,"feder",3.77255401604421e-08
25,"feder",0.00392128934816665
26,"feder",1.92446964173133e-08
27,"feder",2.54509705026934e-09
28,"feder",0.0193693932126429
29,"feder",0.000346239973801489
30,"feder",0.00114817307433884
1,"financi",0.00970462078514087
2,"financi",0.00382212227772523
3,"financi",9.9071692639941e-05
4,"financi",4.14651905093639e-06
5,"financi",0.000140136708539837
6,"financi",7.84590027892921e-06
7,"financi",0.00147740593953195
8,"financi",0.000299664276185496
9,"financi",0.000720225674415462
10,"financi",0.00145356365090558
11,"financi",0.00178042337521968
12,"financi",3.32246890085913e-07
13,"financi",0.00819219993698711
14,"financi",2.60193102403889e-05
15,"financi",0.00865825072772214
16,"financi",7.59966561715741e-06
17,"financi",0.000934963808093728
18,"financi",0.0411071410757655
19,"financi",0.00366765569141254
20,"financi",0.00486911777415261
21,"financi",1.81449860986444e-05
22,"financi",0.0139930757360606
23,"financi",0.00268368130988525
24,"financi",0.000355933916927564
25,"financi",0.00132342843400888
26,"financi",3.135792963797e-05
27,"financi",0.00229974679572177
28,"financi",0.00194016142248322
29,"financi",0.00842057065293289
30,"financi",0.000272986665041843
1,"follow",0.000165275083643103
2,"follow",0.000680476170360305
3,"follow",0.000432905558268357
4,"follow",0.000441198823176371
5,"follow",0.0011939529110801
6,"follow",0.000542457153399061
7,"follow",0.00159562996339646
8,"follow",0.00150990540431433
9,"follow",0.00143832656643764
10,"follow",0.000607754723848184
11,"follow",0.000531408639937998
12,"follow",5.16367612885346e-05
13,"follow",8.38742495541712e-05
14,"follow",0.00131230254710456
15,"follow",0.000320074487611605
16,"follow",0.00065671303891385
17,"follow",0.00069473935294319
18,"follow",0.000564000550899928
19,"follow",0.000535785658327372
20,"follow",0.000601286977713373
21,"follow",0.000276070319496632
22,"follow",0.00775941290455889
23,"follow",0.00331412635152799
24,"follow",0.000805865412255701
25,"follow",0.00019353974890608
26,"follow",0.00102399206545949
27,"follow",0.000748006817879219
