"topic","term","beta"
1,"ahead",0.0001347778478861
2,"ahead",0.000828148431564575
3,"ahead",0.000473378523046567
4,"ahead",6.12725199488006e-07
5,"ahead",1.71503527163669e-05
6,"ahead",4.6373306041097e-07
7,"ahead",6.41830809547618e-07
8,"ahead",3.17454976154369e-07
9,"ahead",4.73967467081397e-05
10,"ahead",0.00291693317640868
11,"ahead",0.000201291781221434
12,"ahead",5.89364447061223e-07
13,"ahead",4.31344418597329e-07
14,"ahead",0.0032176858322594
15,"ahead",6.31906341369707e-07
16,"ahead",0.0012356947347427
17,"ahead",7.16474544017689e-07
18,"ahead",0.000729174775552006
19,"ahead",0.0018856703631034
20,"ahead",5.63196479971262e-05
1,"approv",6.70536556647264e-07
2,"approv",4.22309246080864e-07
3,"approv",6.2204799349089e-07
4,"approv",0.000411138608856453
5,"approv",5.53237184398932e-07
6,"approv",0.00147049753456318
7,"approv",6.41830809547618e-07
8,"approv",3.17454976154369e-07
9,"approv",5.20843370419117e-07
10,"approv",6.95999326272652e-07
11,"approv",8.58376423662476e-05
12,"approv",2.41639423295101e-05
13,"approv",0.00570280455827528
14,"approv",6.3203414501265e-07
15,"approv",6.95096975506678e-06
16,"approv",1.65757407083616e-05
17,"approv",7.16474544017689e-07
18,"approv",7.14177057347703e-07
19,"approv",5.02711373794561e-07
20,"approv",0.00220762872464411
1,"avail",0.0001347778478861
2,"avail",4.22309246080864e-07
3,"avail",6.2204799349089e-07
4,"avail",0.00221255069535119
5,"avail",5.53237184398932e-07
6,"avail",0.000858369894820705
7,"avail",0.00479511797813026
8,"avail",3.49200473769806e-06
9,"avail",0.00103699915050446
10,"avail",0.000299975709623513
11,"avail",5.01974516761682e-07
12,"avail",1.23766533882857e-05
13,"avail",4.31344418597329e-07
14,"avail",0.00237708041939258
15,"avail",0.00221862316454904
16,"avail",5.34701313172955e-07
17,"avail",7.88121998419458e-06
18,"avail",7.14177057347703e-07
19,"avail",5.02711373794561e-07
20,"avail",5.07384216190326e-07
1,"bank",6.70536556647264e-07
2,"bank",4.22309246080864e-07
3,"bank",0.0464489457219582
4,"bank",0.0807823030256983
5,"bank",5.53237184398932e-07
6,"bank",5.10106366452067e-06
7,"bank",6.41830809547618e-07
8,"bank",3.17454976154369e-07
9,"bank",5.20843370419117e-07
10,"bank",6.95999326272652e-07
11,"bank",5.01974516761682e-07
12,"bank",5.89364447061223e-07
13,"bank",4.31344418597329e-07
14,"bank",6.3203414501265e-07
15,"bank",6.31906341369707e-07
16,"bank",5.34701313172955e-07
17,"bank",1.50459654243715e-05
18,"bank",7.14177057347703e-07
19,"bank",5.02711373794561e-07
20,"bank",5.07384216190326e-07
1,"committe",6.70536556647264e-07
2,"committe",4.22309246080864e-07
3,"committe",6.2204799349089e-07
4,"committe",6.12725199488006e-07
5,"committe",5.53237184398932e-07
6,"committe",4.6373306041097e-07
7,"committe",7.0601389050238e-06
8,"committe",3.17454976154369e-07
9,"committe",5.20843370419117e-07
10,"committe",0.0559799218114357
11,"committe",5.01974516761682e-07
12,"committe",5.89364447061223e-07
13,"committe",4.31344418597329e-07
14,"committe",6.3203414501265e-07
15,"committe",6.31906341369707e-07
16,"committe",5.34701313172955e-07
17,"committe",7.16474544017689e-07
18,"committe",7.85594763082474e-06
19,"committe",5.02711373794561e-07
20,"committe",5.07384216190326e-07
1,"debt",0.0165226912923452
2,"debt",4.22309246080864e-07
3,"debt",0.0104323668988357
4,"debt",0.015606723556159
5,"debt",5.53237184398932e-07
6,"debt",4.6373306041097e-07
7,"debt",6.41830809547618e-07
8,"debt",3.17454976154369e-07
9,"debt",5.20843370419117e-07
10,"debt",6.95999326272652e-07
11,"debt",5.01974516761682e-07
12,"debt",5.89364447061223e-07
13,"debt",4.31344418597329e-07
14,"debt",6.95237559513915e-06
15,"debt",6.31906341369707e-07
16,"debt",5.34701313172955e-07
17,"debt",7.16474544017689e-07
18,"debt",7.14177057347703e-07
19,"debt",5.02711373794561e-07
20,"debt",0.00154802924359668
1,"direct",0.00251518262398389
2,"direct",0.00117021892089008
3,"direct",6.2204799349089e-07
4,"direct",0.000723628460595336
5,"direct",5.53237184398932e-07
6,"direct",0.000709975315489195
7,"direct",6.41830809547618e-07
8,"direct",0.000178092241622601
9,"direct",0.000411987106001522
10,"direct",0.0165933199376663
11,"direct",5.01974516761682e-07
12,"direct",5.89364447061223e-07
13,"direct",0.000535298423479285
14,"direct",2.59133999455186e-05
15,"direct",6.31906341369707e-07
16,"direct",0.00169553786407144
17,"direct",7.16474544017689e-07
18,"direct",7.14177057347703e-07
19,"direct",5.02711373794561e-07
20,"direct",0.000193313386368514
1,"discuss",6.70536556647264e-07
2,"discuss",4.22309246080864e-07
3,"discuss",0.00131314331425927
4,"discuss",1.28672291892482e-05
5,"discuss",5.53237184398932e-07
6,"discuss",4.6373306041097e-07
7,"discuss",6.41830809547618e-07
8,"discuss",3.17454976154369e-07
9,"discuss",5.20843370419117e-07
10,"discuss",0.00843620783375082
11,"discuss",5.5217196843785e-06
12,"discuss",5.89364447061223e-07
13,"discuss",0.00323551448389856
14,"discuss",0.0032176858322594
15,"discuss",6.31906341369707e-07
16,"discuss",5.34701313172955e-07
17,"discuss",7.16474544017689e-07
18,"discuss",7.14177057347703e-07
19,"discuss",2.0611166325577e-05
20,"discuss",5.07384216190326e-07
1,"domest",2.07866332560652e-05
2,"domest",4.22309246080864e-07
3,"domest",0.00325393305395084
4,"domest",6.12725199488006e-07
5,"domest",5.53237184398932e-07
6,"domest",4.6373306041097e-07
7,"domest",0.00518021646385883
8,"domest",3.17454976154369e-07
9,"domest",5.20843370419117e-07
10,"domest",0.00406533206475856
11,"domest",5.01974516761682e-07
12,"domest",0.00644823641529683
13,"domest",4.31344418597329e-07
14,"domest",6.3203414501265e-07
15,"domest",6.31906341369707e-07
16,"domest",5.34701313172955e-07
17,"domest",0.00101811032704914
18,"domest",7.14177057347703e-07
19,"domest",5.02711373794561e-07
20,"domest",0.0015784722965681
1,"feder",0.00125457389748703
2,"feder",4.22309246080864e-07
3,"feder",6.2204799349089e-07
4,"feder",0.00545999425263763
5,"feder",0.00204199844761646
6,"feder",4.6373306041097e-07
7,"feder",6.41830809547618e-07
8,"feder",3.17454976154369e-07
9,"feder",0.000120314818566816
10,"feder",0.0403686569231401
11,"feder",5.01974516761682e-07
12,"feder",5.89364447061223e-07
13,"feder",4.31344418597329e-07
14,"feder",6.3203414501265e-07
15,"feder",6.31906341369707e-07
16,"feder",0.00404822364203244
17,"feder",7.16474544017689e-07
18,"feder",6.4990112218641e-05
19,"feder",0.00385629894837808
20,"feder",0.010554099080975
1,"financi",0.00657192879169983
2,"financi",4.22309246080864e-07
3,"financi",0.00859732531803759
4,"financi",0.0352568207037394
5,"financi",3.92798400923242e-05
6,"financi",4.6373306041097e-07
7,"financi",6.41830809547618e-07
8,"financi",3.17454976154369e-07
9,"financi",5.20843370419117e-07
10,"financi",0.0141503623024493
11,"financi",0.00319807964628868
12,"financi",0.000430825410801754
13,"financi",4.74478860457061e-06
14,"financi",0.00469032539013888
15,"financi",6.31906341369707e-07
16,"financi",0.00158325058830512
17,"financi",7.16474544017689e-07
18,"financi",7.14177057347703e-07
19,"financi",5.02711373794561e-07
20,"financi",5.07384216190326e-07
1,"follow",0.00392330939294314
2,"follow",0.00164742836896145
3,"follow",0.00110786747640727
4,"follow",1.89944811841282e-05
5,"follow",0.00219137248740417
6,"follow",0.000612591372802891
7,"follow",6.41830809547618e-07
8,"follow",0.000759034847985097
9,"follow",5.72927707461029e-06
10,"follow",0.00455949158641215
11,"follow",5.01974516761682e-07
12,"follow",0.000701933056449916
13,"follow",4.31344418597329e-07
14,"follow",6.95237559513915e-06
15,"follow",0.000493518852609742
16,"follow",0.00086675082865336
17,"follow",0.00156979572594276
18,"follow",7.14177057347703e-07
19,"follow",0.000276993966960803
20,"follow",1.57289107019001e-05
1,"growth",6.70536556647264e-07
2,"growth",4.22309246080864e-07
3,"growth",0.000330307484543663
4,"growth",6.12725199488006e-07
5,"growth",5.53237184398932e-07
6,"growth",4.6373306041097e-07
7,"growth",0.0303849123547938
8,"growth",3.17454976154369e-07
9,"growth",5.20843370419117e-07
10,"growth",0.00588189030633018
11,"growth",5.01974516761682e-07
12,"growth",5.89364447061223e-07
13,"growth",4.31344418597329e-07
14,"growth",0.0183169815566116
15,"growth",6.31906341369707e-07
16,"growth",5.34701313172955e-07
17,"growth",7.16474544017689e-07
18,"growth",7.85594763082474e-06
19,"growth",0.0280467702553724
20,"growth",5.58122637809358e-06
1,"implement",6.70536556647264e-07
2,"implement",4.22309246080864e-07
3,"implement",0.000299205084869118
4,"implement",6.12725199488006e-07
5,"implement",5.53237184398932e-07
6,"implement",4.6373306041097e-07
7,"implement",6.41830809547618e-07
8,"implement",3.17454976154369e-07
9,"implement",5.20843370419117e-07
10,"implement",0.00292389316967141
11,"implement",5.01974516761682e-07
12,"implement",5.89364447061223e-07
13,"implement",1.76851211624905e-05
14,"implement",6.3203414501265e-07
15,"implement",6.31906341369707e-07
16,"implement",5.34701313172955e-07
17,"implement",7.16474544017689e-07
18,"implement",7.14177057347703e-07
19,"implement",5.02711373794561e-07
20,"implement",5.63196479971262e-05
1,"inform",6.70536556647264e-07
2,"inform",4.22309246080864e-07
3,"inform",6.2204799349089e-07
4,"inform",0.00131184465210382
5,"inform",6.08560902838826e-06
6,"inform",4.6373306041097e-07
7,"inform",0.00439076456811526
8,"inform",0.000524118165630864
9,"inform",5.20843370419117e-07
10,"inform",0.00895124733519258
11,"inform",0.00208871596424536
12,"inform",5.89364447061223e-07
13,"inform",0.000850179849055334
14,"inform",4.48744242958981e-05
15,"inform",6.31906341369707e-07
16,"inform",5.34701313172955e-07
17,"inform",7.16474544017689e-07
18,"inform",7.14177057347703e-07
19,"inform",5.02711373794561e-07
20,"inform",5.07384216190326e-07
1,"intermeet",6.70536556647264e-07
2,"intermeet",4.22309246080864e-07
3,"intermeet",6.2204799349089e-07
4,"intermeet",6.12725199488006e-07
5,"intermeet",6.08560902838826e-06
6,"intermeet",4.6373306041097e-07
7,"intermeet",7.0601389050238e-06
8,"intermeet",3.17454976154369e-07
9,"intermeet",5.20843370419117e-07
10,"intermeet",0.00799772825819905
11,"intermeet",5.01974516761682e-07
12,"intermeet",5.89364447061223e-07
13,"intermeet",4.31344418597329e-07
14,"intermeet",6.3203414501265e-07
15,"intermeet",6.31906341369707e-07
16,"intermeet",5.34701313172955e-07
17,"intermeet",7.16474544017689e-07
18,"intermeet",0.00555701168322248
19,"intermeet",5.02711373794561e-07
20,"intermeet",5.07384216190326e-07
1,"issu",0.0132638836270395
2,"issu",0.00187125226938431
3,"issu",0.00105188315699309
4,"issu",6.12725199488006e-07
5,"issu",2.82150964043456e-05
6,"issu",4.6373306041097e-07
7,"issu",6.41830809547618e-07
8,"issu",3.17454976154369e-07
9,"issu",9.42726500458603e-05
10,"issu",6.95999326272652e-07
11,"issu",1.55612100196121e-05
12,"issu",5.89364447061223e-07
13,"issu",0.0128372412418751
14,"issu",6.3203414501265e-07
15,"issu",6.95096975506678e-06
16,"issu",0.00126242980040135
17,"issu",7.16474544017689e-07
18,"issu",7.14177057347703e-07
19,"issu",5.02711373794561e-07
20,"issu",0.000365824019873225
1,"meet",6.70536556647264e-07
2,"meet",4.22309246080864e-07
3,"meet",0.00775134004688998
4,"meet",6.12725199488006e-07
5,"meet",5.53237184398932e-07
6,"meet",4.6373306041097e-07
7,"meet",7.0601389050238e-06
8,"meet",3.17454976154369e-07
9,"meet",5.20843370419117e-07
10,"meet",0.0190153975930951
11,"meet",5.01974516761682e-07
12,"meet",3.59512312707346e-05
13,"meet",0.00933903800705075
14,"meet",0.00421629978137939
15,"meet",6.31906341369707e-07
16,"meet",0.00166345578528106
17,"meet",7.16474544017689e-07
18,"meet",0.00587839135902895
19,"meet",5.52982511174017e-06
20,"meet",5.07384216190326e-07
1,"monetari",6.70536556647264e-07
2,"monetari",4.22309246080864e-07
3,"monetari",0.00651968501977802
4,"monetari",6.12725199488006e-07
5,"monetari",6.08560902838826e-06
6,"monetari",4.6373306041097e-07
7,"monetari",6.41830809547618e-07
8,"monetari",3.17454976154369e-07
9,"monetari",5.20843370419117e-07
10,"monetari",0.0211869154910658
11,"monetari",5.01974516761682e-07
12,"monetari",4.18448757413468e-05
13,"monetari",4.31344418597329e-07
14,"monetari",6.3203414501265e-07
15,"monetari",6.31906341369707e-07
16,"monetari",5.34701313172955e-07
17,"monetari",7.16474544017689e-07
18,"monetari",7.14177057347703e-07
19,"monetari",5.02711373794561e-07
20,"monetari",5.07384216190326e-07
1,"money",0.0123854807378316
2,"money",4.22309246080864e-07
3,"money",0.001194954195496
4,"money",0.0138972202495875
5,"money",5.53237184398932e-07
6,"money",4.6373306041097e-07
7,"money",6.41830809547618e-07
8,"money",0.00747320759365001
9,"money",5.72927707461029e-06
10,"money",6.95999326272652e-07
11,"money",5.01974516761682e-07
12,"money",5.89364447061223e-07
13,"money",4.31344418597329e-07
14,"money",6.3203414501265e-07
15,"money",6.31906341369707e-07
16,"money",5.88171444490251e-06
17,"money",7.16474544017689e-07
18,"money",2.92812593512559e-05
19,"money",5.02711373794561e-07
20,"money",0.0103359238680131
1,"new",0.00403730060757317
2,"new",0.00511458727928535
3,"new",0.00400039064613991
4,"new",0.00462056072933906
5,"new",0.00109596286229429
6,"new",0.0501439195552986
7,"new",6.41830809547618e-07
8,"new",3.17454976154369e-07
9,"new",0.00826630513192181
10,"new",6.95999326272652e-07
11,"new",0.00654122992792148
12,"new",5.89364447061223e-07
13,"new",0.00798030308846917
14,"new",6.3203414501265e-07
15,"new",0.0193622422059092
16,"new",0.00598384239571854
17,"new",0.00599044366253189
18,"new",7.14177057347703e-07
19,"new",5.02711373794561e-07
20,"new",0.00917401401293728
1,"outlook",6.70536556647264e-07
2,"outlook",4.22309246080864e-07
3,"outlook",6.2204799349089e-07
4,"outlook",6.12725199488006e-07
5,"outlook",5.53237184398932e-07
6,"outlook",4.6373306041097e-07
7,"outlook",6.41830809547618e-07
8,"outlook",3.17454976154369e-07
9,"outlook",5.20843370419117e-07
10,"outlook",0.00429501184242854
11,"outlook",2.0580955187229e-05
12,"outlook",5.89364447061223e-07
13,"outlook",4.31344418597329e-07
14,"outlook",0.0155676330258066
15,"outlook",6.31906341369707e-07
16,"outlook",0.000840015762994713
17,"outlook",7.16474544017689e-07
18,"outlook",7.14177057347703e-07
19,"outlook",5.02711373794561e-07
20,"outlook",5.07384216190326e-07
1,"period",0.0012612792630535
2,"period",4.22309246080864e-07
3,"period",6.2204799349089e-07
4,"period",0.000411138608856453
5,"period",0.000642308371087161
6,"period",4.6373306041097e-07
7,"period",3.27333712869285e-05
8,"period",3.17454976154369e-07
9,"period",5.20843370419117e-07
10,"period",0.0110740452803242
11,"period",5.5217196843785e-06
12,"period",5.89364447061223e-07
13,"period",4.31344418597329e-07
14,"period",0.00292062978410346
15,"period",1.95890965824609e-05
16,"period",5.34701313172955e-07
17,"period",3.65402017449021e-05
18,"period",0.0220616434785279
19,"period",1.55840525876314e-05
20,"period",5.07384216190326e-07
1,"polici",6.70536556647264e-07
2,"polici",0.00307061052825397
3,"polici",0.0026629874601345
4,"polici",6.12725199488006e-07
5,"polici",5.53237184398932e-07
6,"polici",4.6373306041097e-07
7,"polici",6.41830809547618e-07
8,"polici",3.17454976154369e-07
9,"polici",5.20843370419117e-07
10,"polici",0.0549916027681285
11,"polici",5.01974516761682e-07
12,"polici",0.0013207657258642
13,"polici",0.00353745557691669
14,"polici",6.3203414501265e-07
15,"polici",1.32700331687638e-05
16,"polici",5.34701313172955e-07
17,"polici",7.16474544017689e-07
18,"polici",7.14177057347703e-07
19,"polici",0.0106780922907703
20,"polici",5.58122637809358e-06
1,"provid",6.70536556647264e-07
2,"provid",4.22309246080864e-07
3,"provid",0.00100211931751382
4,"provid",0.00360956415018385
5,"provid",1.16179808723776e-05
6,"provid",0.00278749942613034
7,"provid",7.0601389050238e-06
8,"provid",3.17454976154369e-07
9,"provid",0.00303182925920968
10,"provid",0.00325101285301956
11,"provid",0.00187286692203784
12,"provid",5.89364447061223e-07
13,"provid",0.00126427049090877
14,"provid",0.00156175637232626
15,"provid",6.31906341369707e-07
16,"provid",5.34701313172955e-07
17,"provid",7.16474544017689e-07
18,"provid",7.14177057347703e-07
19,"provid",5.02711373794561e-07
20,"provid",0.00606882260985249
1,"rang",6.70536556647264e-07
2,"rang",4.22309246080864e-07
3,"rang",6.2204799349089e-07
4,"rang",6.12725199488006e-07
5,"rang",2.26827245603563e-05
6,"rang",1.90130554768498e-05
7,"rang",0.00252303691233169
8,"rang",6.66655449924176e-06
9,"rang",5.20843370419117e-07
10,"rang",0.0131690032524048
11,"rang",5.01974516761682e-07
12,"rang",5.89364447061223e-07
13,"rang",4.31344418597329e-07
14,"rang",7.64761315465307e-05
15,"rang",0.0029579535839516
16,"rang",4.33108063670093e-05
17,"rang",7.16474544017689e-07
18,"rang",0.00100056205734413
19,"rang",5.02711373794561e-07
20,"rang",5.07384216190326e-07
1,"reserv",0.000543805147440931
2,"reserv",4.22309246080864e-07
3,"reserv",6.2204799349089e-07
4,"reserv",0.00190618809560719
5,"reserv",0.000332495547823758
6,"reserv",4.6373306041097e-07
7,"reserv",6.41830809547618e-07
8,"reserv",3.17454976154369e-07
9,"reserv",5.20843370419117e-07
10,"reserv",0.0213121953697949
11,"reserv",5.01974516761682e-07
12,"reserv",5.89364447061223e-07
13,"reserv",4.31344418597329e-07
14,"reserv",6.3203414501265e-07
15,"reserv",6.31906341369707e-07
16,"reserv",0.00435835040367276
17,"reserv",7.16474544017689e-07
18,"reserv",7.14177057347703e-07
19,"reserv",0.00742554970231946
