"topic","term","beta"
1,"ahead",8.71996467621582e-06
2,"ahead",1.89793633097071e-05
3,"ahead",0.000722703971407483
4,"ahead",8.65603762952679e-07
5,"ahead",7.64886800577949e-07
6,"ahead",7.25256251164942e-07
7,"ahead",8.48800602308908e-07
8,"ahead",0.00259957444074629
9,"ahead",0.00120936294181021
10,"ahead",0.000943445967245261
11,"ahead",6.19255166002433e-05
12,"ahead",0.000163764397619957
13,"ahead",8.491465652446e-07
14,"ahead",0.000697827439424793
15,"ahead",9.16789440052514e-07
16,"ahead",1.58585377507376e-05
17,"ahead",6.23875853696122e-07
18,"ahead",0.00406359851546967
19,"ahead",1.00767546400936e-06
20,"ahead",0.00233890190684373
21,"ahead",0.000874231140830271
22,"ahead",9.04811152340339e-07
23,"ahead",8.64593429262857e-07
24,"ahead",9.67414574874503e-07
25,"ahead",0.000425882030033381
26,"ahead",0.00113602041552214
27,"ahead",0.00124183931067938
28,"ahead",7.22578332910625e-07
29,"ahead",0.000110527729650637
30,"ahead",9.89498452919169e-07
1,"approv",7.92724061474166e-07
2,"approv",6.12237526119584e-07
3,"approv",9.62322198944717e-07
4,"approv",8.65603762952679e-07
5,"approv",7.64886800577949e-07
6,"approv",0.007224277517854
7,"approv",0.00105336154746535
8,"approv",9.58898723993468e-07
9,"approv",9.29564136671955e-07
10,"approv",1.12181446759246e-06
11,"approv",7.64512550620287e-07
12,"approv",0.00303982570905503
13,"approv",8.491465652446e-07
14,"approv",0.00213863195279473
15,"approv",9.16789440052514e-07
16,"approv",5.1156573389476e-07
17,"approv",0.00123589806617202
18,"approv",8.30831837143667e-07
19,"approv",1.00767546400936e-06
20,"approv",7.21660569837619e-07
21,"approv",0.000193967161635318
22,"approv",9.04811152340339e-07
23,"approv",8.64593429262857e-07
24,"approv",9.67414574874503e-07
25,"approv",6.44299591578489e-07
26,"approv",7.14029173803984e-07
27,"approv",8.67812236673225e-07
28,"approv",7.22578332910625e-07
29,"approv",7.31971719540644e-07
30,"approv",9.89498452919169e-07
1,"avail",0.00294972623274537
2,"avail",1.89793633097071e-05
3,"avail",9.62322198944717e-07
4,"avail",3.54897542810598e-05
5,"avail",7.64886800577949e-07
6,"avail",7.25256251164942e-07
7,"avail",0.000204560945156447
8,"avail",0.00122834926543563
9,"avail",9.29564136671955e-07
10,"avail",1.12181446759246e-06
11,"avail",0.000444181791910387
12,"avail",8.1474824686546e-07
13,"avail",0.00571560553066141
14,"avail",6.63965213534532e-07
15,"avail",9.16789440052514e-07
16,"avail",5.1156573389476e-07
17,"avail",0.00169132743937018
18,"avail",0.00201975219609625
19,"avail",0.00430378190678397
20,"avail",7.21660569837619e-07
21,"avail",9.19275647560749e-07
22,"avail",9.04811152340339e-07
23,"avail",8.64593429262857e-07
24,"avail",1.06415603236195e-05
25,"avail",6.44299591578489e-07
26,"avail",7.14029173803984e-07
27,"avail",8.67812236673225e-07
28,"avail",7.22578332910625e-07
29,"avail",7.31971719540644e-07
30,"avail",0.000812378229846638
1,"bank",7.92724061474166e-07
2,"bank",6.12237526119584e-07
3,"bank",2.0208766177839e-05
4,"bank",8.65603762952679e-07
5,"bank",7.64886800577949e-07
6,"bank",7.25256251164942e-07
7,"bank",8.48800602308908e-07
8,"bank",9.58898723993468e-07
9,"bank",9.29564136671955e-07
10,"bank",1.12181446759246e-06
11,"bank",7.64512550620287e-07
12,"bank",8.1474824686546e-07
13,"bank",8.491465652446e-07
14,"bank",6.63965213534532e-07
15,"bank",9.16789440052514e-07
16,"bank",5.1156573389476e-07
17,"bank",6.23875853696122e-07
18,"bank",8.30831837143667e-07
19,"bank",1.00767546400936e-06
20,"bank",7.21660569837619e-07
21,"bank",9.19275647560749e-07
22,"bank",9.04811152340339e-07
23,"bank",0.176775637140513
24,"bank",9.67414574874503e-07
25,"bank",6.44299591578489e-07
26,"bank",7.14029173803984e-07
27,"bank",0.00178856101978352
28,"bank",7.22578332910625e-07
29,"bank",7.31971719540644e-07
30,"bank",9.89498452919169e-07
1,"committe",7.92724061474166e-07
2,"committe",6.12237526119584e-07
3,"committe",9.62322198944717e-07
4,"committe",8.65603762952679e-07
5,"committe",7.64886800577949e-07
6,"committe",1.52303812744638e-05
7,"committe",8.48800602308908e-07
8,"committe",0.0769813484609196
9,"committe",9.29564136671955e-07
10,"committe",1.12181446759246e-06
11,"committe",7.64512550620287e-07
12,"committe",8.1474824686546e-07
13,"committe",8.491465652446e-07
14,"committe",8.69794429730238e-05
15,"committe",9.16789440052514e-07
16,"committe",5.1156573389476e-07
17,"committe",6.23875853696122e-07
18,"committe",8.30831837143667e-07
19,"committe",1.00767546400936e-06
20,"committe",7.21660569837619e-07
21,"committe",9.19275647560749e-07
22,"committe",9.04811152340339e-07
23,"committe",8.64593429262857e-07
24,"committe",9.67414574874503e-07
25,"committe",6.44299591578489e-07
26,"committe",7.14029173803984e-07
27,"committe",9.54593460340547e-06
28,"committe",7.22578332910625e-07
29,"committe",7.31971719540644e-07
30,"committe",9.89498452919169e-07
