"topic","term","beta"
40,"bank",2.93482085706748e-07
1,"committe",2.15208469509753e-06
2,"committe",2.39140452688094e-07
3,"committe",0.0103363065963417
4,"committe",2.49224103061145e-07
5,"committe",2.35620493610797e-07
6,"committe",2.61501284102056e-07
7,"committe",2.1496440296969e-07
8,"committe",0.00158777747560292
9,"committe",2.40289135110496e-07
10,"committe",2.87449412496519e-07
11,"committe",2.06449353947714e-07
12,"committe",2.58937016936811e-07
13,"committe",1.71034225145691e-07
14,"committe",3.03023599780975e-07
15,"committe",0.042688794927682
16,"committe",2.14610558023935e-07
17,"committe",2.8320484801387e-07
18,"committe",2.16712288215207e-07
19,"committe",2.57418611314115e-07
20,"committe",2.93794214193022e-07
21,"committe",1.69552938072654e-07
22,"committe",2.83291495900914e-07
23,"committe",2.37422371787765e-07
24,"committe",2.85064907854194e-07
25,"committe",2.85158389801824e-07
26,"committe",0.00181359278519407
27,"committe",2.12083994593555e-07
28,"committe",2.99729374347901e-07
29,"committe",3.05556888123096e-07
30,"committe",2.85349608914093e-07
31,"committe",1.54424819280495e-07
32,"committe",2.38206230855663e-07
33,"committe",2.8333243139176e-07
34,"committe",0.00361706505081342
35,"committe",2.67275127403371e-07
36,"committe",1.9970990139723e-07
37,"committe",2.50540980612388e-07
38,"committe",2.57783581918338e-07
39,"committe",2.47674767365283e-07
40,"committe",2.93482085706748e-07
1,"debt",1.95644063190685e-07
2,"debt",2.39140452688094e-07
3,"debt",3.81399453759702e-07
4,"debt",2.49224103061145e-07
5,"debt",2.35620493610797e-07
6,"debt",2.61501284102056e-07
7,"debt",2.1496440296969e-07
8,"debt",0.00656537332068311
9,"debt",2.40289135110496e-07
10,"debt",3.1619435374617e-06
11,"debt",2.06449353947714e-07
12,"debt",2.58937016936811e-07
13,"debt",1.71034225145691e-07
14,"debt",3.03023599780975e-07
15,"debt",3.05223006611435e-07
16,"debt",2.14610558023935e-07
17,"debt",2.8320484801387e-07
18,"debt",2.16712288215207e-07
19,"debt",2.57418611314115e-07
20,"debt",2.93794214193022e-07
21,"debt",1.69552938072654e-07
