"topic","term","beta"
1,"ahead",5.60440159511459e-06
2,"ahead",0.00322680774830442
3,"ahead",0.00125188194656551
4,"ahead",0.00081088967417336
5,"ahead",1.64557237519262e-05
6,"ahead",0.00122083143323974
7,"ahead",0.00021770513085203
8,"ahead",6.9745074777182e-07
9,"ahead",0.00156005230033516
10,"ahead",0.00388471065757732
11,"ahead",2.4358755754756e-05
12,"ahead",0.000560387606571746
13,"ahead",4.65416526847785e-07
14,"ahead",6.72565966951453e-07
15,"ahead",0.000318612877236632
16,"ahead",5.25178915326979e-07
17,"ahead",6.53268990692877e-07
18,"ahead",6.14143855828502e-07
19,"ahead",5.68591139189405e-07
20,"ahead",3.95711594310142e-07
21,"ahead",4.40788252816748e-07
22,"ahead",3.11012969240817e-05
1,"approv",0.00113157963115905
2,"approv",6.17753315085459e-05
3,"approv",5.68778712660389e-07
4,"approv",7.86507928393172e-07
5,"approv",5.30829798449234e-07
6,"approv",6.81647924756976e-07
7,"approv",8.03339966243654e-07
8,"approv",6.9745074777182e-07
9,"approv",2.21245743043035e-05
10,"approv",6.88656383190448e-07
11,"approv",5.9411599401844e-07
12,"approv",7.98034278438128e-05
13,"approv",0.0055994262345057
14,"approv",6.72565966951453e-07
15,"approv",6.76460461224272e-07
16,"approv",6.87984379078343e-05
17,"approv",0.000235830105640129
18,"approv",6.14143855828502e-07
19,"approv",0.00301410162884304
20,"approv",3.95711594310142e-07
21,"approv",4.40788252816748e-07
22,"approv",7.5856821766053e-07
1,"avail",0.00204356861800042
2,"avail",7.62658413685753e-07
3,"avail",5.68778712660389e-07
4,"avail",8.6515872123249e-06
5,"avail",0.00108342361863489
6,"avail",7.49812717232673e-06
7,"avail",0.00245902363667183
8,"avail",2.16209731809264e-05
9,"avail",5.39623763519599e-07
10,"avail",0.00294813797643831
11,"avail",5.9411599401844e-07
12,"avail",4.40902916264159e-07
13,"avail",4.65416526847785e-07
14,"avail",0.00316173261063878
15,"avail",6.76460461224272e-07
16,"avail",5.25178915326979e-07
17,"avail",0.00223483321716033
18,"avail",6.14143855828502e-07
19,"avail",5.68591139189405e-07
20,"avail",3.95711594310142e-07
21,"avail",4.40788252816748e-07
22,"avail",0.00098689725117635
1,"bank",5.09491054101327e-07
2,"bank",7.62658413685753e-07
3,"bank",5.68778712660389e-07
4,"bank",7.86507928393172e-07
5,"bank",5.30829798449234e-07
6,"bank",0.00670128074828583
7,"bank",8.03339966243654e-07
8,"bank",6.9745074777182e-07
9,"bank",5.39623763519599e-07
10,"bank",7.57522021509493e-06
11,"bank",6.53527593420285e-06
12,"bank",4.40902916264159e-07
13,"bank",4.65416526847785e-07
14,"bank",6.72565966951453e-07
15,"bank",0.0510057952367713
16,"bank",3.20359138349457e-05
17,"bank",0.0791899203207812
18,"bank",6.14143855828502e-07
19,"bank",5.68591139189405e-07
20,"bank",4.35282753741157e-06
21,"bank",4.40788252816748e-07
22,"bank",7.5856821766053e-07
1,"committe",5.09491054101327e-07
2,"committe",0.0613490054552956
3,"committe",5.68778712660389e-07
4,"committe",7.86507928393172e-07
5,"committe",5.30829798449234e-07
6,"committe",6.81647924756976e-07
7,"committe",8.03339966243654e-07
8,"committe",6.9745074777182e-07
9,"committe",5.39623763519599e-07
10,"committe",6.88656383190448e-07
11,"committe",5.9411599401844e-07
12,"committe",4.40902916264159e-07
13,"committe",4.65416526847785e-07
14,"committe",6.72565966951453e-07
15,"committe",6.76460461224272e-07
16,"committe",5.25178915326979e-07
17,"committe",6.53268990692877e-07
18,"committe",6.14143855828502e-07
19,"committe",5.68591139189405e-07
20,"committe",3.95711594310142e-07
21,"committe",4.40788252816748e-07
22,"committe",7.5856821766053e-07
1,"debt",5.09491054101327e-07
2,"debt",3.88955790979734e-05
3,"debt",5.68778712660389e-07
4,"debt",7.86507928393172e-07
5,"debt",5.30829798449234e-07
6,"debt",6.81647924756976e-07
7,"debt",8.03339966243654e-07
8,"debt",0.0164396115757295
9,"debt",5.39623763519599e-07
10,"debt",6.88656383190448e-07
11,"debt",5.9411599401844e-07
12,"debt",4.40902916264159e-07
13,"debt",4.65416526847785e-07
14,"debt",6.72565966951453e-07
15,"debt",0.0123799029008654
16,"debt",5.25178915326979e-07
17,"debt",0.0153590072401802
18,"debt",6.14143855828502e-07
19,"debt",0.00255922871749151
20,"debt",4.35282753741157e-06
21,"debt",4.40788252816748e-07
22,"debt",7.5856821766053e-07
1,"direct",0.000459051439745295
2,"direct",0.0176791846876494
3,"direct",0.00175240721370666
4,"direct",7.86507928393172e-07
5,"direct",0.000918866381115624
6,"direct",6.81647924756976e-07
7,"direct",8.03339966243654e-07
8,"direct",0.00253244366515948
9,"direct",2.75208119394996e-05
10,"direct",1.44617840469994e-05
11,"direct",5.9411599401844e-07
12,"direct",0.000842565472980808
13,"direct",0.000414686125421377
14,"direct",6.72565966951453e-07
15,"direct",0.000210379203440748
16,"direct",5.25178915326979e-07
17,"direct",0.000451408872568778
18,"direct",0.000436656281494065
19,"direct",0.000171145932896011
20,"direct",0.000206165740635584
21,"direct",0.000586689164499091
22,"direct",7.5856821766053e-07
1,"discuss",5.09491054101327e-07
2,"discuss",0.00916029020677958
3,"discuss",5.68778712660389e-07
4,"discuss",7.86507928393172e-07
5,"discuss",5.30829798449234e-07
6,"discuss",6.81647924756976e-07
7,"discuss",8.03339966243654e-07
8,"discuss",6.9745074777182e-07
9,"discuss",5.39623763519599e-07
10,"discuss",0.00402244193421541
11,"discuss",5.9411599401844e-07
12,"discuss",4.40902916264159e-07
13,"discuss",0.0034352393846635
14,"discuss",6.72565966951453e-07
15,"discuss",0.00109654240764454
16,"discuss",5.25178915326979e-07
17,"discuss",6.53268990692877e-07
18,"discuss",6.14143855828502e-07
19,"discuss",5.68591139189405e-07
20,"discuss",1.62241753667158e-05
21,"discuss",4.40788252816748e-07
22,"discuss",7.5856821766053e-07
1,"domest",5.09491054101327e-07
2,"domest",0.00321155458003071
3,"domest",5.68778712660389e-07
4,"domest",7.86507928393172e-07
5,"domest",5.30829798449234e-07
6,"domest",0.000375588006541093
7,"domest",0.00502971152865152
8,"domest",7.67195822549002e-06
9,"domest",5.39623763519599e-07
10,"domest",6.88656383190448e-07
11,"domest",0.00172353049864749
12,"domest",9.25896124154734e-06
13,"domest",4.65416526847785e-07
14,"domest",0.00125164526449665
15,"domest",0.00354532927727641
16,"domest",1.62805463751364e-05
17,"domest",6.53268990692877e-07
18,"domest",0.00671934792661963
19,"domest",0.00149027737581543
20,"domest",3.95711594310142e-07
21,"domest",4.40788252816748e-07
22,"domest",7.5856821766053e-07
1,"feder",5.09491054101327e-07
2,"feder",0.0329247263772276
3,"feder",0.00104712161000778
4,"feder",7.86507928393172e-07
5,"feder",0.00235210683692856
6,"feder",0.0243627784787391
7,"feder",8.03339966243654e-07
8,"feder",6.9745074777182e-07
9,"feder",5.39623763519599e-07
10,"feder",6.88656383190448e-07
11,"feder",6.53527593420285e-06
12,"feder",1.36679904041889e-05
13,"feder",5.11958179532564e-06
14,"feder",2.08495449754951e-05
15,"feder",6.76460461224272e-07
16,"feder",5.25178915326979e-07
17,"feder",0.00509615139639513
18,"feder",6.14143855828502e-07
19,"feder",0.00895019312198043
20,"feder",8.30994348051298e-06
21,"feder",4.40788252816748e-07
22,"feder",8.34425039426583e-06
1,"financi",5.09491054101327e-07
2,"financi",0.0148802283094227
3,"financi",0.00124619415943891
4,"financi",8.6515872123249e-06
5,"financi",6.95387035968496e-05
6,"financi",0.00216832204865194
7,"financi",8.03339966243654e-07
8,"financi",0.00690545985368878
9,"financi",0.00224537448000505
10,"financi",0.00564078443471297
11,"financi",5.9411599401844e-07
12,"financi",4.40902916264159e-07
13,"financi",4.65416526847785e-07
14,"financi",6.72565966951453e-07
15,"financi",0.01022199402956
16,"financi",0.00294152710474641
17,"financi",0.0333435025539551
18,"financi",6.14143855828502e-07
19,"financi",1.76263253148716e-05
20,"financi",3.95711594310142e-07
21,"financi",4.40788252816748e-07
22,"financi",7.5856821766053e-07
1,"follow",0.000255255018104765
2,"follow",0.00382930789511616
3,"follow",0.00128600866932514
4,"follow",8.6515872123249e-06
5,"follow",0.000292487218945528
6,"follow",0.00165708610508421
7,"follow",0.000281972328151523
8,"follow",0.00336241005500794
9,"follow",5.39623763519599e-07
10,"follow",6.88656383190448e-07
11,"follow",0.00227605837308464
12,"follow",0.00156123722649139
13,"follow",0.000256444506293129
14,"follow",0.000908636621351414
15,"follow",0.000623020084787554
16,"follow",5.25178915326979e-07
17,"follow",6.59801680599805e-05
18,"follow",0.00065160663103404
19,"follow",5.68591139189405e-07
20,"follow",0.00161094190043659
21,"follow",0.000348663507978047
22,"follow",7.5856821766053e-07
