"topic","term","beta"
10,"debt",1.18579934140705e-06
11,"debt",1.13690237305632e-06
12,"debt",0.0041831278455791
13,"debt",8.66781717493303e-07
14,"debt",8.39339506955186e-07
15,"debt",1.22981111331111e-06
16,"debt",7.53441532560353e-07
17,"debt",7.32835347287007e-07
18,"debt",1.24127538563323e-06
19,"debt",8.86774031354556e-07
20,"debt",1.03306532175336e-06
21,"debt",7.63351203385004e-07
22,"debt",3.03769783007118e-05
23,"debt",0.0241609658323063
24,"debt",0.0269354226264387
25,"debt",0.0131096529510772
26,"debt",1.03058466098402e-06
27,"debt",9.67667331454123e-07
28,"debt",8.42933645106391e-07
29,"debt",1.21553502381841e-06
30,"debt",1.02398899007038e-06
31,"debt",9.94111875362229e-07
32,"debt",7.83150976628425e-07
33,"debt",0.0104657526792264
34,"debt",9.7988972321055e-07
35,"debt",8.23212620178752e-07
36,"debt",1.08258734044016e-06
1,"direct",1.05846651488257e-06
2,"direct",5.85252914120573e-07
3,"direct",0.0250729501770547
4,"direct",0.00193869042306229
5,"direct",1.20546848724554e-06
6,"direct",0.000719541897551613
7,"direct",1.16201647042145e-06
8,"direct",9.49196173220708e-07
9,"direct",1.18015962839134e-06
10,"direct",0.000511079516146436
11,"direct",1.13690237305632e-06
12,"direct",8.80473131041696e-07
13,"direct",0.00171709458235423
14,"direct",8.39339506955186e-07
15,"direct",1.22981111331111e-06
16,"direct",0.00109324366374507
17,"direct",0.000535702638866802
18,"direct",1.36540292419655e-05
19,"direct",8.86774031354556e-07
20,"direct",1.03306532175336e-06
21,"direct",0.00089388425916384
22,"direct",1.44652277622437e-06
23,"direct",3.61464186478208e-05
24,"direct",0.00382280079068853
25,"direct",1.06056572697008e-06
26,"direct",1.03058466098402e-06
27,"direct",0.00192662565692516
28,"direct",0.00054874980296426
29,"direct",4.98369359765548e-05
30,"direct",0.000922614080053411
31,"direct",9.94111875362229e-07
32,"direct",7.83150976628425e-07
33,"direct",1.04647062086056e-06
34,"direct",0.00110825527695113
35,"direct",9.05533882196627e-06
36,"direct",1.08258734044016e-06
1,"discuss",1.05846651488257e-06
2,"discuss",5.85252914120573e-07
3,"discuss",0.0109565060602568
4,"discuss",8.04102207823432e-07
5,"discuss",1.20546848724554e-06
6,"discuss",6.48235943740192e-06
7,"discuss",1.16201647042145e-06
8,"discuss",9.49196173220708e-07
9,"discuss",1.18015962839134e-06
10,"discuss",1.18579934140705e-06
11,"discuss",0.00280928576382217
12,"discuss",8.80473131041696e-07
13,"discuss",8.66781717493303e-07
14,"discuss",8.39339506955186e-07
15,"discuss",1.22981111331111e-06
16,"discuss",1.58222721837674e-05
17,"discuss",7.32835347287007e-07
18,"discuss",1.24127538563323e-06
19,"discuss",8.86774031354556e-07
20,"discuss",1.03306532175336e-06
21,"discuss",7.63351203385004e-07
22,"discuss",1.44652277622437e-06
23,"discuss",1.16601350476841e-06
24,"discuss",1.22095202513208e-06
25,"discuss",1.16662229966709e-05
26,"discuss",0.00497875449721381
27,"discuss",3.96743605896191e-05
28,"discuss",0.00834588602019837
29,"discuss",1.21553502381841e-06
30,"discuss",1.02398899007038e-06
31,"discuss",9.94111875362229e-07
32,"discuss",7.83150976628425e-07
33,"discuss",1.15111768294661e-05
34,"discuss",9.7988972321055e-07
35,"discuss",8.23212620178752e-07
36,"discuss",1.08258734044016e-06
1,"domest",1.05846651488257e-06
2,"domest",5.85252914120573e-07
3,"domest",0.00389257808265138
4,"domest",1.68861463642921e-05
5,"domest",0.000483392863385462
6,"domest",5.89305403400174e-07
7,"domest",1.16201647042145e-06
8,"domest",9.58688134952914e-05
9,"domest",1.18015962839134e-06
10,"domest",1.18579934140705e-06
11,"domest",1.13690237305632e-06
12,"domest",0.00293285599949989
13,"domest",8.66781717493303e-07
14,"domest",9.23273457650705e-06
15,"domest",0.0197642944020228
16,"domest",1.58222721837674e-05
17,"domest",7.32835347287007e-07
18,"domest",1.24127538563323e-06
19,"domest",8.86774031354556e-07
20,"domest",1.03306532175336e-06
21,"domest",0.000283203296455837
22,"domest",7.37726615874431e-05
23,"domest",1.16601350476841e-06
24,"domest",1.22095202513208e-06
25,"domest",0.00351153312199794
26,"domest",1.03058466098402e-06
27,"domest",9.67667331454123e-07
28,"domest",8.42933645106391e-07
29,"domest",0.0074281345305543
30,"domest",1.02398899007038e-06
31,"domest",9.94111875362229e-07
32,"domest",7.83150976628425e-07
33,"domest",1.04647062086056e-06
34,"domest",0.0014120210911464
35,"domest",8.23212620178752e-07
36,"domest",1.08258734044016e-06
1,"feder",1.16431316637083e-05
2,"feder",1.2290311196532e-05
3,"feder",0.0464359116860649
4,"feder",0.00192260837890583
5,"feder",1.20546848724554e-06
6,"feder",5.89305403400174e-07
7,"feder",1.16201647042145e-06
8,"feder",0.00545882719219229
9,"feder",1.18015962839134e-06
10,"feder",0.00320284402114043
11,"feder",1.13690237305632e-06
12,"feder",0.00874397866437509
13,"feder",8.66781717493303e-07
14,"feder",8.39339506955186e-07
15,"feder",1.22981111331111e-06
16,"feder",7.53441532560353e-07
17,"feder",7.32835347287007e-07
18,"feder",1.24127538563323e-06
19,"feder",0.00452343433393959
20,"feder",4.23556781918877e-05
21,"feder",7.63351203385004e-07
22,"feder",1.44652277622437e-06
23,"feder",0.00678736461125693
24,"feder",0.00498270521456401
25,"feder",1.06056572697008e-06
26,"feder",1.03058466098402e-06
27,"feder",9.67667331454123e-07
28,"feder",8.42933645106391e-07
29,"feder",1.21553502381841e-06
30,"feder",1.02398899007038e-06
31,"feder",0.0321108076860754
32,"feder",7.83150976628425e-07
33,"feder",1.04647062086056e-06
34,"feder",9.7988972321055e-07
35,"feder",8.23212620178752e-07
36,"feder",1.08258734044016e-06
1,"financi",0.00484883510467705
2,"financi",5.85252914120573e-07
3,"financi",0.0184540838975536
4,"financi",8.04102207823432e-07
5,"financi",1.20546848724554e-06
6,"financi",3.00545755734089e-05
7,"financi",1.16201647042145e-06
8,"financi",9.49196173220708e-07
9,"financi",1.18015962839134e-06
10,"financi",1.18579934140705e-06
11,"financi",0.0019679780077605
12,"financi",8.80473131041696e-07
13,"financi",7.88771362918905e-05
14,"financi",8.39339506955186e-07
15,"financi",1.22981111331111e-06
16,"financi",7.53441532560353e-07
17,"financi",7.32835347287007e-07
18,"financi",1.24127538563323e-06
19,"financi",8.86774031354556e-07
20,"financi",1.03306532175336e-06
21,"financi",7.63351203385004e-07
22,"financi",0.0111975328107529
23,"financi",0.00936425445679511
24,"financi",1.34304722764528e-05
25,"financi",0.000414681199245302
26,"financi",0.00426765108113484
27,"financi",0.0125419362829769
28,"financi",9.2722700961703e-06
29,"financi",1.33708852620025e-05
30,"financi",1.02398899007038e-06
31,"financi",1.09352306289845e-05
32,"financi",1.64461705091969e-05
33,"financi",0.0640345837610782
34,"financi",7.93710675800545e-05
35,"financi",0.00151553443374908
36,"financi",1.08258734044016e-06
1,"follow",1.05846651488257e-06
2,"follow",0.000451229996786962
3,"follow",0.00396104911312898
4,"follow",0.00143210603213353
5,"follow",1.20546848724554e-06
6,"follow",0.00137367089532581
7,"follow",1.16201647042145e-06
8,"follow",1.04411579054278e-05
9,"follow",1.18015962839134e-06
10,"follow",0.00611991040100176
11,"follow",1.13690237305632e-06
12,"follow",8.80473131041696e-07
13,"follow",0.000624949618312671
14,"follow",0.00125145520487018
15,"follow",1.22981111331111e-06
16,"follow",7.53441532560353e-07
17,"follow",7.32835347287007e-07
18,"follow",0.00247137929279576
19,"follow",0.00128670911949546
20,"follow",1.1363718539287e-05
21,"follow",0.00114579015628089
22,"follow",0.00439887576249832
23,"follow",1.16601350476841e-06
24,"follow",0.00370070558817532
25,"follow",0.000860118804572735
26,"follow",1.03058466098402e-06
27,"follow",1.06443406459954e-05
28,"follow",8.42933645106391e-07
29,"follow",0.00116812915788949
30,"follow",1.02398899007038e-06
31,"follow",0.00136292738112162
