"inflation","growth","employment","rates","profits","indprod","housing","nresinv","consum","fedgov","equities","policy","other1","other2","other3","other4","other5","other6","other7","other8","other9","other10","other11","other12","other13","other14","other15","other16","other17","other18","term"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,2.14136388916846e-06,2.35827198092252e-07,1.86915433663432e-07,1.98594205779344e-06,0.00201604669208692,1.18322709334467e-07,1.64863526796835e-07,0.0049778992345574,0.0344618280081969,0.0013009292193668,1.13933587883755e-07,0.00448580209494089,0.0210675006559844,0.00163625823262595,0.00130061760502223,7.26371340059968e-08,1.21830236144765e-07,0.00437036587771677,8.12222123582358e-08,0.0115146156986756,1.99279286532327e-07,1.39717627879703e-07,0.00286640197905645,1.71612605517917e-05,0.113346560386137,"state"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,0.0209055169515213,1.9466944446986e-07,0.0045870748300924,3.38316934930812e-05,1.80540187072131e-07,1.37510858201141e-07,1.18322709334467e-07,1.64863526796835e-07,1.48811671835144e-07,0.00244074082600592,0.00189353602016325,0.00204294316434362,1.16330025023752e-07,9.43064252446835e-06,3.83549182652014e-06,8.00941272527564e-06,7.26371340059968e-08,1.21830236144765e-07,0.00244174761127316,8.12222123582358e-08,0.00121494529936641,1.99279286532327e-07,1.39717627879703e-07,0.00962393265533482,2.11867414219651e-07,0.072578538881876,"million"
1.7011451939331e-07,1.94021560734128e-06,7.74756835008729e-06,0.000682603172882096,0.00243371779612145,0.00344389714211629,0.0146097307490131,1.86915433663432e-07,1.80540187072131e-07,0.0018441581193355,0.00554235402793576,1.64863526796835e-07,0.00468622835776052,1.5046796288798e-07,0.00614125994667559,0.00293048581395807,0.00766859157959073,1.84914559303301e-07,0.00771317406313201,0.00266538981296277,0.00750929955067395,0.00647174397424606,0.0069327657697661,0.00309302306881398,0.0054550605657705,2.41127936704116e-05,4.33124646427078e-06,0.0371180152154296,2.11867414219651e-07,0.0618306705187557,"new"
1.7011451939331e-07,1.76383237031026e-07,0.000742821736199833,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,0.00064368832723954,1.18322709334467e-07,1.64863526796835e-07,1.48811671835144e-07,6.16918647840717e-06,8.50224965274687e-08,0.00159176615632395,1.16330025023752e-07,3.88320574536932e-06,0.000607223840144933,7.9301116091838e-08,7.26371340059968e-08,1.21830236144765e-07,0.00128587538424634,0.000109731208895977,1.12380473533106e-07,1.99279286532327e-07,1.39717627879703e-07,1.11528811293586e-07,2.11867414219651e-07,0.0404154421697671,"health"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,0.000688851245627469,1.86915433663432e-07,1.80540187072131e-07,7.01305376825818e-06,0.00552815530281562,1.64863526796835e-07,1.48811671835144e-07,1.5046796288798e-07,4.3361473229009e-06,1.13933587883755e-07,0.00143213893806741,2.03406015233631e-06,0.000392997589346613,7.9301116091838e-08,0.00136710349912687,0.0018141740464317,0.0011339236420417,8.12222123582358e-08,1.12380473533106e-07,1.99279286532327e-07,1.39717627879703e-07,0.0147932930587925,2.11867414219651e-07,0.0311640824661516,"york"
1.7011451939331e-07,1.94021560734128e-06,1.88965081709446e-07,3.9807460790125e-06,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,7.16431571227943e-05,1.30154980267913e-06,0.000918454707785169,1.48811671835144e-07,1.5046796288798e-07,8.50224965274687e-08,0.00142314444625599,1.16330025023752e-07,7.58149693143534e-06,0.00114980561072583,7.9301116091838e-08,0.000447517382610946,1.21830236144765e-07,0.00237421350362665,0.00112663330762109,1.12380473533106e-07,1.99279286532327e-07,1.39717627879703e-07,1.11528811293586e-07,2.33054155641616e-06,0.0275601486374076,"care"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,0.00853572974237137,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,0.00573571540642778,2.4847768960238e-06,1.64863526796835e-07,1.48811671835144e-07,1.5046796288798e-07,8.50224965274687e-08,1.13933587883755e-07,1.16330025023752e-07,1.84914559303301e-07,4.77097763786652e-06,7.9301116091838e-08,7.26371340059968e-08,1.34013259759242e-06,1.29873283935597e-07,8.12222123582358e-08,1.12380473533106e-07,1.99279286532327e-07,1.39717627879703e-07,2.3421050371653e-06,2.11867414219651e-07,0.0178494176047669,"revenu"
1.7011451939331e-07,1.76383237031026e-07,1.88965081709446e-07,1.89559337095833e-07,1.20118345398621e-07,1.9466944446986e-07,2.35827198092252e-07,1.86915433663432e-07,1.80540187072131e-07,1.37510858201141e-07,1.18322709334467e-07,2.15971220103854e-05,1.48811671835144e-07,1.5046796288798e-07,8.50224965274687e-08,3.53194122439642e-06,1.16330025023752e-07,1.84914559303301e-07,0.00433981222741698,2.45833459884698e-06,7.26371340059968e-08,0.00101618599968349,1.29873283935597e-07,8.12222123582358e-08,1.12380473533106e-07,2.1920721518556e-06,1.39717627879703e-07,1.11528811293586e-07,2.11867414219651e-07,0.0165210293801115,"governor"
1.37792760708581e-05,1.76383237031026e-07,1.88965081709446e-07,2.10410864176375e-05,0.00153162902217781,0.00137456094740168,2.35827198092252e-07,0.000297382454958521,0.00111050269068068,7.01305376825818e-06,0.0013158668505086,1.64863526796835e-07,9.24120482096245e-05,9.19359253245556e-05,8.50224965274687e-08,0.000583453903552711,0.00325619373043983,2.03406015233631e-06,0.000652127159089559,7.9301116091838e-08,0.000212173068431517,1.35231562120689e-05,0.000601443177905749,8.12222123582358e-08,0.00349289749788247,0.00226201918142845,0.00625529791780216,1.11528811293586e-07,0.00602572112782109,0.0163978989207852,"general"
1.7011451939331e-07,1.76383237031026e-07,0.000517953288965592,2.08515270805417e-06,1.20118345398621e-07,1.9466944446986e-07,0.0027334730530873,1.86915433663432e-07,1.80540187072131e-07,1.37510858201141e-07,0.00985640001027041,1.64863526796835e-07,0.00389455026359755,0.000103973362355594,0.0148118541425468,1.13933587883755e-07,0.00165665588636325,1.31289337105344e-05,0.00537633050638876,0.00710070123597927,0.00269708942277667,0.000108550740404986,5.32480464135947e-06,4.95455495385238e-06,0.00381767706639315,1.99279286532327e-07,1.39717627879703e-07,1.11528811293586e-07,2.11867414219651e-07,0.0158722265751997,"week"
