DATE,EMPLOY22M6
1969:02,"69,699 "
1969:03,"69,905 "
1969:04,"70,072 "
1969:05,"70,328 "
1969:06,"70,636 "
1969:07,"70,729 "
1969:08,"71,008 "
1969:09,"70,914 "
1969:10,"71,121 "
1969:11,"71,086 "
1969:12,"71,241 "
1970:01,"71,176 "
1970:02,"71,305 "
1970:03,"71,451 "
1970:04,"71,348 "
1970:05,"71,124 "
1970:06,"71,029 "
1970:07,"71,053 "
1970:08,"70,937 "
1970:09,"70,944 "
1970:10,"70,521 "
1970:11,"70,409 "
1970:12,"70,792 "
1971:01,"70,865 "
1971:02,"70,807 "
1971:03,"70,860 "
1971:04,"71,036 "
1971:05,"71,247 "
1971:06,"71,254 "
1971:07,"71,315 "
1971:08,"71,373 "
1971:09,"71,614 "
1971:10,"71,642 "
1971:11,"71,847 "
1971:12,"72,109 "
1972:01,"72,441 "
1972:02,"72,648 "
1972:03,"72,944 "
1972:04,"73,162 "
1972:05,"73,469 "
1972:06,"73,758 "
1972:07,"73,709 "
1972:08,"74,141 "
1972:09,"74,264 "
1972:10,"74,674 "
1972:11,"74,973 "
1972:12,"75,268 "
1973:01,"75,617 "
1973:02,"76,014 "
1973:03,"76,284 "
1973:04,"76,455 "
1973:05,"76,648 "
1973:06,"76,887 "
1973:07,"76,913 "
1973:08,"77,168 "
1973:09,"77,276 "
1973:10,"77,607 "
1973:11,"77,920 "
1973:12,"78,031 "
1974:01,"78,100 "
1974:02,"78,254 "
1974:03,"78,296 "
1974:04,"78,382 "
1974:05,"78,549 "
1974:06,"78,604 "
1974:07,"78,636 "
1974:08,"78,619 "
1974:09,"78,610 "
1974:10,"78,630 "
1974:11,"78,265 "
1974:12,"77,652 "
1975:01,"77,293 "
1975:02,"76,918 "
1975:03,"76,648 "
1975:04,"76,460 "
1975:05,"76,624 "
1975:06,"76,521 "
1975:07,"76,770 "
1975:08,"77,153 "
1975:09,"77,228 "
1975:10,"77,540 "
1975:11,"77,685 "
1975:12,"78,017 "
1976:01,"78,503 "
1976:02,"78,816 "
1976:03,"79,048 "
1976:04,"79,292 "
1976:05,"79,312 "
1976:06,"79,376 "
1976:07,"79,547 "
1976:08,"79,704 "
1976:09,"79,892 "
1976:10,"79,911 "
1976:11,"80,240 "
1976:12,"80,448 "
1977:01,"80,690 "
1977:02,"80,988 "
1977:03,"81,391 "
1977:04,"81,728 "
1977:05,"82,088 "
1977:06,"82,488 "
1977:07,"82,834 "
1977:08,"83,075 "
1977:09,"83,532 "
1977:10,"83,800 "
1977:11,"84,173 "
1977:12,"84,410 "
1978:01,"84,594 "
1978:02,"84,948 "
1978:03,"85,460 "
1978:04,"86,162 "
1978:05,"86,509 "
1978:06,"86,950 "
1978:07,"87,204 "
1978:08,"87,483 "
1978:09,"87,621 "
1978:10,"87,956 "
1978:11,"88,391 "
1978:12,"88,671 "
1979:01,"88,808 "
1979:02,"89,055 "
1979:03,"89,479 "
1979:04,"89,417 "
1979:05,"89,789 "
1979:06,"90,108 "
1979:07,"90,217 "
1979:08,"90,300 "
1979:09,"90,327 "
1979:10,"90,481 "
1979:11,"90,573 "
1979:12,"90,672 "
1980:01,"90,800 "
1980:02,"90,883 "
1980:03,"90,994 "
1980:04,"90,849 "
1980:05,"90,420 "
1980:06,"90,101 "
1980:07,"89,840 "
1980:08,"90,099 "
1980:09,"90,213 "
1980:10,"90,490 "
1980:11,"90,747 "
1980:12,"90,943 "
1981:01,"91,033 "
1981:02,"91,105 "
1981:03,"91,210 "
1981:04,"91,283 "
1981:05,"91,296 "
1981:06,"91,490 "
1981:07,"91,601 "
1981:08,"91,565 "
1981:09,"91,477 "
1981:10,"91,380 "
1981:11,"91,171 "
1981:12,"90,895 "
1982:01,"90,565 "
1982:02,"90,563 "
1982:03,"90,434 "
1982:04,"90,150 "
1982:05,"90,107 "
1982:06,"89,865 "
1982:07,"89,521 "
1982:08,"89,363 "
1982:09,"89,183 "
1982:10,"88,907 "
1982:11,"88,786 "
1982:12,"88,771 "
1983:01,"88,990 "
1983:02,"88,917 "
1983:03,"89,090 "
1983:04,"89,364 "
1983:05,"89,644 "
1983:06,"90,021 "
1983:07,"90,437 "
1983:08,"90,129 "
1983:09,"91,247 "
1983:10,"91,520 "
1983:11,"91,875 "
1983:12,"92,230 "
1984:01,"92,673 "
1984:02,"93,157 "
1984:03,"93,429 "
1984:04,"93,792 "
1984:05,"94,098 "
1984:06,"94,479 "
1984:07,"94,789 "
1984:08,"95,032 "
1984:09,"95,344 "
1984:10,"95,629 "
1984:11,"95,982 "
1984:12,"96,107 "
1985:01,"96,372 "
1985:02,"96,503 "
1985:03,"96,842 "
1985:04,"97,038 "
1985:05,"97,312 "
1985:06,"97,459 "
1985:07,"97,648 "
1985:08,"97,840 "
1985:09,"98,045 "
1985:10,"98,233 "
1985:11,"98,443 "
1985:12,"98,609 "
1986:01,"98,732 "
1986:02,"98,847 "
1986:03,"98,934 "
1986:04,"99,121 "
1986:05,"99,248 "
1986:06,"99,155 "
1986:07,"99,473 "
1986:08,"99,588 "
1986:09,"99,934 "
1986:10,"100,121 "
1986:11,"100,308 "
1986:12,"100,509 "
1987:01,"100,678 "
1987:02,"100,919 "
1987:03,"101,164 "
1987:04,"101,499 "
1987:05,"101,728 "
1987:06,"101,900 "
1987:07,"102,247 "
1987:08,"102,420 "
1987:09,"102,647 "
1987:10,"103,138 "
1987:11,"103,372 "
1987:12,"103,661 "
1988:01,"103,753 "
1988:02,"104,214 "
1988:03,"104,489 "
1988:04,"104,732 "
1988:05,"104,962 "
1988:06,"105,326 "
1988:07,"105,550 "
1988:08,"105,674 "
1988:09,"106,013 "
1988:10,"106,276 "
1988:11,"106,617 "
1988:12,"106,898 "
1989:01,"107,161 "
1989:02,"107,427 "
1989:03,"107,621 "
1989:04,"107,791 "
1989:05,"107,913 "
1989:06,"108,027 "
1989:07,"108,069 "
1989:08,"108,120 "
1989:09,"108,369 "
1989:10,"108,476 "
1989:11,"108,752 "
1989:12,"108,836 "
1990:01,"109,199 "
1990:02,"109,435 "
1990:03,"109,644 "
1990:04,"109,686 "
1990:05,"109,839 "
1990:06,"109,856 "
1990:07,"109,824 "
1990:08,"109,616 "
1990:09,"109,518 "
1990:10,"109,367 "
1990:11,"109,214 "
1990:12,"109,166 "
1991:01,"109,055 "
1991:02,"108,734 "
1991:03,"108,574 "
1991:04,"108,364 "
1991:05,"108,249 "
1991:06,"108,334 "
1991:07,"108,292 "
1991:08,"108,310 "
1991:09,"108,336 "
1991:10,"108,357 "
1991:11,"108,296 "
1991:12,"108,328 "
1992:01,"108,369 "
1992:02,"108,311 "
1992:03,"108,365 "
1992:04,"108,519 "
1992:05,"108,649 "
1992:06,"108,715 "
1992:07,"108,793 "
1992:08,"108,925 "
1992:09,"108,959 "
1992:10,"109,139 "
1992:11,"109,272 "
1992:12,"109,495 "
1993:01,"109,794 "
1993:02,"110,044 "
1993:03,"109,994 "
1993:04,"110,296 "
1993:05,"110,568 "
1993:06,"110,749 "
1993:07,"111,055 "
1993:08,"111,206 "
1993:09,"111,448 "
1993:10,"111,733 "
1993:11,"111,984 "
1993:12,"112,314 "
1994:01,"112,595 "
1994:02,"112,781 "
1994:03,"113,242 "
1994:04,"113,586 "
1994:05,"113,921 "
1994:06,"114,238 "
1994:07,"114,610 "
1994:08,"114,896 "
1994:09,"115,247 "
1994:10,"115,458 "
1994:11,"115,869 "
1994:12,"116,165 "
1995:01,"116,501 "
1995:02,"116,697 "
1995:03,"116,907 "
1995:04,"117,069 "
1995:05,"117,049 "
1995:06,"117,286 "
1995:07,"117,380 "
1995:08,"117,634 "
1995:09,"117,875 "
1995:10,"118,031 "
1995:11,"118,175 "
1995:12,"118,320 "
1996:01,"118,316 "
1996:02,"118,739 "
1996:03,"118,993 "
1996:04,"119,158 "
1996:05,"119,486 "
1996:06,"119,769 "
1996:07,"120,015 "
1996:08,"120,199 "
1996:09,"120,410 "
1996:10,"120,665 "
1996:11,"120,961 "
1996:12,"121,143 "
1997:01,"121,363 "
1997:02,"121,675 "
1997:03,"121,990 "
1997:04,"122,286 "
1997:05,"122,546 "
1997:06,"122,814 "
1997:07,"123,111 "
1997:08,"123,093 "
1997:09,"123,585 "
1997:10,"123,929 "
1997:11,"124,235 "
1997:12,"124,549 "
1998:01,"124,812 "
1998:02,"125,016 "
1998:03,"125,164 "
1998:04,"125,442 "
1998:05,"125,844 "
1998:06,"126,076 "
1998:07,"126,205 "
1998:08,"126,544 "
1998:09,"126,752 "
1998:10,"126,954 "
1998:11,"127,231 "
1998:12,"127,596 "
1999:01,"127,702 "
1999:02,"128,120 "
1999:03,"128,227 "
1999:04,"128,597 "
1999:05,"128,808 "
1999:06,"129,089 "
1999:07,"129,414 "
1999:08,"129,569 "
1999:09,"129,772 "
1999:10,"130,177 "
1999:11,"130,466 "
1999:12,"130,772 "
2000:01,"131,005 "
2000:02,"131,124 "
2000:03,"131,596 "
2000:04,"131,888 "
2000:05,"132,105 "
2000:06,"132,061 "
