year,month,pub_date,meet_date,source
1996,July,23/08/1996,03/07/1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm
1996,August,27/09/1996,20/08/1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm
1996,September,15/11/1996,24/09/1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm
1996,November,20/12/1996,13/11/1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm
1996,December,06/02/1997,17/12/1996,https://www.federalreserve.gov/monetarypolicy/fomchistorical1996.htm
1997,February,27/03/1997,04/02/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,March,22/05/1997,25/03/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,May,03/07/1997,20/05/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,July,21/08/1997,01/07/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,August,02/10/1997,19/08/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,September,13/11/1997,30/09/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,November,18/12/1997,12/11/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1997,December,05/02/1998,16/12/1997,https://www.federalreserve.gov/monetarypolicy/fomchistorical1997.htm
1998,February,02/04/1998,03/02/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,March,21/05/1998,31/03/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,May,02/07/1998,19/05/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,June,20/08/1998,30/06/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,August,01/10/1998,18/08/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,September,19/11/1998,29/09/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,November,23/12/1998,17/11/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1998,December,04/02/1999,22/12/1998,https://www.federalreserve.gov/monetarypolicy/fomchistorical1998.htm
1999,February,01/04/1999,02/02/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,March,20/05/1999,30/03/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,May,01/07/1999,18/05/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,June,26/08/1999,29/06/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,August,07/10/1999,24/08/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,October,18/11/1999,05/10/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,November,23/12/1999,16/11/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
1999,December,03/02/2000,21/12/1999,https://www.federalreserve.gov/monetarypolicy/fomchistorical1999.htm
2000,February,23/03/2000,01/02/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,March,18/05/2000,21/03/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,May,29/06/2000,16/05/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,June,24/08/2000,27/06/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,August,05/10/2000,22/08/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,October,16/11/2000,03/10/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,November,21/12/2000,15/11/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2000,December,01/02/2001,19/12/2000,https://www.federalreserve.gov/monetarypolicy/fomchistorical2000.htm
2001,January,22/03/2001,30/01/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,March,17/05/2001,20/03/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,May,28/06/2001,15/05/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,June,23/08/2001,26/06/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,August,04/10/2001,21/08/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,October,08/11/2001,02/10/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,November,13/12/2001,06/11/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2001,December,31/01/2002,11/12/2001,https://www.federalreserve.gov/monetarypolicy/fomchistorical2001.htm
2002,January,21/03/2002,29/01/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,March,09/05/2002,19/03/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,May,27/06/2002,07/05/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,June,15/08/2002,25/06/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,August,26/09/2002,13/08/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,September,07/11/2002,24/09/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,November,12/12/2002,06/11/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2002,December,30/01/2003,10/12/2002,https://www.federalreserve.gov/monetarypolicy/fomchistorical2002.htm
2003,January,20/03/2003,28/01/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,March,08/05/2003,18/03/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,May,26/06/2003,06/05/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,June,14/08/2003,24/06/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,August,18/09/2003,12/08/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,September,30/10/2003,16/09/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,October,11/12/2003,28/10/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2003,December,29/01/2004,09/12/2003,https://www.federalreserve.gov/monetarypolicy/fomchistorical2003.htm
2004,January,18/03/2004,27/01/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,March,06/05/2004,16/03/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,May,01/07/2004,04/05/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,June,12/08/2004,29/06/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,August,23/09/2004,10/08/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,September,11/11/2004,21/09/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,November,16/12/2004,10/11/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2004,December,04/01/2005,14/12/2004,https://www.federalreserve.gov/monetarypolicy/fomchistorical2004.htm
2005,February,23/02/2005,01/02/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,March,12/04/2005,22/03/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,May,24/05/2005,03/05/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,June,21/07/2005,29/06/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,August,30/08/2005,09/08/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,September,11/10/2005,20/09/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,November,22/11/2005,01/11/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2005,December,03/01/2006,13/12/2005,https://www.federalreserve.gov/monetarypolicy/fomchistorical2005.htm
2006,January,21/02/2006,31/01/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,March,18/04/2006,27/03/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,May,31/05/2006,10/05/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,June,20/07/2006,28/06/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,August,29/08/2006,08/08/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,September,11/10/2006,20/09/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,October,15/11/2006,24/10/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2006,December,03/01/2007,12/12/2006,https://www.federalreserve.gov/monetarypolicy/fomchistorical2006.htm
2007,January,21/02/2007,30/01/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,March,11/04/2007,20/03/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,May,30/05/2007,09/05/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,June,19/07/2007,27/06/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,August,28/08/2007,07/08/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,September,09/10/2007,18/09/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,October,20/11/2007,30/10/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2007,December,02/01/2008,11/12/2007,https://www.federalreserve.gov/monetarypolicy/fomchistorical2007.htm
2008,January,20/02/2008,29/01/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,March,08/04/2008,18/03/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,April,21/05/2008,29/04/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,June,16/07/2008,24/06/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,August,26/08/2008,05/08/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,September,07/10/2008,16/09/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,October,19/11/2008,28/10/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2008,December,06/01/2009,15/12/2008,https://www.federalreserve.gov/monetarypolicy/fomchistorical2008.htm
2009,January,18/02/2009,27/01/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,March,08/04/2009,17/03/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,April,20/05/2009,28/04/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,June,15/07/2009,23/06/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,August,02/09/2009,11/08/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,September,14/10/2009,22/09/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,November,24/11/2009,03/11/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2009,December,06/01/2010,15/12/2009,https://www.federalreserve.gov/monetarypolicy/fomchistorical2009.htm
2010,January,17/02/2010,26/01/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,March,06/04/2010,16/03/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,April,19/05/2010,27/04/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,June,14/07/2010,22/06/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,August,31/08/2010,10/08/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,September,12/10/2010,21/09/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,November,23/11/2010,02/11/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2010,December,04/01/2011,14/12/2010,https://www.federalreserve.gov/monetarypolicy/fomchistorical2010.htm
2011,January,16/02/2011,25/01/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
2011,March,05/04/2011,15/03/2011,https://www.federalreserve.gov/monetarypolicy/fomchistorical2011.htm
