"unique_id","meeting_id","meet_date","pub_date","quarter","wordcount","sentiment"
"FEDp_94","FEDm_3","1993-05-18","1993-07-09","1993-04-01",21,0.0476190476190476
"FEDp_95","FEDm_3","1993-05-18","1993-07-09","1993-04-01",77,0.0232558139534884
"FEDp_96","FEDm_3","1993-05-18","1993-07-09","1993-04-01",25,-0.0384615384615385
"FEDp_97","FEDm_3","1993-05-18","1993-07-09","1993-04-01",15,-0.0555555555555556
"FEDp_98","FEDm_3","1993-05-18","1993-07-09","1993-04-01",65,-0.0142857142857143
"FEDp_99","FEDm_3","1993-05-18","1993-07-09","1993-04-01",51,0.0384615384615385
"FEDp_100","FEDm_3","1993-05-18","1993-07-09","1993-04-01",87,-0.0568181818181818
"FEDp_101","FEDm_3","1993-05-18","1993-07-09","1993-04-01",92,-0.0408163265306122
"FEDp_102","FEDm_4","1993-07-07","1993-08-20","1993-07-01",35,0.027027027027027
"FEDp_103","FEDm_4","1993-07-07","1993-08-20","1993-07-01",53,0
"FEDp_104","FEDm_4","1993-07-07","1993-08-20","1993-07-01",49,0.0178571428571429
"FEDp_105","FEDm_4","1993-07-07","1993-08-20","1993-07-01",53,-0.0169491525423729
"FEDp_106","FEDm_4","1993-07-07","1993-08-20","1993-07-01",70,0.0133333333333333
"FEDp_107","FEDm_4","1993-07-07","1993-08-20","1993-07-01",74,0.012987012987013
"FEDp_108","FEDm_4","1993-07-07","1993-08-20","1993-07-01",70,-0.012987012987013
"FEDp_109","FEDm_4","1993-07-07","1993-08-20","1993-07-01",61,-0.0149253731343284
"FEDp_110","FEDm_4","1993-07-07","1993-08-20","1993-07-01",85,0.0111111111111111
"FEDp_111","FEDm_4","1993-07-07","1993-08-20","1993-07-01",64,0.0303030303030303
"FEDp_112","FEDm_4","1993-07-07","1993-08-20","1993-07-01",54,-0.0175438596491228
"FEDp_113","FEDm_4","1993-07-07","1993-08-20","1993-07-01",74,-0.0769230769230769
"FEDp_114","FEDm_4","1993-07-07","1993-08-20","1993-07-01",61,-0.0149253731343284
"FEDp_115","FEDm_4","1993-07-07","1993-08-20","1993-07-01",87,0
"FEDp_116","FEDm_4","1993-07-07","1993-08-20","1993-07-01",103,0
"FEDp_117","FEDm_4","1993-07-07","1993-08-20","1993-07-01",147,0.00671140939597315
"FEDp_118","FEDm_4","1993-07-07","1993-08-20","1993-07-01",105,-0.0265486725663717
"FEDp_119","FEDm_4","1993-07-07","1993-08-20","1993-07-01",117,-0.0258620689655172
"FEDp_120","FEDm_4","1993-07-07","1993-08-20","1993-07-01",119,-0.00847457627118644
"FEDp_121","FEDm_4","1993-07-07","1993-08-20","1993-07-01",136,0.0579710144927536
"FEDp_122","FEDm_4","1993-07-07","1993-08-20","1993-07-01",63,-0.0625
"FEDp_123","FEDm_4","1993-07-07","1993-08-20","1993-07-01",160,-0.036144578313253
"FEDp_124","FEDm_4","1993-07-07","1993-08-20","1993-07-01",69,0.0277777777777778
"FEDp_125","FEDm_4","1993-07-07","1993-08-20","1993-07-01",55,-0.0363636363636364
"FEDp_126","FEDm_4","1993-07-07","1993-08-20","1993-07-01",103,-0.0185185185185185
"FEDp_127","FEDm_4","1993-07-07","1993-08-20","1993-07-01",108,-0.036036036036036
"FEDp_128","FEDm_4","1993-07-07","1993-08-20","1993-07-01",70,0.0422535211267606
"FEDp_129","FEDm_4","1993-07-07","1993-08-20","1993-07-01",21,0.0476190476190476
"FEDp_130","FEDm_4","1993-07-07","1993-08-20","1993-07-01",87,0
"FEDp_131","FEDm_4","1993-07-07","1993-08-20","1993-07-01",24,-0.04
"FEDp_132","FEDm_4","1993-07-07","1993-08-20","1993-07-01",22,-0.0416666666666667
"FEDp_133","FEDm_4","1993-07-07","1993-08-20","1993-07-01",101,-0.0188679245283019
"FEDp_134","FEDm_4","1993-07-07","1993-08-20","1993-07-01",51,0.0384615384615385
"FEDp_136","FEDm_4","1993-07-07","1993-08-20","1993-07-01",100,-0.0686274509803922
"FEDp_137","FEDm_5","1993-08-17","1993-09-24","1993-07-01",32,0.0294117647058824
"FEDp_138","FEDm_5","1993-08-17","1993-09-24","1993-07-01",47,0
"FEDp_139","FEDm_5","1993-08-17","1993-09-24","1993-07-01",44,-0.0576923076923077
"FEDp_140","FEDm_5","1993-08-17","1993-09-24","1993-07-01",52,0.0535714285714286
"FEDp_141","FEDm_5","1993-08-17","1993-09-24","1993-07-01",57,0.05
"FEDp_142","FEDm_5","1993-08-17","1993-09-24","1993-07-01",70,0.0144927536231884
