"unique_id","date"
"nyt_ec_news67272","1993-03-18"
"nyt_ec_news67273","1993-03-18"
"nyt_ec_news67274","1993-03-18"
"nyt_ec_news67275","1993-03-18"
"nyt_ec_news67276","1993-03-18"
"nyt_ec_news67277","1993-03-18"
"nyt_ec_news67278","1993-03-18"
"nyt_ec_news67279","1993-03-18"
"nyt_ec_news67280","1993-03-18"
"nyt_ec_news67256","1993-03-19"
"nyt_ec_news67257","1993-03-19"
"nyt_ec_news67258","1993-03-19"
"nyt_ec_news67259","1993-03-19"
"nyt_ec_news67260","1993-03-19"
"nyt_ec_news67261","1993-03-19"
"nyt_ec_news67262","1993-03-19"
"nyt_ec_news67263","1993-03-19"
"nyt_ec_news67264","1993-03-19"
"nyt_ec_news67265","1993-03-19"
"nyt_ec_news67266","1993-03-19"
"nyt_ec_news67267","1993-03-19"
"nyt_ec_news67268","1993-03-19"
"nyt_ec_news67269","1993-03-19"
"nyt_ec_news67270","1993-03-19"
"nyt_ec_news67248","1993-03-20"
"nyt_ec_news67249","1993-03-20"
"nyt_ec_news67250","1993-03-20"
"nyt_ec_news67251","1993-03-20"
"nyt_ec_news67252","1993-03-20"
"nyt_ec_news67253","1993-03-20"
"nyt_ec_news67254","1993-03-20"
"nyt_ec_news67255","1993-03-20"
"nyt_ec_news67233","1993-03-21"
"nyt_ec_news67234","1993-03-21"
"nyt_ec_news67235","1993-03-21"
"nyt_ec_news67236","1993-03-21"
"nyt_ec_news67237","1993-03-21"
"nyt_ec_news67238","1993-03-21"
"nyt_ec_news67239","1993-03-21"
"nyt_ec_news67240","1993-03-21"
"nyt_ec_news67241","1993-03-21"
"nyt_ec_news67242","1993-03-21"
"nyt_ec_news67243","1993-03-21"
"nyt_ec_news67244","1993-03-21"
"nyt_ec_news67245","1993-03-21"
"nyt_ec_news67246","1993-03-21"
"nyt_ec_news67247","1993-03-21"
"nyt_ec_news67226","1993-03-22"
"nyt_ec_news67227","1993-03-22"
"nyt_ec_news67228","1993-03-22"
"nyt_ec_news67229","1993-03-22"
"nyt_ec_news67230","1993-03-22"
"nyt_ec_news67231","1993-03-22"
"nyt_ec_news67232","1993-03-22"
"nyt_ec_news67217","1993-03-23"
"nyt_ec_news67218","1993-03-23"
"nyt_ec_news67219","1993-03-23"
"nyt_ec_news67220","1993-03-23"
"nyt_ec_news67221","1993-03-23"
"nyt_ec_news67222","1993-03-23"
"nyt_ec_news67223","1993-03-23"
"nyt_ec_news67224","1993-03-23"
"nyt_ec_news67225","1993-03-23"
"nyt_ec_news67208","1993-03-24"
"nyt_ec_news67209","1993-03-24"
"nyt_ec_news67210","1993-03-24"
"nyt_ec_news67211","1993-03-24"
"nyt_ec_news67212","1993-03-24"
"nyt_ec_news67213","1993-03-24"
"nyt_ec_news67214","1993-03-24"
"nyt_ec_news67215","1993-03-24"
"nyt_ec_news67216","1993-03-24"
"nyt_ec_news67462","1993-03-25"
"nyt_ec_news67463","1993-03-25"
"nyt_ec_news67464","1993-03-25"
"nyt_ec_news67465","1993-03-25"
"nyt_ec_news67466","1993-03-25"
"nyt_ec_news67467","1993-03-25"
"nyt_ec_news67468","1993-03-25"
"nyt_ec_news67469","1993-03-25"
"nyt_ec_news67470","1993-03-25"
"nyt_ec_news67471","1993-03-25"
"nyt_ec_news67472","1993-03-25"
"nyt_ec_news67473","1993-03-25"
"nyt_ec_news67448","1993-03-26"
"nyt_ec_news67449","1993-03-26"
"nyt_ec_news67450","1993-03-26"
"nyt_ec_news67451","1993-03-26"
"nyt_ec_news67452","1993-03-26"
"nyt_ec_news67453","1993-03-26"
"nyt_ec_news67454","1993-03-26"
"nyt_ec_news67455","1993-03-26"
"nyt_ec_news67456","1993-03-26"
"nyt_ec_news67457","1993-03-26"
"nyt_ec_news67458","1993-03-26"
"nyt_ec_news67459","1993-03-26"
"nyt_ec_news67460","1993-03-26"
"nyt_ec_news67461","1993-03-26"
"nyt_ec_news67432","1993-03-27"
"nyt_ec_news67433","1993-03-27"
"nyt_ec_news67434","1993-03-27"
"nyt_ec_news67435","1993-03-27"
"nyt_ec_news67436","1993-03-27"
"nyt_ec_news67437","1993-03-27"
"nyt_ec_news67438","1993-03-27"
"nyt_ec_news67439","1993-03-27"
"nyt_ec_news67440","1993-03-27"
"nyt_ec_news67441","1993-03-27"
"nyt_ec_news67442","1993-03-27"
"nyt_ec_news67443","1993-03-27"
"nyt_ec_news67444","1993-03-27"
"nyt_ec_news67445","1993-03-27"
"nyt_ec_news67446","1993-03-27"
"nyt_ec_news67447","1993-03-27"
"nyt_ec_news67413","1993-03-28"
"nyt_ec_news67414","1993-03-28"
"nyt_ec_news67415","1993-03-28"
"nyt_ec_news67416","1993-03-28"
"nyt_ec_news67417","1993-03-28"
"nyt_ec_news67418","1993-03-28"
"nyt_ec_news67419","1993-03-28"
"nyt_ec_news67420","1993-03-28"
"nyt_ec_news67421","1993-03-28"
