"topic","meeting_id","meet_date","pub_date","meeting_value","premeetarticle_value","postmeetarticle_value","prepubarticle_value","postpubarticle_value","period","meeting_value_mean","premeetarticle_value_mean","postmeetarticle_value_mean","prepubarticle_value_mean","postpubarticle_value_mean","meeting_value_sd","premeetarticle_value_sd","postmeetarticle_value_sd","prepubarticle_value_sd","postpubarticle_value_sd","meeting_value_std","premeetarticle_value_std","postmeetarticle_value_std","prepubarticle_value_std","postpubarticle_value_std"
"T1","FEDm_1",1993-02-03,1993-03-26,0.0325901238153334,0.0498461871176397,0.0388077372326823,0.0245463555493988,0.0260474286606164,"1",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,-0.166172020442757,1.42556184389283,-0.449632732319116,-0.990617408460999,-1.02567268342442
"T1","FEDm_2",1993-03-23,1993-05-21,0.0350633898629924,0.025546354884927,0.0299818241054057,0.0344671456542346,0.0371661730658715,"2",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.415890642539795,-0.762405128404335,-1.10343323900152,-0.293617731127809,0.16788084924754
"T1","FEDm_3",1993-05-18,1993-07-09,0.0357417326344639,0.0338074458694778,0.0346302798582387,0.0334523140411591,0.0287122842198385,"3",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.575532990903971,-0.0185730699670657,-0.759087823103375,-0.364916216368048,-0.739610907845989
"T1","FEDm_4",1993-07-07,1993-08-20,0.0382476236856517,0.0335470092243451,0.0252767227457177,0.0380354267865284,0.0421761386461397,"4",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,1.16527367803267,-0.0420228935077861,-1.45197481295482,-0.0429229002160475,0.705680972979843
"T1","FEDm_5",1993-08-17,1993-09-24,0.0351873935519946,0.0302719828702678,0.0379142662745347,0.0328372254768866,0.0340326580207688,"5",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.445073882858239,-0.336907624706771,-0.515818718598267,-0.408130166698506,-0.16848968104322
"T1","FEDm_6",1993-09-21,1993-11-19,0.0296234820637118,0.0396421949417154,0.0321511950987583,0.0331214483612572,0.0343937048613741,"6",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,-0.864346565675572,0.506790156389342,-0.94273192298101,-0.388161670580393,-0.129732721052231
"T1","FEDm_7",1993-11-16,1993-12-23,0.0345756689084214,0.023514160696147,0.0325501624086149,0.0395464331028516,0.0204324448413749,"7",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.301109558685637,-0.94538473599023,-0.913177470589244,0.0632350674252922,-1.62841913833745
"T1","FEDm_8",1993-12-21,1994-02-04,0.0443711783221679,0.0384522047754306,0.0217757033871521,0.0437563137000637,0.0570552737167657,"8",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,2.60640150252347,0.399642948282922,-1.7113211488553,0.359006410923206,2.30289767114006
"T1","FEDm_9",1994-02-04,1994-03-25,0.034845067949256,0.0436173630856199,0.0556504953297839,0.0836715197548735,0.0406053096775829,"9",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.364510389850386,0.86471594471977,0.798034632973895,3.16330782713089,0.537058654100178
"T1","FEDm_10",1994-03-22,1994-05-20,0.0347949964017576,0.0493467087260617,0.0684876193977565,0.0855509925532262,0.0482516988305833,"10",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.352726466198435,1.38058860236248,1.7489751304559,3.29535294855421,1.35786849135435
"T1","FEDm_11",1994-05-17,1994-07-08,0.0337205125853181,0.0444179713072235,0.0709917605443398,0.0528375148882591,0.0551602961878425,"11",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.0998556065833119,0.936803041035607,1.93447534180294,0.997019535995237,2.09947927770067
"T1","FEDm_12",1994-07-06,1994-08-19,0.0374199703347563,0.0383807150290603,0.0574286698696529,0.0747671119881214,0.0480905189253752,"12",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.970492322462541,0.393205981870226,0.929757141270873,2.53771558350061,1.34056646171457
"T1","FEDm_13",1994-08-16,1994-09-30,0.0362402299219575,0.0628880580775404,0.0610090378424766,0.0606052397737368,0.038034426587983,"13",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,0.692850195384557,2.5998573140817,1.19498141449731,1.54275245460138,0.261084453971222
"T1","FEDm_14",1994-09-27,1994-11-18,0.0397427855258405,0.0498399554046984,0.0546443069110828,0.0603049423710901,0.0484297631225183,"14",0.0332962120810298,0.0340137206853048,0.0448775083540991,0.0386463726701241,0.0356022513797266,0.00424914052206291,0.0111061238768153,0.013499397808763,0.0142335648458175,0.00931566461067229,1.51714762346362,1.42500073787506,0.723498832714128,1.52165461959661,1.3769829935801
