"variable","quarter","dispersion","f1_dispersion","variable_act","GB_nowcast","SPF_nowcast","GB_forecast1","SPF_forecast1","GB_now_error_abs","SPF_now_error_abs","GB_now_error_abs_std","SPF_now_error_abs_std","GB_SPF_now_gap_abs","GB_SPF_f1_gap_abs","GB_SPF_now_gap_abs_std","GB_SPF_f1_gap_abs_std","SPF_update_abs","GB_update_abs","SPF_update_abs_std","GB_update_abs_std","period"
"CPI",1998-10-01,0.6,0.54,1.7,2,1.9281,2.3,2.1466,0.3,0.2281,0.281169939067075,-0.720400102222306,0.0719000000000001,0.1534,-0.922625093213647,-0.758245722708313,0.3759,0.1,-0.282628002153249,-0.866361699554447,"24"
"CPI",1999-01-01,0.25,0.365,1.5,1.6,1.9319,2.8,2.0647,0.1,0.4319,-0.621981986421105,-0.481942345728077,0.3319,0.7353,-0.606716929262871,-0.0836794419914437,0.2147,0.7,-0.492432043931746,-0.302260065564635,"25"
"CPI",1999-04-01,1.2,0.7,3.4,3.6,2.722,1.8,2.1746,0.2,0.678,-0.170406023677014,-0.193991149097903,0.878,0.3746,0.0568117181737405,-0.501820114709393,0.6573,0.8,0.083618011224351,-0.208243126566332,"26"
"CPI",1999-07-01,0.55,0.45,2.4,2.5,2.3203,3.3,2.415,0.1,0.0796999999999999,-0.621981986421105,-0.894036662888368,0.1797,0.885,-0.791644708314056,0.0898599500403755,0.1457,0.7,-0.582236503501946,-0.302260065564635,"27"
"CPI",1999-10-01,0.4,0.6,2.9,2.9,2.615,2.6,2.4475,0,0.285,-1.0735579491652,-0.653823819864497,0.285,0.1525,-0.663701901913992,-0.7592890457065,0.2,0.4,-0.511564298361919,-0.584310882559541,"28"
"CPI",2000-01-01,0.7,0.6,4.1,3.9,2.5574,4.4,2.5044,0.2,1.5426,-0.170406023677016,0.817640726588603,1.3426,1.8956,0.621315306525781,1.26139575222712,0.1099,1.3,-0.628830701365905,0.261841568425177,"29"
"CPI",2000-04-01,1.075,0.85,3.6,3.6,3.3759,3.7,2.5784,0,0.2241,-1.0735579491652,-0.725080332968022,0.2241,1.1216,-0.737697314162462,0.364137973786057,0.8715,0.8,0.362402290064017,-0.208243126566332,"30"
"CPI",2000-07-01,0.6,0.5,3.5,3,2.825,2.7,2.6964,0.5,0.675,1.18432186455526,-0.19750132215719,0.175,0.00360000000000005,-0.797355355893167,-0.931901039517709,0.2466,0.7,-0.450913750304363,-0.302260065564635,"31"
"CPI",2000-10-01,0.6,0.8,3,2.8,3.0576,2.5,2.7939,0.2,0.0575999999999999,-0.170406023677014,-0.919894937758449,0.2576,0.2939,-0.696993762268804,-0.59537141021352,0.3612,0.0999999999999996,-0.301760256583422,-0.866361699554447,"32"
"CPI",2001-01-01,0.4,0.3,4.2,3.6,2.6061,1.3,2.4667,0.6,1.5939,1.63589782729935,0.877664685902411,0.9939,1.1667,0.197633857411798,0.416420048472997,0.1878,1.1,-0.527442768025056,0.0738076904285736,"33"
"CPI",2001-04-01,1.1,0.8,3,2.9,2.9067,1.5,2.4933,0.1,0.0933000000000002,-0.621981986421105,-0.878123878352934,0.00669999999999993,0.9933,-1.0018451404813,0.21540648415558,0.44,1.6,-0.199200960726439,0.543892385420084,"34"
"CPI",2001-07-01,1,0.7,0.7,0.6,2.2939,1.6,2.4242,0.1,1.5939,-0.621981986421106,0.877664685902411,1.6939,0.8242,1.04815583727927,0.0193776852739454,0.1994,0.9,-0.512345206706007,-0.114226187568031,"35"
"CPI",2001-10-01,0.9,0.7,-0.2,-0.6,1.5621,1.3,2.0172,0.4,1.7621,0.732745901811165,1.07446838875977,2.1621,0.7172,1.61703353867063,-0.104661826732766,0.8621,2.2,0.35016805933996,1.1079940194099,"36"
"CPI",2002-01-01,0.7,0.55,1.4,1.2,1.4026,3.4,1.9949,0.2,0.00260000000000016,-0.170406023677015,-0.984248110512043,0.2026,1.4051,-0.763820489258391,0.692784718215052,0.6146,0.1,0.028043367403372,-0.866361699554447,"37"
"CPI",2002-04-01,1.5,0.5,3.4,3.4,2.9612,1.7,2.1664,0,0.4388,-1.0735579491652,-0.473868947691717,0.4388,0.4664,-0.476830072623109,-0.39540116889429,0.9663,0,0.485785808430031,-0.960378638552749,"38"
"CPI",2002-07-01,0.8,0.5,2.2,1.8,2.1529,2.2,2.1588,0.4,0.0471000000000004,0.732745901811166,-0.932180543465953,0.3529,0.0412000000000003,-0.581201269866847,-0.888313323148995,0.0135000000000001,0.1,-0.754296641982823,-0.866361699554447,"39"
"CPI",2002-10-01,0.5,0.45,2,2.3,2.1844,1.7,2.2422,0.3,0.1844,0.281169939067074,-0.771531623119253,0.1156,0.5422,-0.869528221041921,-0.307530187491405,0.0256000000000003,0.0999999999999996,-0.738548323710367,-0.866361699554447,"40"
"CPI",2003-01-01,0.6,0.3,3.8,3.8,2.5076,2.8,1.9832,0,1.2924,-1.0735579491652,0.52489229344407,1.2924,0.8168,0.560320730255285,0.0107992517332943,0.2654,2.1,-0.426445288856251,1.01397708041159,"41"
"CPI",2003-04-01,1.2,0.85,0.7,0.6,1.8187,1.4,1.6416,0.1,1.1187,-0.621981986421106,0.321653273311354,1.2187,0.2416,0.470772916089239,-0.656000068885959,0.1645,2.2,-0.557768042053834,1.1079940194099,"42"
"CPI",2003-07-01,0.8,1.3,2.4,2.2,1.65,1.3,1.5536,0.2,0.75,-0.170406023677016,-0.109746995675015,0.55,0.2536,-0.341718580964162,-0.642089095576795,0.00839999999999996,0.8,-0.760934362907577,-0.208243126566332,"43"
"CPI",2003-10-01,0.6,1,0.7,1.3,2.1727,1,1.8344,0.6,1.4727,1.63589782729935,0.735853694307217,0.8727,0.8344,0.0503720517547436,0.0312020125867349,0.6191,0,0.0339001799840371,-0.960378638552749,"44"
"CPI",2004-01-01,0.7,0.8,3.5,3.3,1.6874,1.4,1.5323,0.2,1.8126,-0.170406023677014,1.13355630192443,1.6126,0.1323,0.949373784474664,-0.782705850776926,0.147,2.3,-0.580544535423087,1.2020109584082,"45"
"CPI",2004-04-01,1.3,0.89,4.8,4.5,2.7976,2,2.0719,0.3,2.0024,0.281169939067074,1.35563325080865,1.7024,0.0718999999999999,1.05848360417766,-0.852724416433051,1.2653,3.1,0.874938466567567,1.95414647039461,"46"
"CPI",2004-07-01,0.77,1.3,1.7,1.8,3.1543,1.1,2.4694,0.1,1.4543,-0.621981986421105,0.714324632876924,1.3543,1.3694,0.635531173903566,0.651399572620289,1.0824,0.2,0.636891573011195,-0.772344760556145,"47"
"CPI",2004-10-01,0.8705,0.679,3.4,3.6,2.5473,0.6,2.3501,0.2,0.8527,-0.170406023677014,0.0104179287212423,1.0527,1.7501,0.269077703720666,1.09272520085351,0.0779000000000001,2.5,-0.670479146383969,1.3900448364048,"48"
"CPI",2005-01-01,1.127,0.641,2.5,2.2,2.2637,3.4,2.2019,0.3,0.2363,0.281169939067074,-0.710805629193588,0.0636999999999999,1.1981,-0.932588350692095,0.452820428631975,0.0863999999999998,1.6,-0.659416278176046,0.543892385420084,"49"
"CPI",2005-04-01,1.4,0.65,4,4.2,3.3334,2.8,2.1718,0.2,0.6666,-0.170406023677014,-0.207329806723193,0.8666,0.6282,0.0429603602158987,-0.207834878775731,1.1315,0.8,0.700795905835786,-0.208243126566332,"50"
"CPI",2005-07-01,0.848,0.754,5.5,5.3,2.7713,4.9,2.4899,0.2,2.7287,-0.170406023677014,2.20544614846203,2.5287,2.4101,2.06246404984123,1.85782873285752,0.5995,2.5,0.00839050741047316,1.3900448364048,"51"
"CPI",2005-10-01,1.387,1.2,3.3,2.5,3.7377,2,2.5413,0.8,0.4377,2.53904975278753,-0.475156011146789,1.2377,0.5413,0.493858512685641,-0.308573510489592,1.2478,2.4,0.852161973198312,1.2960278974065,"52"
"CPI",2006-01-01,1.7,0.988,2.2,2.1,2.2295,2,2.4103,0.1,0.0294999999999996,-0.621981986421105,-0.952773558747104,0.1295,0.4103,-0.852639284584553,-0.460434969114631,0.3118,0.1,-0.366055043580058,-0.866361699554447,"53"
"CPI",2006-04-01,1.33,0.7,4.9,4.8,3.2838,1.7,2.6099,0.100000000000001,1.6162,-0.621981986421103,0.903756972309778,1.5162,0.9099,0.832244757532915,0.118725219656891,0.8735,2.8,0.365005317877646,1.67209565339971,"54"
"CPI",2006-07-01,0.97,1.17,3,3.1,3.3662,-0.2,2.8193,0.1,0.3662,-0.621981986421105,-0.558815135726462,0.2662,3.0193,-0.686544492230432,2.56404247785274,0.7563,1.4,0.212467887998987,0.35585850742348,"55"
"CPI",2006-10-01,3.4,0.7335,-2,-1.9,0.5234,4.3,2.8029,0.1,2.5234,-0.621981986421105,1.96523330543816,2.4234,1.4971,1.93452124344116,0.799435513585308,2.2959,1.7,2.21627869893059,0.637909324418386,"56"
"CPI",2007-01-01,1,0.5096,3.8,3.3,2.3337,3.2,2.6458,0.5,1.4663,1.18432186455526,0.728365325114071,0.9663,0.5542,0.164098990777023,-0.293619214182241,0.4692,1,-0.161196754647456,-0.0202092485697285,"57"
"CPI",2007-04-01,1.8267,0.7392,6,6,4.0663,1.9,2.481,0,1.9337,-1.0735579491652,1.27525028775098,1.9337,0.581,1.33952036695387,-0.262551373791775,1.4205,2.8,1.07693342490518,1.67209565339971,"58"
"CPI",2007-07-01,0.8646,1.1,2.8,1.9,2.3268,2.6,1.7592,0.9,0.4732,2.99062571553162,-0.43361896327856,0.4268,0.8408,-0.491410449420838,0.0386211983516222,0.1542,0,-0.571173635294023,-0.960378638552749,"59"
"CPI",2007-10-01,1.3005,1.1,5,4,2.8937,2.9,2.833,1,2.1063,3.44220167827571,1.47720224442863,1.1063,0.0669999999999997,0.334203386750518,-0.858404730534293,1.1345,1.4,0.70470044755623,0.35585850742348,"60"
"CPI",2008-01-01,1.15,1.3582,4.3,5,3.2045,4.8,2.2647,0.7,1.0955,2.08747379004344,0.294507934986201,1.7955,2.5353,1.17160302750004,2.00296655438313,0.3715,2.1,-0.288354663343233,1.01397708041159,"61"
"CPI",2008-04-01,1.2,1.2,5,4.7,3.5086,7.6,3.0538,0.3,1.4914,0.281169939067074,0.757733773043439,1.1914,4.5462,0.437602558874407,4.33409790666626,1.2439,0.0999999999999996,0.847086068961736,-0.866361699554447,"62"
"CPI",2008-07-01,1.834,1.3,6.2,7.2,5.1185,-0.4,2.6894,1,1.0815,3.44220167827571,0.278127127376196,2.0815,3.0894,1.51910200784589,2.64530574693377,2.0647,0.399999999999999,1.91536868367508,-0.584310882559541,"63"
"CPI",2008-10-01,3.7443,1.8999,-8.3,-8.5,-2.3165,-3.2,0.6043,0.199999999999999,5.9835,-0.170406023677018,6.01374990625111,6.1835,3.8043,6.50316080986929,3.47405198182721,5.0059,8.1,5.74338138639788,6.65499342030972,"64"
"CPI",2009-01-01,1.8726,1.31,-2.4,-2.4,-2.4538,0.9,0.9504,0,0.0538000000000003,-1.0735579491652,-0.924341156966879,0.0538000000000003,0.0504,-0.94461716155022,-0.87764824361197,3.0581,0.8,3.2082925987046,-0.208243126566332,"65"
