"meeting_id","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30"
"FEDm_1",0.017257939207369,0.145017108284259,0.0310478806090649,0.0197426837863522,0.01870328221264,0.0381583089041598,0.0219809895889016,0.0315737994848457,0.0385682131822403,0.0252005615423599,0.0204031278552649,0.0191297240256307,0.0202042968279415,0.0198634788437682,0.028100164112512,0.0285179872516664,0.0166751706860586,0.0269606907711899,0.0283841333919738,0.0281150129720448,0.0193890659860346,0.0256058350583324,0.0208177826582062,0.032938775795073,0.0200943609783113,0.0274710440079068,0.0199277719346649,0.0163312206887342,0.0221460268339322,0.171673562518561
"FEDm_10",0.0198343576611949,0.126549739728176,0.019160820668739,0.0260568674652791,0.0207670821817302,0.0356455046875524,0.026087757244678,0.0299781849201555,0.0481320113960714,0.0231733035783627,0.0231085989979349,0.0208971621264956,0.0203364859706526,0.0176712308572942,0.027693061574323,0.0232306821252984,0.0197778626803005,0.0242107037235393,0.0253474514784009,0.0335506994411928,0.0210235733796967,0.0237145645032119,0.0189916224102443,0.0359978629482794,0.0234229424096933,0.0244981986424203,0.0202625789239989,0.0167051861942934,0.0289880746933494,0.175185827387441
"FEDm_100",0.0194534649576158,0.123697950140895,0.0227610663736592,0.0250075197404507,0.0202133787856949,0.0298254824631181,0.0360348302787956,0.0271971428698164,0.0639829556310104,0.0228185048288803,0.0255651813603275,0.0212058424980646,0.0205845615536088,0.0211718965144788,0.0304281001764794,0.031160541489467,0.018827903689871,0.0222771185321534,0.0284586584077007,0.030113195937147,0.0228300530069206,0.0289915604813778,0.0210439513530366,0.0399356776722001,0.020423736455867,0.0231321141545921,0.0223906865561983,0.0200548702097606,0.0237690299156843,0.136643023965128
"FEDm_101",0.0213311755230651,0.121938703591532,0.0237575845457711,0.020236331626297,0.0243005985760779,0.0285877553650219,0.0286521528087454,0.0348167011037926,0.05930048902737,0.0236680648060644,0.0245675074749236,0.0207177370094082,0.0217935836012212,0.0234044836655601,0.0300728135368174,0.0307881893710231,0.0187938842921681,0.0255119282571721,0.0253277612205923,0.032611259186494,0.0219590286845133,0.027118135103617,0.0201493602871471,0.0372562098826503,0.0205016755502232,0.0258919785521976,0.0261592080333486,0.020816446620506,0.0268382374289948,0.133131015267684
"FEDm_102",0.0223843826444641,0.122279111952466,0.0229147640049517,0.0239062918358051,0.0229678360491039,0.0275047740685739,0.0254862378394146,0.0345544860195185,0.0801494828881191,0.0222685513215668,0.0242310568330259,0.0226956070815689,0.0205810001410369,0.0212652023491188,0.0240807060054898,0.0290677287446819,0.021372123379828,0.0265540384292545,0.0212784141900537,0.0323824578737552,0.021341595909597,0.0294821936257097,0.0200790026644363,0.0401179378471638,0.02310701178293,0.0221249965288368,0.0267531345825593,0.0205812634831598,0.0238575047827976,0.124631105141012
"FEDm_103",0.020203032777026,0.127188576400213,0.0208359633270554,0.0257460192165221,0.0179313657227659,0.0307341099414874,0.0298831217684248,0.0322402954629576,0.0968962539712172,0.0230449463286476,0.0229107925666502,0.019537199622732,0.0205013965025783,0.0206955233508257,0.0235594291687757,0.0271171078460171,0.0194243677708277,0.0253029765789573,0.0216015381596977,0.0301626604233536,0.0181752084817152,0.032118326826274,0.0199435883798118,0.0291693404811297,0.0243113707789539,0.0246722815079027,0.0226139485700427,0.0205380327834455,0.0266652639621662,0.126275961321826
"FEDm_104",0.0208250680676197,0.136388649955942,0.0192316271560308,0.0235655584073661,0.0191900825408936,0.0329752293455333,0.0257495427114808,0.0268474479245309,0.0753061944485166,0.0253122308692229,0.0202365314690325,0.0209739413760745,0.0177292537735553,0.0184904327595796,0.0207517719739056,0.028677509659604,0.0176920576506388,0.0205656960697536,0.0229396403945171,0.0372052560220481,0.0224992912214503,0.0343214244464946,0.0228712693406764,0.0285047222686415,0.0215675294134097,0.0229778288973018,0.025002948386689,0.0191289879145263,0.0343053288901225,0.138166946644842
"FEDm_105",0.0201227218860445,0.145500449305788,0.025378126364215,0.023317036291752,0.0206868435207117,0.0279681321970459,0.0270068065590709,0.0303045270472022,0.0751506732613474,0.0212227366416562,0.0271785571130806,0.0215819533293633,0.0218293907737856,0.0240617019246416,0.0274575839761476,0.0252557858299451,0.018962748777213,0.0224725082190921,0.0231943185963266,0.0289541874900648,0.0203922989176847,0.0325687990085523,0.0211982547028561,0.0412317608962578,0.0203540407432708,0.0262168383483053,0.0230492991031075,0.0192071236135913,0.0282044152616329,0.109970380300248
"FEDm_106",0.0187257362681239,0.153367146202617,0.0221515261139784,0.0235869538686983,0.0239318743766123,0.0292934514451732,0.0308755850558671,0.0294774665178738,0.0653507046794508,0.0228888409035771,0.0275116699209551,0.0206424463132974,0.0202081316983785,0.0201789269498646,0.0240877277614688,0.0225816548397665,0.0211845171237163,0.0245826299884279,0.0209896005009055,0.0270865075227361,0.0184334747577024,0.0302793302514977,0.0241334210345933,0.0368700114183504,0.0219468262470086,0.0297836250580263,0.031433457857125,0.0202859307945521,0.0248334425815388,0.113297381948117
"FEDm_107",0.0183522383542759,0.170699272648894,0.0227097510766755,0.0277677338974739,0.0236736580209961,0.03436616848463,0.0257450989833656,0.0290470961828506,0.0659046236078746,0.0189996491870771,0.0256386785526961,0.0197056061182343,0.0205734146744908,0.0190406919098969,0.0234237493388588,0.0267973439539417,0.0191806917955413,0.028603713955308,0.0218654032266525,0.0258910998057631,0.0196057334865163,0.0341021964613741,0.0201641275547465,0.037871724862904,0.0209059261490759,0.0207427241937043,0.0259862154520279,0.0197512402906453,0.024575342580646,0.108309085192863
