"topic","term","beta"
11,"addit",4.67918129300752e-07
12,"addit",0.000264096758828223
13,"addit",5.54487858379365e-07
14,"addit",4.04544490994031e-07
15,"addit",0.000730520805559032
16,"addit",0.00085874361338345
17,"addit",0.00228943472243217
18,"addit",9.46157244548853e-05
19,"addit",0.000375361866833005
20,"addit",4.9040019330684e-06
21,"addit",4.59508987076769e-07
22,"addit",0.000675028511004365
23,"addit",0.000144327872293958
24,"addit",0.000884706354092488
25,"addit",0.00136754030531388
26,"addit",0.00160322886189051
27,"addit",0.00201454199403157
28,"addit",3.20886571089532e-07
29,"addit",0.00329987539724921
30,"addit",0.00468742616375565
1,"administr",0.00312580733493115
2,"administr",4.98073451888097e-07
3,"administr",0.00291986423578025
4,"administr",7.26561640451631e-06
5,"administr",0.0364995271757264
6,"administr",0.00052074639106421
7,"administr",2.74688874454258e-05
8,"administr",4.19226393152188e-07
9,"administr",5.76307093302966e-07
10,"administr",4.66590705699779e-07
11,"administr",4.67918129300752e-07
12,"administr",2.20440829791152e-05
13,"administr",5.54487858379365e-07
14,"administr",4.04544490994031e-07
15,"administr",4.53457979862838e-07
16,"administr",5.13910002024806e-07
17,"administr",5.89646030127695e-06
18,"administr",3.76955077509503e-07
19,"administr",4.99816067687091e-07
20,"administr",9.36218550858512e-06
21,"administr",0.000271569811362371
22,"administr",5.18853582632103e-07
23,"administr",4.23248892357649e-07
24,"administr",4.72852140081501e-07
25,"administr",3.92858461739121e-07
26,"administr",5.54558582459534e-07
27,"administr",4.83736344342879e-06
28,"administr",3.20886571089532e-07
29,"administr",5.66891495833914e-07
30,"administr",4.82195881468537e-07
1,"advis",0.00058103925232198
2,"advis",1.045954248965e-05
3,"advis",9.24704402825896e-06
4,"advis",3.45981733548396e-07
5,"advis",0.01041639654311
6,"advis",6.65297363728955e-06
7,"advis",5.92466199803301e-06
8,"advis",4.19226393152188e-07
9,"advis",5.76307093302966e-07
10,"advis",4.66590705699779e-07
11,"advis",0.00136210967439449
12,"advis",3.06888214022976e-05
13,"advis",5.54487858379365e-07
14,"advis",0.000368540031295562
15,"advis",0.00388658834540439
16,"advis",5.13910002024806e-07
17,"advis",5.36041845570632e-07
18,"advis",3.76955077509503e-07
19,"advis",4.99816067687091e-07
20,"advis",4.45818357551673e-07
21,"advis",4.59508987076769e-07
22,"advis",5.18853582632103e-07
23,"advis",4.23248892357649e-07
24,"advis",4.72852140081501e-07
25,"advis",3.92858461739121e-07
26,"advis",5.54558582459534e-07
27,"advis",4.39760313038981e-07
28,"advis",6.73861799288017e-06
29,"advis",5.66891495833914e-07
30,"advis",4.82195881468537e-07
1,"agre",0.00147122428502177
2,"agre",4.98073451888097e-07
3,"agre",0.0023518315311872
4,"agre",3.45981733548396e-07
5,"agre",4.32197690681299e-07
6,"agre",6.04815785208141e-07
7,"agre",5.38605636184819e-07
8,"agre",4.19226393152188e-07
9,"agre",5.76307093302966e-07
10,"agre",4.66590705699779e-07
11,"agre",0.00442697342131442
12,"agre",4.32236921159121e-07
13,"agre",0.00188581320634822
