"topic","term","beta"
1,"accept",2.65366230608031e-07
2,"accept",0.000649231191519308
3,"accept",0.00519283043909352
4,"accept",3.38704394723392e-07
5,"accept",2.46754134427211e-07
6,"accept",2.34963675790541e-07
7,"accept",0.00126564080003944
8,"accept",0.000710910562795517
9,"accept",1.02372161112647e-05
10,"accept",0.000788482214672815
11,"accept",2.93350777926261e-06
12,"accept",0.0012822164673838
13,"accept",0.00207499069985768
14,"accept",3.37870140962802e-07
15,"accept",2.87605331857726e-07
16,"accept",3.67583947903062e-07
17,"accept",1.12799217118409e-05
18,"accept",3.16036947247429e-07
19,"accept",0.000814874570336872
20,"accept",2.80561021040113e-07
21,"accept",0.000885467754105526
22,"accept",2.76099171509216e-07
23,"accept",3.50334236378217e-07
24,"accept",0.000549717988976831
25,"accept",3.14192022224687e-07
26,"accept",0.00145792232413256
27,"accept",2.69040898790311e-07
28,"accept",3.15573189785401e-07
29,"accept",0.000830184277270757
30,"accept",6.19217503686556e-06
1,"accord",5.57269084276865e-06
2,"accord",0.00731674792601295
3,"accord",3.38052889726809e-07
4,"accord",0.00187676105116232
5,"accord",2.46754134427211e-07
6,"accord",0.00173661652776789
7,"accord",0.00162419880386429
8,"accord",0.00112134578646893
9,"accord",0.00345786741616298
10,"accord",2.201849245107e-07
11,"accord",0.000962990599174298
12,"accord",3.27848751568346e-07
13,"accord",0.00342354735522971
14,"accord",0.00150385999742543
15,"accord",2.87605331857726e-07
16,"accord",0.0020404584948099
17,"accord",0.00431415737471652
18,"accord",0.00233898944657822
19,"accord",0.00313015774581928
20,"accord",6.20039856498648e-05
21,"accord",1.35165685301951e-05
22,"accord",0.00250173459304501
23,"accord",0.000217557560790873
24,"accord",0.00396661225318383
25,"accord",3.14192022224687e-07
26,"accord",0.0022036077056611
27,"accord",0.00376684162396315
28,"accord",0.00478440513033646
29,"accord",2.56943447004258e-07
30,"accord",0.00118860274160024
1,"achiev",2.65366230608031e-07
2,"achiev",3.24453369075117e-07
3,"achiev",3.38052889726809e-07
4,"achiev",0.000494847120690876
5,"achiev",2.46754134427211e-07
6,"achiev",7.28387394950678e-06
7,"achiev",0.000717460774961067
8,"achiev",0.000756854804251497
9,"achiev",3.30232777782731e-07
10,"achiev",0.000874354335231988
11,"achiev",2.93350777926261e-06
12,"achiev",0.000233100462365094
13,"achiev",2.88153131489749e-07
14,"achiev",0.000223332163176412
15,"achiev",0.000860227547586459
16,"achiev",2.9774299780148e-05
17,"achiev",2.75120041752218e-07
18,"achiev",0.000910502445019842
19,"achiev",0.00128493836762901
20,"achiev",3.08617123144124e-06
21,"achiev",0.000482621005754613
22,"achiev",2.76099171509216e-07
23,"achiev",3.50334236378217e-07
24,"achiev",3.34989633745784e-07
25,"achiev",3.14192022224687e-07
26,"achiev",0.000196701370189217
27,"achiev",2.69040898790311e-07
28,"achiev",1.92499645769095e-05
29,"achiev",0.000968933738653056
30,"achiev",2.94865477945979e-07
1,"across",2.65366230608031e-07
