"quarter","NGDP_dispersion","NGDP_f1_dispersion","NGDP_f2_dispersion","NGDP_f3_dispersion","NGDP_f4_dispersion","RGDP_dispersion","RGDP_f1_dispersion","RGDP_f2_dispersion","RGDP_f3_dispersion","RGDP_f4_dispersion","CPI_dispersion","CPI_f1_dispersion","CPI_f2_dispersion","CPI_f3_dispersion","CPI_f4_dispersion","EMP_dispersion","EMP_f1_dispersion","EMP_f2_dispersion","EMP_f3_dispersion","EMP_f4_dispersion","UNEMP_dispersion","UNEMP_f1_dispersion","UNEMP_f2_dispersion","UNEMP_f3_dispersion","UNEMP_f4_dispersion","CPROF_dispersion","CPROF_f1_dispersion","CPROF_f2_dispersion","CPROF_f3_dispersion","CPROF_f4_dispersion","INDPROD_dispersion","INDPROD_f1_dispersion","INDPROD_f2_dispersion","INDPROD_f3_dispersion","INDPROD_f4_dispersion","HOUSING_dispersion","HOUSING_f1_dispersion","HOUSING_f2_dispersion","HOUSING_f3_dispersion","HOUSING_f4_dispersion","RRESINV_dispersion","RRESINV_f1_dispersion","RRESINV_f2_dispersion","RRESINV_f3_dispersion","RRESINV_f4_dispersion","RNRESIN_dispersion","RNRESIN_f1_dispersion","RNRESIN_f2_dispersion","RNRESIN_f3_dispersion","RNRESIN_f4_dispersion","RCONSUM_dispersion","RCONSUM_f1_dispersion","RCONSUM_f2_dispersion","RCONSUM_f3_dispersion","RCONSUM_f4_dispersion","RFEDGOV_dispersion","RFEDGOV_f1_dispersion","RFEDGOV_f2_dispersion","RFEDGOV_f3_dispersion","RFEDGOV_f4_dispersion","RSLGOV_dispersion","RSLGOV_f1_dispersion","RSLGOV_f2_dispersion","RSLGOV_f3_dispersion","RSLGOV_f4_dispersion","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T1_speech","T2_speech","T3_speech","T4_speech","T5_speech","T6_speech","T7_speech","T8_speech","T9_speech","T10_speech","T11_speech","T12_speech","T13_speech","T14_speech","T15_speech","T16_speech","T17_speech","T18_speech","T19_speech","T20_speech","T21_speech","T22_speech","T23_speech","T24_speech","T25_speech","T26_speech","T27_speech","T28_speech","T29_speech","T1_news","T2_news","T3_news","T4_news","T5_news","T6_news","T7_news","T8_news","T9_news","T10_news","T11_news","T12_news","T13_news","T14_news","T15_news","T16_news","T17_news","T18_news","T19_news","T20_news","T21_news","T22_news","T23_news","T24_news","T25_news","T26_news","T27_news","T28_news","T29_news"
1993-01-01,1.1242,1.3352,1.3554,1.0159,0.9734,0.9211,0.8856,0.7174,0.5513,0.7587,0.4,0.5,0.6,0.75,0.7,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0.4,18.5955,11.2553,10.5876,7.2413,8.5003,1.4972,1.2004,1.6215,1.6009,1.258,16.7347,9.2369,7.7999,8.6892,7.3253,11.59,6.5515,5.0371,4.2664,3.6006,3.8456,4.2428,4.4997,4.7351,3.0841,0.5001,0.8069,1.1361,0.8125,0.6648,5.2464,5.9182,5.9987,5.8986,5.4435,0.7187,2.0329,2.0809,2.1764,1.1751,0.02064574214268,0.0340382310106933,0.0485545511153708,0.0196103200108483,0.0986075121736825,0.0187499525169199,0.101259719259512,0.0312321023509231,0.0557084556811888,0.0233074544680385,0.0252511654216224,0.0277630507284742,0.0271265540512336,0.0200477932446723,0.101420530672168,0.0223680044727032,0.0206531787608466,0.043780171709564,0.0174968141397889,0.0215670001638977,0.0200982696500859,0.0258341801568042,0.0370319896769906,0.0195143834265061,0.0208975995026064,0.0227874292719018,0.0212783764605188,0.0246377979723283,0.0287316697874297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0370708972255835,0.0331402750121238,0.0222166525985341,0.0226502378311339,0.0193566927737816,0.0280285786491642,0.019427389051271,0.0255542908171494,0.016921010562079,0.0435519587281349,0.0290963936953765,0.0320391466161573,0.0422825908816893,0.0467033651751323,0.01851155497429,0.039573114410817,0.0545532297915497,0.0267011976196411,0.0467522881079711,0.0329527647970923,0.0384866343742529,0.0263228766953557,0.0374918657921501,0.0663326004913152,0.0468049063167079,0.0321585571768646,0.0406354128871726,0.0451872397396844,0.0294962772078246
1993-04-01,1.421,1.5253,1.0619,1.1141,1.4852,0.7895,1.0587,0.4977,0.7,0.8168,0.5,0.6,0.6,0.9,0.75,NA,NA,NA,NA,NA,0.1,0.15,0.3,0.4,0.5,11.8628,11.4385,12.7988,11.8499,6.509,1.4621,1.6048,2.0046,1.5371,1.5534,37.6277,17.265,15.1114,12.2008,9.4055,10.3277,7.122,7.9515,4.2983,3.3995,3.8436,2.991,3.7343,3.989,4.0637,1.0459,1.0955,0.8089,0.8037,0.7677,5.8268,6.5271,7.506,4.5028,3.8553,2.3542,1.5166,1.9928,1.6002,2.1542,0.0191555465539308,0.0351683218902663,0.0491570563619465,0.0203692164074202,0.0942973230804431,0.022180207372783,0.09910769314973,0.0226670161094112,0.0514791128500695,0.0208450152053748,0.0262590012517171,0.029138432838751,0.0258821127998965,0.0221594876516744,0.11485027178171,0.0236806400090683,0.0211029914283498,0.0408897919171126,0.0200118353652652,0.0223157380229894,0.0179874588746985,0.0212727419144346,0.0352881408871085,0.0180346141250042,0.0239273917068965,0.0250238855565641,0.0256179163075502,0.0225516005176514,0.0295794380621827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038787214901483,0.0343800580720552,0.026179698380897,0.0236291696668589,0.0184998927440994,0.0328560077487943,0.0176892178654083,0.0263576958017145,0.0160624275410292,0.048301705489121,0.0327974191598515,0.0289410638765092,0.0441316565810808,0.0402402178256368,0.0191391945035616,0.0430192200514229,0.0546287404431248,0.026515536126285,0.0419760685853785,0.0317526876733706,0.0371095092761347,0.0257152831891651,0.0363517418083948,0.0497701103816551,0.0590023573852805,0.0270326244461081,0.0477949091606398,0.0425938150097629,0.0287447563051764
1993-07-01,0.9221,1.1348,0.8629,1.327,1.116,0.9823,1.1753,0.7745,0.6656,0.7631,1,0.6,0.5,0.55,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.3,11.238,12.0553,12.2316,7.6182,7.7501,1.4912,1.3756,1.5199,1.1546,1.3944,23.3009,9.2396,8.3121,6.502,6.1521,5.822,8.7492,6.1469,4.464,2.4348,4.0651,3.4735,3.7159,3.1992,4,0.557,0.8911,1.0424,0.5208,0.7774,5,5.511,3.4344,4.313,2.9654,1.4305,1.4268,1.7438,1.3458,1.7917,0.0214037880369626,0.0320545952745499,0.0481364922939608,0.0223410801321322,0.0935821107009733,0.0212119451453224,0.0999167446796607,0.026498969177992,0.0570701585322166,0.022502281424183,0.0288850190834222,0.0295865701561098,0.0266688321051021,0.0198869187915393,0.106918515775378,0.0221065723373716,0.0203310826550788,0.0400344940265227,0.0189523928303871,0.0201472099578474,0.0198338070414123,0.0232166596909032,0.0334756919355699,0.0195855111103141,0.025247052786305,0.0232330591232218,0.0205710407527275,0.0308258257457269,0.0257755786971073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0342592696364038,0.0338258186129414,0.023229922044599,0.0286565091199642,0.0181790099915172,0.0304900836741225,0.018769386263512,0.0273569676392049,0.0168086382680817,0.0404345381998492,0.0298309413350151,0.0324432718241462,0.0346793909127094,0.0427116825035095,0.0188288183966348,0.0492977557586205,0.0490240435106931,0.0250361277186013,0.0469947454375031,0.0313379336125134,0.0344999948665543,0.0228119642249298,0.0451420002096421,0.0669017394732975,0.0492877251241362,0.0311684671008051,0.0445113941058018,0.044245457487619,0.0292364029470719
1993-10-01,0.879,1.1257,1.0209,1.3765,1.0219,0.6796,0.7625,0.6181,0.515,0.7221,0.4,0.7,0.4,0.6,0.5,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.3,0.35,13.185,7.75,10.5849,7.4932,4.0988,2.5982,2.2207,1.6008,1.7711,0.7337,19.1239,7.2831,9.4055,6.7581,8.4602,4.6697,6.2511,4.1482,3.8179,2.6312,4.1279,3.7392,3.4223,3.8076,3.0288,0.544,1.2073,0.9037,0.8735,0.6001,2.9504,4.0169,2.4671,4.2088,4.0034,1.466,1.501,1.0654,1.221,1.3004,0.0226297745808489,0.0320594460119991,0.0523538624760694,0.0181965580024517,0.102479022500879,0.0224232602434604,0.092938609301127,0.0265419927638581,0.0528229213446045,0.0241496929923336,0.0230507585151236,0.0309067542389488,0.0250098965765946,0.0205234308147319,0.101886344466983,0.0231171096425928,0.0197964404234523,0.0401295370758764,0.0199690154694903,0.0217168346279757,0.0199483660845691,0.0238338144840359,0.0355391601246867,0.0186226993312205,0.0242492816491157,0.0252635850893203,0.0222077511717286,0.0295908917383652,0.0280431882575569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0410200724384208,0.0311152833685204,0.0217897803563644,0.0348620955389734,0.0176118997007926,0.0317505240211942,0.0187726738032538,0.0288194346086506,0.0169437540744582,0.0352395942958804,0.0286067518156364,0.0327412532278322,0.0296744655276987,0.0438014665706812,0.0174897204974592,0.0425930368869414,0.0477871883778292,0.0290601302994989,0.047351587286681,0.026926940531883,0.0421553600587215,0.0237590870218757,0.0490890609090924,0.0647461995461456,0.0513264954175456,0.0289527993629625,0.0421588690839123,0.0441274125676622,0.0297270628034324
1994-01-01,0.9187,1.2089,1.2969,0.7513,1.0003,0.4999,0.961,0.6775,0.5665,0.6301,0.7,0.5,0.65,0.5,0.6,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.15,0.2,13.4206,16.455,10.3352,8.5903,7.685,2.5654,1.8027,1.4056,1.0617,1.0718,15.9707,20.8736,11.3307,9.9523,11.3408,7.3064,5.1845,4.4783,2.8749,3.6069,3.7933,3.6847,5.3453,3.9539,3.7524,0.5824,0.7324,0.6383,0.6886,0.8524,4.865,4.557,3.9359,3.8633,4.1367,1.9356,2.776,1.523,1.7766,1.2264,0.0197427923603698,0.0366822178170387,0.0501240035274441,0.021738174298422,0.0981076602972678,0.0220451957825125,0.0977651406464324,0.026499649661538,0.0423085205535823,0.0216985573612106,0.0246468319912534,0.0368846881360959,0.0198643473620754,0.0227675063485333,0.111062600905431,0.0248078914855235,0.0224833327109007,0.0420264302347388,0.0177149182544398,0.0206179310625922,0.0195219684605482,0.0239349547699773,0.0323784431896763,0.020066448151297,0.0235084254338806,0.0239028316713837,0.0225409228067239,0.0260845391944998,0.0284730755246113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0302533470289467,0.0507853929242833,0.0248716264793381,0.0287157330698153,0.0181305578272983,0.0311172766084962,0.0182905064435199,0.027234049330508,0.0166212935713958,0.0380986954313052,0.0365724580850782,0.03144525723841,0.0362829934887829,0.0425650074546367,0.0185635929983337,0.0441555756527411,0.0513323218649397,0.0257363136690602,0.046373095089091,0.0239400592588497,0.0392212401764975,0.0247691881081366,0.0358498612426279,0.0623100468146379,0.0553242428460925,0.0297260730406661,0.0388345764621897,0.0433041996697419,0.0295754181245799
1994-04-01,1.0798,1.0185,0.897,0.7328,1.1509,0.9626,0.8261,0.6346,0.4334,0.7775,0.9,0.5,0.5,0.8,0.7,NA,NA,NA,NA,NA,0.1,0.3,0.3,0.2,0.3,22.6594,10.8273,7.0527,11.7579,8.2919,1.8031,1.365,1.2242,1.0314,0.9743,18.7396,14.6079,10.2752,8.3517,7.9987,9.4395,6.0427,5.6125,5.8491,5.7124,6.6667,4.8618,5.1704,2.9353,2.86,0.7218,0.5533,0.6708,0.6502,0.7525,4.4511,3.996,3.4997,3.7,3.3586,2.5131,1.6225,1.4078,1.3776,1.3019,0.0194441855782479,0.0299369718711979,0.0570808829127061,0.0203680990156045,0.0891719130356474,0.0203434627782284,0.101754346545974,0.0243308024241681,0.0517518060299673,0.0201732457884582,0.0252894763004315,0.0412087288418917,0.0203013485497621,0.0179001188321237,0.100320527532854,0.0237383602771899,0.0202112595349534,0.044600488370315,0.0200858518139421,0.0207753490938011,0.0196720472098914,0.0218879491836845,0.037277342351054,0.0169258745254444,0.0268796747466128,0.0269171859878889,0.0225096003075105,0.0287367497709353,0.0304063507895135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0349728134121865,0.0545235190530276,0.0274495499753008,0.0251327710944268,0.0190175333523887,0.0304703213894278,0.0202903028799322,0.0274447159503114,0.0169161507159138,0.0458420250026887,0.0420101215513824,0.0353818356713952,0.025262131488553,0.0422121384627746,0.0174843707977378,0.0505631536223081,0.0376591866024755,0.025638971840992,0.0429590131191218,0.0243288706864387,0.0475702316389808,0.0237329447754138,0.0417600776389101,0.0487233638695983,0.0543508325304005,0.0282726400914181,0.039503598761797,0.0480577155244833,0.0224690985002146
1994-07-01,1.1962,0.8,0.7392,0.9178,0.9666,0.8555,0.7,0.8621,0.7002,0.5618,0.3,0.6,0.7,0.4,0.675,NA,NA,NA,NA,NA,0,0.1,0.3,0.3,0.35,11.0959,5.0837,8.2418,6.785,6.0698,2.4613,2.0882,1.9597,1.6322,1.4992,12.9047,11.0234,8.4162,9.0356,7.9354,5.4811,5.9009,7.6244,6.1014,3.7069,5.5138,4.4916,2.8886,3.5567,3.7638,0.9396,0.7111,0.5103,0.6281,0.4848,4.1302,3.7676,3.2165,3.0416,2.736,1.6212,1.4579,1.0089,1.2251,1.8435,0.0187534795764475,0.0328562132322746,0.0525473885298384,0.02083056641328,0.0958293270010144,0.0206191454434867,0.109070316599013,0.0274871673516874,0.0503784135928286,0.0203590904456707,0.0226527658708435,0.0341211055393853,0.0201182405177869,0.0216515851076756,0.106255366270589,0.0222803188848705,0.0204904623431489,0.039585672449481,0.0189113623445083,0.0198411052970939,0.0198097044836999,0.0242745535257081,0.0344464339829469,0.0191485480778691,0.0240374654540295,0.0253556635622659,0.0225523369595215,0.0268078238224727,0.0289283773205622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0292471482078256,0.0530537952111418,0.0263181834074656,0.0246760339991216,0.0191738019373323,0.0303290621499125,0.0197532441481868,0.0256173393288326,0.0167733523666932,0.0428415173830364,0.0400901997756473,0.0309690521436786,0.0330596515202495,0.0422615904988824,0.0186998664140841,0.0450263540625481,0.0447438622639558,0.0283464083981931,0.0449799319437726,0.0276219574885358,0.0373374595718289,0.0224860135116717,0.0427759854702009,0.0565972584651963,0.0584333708108607,0.0283072469475326,0.0378587144479259,0.0466124500859168,0.0260091480397704
1994-10-01,1.0434,1.2036,1.5731,1.2,1.1754,0.9253,0.6183,0.7364,0.7038,0.571,0.75,0.65,0.55,0.6,0.65,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.2,0.2,9.6635,10.3039,7.9822,7.8827,6.2584,1.9141,1.6271,1.421,1.0381,0.9187,16.3143,10.5286,10.0673,6.8554,7.2013,7.5107,6.3942,4.862,3.0005,4.2142,5.1658,3.4456,2.988,3.6,3.7257,0.8695,0.681,0.8998,0.5431,0.7917,4.7572,3.7866,2.962,3.9338,1.996,1.9633,1.0665,1.5186,1.458,1.2417,0.0216461928393144,0.0352191815104437,0.0486962022693413,0.0197761682602201,0.0966878997304952,0.0200624100151701,0.102177370109387,0.0272706199910905,0.0510932632751715,0.0211249604367944,0.0252058393206837,0.0293667929292263,0.0213286067575664,0.0211052489988879,0.110703592902692,0.0210857210850451,0.0203866438570935,0.045501191596204,0.0196990832983986,0.0208492111476537,0.0190973834021908,0.0232792164626119,0.0344017862789795,0.0193035225210888,0.0240659778108475,0.0249675936233656,0.0207607533880758,0.0249888734901476,0.0301486926918128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0317167951713362,0.0403258913730308,0.0257911558178454,0.0271698216157771,0.0179717236974748,0.030189149991917,0.0194454798234259,0.0273121851897124,0.0164094946040157,0.0487202132287941,0.0443953744549137,0.0307441704042515,0.0348433091050695,0.0419087797967479,0.0189427519037045,0.0471326148389131,0.0476490814106065,0.0281236700417152,0.041569330523872,0.0222555555490523,0.0436824497320413,0.0260400573750134,0.044393867418511,0.0523595608932159,0.0555957931917654,0.0281093206642343,0.0421786964515864,0.041846955483355,0.0231767502481018
1995-01-01,1.1597,1.2342,0.8028,1.115,1.3717,0.6859,0.7008,0.5435,0.4375,0.8042,0.4,0.5,0.4,0.55,0.5,NA,NA,NA,NA,NA,0.1,0.3,0.3,0.3,0.25,12.6083,10.4578,13.8521,9.333,12.5688,1.622,1.1982,1.8996,1.3501,0.9614,11.5834,11.1321,11.9593,6.0072,9.492,5.0714,4.0385,5.5496,6.3759,7.0328,3.561,3.5864,3.4741,2.7348,2.6167,0.8,0.7556,0.5399,0.4388,0.509,6.8422,2.2461,2.0546,2.1011,2.0088,1.4157,0.8199,0.942,0.6404,0.7023,0.019932814795703,0.0326360427831997,0.0464999548566875,0.0212289977590103,0.0920833037641307,0.0193925196972775,0.106599646944702,0.0292495914965165,0.0544101097654137,0.0201221712650888,0.0217981357032655,0.0328519495953032,0.0235291850341931,0.0221665924749425,0.0984747123216478,0.0222203422295658,0.0219930353526733,0.0427353803737568,0.019580832130683,0.0223097491124429,0.0185451290306175,0.0238469412817638,0.0405787297759969,0.0173674319365624,0.0256922471228494,0.025946457499329,0.0253178744614459,0.0278442051410369,0.0250459162941947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0327381456518582,0.041959021253174,0.0202793961846074,0.0198479563217433,0.0166313581032393,0.0284147033937975,0.019545831975596,0.0268056588886744,0.0158226843410756,0.0442132286705865,0.0384546906276399,0.028609875852261,0.0379710484599076,0.0447426595368644,0.0176212567223305,0.0421106900434611,0.0429790148228967,0.0287286791587664,0.0438650737213139,0.0251741267568717,0.0471991841299454,0.0316756486683608,0.0506766647810167,0.048065983694926,0.0584897806334371,0.0317680009238204,0.0403305989868585,0.0452983712318827,0.0299806664630872
1995-04-01,1.0457,0.9672,1.3015,0.9607,0.9915,0.7777,0.8138,0.8286,0.9643,0.7725,0.3,0.5,0.6,0.6,0.7,NA,NA,NA,NA,NA,0.2,0.2,0.4,0.4,0.4,9.8225,8.2421,9.7205,7.008,6.2057,3.6454,1.9963,1.5016,1.3649,1.3259,13.6062,14.2624,12.1494,11.1845,15.3978,7.5843,6.3866,4.4103,5.6161,6.4737,5.7837,3.6149,3.4468,2.5746,3.1223,1.0106,0.8022,0.7267,0.8477,0.7934,3.4019,3.0034,2.4389,1.8109,3.3335,1.9854,1.3609,0.8161,1.1817,1.1167,0.0221129809275108,0.0298943683688688,0.0464998384480223,0.0221269696524117,0.09644387512606,0.0190870064889584,0.11040260306178,0.0297040883965154,0.0497289331679512,0.0182280371209951,0.0225010122490266,0.0350080749289761,0.0228633580788434,0.0227999985666238,0.0954860929200717,0.0183883202477019,0.0182498573590638,0.0505915077800211,0.0189832642790298,0.0213135669250451,0.0195036194610903,0.0256832688769101,0.0402764222497659,0.019802490198513,0.0250940598222474,0.026323154783345,0.0221007246798524,0.0255132898362173,0.0252892159985814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0308186706470605,0.0355502712067017,0.0171479413881517,0.0243443710558969,0.0183407887529101,0.0272839937929691,0.0212396488916468,0.0379181214259793,0.0170451705431006,0.0440569966659002,0.031217153617873,0.0351567888589204,0.0446851712308552,0.0433188823404846,0.0188971060729337,0.0427306557646652,0.0438611653208823,0.033017449800458,0.0424830770208172,0.0289852286153139,0.0408549496221055,0.0237258307457983,0.053494576929276,0.0429888596599958,0.0595841237325642,0.031604908151815,0.0411553768077097,0.0454341314954184,0.0230585898417966
