"meeting","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","subsequent_meeting","recent_meeting","subsequent_pub","recent_pub"
"FEDm_1_postmeet",0.0388077372326823,0.0214250334919339,0.0505367834849445,0.0336589409842106,0.0497118281652915,0.0304120614167281,0.0258763731988734,0.0315922222426555,0.0276598817106206,0.033696199774494,0.0291371277886201,0.0221911576140266,0.0410320651782632,0.0326949805415767,0.0400614127715598,0.0217300838232259,0.0224763760526933,0.0247686790150115,0.0272596436977267,0.0300906882827313,0.0472604814384159,0.0317252020493274,0.0419881203803414,0.0333736500162695,0.0253740588010031,0.0382345035618035,0.0428956200733657,0.0384532455431952,0.0393021332390023,0.0265737084294065,NA,"FEDm_1",NA,NA
"FEDm_1_postpub",0.0260474286606164,0.0326438258638372,0.0517545307427351,0.0318996471141818,0.034208727974536,0.0345991510665163,0.0217909894398129,0.0414666375878681,0.0290819239215958,0.0350491609200873,0.037536125260092,0.0219893874230831,0.0303049137382891,0.0316049223366119,0.0360691703704842,0.0242362523547351,0.0238336400359958,0.0226309351546466,0.0297265547412677,0.0262161636483845,0.0561696152116004,0.0406885325570346,0.0311093022404192,0.0232313446030595,0.0285198327150567,0.0559733369913568,0.0457414560122905,0.0279269123901491,0.0430983251101904,0.0248512538134659,NA,NA,NA,"FEDm_1"
"FEDm_1_premeet",0.0498461871176397,0.0229504615614961,0.0466280867083794,0.0249578903377294,0.0359099435004284,0.0293575832885334,0.0390193600480025,0.0300034000971474,0.0276938688779343,0.0382572459103333,0.0317869669041823,0.0223157695553408,0.0270561018241008,0.0309785125767783,0.0395577945411006,0.0242968841026083,0.0311610244095121,0.0199711792220792,0.0256386960098688,0.0306697686713676,0.0452772042584759,0.0450700463773984,0.0441690878383752,0.0292460926271837,0.0312566004558917,0.0340599253425988,0.0513303079001467,0.031610518915915,0.0352548120154283,0.0246686790040237,"FEDm_1",NA,NA,NA
"FEDm_1_prepub",0.0245463555493988,0.0229883229004615,0.0851147687689985,0.0382979027618608,0.035347217850701,0.0304681127144139,0.0285659860616919,0.0398700460510799,0.0301897992198386,0.0390886146840439,0.0251527895501827,0.0205454928583989,0.0233111556480974,0.024014467917936,0.0316420699897849,0.0269638328612267,0.0352650492740529,0.0258872099231432,0.0302352387091822,0.0242606467492243,0.0354308797975156,0.0345228586368116,0.0300006123976437,0.0236272676752932,0.02080310677822,0.0647050628517411,0.0343014838173463,0.0282537631786033,0.0577301704251722,0.028869714397935,NA,NA,"FEDm_1",NA
"FEDm_10_postmeet",0.0684876193977565,0.0203160512185883,0.0530271470157731,0.0238987685510926,0.0486999473407924,0.0345885315280434,0.0197719272646937,0.0272804638046693,0.0294440006732463,0.0404905365484215,0.0377510578790653,0.0238972218345251,0.0359510767730738,0.0306664950248044,0.022509817731974,0.0286055708678359,0.0360573063894777,0.0277735697451283,0.027119944326026,0.0299165412961698,0.0374077023685355,0.0366088628188794,0.0360263483779166,0.0227760987805048,0.0209332449845319,0.0462149648201969,0.0433460678842638,0.0265202355214518,0.0391771163090829,0.0247357629234791,NA,"FEDm_10",NA,NA
"FEDm_10_postpub",0.0482516988305833,0.0265278008487802,0.0481396681091691,0.0244355408995235,0.0367950506497726,0.0633787679499273,0.0166164522152513,0.0345644679450846,0.0359465410054139,0.0411797278940526,0.0298933002042232,0.0210870222239587,0.0389998951275175,0.0329800659056968,0.0213097446551535,0.0408689038978215,0.0444727290668454,0.0253104221695693,0.0290580020387186,0.0252172435297933,0.034974532776887,0.0368052143474766,0.043667963023759,0.0200126934483268,0.024976324907992,0.0263556864264505,0.0375996500777253,0.0371703261160745,0.0305751063296371,0.0228294573788152,NA,NA,NA,"FEDm_10"
"FEDm_10_premeet",0.0493467087260617,0.018839227601933,0.0397030632182208,0.0274848356014241,0.0570605816600687,0.0265972436114297,0.0229876629365518,0.0289131497756503,0.0341071001562498,0.0411766872420092,0.0280085128611809,0.0203219514019223,0.0309791113041514,0.0335648499753132,0.0367495718808657,0.0436474406994313,0.0403257568147828,0.0318622902617864,0.0369684355479161,0.0254701159926868,0.0413261670146229,0.0357813565019855,0.0292659258976048,0.0293376087427788,0.0198876635677653,0.0424580091515291,0.0470396825957461,0.0262503524483506,0.0365201211545044,0.0180188156554766,"FEDm_10",NA,NA,NA
"FEDm_10_prepub",0.0855509925532262,0.027227525658921,0.0543866098135884,0.0294595420066642,0.0567973244880391,0.0366301858051789,0.0273904358810259,0.0336040024583841,0.0321779893947877,0.0312305051326145,0.0355676245745699,0.0241460570820137,0.032300896458774,0.0348866952909808,0.0171102457009188,0.0315417413407548,0.0443933470897598,0.0203286706991174,0.0245972127340321,0.0230946102551688,0.0269916755993241,0.0246935939803144,0.0387717285467583,0.0180027129252313,0.0227805951972332,0.0253721047524667,0.0422023439242821,0.0422557486217488,0.0287025394739105,0.0278047425602107,NA,NA,"FEDm_10",NA
"FEDm_100_postmeet",0.0478131571612178,0.0218366995165751,0.0310639941029247,0.0220735073485248,0.0438669540974255,0.0536981059786188,0.0245203273075122,0.0328318075584759,0.0275844939404767,0.043218967894596,0.0424979809028297,0.0273754158719763,0.0273572385561479,0.0266679377872788,0.0261934961811595,0.0282928554974955,0.0300535750611193,0.0301445538978185,0.037609564470048,0.0289174881262799,0.0226682498529419,0.0382151890258215,0.0336389847471601,0.027665153989258,0.0400066501935524,0.0228593465243467,0.056041244367433,0.0378129927720854,0.0403100395410133,0.0271640277278871,NA,"FEDm_100",NA,NA
"FEDm_100_postpub",0.0335426266466378,0.0316110259027378,0.0351161219065462,0.0292585455072303,0.0488289995006743,0.0335947571639126,0.0247417985065643,0.0482882159330718,0.0275281170630115,0.0434635607959022,0.0270796740888126,0.0242098657101209,0.0412277575677239,0.0316567862553529,0.0267931492475114,0.0281951209479758,0.0296536279113977,0.0656109384783435,0.0298743606206333,0.0240814169293103,0.0386998007349463,0.0305037579914958,0.0523147992579841,0.020534016725783,0.0222886898953421,0.0226628477654551,0.0350466691103074,0.0360681234559273,0.0287888138815838,0.0287360144977043,NA,NA,NA,"FEDm_100"
"FEDm_100_premeet",0.0440930009568555,0.0264925674793062,0.0229210425493497,0.0257640451453228,0.0315813486392924,0.0688181192849722,0.0402562268674747,0.0362560773803799,0.0321177878820715,0.0502876662183009,0.03972939566244,0.0174981275456871,0.031732142798661,0.0348763275748079,0.0208543959004937,0.0440104493514424,0.0215844514653732,0.0441888839089187,0.0416598529209116,0.0208842170474283,0.0369335350924564,0.0418712775786076,0.0180044003571627,0.0274899432086627,0.0222893599501659,0.0281813205531725,0.0409854110468332,0.0267747651305296,0.0464947883347479,0.0153690721681721,"FEDm_100",NA,NA,NA
"FEDm_100_prepub",0.0401972915620513,0.0489576212297779,0.0366367147222563,0.0275974719514436,0.0520175041988306,0.0391636551684934,0.0253768875993721,0.0334695372901962,0.0283215249828018,0.0371281321175452,0.0381879760625753,0.0186063877923397,0.0220954086175864,0.0276677865661302,0.0170653050934372,0.0463217391350784,0.0422163237055577,0.0381929329040944,0.0207736403102324,0.0253402199099786,0.0223635183721698,0.0312451544057081,0.0229438110879046,0.0241404546306846,0.0333693860917825,0.0195739269420303,0.0415388346646145,0.0858443612255038,0.0206321959480798,0.0330142957117435,NA,NA,"FEDm_100",NA
