"series","quarter","dispersion","fed","news","dispersion_mean","fed_mean","news_mean","dispersion_sd","fed_sd","news_sd","dispersion_std","fed_std","news_std","period"
"CPI",1993-07-01,1,0.0443473874726276,0.0269511472392257,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,0.0568537253675279,-0.658856826868848,-0.321094743902913,"3"
"CPI",1993-10-01,0.4,0.0517786082588517,0.0275952712650113,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.984741243197868,0.0704935564537222,-0.243716778589465,"4"
"CPI",1994-01-01,0.7,0.0481825725190271,0.0351599225821794,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,-0.282445768151564,0.665017104631654,"5"
"CPI",1994-04-01,0.9,0.0508852960717676,0.0316375556961614,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.116745436060038,-0.0171821572438606,0.24187874646356,"6"
"CPI",1994-07-01,0.3,0.0492793856584718,0.0321887640571951,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-1.15834040462543,-0.174797091480546,0.30809484729683,"7"
"CPI",1994-10-01,0.75,0.0451093523806911,0.0298205208624279,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.377144178201387,-0.58407242552194,0.0236001965111977,"8"
"CPI",1995-01-01,0.4,0.0409590271170119,0.023895276913209,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.984741243197868,-0.991413481461129,-0.688193343897728,"9"
"CPI",1995-04-01,0.3,0.0466031198872008,0.0175181345556589,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-1.15834040462543,-0.437463956360681,-1.45427298133961,"10"
"CPI",1995-07-01,0.6,0.042780883810787,0.0205960239591062,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,-0.812604115384031,-1.08452925192647,"11"
"CPI",1995-10-01,0.5,0.0382370808760278,0.0280230089889347,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.811142081770302,-1.25856373730138,-0.192333080046893,"12"
"CPI",1996-01-01,0.5,0.0434857169304903,0.027279792380958,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.811142081770302,-0.743427015036397,-0.281614936661785,"13"
"CPI",1996-04-01,0.7,0.0519561506021352,0.0370075363963623,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,0.0879187655620099,0.886969076462122,"14"
"CPI",1996-07-01,0.6,0.0547198482058706,0.023623141816094,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,0.359166783170206,-0.720884656847058,"15"
"CPI",1996-10-01,0.5,0.0536857945874163,0.0266057332387286,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.811142081770302,0.257677751328516,-0.362588977123981,"16"
"CPI",1997-01-01,0.5,0.0474098396910967,0.0247969155021305,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.811142081770302,-0.358287006148662,-0.579880415539342,"17"
"CPI",1997-04-01,0.8,0.044674611387362,0.0320239369266328,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.290344597487604,-0.626740853664785,0.288294331432184,"18"
"CPI",1997-07-01,0.5,0.0524443369714979,0.0253593443018122,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.811142081770302,0.135832685208643,-0.512316414802087,"19"
"CPI",1997-10-01,0.3,0.0491350749251332,0.0238214187391168,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-1.15834040462543,-0.188960725115711,-0.697065851371814,"20"
"CPI",1998-01-01,0.7,0.0567868976493512,0.0245340146602132,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,0.562041027835909,-0.611462426786233,"21"
"CPI",1998-04-01,0.6,0.0508875435366515,0.0202576996027794,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,-0.0169615758048622,-1.12517181339065,"22"
"CPI",1998-07-01,0.7,0.0509539368153263,0.0222783450388121,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,-0.0104452893635674,-0.882433728486236,"23"
"CPI",1998-10-01,0.6,0.0439733021653557,0.0260331437653633,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,-0.695572094804351,-0.431373569275892,"24"
"CPI",1999-01-01,0.25,0.0506490863691105,0.0249062392955465,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-1.24513998533922,-0.0403653787001301,-0.566747459220005,"25"
"CPI",1999-04-01,1.2,0.0604435703005635,0.024525636515465,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,0.40405204822266,0.920931669975205,-0.612468884809472,"26"
"CPI",1999-07-01,0.55,0.0571303486013636,0.030912635980083,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.724342501056519,0.595749632479587,0.154794876897701,"27"
"CPI",1999-10-01,0.4,0.057944451222328,0.0328996326539403,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.984741243197868,0.675651182405948,0.393490770161652,"28"
"CPI",2000-01-01,0.7,0.0607111877625124,0.0347484777342146,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,0.947197461837839,0.615590652737722,"29"
"CPI",2000-04-01,1.075,0.0555026490901062,0.0309131055745017,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,0.187053096438202,0.43599616846325,0.1548512887985,"30"
"CPI",2000-07-01,0.6,0.0667580175397297,0.0558440236241327,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,1.54067432691436,3.14977716464045,"31"
"CPI",2000-10-01,0.6,0.057028621036505,0.0345946114857288,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.637542920342736,0.585765399665296,0.597106856509622,"32"
"CPI",2001-01-01,0.4,0.0452421238546329,0.0291978157751722,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.984741243197868,-0.571041333027255,-0.0512047334608044,"33"
"CPI",2001-04-01,1.1,0.0490470765641187,0.0256030150489666,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,0.230452886795094,-0.197597480796096,-0.483044495316984,"34"
"CPI",2001-07-01,1,0.0425880937891287,0.0224951998730761,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,0.0568537253675279,-0.831525835010224,-0.856383177393582,"35"
"CPI",2001-10-01,0.9,0.043124778980426,0.021628964775221,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.116745436060038,-0.778851912211175,-0.960443120311209,"36"
"CPI",2002-01-01,0.7,0.0421249432456674,0.0237803890423391,0.96725,0.051060362003016,0.0296240637247331,0.57603964891112,0.0101888213897565,0.00832438567202344,-0.46394375891517,-0.876982568988007,-0.701994707193048,"37"
