"meeting","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","subsequent_meeting","recent_meeting"
"FEDm_1_post",0.0600851307304327,0.023511804023036,0.0369098506115579,0.0342370042080727,0.0512045019682008,0.0352359623957533,0.0495945070161805,0.0429094557577093,0.0242528039099211,0.0265996853794992,0.0286937043278271,0.0311443510726349,0.023215131566337,0.0489978251412084,0.0257298035390074,0.0234307812410955,0.031913358796257,0.0331562689937303,0.0254631107259016,0.0286691420343711,0.0238927458398339,0.0249307305052151,0.0352179559153818,0.0223316051587403,0.0359136528142536,0.0343295151038441,0.043388468526412,0.0435631155097026,0.0301771542235434,0.0213008729643394,NA,"FEDm_1"
"FEDm_1_pre",0.0333257486881617,0.0256651479442952,0.0402763284314704,0.034578046720418,0.0469432481431501,0.0443393851585882,0.0543381696807405,0.0542061445129169,0.0220732767692945,0.0270019389980132,0.0300900143305944,0.0244699071559561,0.0327659274894116,0.0334017584806941,0.0286947427271386,0.0292628093721873,0.0279943539758192,0.0393898366449788,0.0308239873123583,0.0317692565121038,0.0206978197182256,0.0208634598519371,0.0420650448510517,0.0443672879388138,0.0296010379282647,0.0224248415691493,0.0376048812808482,0.034025771270849,0.0374961238256425,0.019443702716927,"FEDm_1",NA
"FEDm_10_post",0.0366046522721944,0.0226744971141316,0.0203478956903966,0.0356788389007901,0.0309680261783681,0.0456253516067764,0.0467567199073998,0.0425846980410401,0.0381793101370168,0.0197437865221082,0.0381733251571185,0.0281915214863111,0.0159729298617349,0.0338700308603593,0.040094567437446,0.020401037377212,0.0343020530078443,0.04527200573159,0.0280045465247013,0.0243383094956231,0.0287645074848718,0.0304287693412819,0.0409133905350343,0.048262789263624,0.0574929418924952,0.0294684240431832,0.0328892048322587,0.037263266051284,0.0284337080866923,0.0182988951591122,NA,"FEDm_10"
"FEDm_10_pre",0.0318994207267777,0.0166302983878736,0.0335959233543202,0.0373016795462478,0.0291224154344518,0.0321470773165723,0.0471033817796812,0.0424198382257495,0.040151997730949,0.0219496391660764,0.0295855015310738,0.0369231471095936,0.0229049718866738,0.0458759466293361,0.0404121496351414,0.0284740201406125,0.0349325596894294,0.0592705197575873,0.022082636946502,0.0209167944761431,0.0326103762223749,0.0222380239790528,0.0482139176425453,0.049628342457302,0.0297921585017124,0.0207341891311783,0.0375821614908391,0.0388628459587558,0.0284121228226698,0.018225942322777,"FEDm_10",NA
"FEDm_100_post",0.0376790774952996,0.0210079215933425,0.0281752658798191,0.0480811041401343,0.0359459142622915,0.0510220374536285,0.0324290394258257,0.0348687031055305,0.0272905892622443,0.0225789082272795,0.0393038672138501,0.0359121026028649,0.023841279272381,0.0305695287521976,0.028126161695573,0.0231367159436418,0.0244478808993416,0.0552893040405775,0.0336781368868825,0.023461031905518,0.0612276267267856,0.0301783561221042,0.0319307247189445,0.0393868728808429,0.0330886212497718,0.0300571046158242,0.0298387410652342,0.0394358970890589,0.0256386632078811,0.0223728222653288,NA,"FEDm_100"
"FEDm_100_pre",0.0327727915955765,0.0201422396981432,0.022102436733601,0.0456906961311942,0.0368275901229536,0.0164692431093266,0.0249348841488764,0.0414199968111938,0.040311729551241,0.0170859525763449,0.0361708816491656,0.0377819199380288,0.0365082565895338,0.0454473954299158,0.0225301574951291,0.0269029348322868,0.03506294970653,0.0432673805502095,0.0227957477797117,0.0223020061422306,0.032908716825906,0.0313499127937829,0.0383254874584325,0.0355824354593555,0.0742432328153531,0.0220968952596149,0.0437738301341991,0.0487919284126789,0.0294961743435559,0.0169041959059283,"FEDm_100",NA
"FEDm_101_post",0.0288012711836606,0.0254863889650709,0.0230535482557943,0.0414153271395382,0.0256912630629491,0.0201172425516189,0.0266883006326759,0.0490850990173848,0.051122070018778,0.0188202468846255,0.0358298338867611,0.0549999380001755,0.0242975054525488,0.0338719204493039,0.0456549798223239,0.0432638171536,0.0253963105522925,0.0485101602584205,0.0337750556330567,0.0293708993807634,0.0375865557514017,0.0236954788936732,0.0360987927583776,0.0320465383586877,0.0368221511080988,0.016802139480406,0.0378950976830154,0.0386160549983141,0.0374293842762761,0.017756628390407,NA,"FEDm_101"
"FEDm_101_pre",0.0311683310652744,0.0276869294701551,0.0244323920973583,0.0422798137001184,0.0337237373569483,0.0203824545917277,0.0374128250288369,0.0386672835416455,0.033573165968488,0.0223129957119174,0.039224642943704,0.0321215763297621,0.0197999656198869,0.0509438447053895,0.0297125415743813,0.0294151895670769,0.0262006983923581,0.0496933485265225,0.0416737508289928,0.0245183570262868,0.0286039845450596,0.0482325195125993,0.0456579132981416,0.0281264604428886,0.0503864354634779,0.0247617750401473,0.0294265388440706,0.0413958137920642,0.0291091195068916,0.0193555955078283,"FEDm_101",NA
"FEDm_102_post",0.027586185533908,0.0229208423748113,0.0255976905649385,0.0436453013541291,0.0345715765223886,0.0177648816741108,0.0274368020056766,0.0304582435798116,0.0352818792064355,0.0260697588285449,0.0347212433769505,0.0506069774781955,0.0223778444812,0.0353982629575088,0.026558243246515,0.0318665982877097,0.0304336193434483,0.0493343081172378,0.0406879073135049,0.0236838453734758,0.0328021445258039,0.0468371940816154,0.0320347833147961,0.0208983018538737,0.0631076291416696,0.0390026492057614,0.0326773446018996,0.050371172066845,0.0297405326257161,0.0155262369615179,NA,"FEDm_102"
"FEDm_102_pre",0.0248991665171764,0.0210331957331517,0.0220168468774909,0.0574403012384333,0.0292201588343331,0.0221884994681169,0.0336069267308074,0.0365652940192151,0.0540150494218575,0.026336678179207,0.0416620232877394,0.0414919254612707,0.030162072023201,0.0402433021278624,0.0240184539005543,0.0238609316007737,0.0325684809646473,0.0496655039548121,0.0304356363608153,0.0266985631474705,0.0317594312214849,0.0315896185116688,0.0333240893016057,0.0320546054407913,0.0492759814701311,0.0283281925312834,0.0316246582741681,0.0414225784557015,0.0344229303741453,0.0180689045700839,"FEDm_102",NA
