"series","quarter","dispersion","f1_dispersion","fed","news","dispersion_mean","f1_dispersion_mean","fed_mean","news_mean","dispersion_sd","f1_dispersion_sd","fed_sd","news_sd","dispersion_std","f1_dispersion_std","fed_std","news_std"
"CPI",1993-01-01,0.4,0.5,0.0411296687193764,0.0246041528601356,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.984741243197867,-0.840776320374027,-0.811950460925772,-0.458480637297514
"CPI",1999-07-01,0.55,0.45,0.0478742169744666,0.0296350948603906,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.724342501056519,-1.00010338306362,-0.131199508842888,0.204119265964595
"CPI",2006-01-01,1.7,0.988,0.0702506889703991,0.0318285094198247,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,1.27204785536049,0.714255811476381,2.127336428533,0.493002794103285
"CPI",2012-07-01,0.8232,0.6,0.0451756548188124,0.0229797097406213,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.250069592036408,-0.522122194994845,-0.403574868501704,-0.672427817326706
"CPI",2006-10-01,3.4,0.7335,0.0660798356997286,0.0307673575136844,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,4.22323359962911,-0.096718937613637,1.70635755380049,0.353243848299623
"CPI",1995-04-01,0.3,0.5,0.0436157381548141,0.0224299998857573,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-1.15834040462543,-0.840776320374027,-0.561022738102957,-0.744827319574335
"CPI",2001-10-01,0.9,0.7,0.0445017176103276,0.0193995495619422,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.116745436060038,-0.203468069615663,-0.471597718805115,-1.14395259100437
"CPI",2008-04-01,1.2,1.2,0.0616311702575327,0.0657054171333921,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,0.40405204822266,1.38980255728025,1.25733812051414,4.95475881766539
"CPI",2002-07-01,0.8,0.5,0.0458427844656047,0.0265289549006587,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.290344597487604,-0.840776320374027,-0.336239129318013,-0.204974704256607
"CPI",2009-01-01,1.8726,1.31,0.0427455848660526,0.0216455048629366,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,1.57168000798447,1.74032209519735,-0.648850366785924,-0.848149187766062
"CPI",1997-07-01,0.5,0.5,0.0459171709566716,0.0236450676846371,0.96725,0.763852325581395,0.0491740776881792,0.0280852724364108,0.576039648911121,0.313819881920578,0.00990751204159759,0.00759272975363661,-0.811142081770302,-0.840776320374027,-0.32873103942071,-0.584796890689673
