"series","quarter","fed","news","fed_std","news_std","dispersion","f1_dispersion","dispersion_std","f1_dispersion_std","topic","variable_act","GB_nowcast","SPF_nowcast","GB_forecast1","SPF_forecast1","GB_now_error_abs","SPF_now_error_abs","GB_now_error_abs_std","SPF_now_error_abs_std","GB_SPF_now_gap_abs","GB_SPF_f1_gap_abs","GB_SPF_now_gap_abs_std","GB_SPF_f1_gap_abs_std","SPF_update_abs","GB_update_abs","SPF_update_abs_std","GB_update_abs_std","period"
"CPI",1997-10-01,0.0455956058043101,0.0227604142741142,-0.36118774005467,-0.701310113104732,0.3,0.5,-1.15834040462543,-0.840776320374027,"9",2.3,2.2,2.4832,1.5,2.5278,0.0999999999999996,0.1832,-0.621981986421107,-0.772935692342967,0.2832,1.0278,-0.665888958433651,0.255400532419426,0.3317,0.5,-0.340154916834449,-0.490293943561239,"20"
"CPI",1998-01-01,0.0543338357791494,0.0231004727633329,0.520792512722314,-0.656522730930906,0.7,0.7,-0.46394375891517,-0.203468069615663,"9",0.5,0.5,1.7655,1.5,2.0348,0,1.2655,-1.0735579491652,0.49341774167913,1.2655,0.5348,0.527636385600378,-0.316108621032056,0.7623,1,0.220276971439874,-0.0202092485697285,"21"
"CPI",1998-04-01,0.0469374651960824,0.0209989851471068,-0.22574915707457,-0.933299026731448,0.6,0.6,-0.637542920342736,-0.522122194994845,"9",2,2,1.6739,2,2.2925,0,0.3261,-1.0735579491652,-0.605734448952265,0.3261,0.2925,-0.613764111381773,-0.596994357099589,0.3609,0.5,-0.302150710755466,-0.490293943561239,"22"
"CPI",1998-07-01,0.046660916094041,0.0200525027175553,-0.253662229587657,-1.05795543625244,0.7,0.7,-0.46394375891517,-0.203468069615663,"9",1.7,1.9,2.0543,1.9,2.304,0.2,0.3543,-0.170406023677015,-0.572738822194967,0.1543,0.404,-0.822506505869247,-0.467738230101942,0.2382,0.1,-0.461846467121605,-0.866361699554447,"23"
"CPI",1998-10-01,0.0443884234225723,0.023401317117022,-0.483032899229781,-0.616900044038223,0.6,0.54,-0.637542920342736,-0.713314670222354,"9",1.7,2,1.9281,2.3,2.1466,0.3,0.2281,0.281169939067075,-0.720400102222306,0.0719000000000001,0.1534,-0.922625093213647,-0.758245722708313,0.3759,0.1,-0.282628002153249,-0.866361699554447,"24"
"CPI",1999-01-01,0.050936021285186,0.0227516352957804,0.177839157763232,-0.702466347900208,0.25,0.365,-1.24513998533922,-1.27095938963592,"9",1.5,1.6,1.9319,2.8,2.0647,0.1,0.4319,-0.621981986421105,-0.481942345728077,0.3319,0.7353,-0.606716929262871,-0.0836794419914437,0.2147,0.7,-0.492432043931746,-0.302260065564635,"25"
"CPI",1999-04-01,0.0621755234708159,0.0240652957136583,1.31228160289374,-0.529450784262011,1.2,0.7,0.40405204822266,-0.203468069615663,"9",3.4,3.6,2.722,1.8,2.1746,0.2,0.678,-0.170406023677014,-0.193991149097903,0.878,0.3746,0.0568117181737405,-0.501820114709393,0.6573,0.8,0.083618011224351,-0.208243126566332,"26"
"CPI",1999-07-01,0.0478742169744666,0.0296350948603906,-0.131199508842888,0.204119265964595,0.55,0.45,-0.724342501056519,-1.00010338306362,"9",2.4,2.5,2.3203,3.3,2.415,0.1,0.0796999999999999,-0.621981986421105,-0.894036662888368,0.1797,0.885,-0.791644708314056,0.0898599500403755,0.1457,0.7,-0.582236503501946,-0.302260065564635,"27"
"CPI",1999-10-01,0.0584525580859211,0.0296212026697768,0.936509626108488,0.202289595863784,0.4,0.6,-0.984741243197867,-0.522122194994845,"9",2.9,2.9,2.615,2.6,2.4475,0,0.285,-1.0735579491652,-0.653823819864497,0.285,0.1525,-0.663701901913992,-0.7592890457065,0.2,0.4,-0.511564298361919,-0.584310882559541,"28"
"CPI",2000-01-01,0.058324597273107,0.0306153587181428,0.923594091686036,0.333224856385839,0.7,0.6,-0.46394375891517,-0.522122194994845,"9",4.1,3.9,2.5574,4.4,2.5044,0.2,1.5426,-0.170406023677016,0.817640726588603,1.3426,1.8956,0.621315306525781,1.26139575222712,0.1099,1.3,-0.628830701365905,0.261841568425177,"29"
"CPI",2000-04-01,0.0526235628369676,0.0301177922210263,0.348168655693323,0.267692891827475,1.075,0.85,0.187053096438202,0.27451311845311,"9",3.6,3.6,3.3759,3.7,2.5784,0,0.2241,-1.0735579491652,-0.725080332968022,0.2241,1.1216,-0.737697314162462,0.364137973786057,0.8715,0.8,0.362402290064017,-0.208243126566332,"30"
"CPI",2000-07-01,0.0636293802986586,0.045083039231431,1.45902448059487,2.23868981862274,0.6,0.5,-0.637542920342736,-0.840776320374027,"9",3.5,3,2.825,2.7,2.6964,0.5,0.675,1.18432186455526,-0.19750132215719,0.175,0.00360000000000005,-0.797355355893167,-0.931901039517709,0.2466,0.7,-0.450913750304363,-0.302260065564635,"31"
"CPI",2000-10-01,0.0544211438396781,0.0331434648183252,0.529604822024801,0.666188913083837,0.6,0.8,-0.637542920342736,0.115186055763519,"9",3,2.8,3.0576,2.5,2.7939,0.2,0.0575999999999999,-0.170406023677014,-0.919894937758449,0.2576,0.2939,-0.696993762268804,-0.59537141021352,0.3612,0.0999999999999996,-0.301760256583422,-0.866361699554447,"32"
"CPI",2001-01-01,0.0417189642044564,0.0271584816507036,-0.752470797150872,-0.122062922793124,0.4,0.3,-0.984741243197867,-1.47808457113239,"9",4.2,3.6,2.6061,1.3,2.4667,0.6,1.5939,1.63589782729935,0.877664685902411,0.9939,1.1667,0.197633857411798,0.416420048472997,0.1878,1.1,-0.527442768025056,0.0738076904285736,"33"
"CPI",2001-04-01,0.0472631624837243,0.0240317424268894,-0.192875385508668,-0.533869917809188,1.1,0.8,0.230452886795094,0.115186055763519,"9",3,2.9,2.9067,1.5,2.4933,0.1,0.0933000000000002,-0.621981986421105,-0.878123878352934,0.00669999999999993,0.9933,-1.0018451404813,0.21540648415558,0.44,1.6,-0.199200960726439,0.543892385420084,"34"
"CPI",2001-07-01,0.0436647473461263,0.0216446551559661,-0.556076068232012,-0.848261098369774,1,0.7,0.0568537253675279,-0.203468069615663,"9",0.7,0.6,2.2939,1.6,2.4242,0.1,1.5939,-0.621981986421106,0.877664685902411,1.6939,0.8242,1.04815583727927,0.0193776852739454,0.1994,0.9,-0.512345206706007,-0.114226187568031,"35"
"CPI",2001-10-01,0.0445017176103276,0.0193995495619422,-0.471597718805115,-1.14395259100437,0.9,0.7,-0.116745436060038,-0.203468069615663,"9",-0.2,-0.6,1.5621,1.3,2.0172,0.4,1.7621,0.732745901811165,1.07446838875977,2.1621,0.7172,1.61703353867063,-0.104661826732766,0.8621,2.2,0.35016805933996,1.1079940194099,"36"
"CPI",2002-01-01,0.0446288532130591,0.0230381082435307,-0.45876547573564,-0.664736446132916,0.7,0.55,-0.46394375891517,-0.681449257684436,"9",1.4,1.2,1.4026,3.4,1.9949,0.2,0.00260000000000016,-0.170406023677015,-0.984248110512043,0.2026,1.4051,-0.763820489258391,0.692784718215052,0.6146,0.1,0.028043367403372,-0.866361699554447,"37"
"CPI",2002-04-01,0.0461072230221059,0.0239881219109548,-0.309548416716204,-0.539614955147539,1.5,0.5,0.924849532505357,-0.840776320374027,"9",3.4,3.4,2.9612,1.7,2.1664,0,0.4388,-1.0735579491652,-0.473868947691717,0.4388,0.4664,-0.476830072623109,-0.39540116889429,0.9663,0,0.485785808430031,-0.960378638552749,"38"
"CPI",2002-07-01,0.0458427844656047,0.0265289549006587,-0.336239129318013,-0.204974704256607,0.8,0.5,-0.290344597487604,-0.840776320374027,"9",2.2,1.8,2.1529,2.2,2.1588,0.4,0.0471000000000004,0.732745901811166,-0.932180543465953,0.3529,0.0412000000000003,-0.581201269866847,-0.888313323148995,0.0135000000000001,0.1,-0.754296641982823,-0.866361699554447,"39"
"CPI",2002-10-01,0.0362495811992775,0.0218754643562723,-1.30451484031885,-0.817862386997806,0.5,0.45,-0.811142081770302,-1.00010338306362,"9",2,2.3,2.1844,1.7,2.2422,0.3,0.1844,0.281169939067074,-0.771531623119253,0.1156,0.5422,-0.869528221041921,-0.307530187491405,0.0256000000000003,0.0999999999999996,-0.738548323710367,-0.866361699554447,"40"
"CPI",2003-01-01,0.0466903700689311,0.0254016917194374,-0.250689336416654,-0.353440831433264,0.6,0.3,-0.637542920342736,-1.47808457113239,"9",3.8,3.8,2.5076,2.8,1.9832,0,1.2924,-1.0735579491652,0.52489229344407,1.2924,0.8168,0.560320730255285,0.0107992517332943,0.2654,2.1,-0.426445288856251,1.01397708041159,"41"
"CPI",2003-04-01,0.0379988240608823,0.0219560659086444,-1.12795761240325,-0.807246764555358,1.2,0.85,0.40405204822266,0.27451311845311,"9",0.7,0.6,1.8187,1.4,1.6416,0.1,1.1187,-0.621981986421106,0.321653273311354,1.2187,0.2416,0.470772916089239,-0.656000068885959,0.1645,2.2,-0.557768042053834,1.1079940194099,"42"
"CPI",2003-07-01,0.0402678350019933,0.0231583921093447,-0.898938366039045,-0.648894467066503,0.8,1.3,-0.290344597487604,1.70845668265943,"9",2.4,2.2,1.65,1.3,1.5536,0.2,0.75,-0.170406023677016,-0.109746995675015,0.55,0.2536,-0.341718580964162,-0.642089095576795,0.00839999999999996,0.8,-0.760934362907577,-0.208243126566332,"43"
"CPI",2003-10-01,0.0458821808847538,0.0245122509685027,-0.332262710315579,-0.470584570219527,0.6,1,-0.637542920342736,0.752494306521883,"9",0.7,1.3,2.1727,1,1.8344,0.6,1.4727,1.63589782729935,0.735853694307217,0.8727,0.8344,0.0503720517547436,0.0312020125867349,0.6191,0,0.0339001799840371,-0.960378638552749,"44"
"CPI",2004-01-01,0.0436878030633872,0.0274486832361634,-0.553748973683543,-0.0838419410281855,0.7,0.8,-0.46394375891517,0.115186055763519,"9",3.5,3.3,1.6874,1.4,1.5323,0.2,1.8126,-0.170406023677014,1.13355630192443,1.6126,0.1323,0.949373784474664,-0.782705850776926,0.147,2.3,-0.580544535423087,1.2020109584082,"45"
"CPI",2004-04-01,0.0566436710819429,0.030300667908676,0.75393230534588,0.291778522896085,1.3,0.89,0.577651209650226,0.401974768604783,"9",4.8,4.5,2.7976,2,2.0719,0.3,2.0024,0.281169939067074,1.35563325080865,1.7024,0.0718999999999999,1.05848360417766,-0.852724416433051,1.2653,3.1,0.874938466567567,1.95414647039461,"46"
"CPI",2004-07-01,0.056991387082395,0.0328323503378447,0.789028502957565,0.625213599780802,0.77,1.3,-0.342424345915874,1.70845668265943,"9",1.7,1.8,3.1543,1.1,2.4694,0.1,1.4543,-0.621981986421105,0.714324632876924,1.3543,1.3694,0.635531173903566,0.651399572620289,1.0824,0.2,0.636891573011195,-0.772344760556145,"47"
"CPI",2004-10-01,0.0560501514823884,0.0321563980170616,0.694026286855814,0.536187341410511,0.8705,0.679,-0.16795718868117,-0.270385435945291,"9",3.4,3.6,2.5473,0.6,2.3501,0.2,0.8527,-0.170406023677014,0.0104179287212423,1.0527,1.7501,0.269077703720666,1.09272520085351,0.0779000000000001,2.5,-0.670479146383969,1.3900448364048,"48"
"CPI",2005-01-01,0.0600718235409777,0.0326003464431025,1.09994777771082,0.594657541252435,1.127,0.641,0.277324660380537,-0.39147400358938,"9",2.5,2.2,2.2637,3.4,2.2019,0.3,0.2363,0.281169939067074,-0.710805629193588,0.0636999999999999,1.1981,-0.932588350692095,0.452820428631975,0.0863999999999998,1.6,-0.659416278176046,0.543892385420084,"49"
"CPI",2005-04-01,0.0664356166217407,0.0406608890905597,1.74226777228101,1.65627080933913,1.4,0.65,0.751250371077791,-0.362795132305254,"9",4,4.2,3.3334,2.8,2.1718,0.2,0.6666,-0.170406023677014,-0.207329806723193,0.8666,0.6282,0.0429603602158987,-0.207834878775731,1.1315,0.8,0.700795905835786,-0.208243126566332,"50"
"CPI",2005-07-01,0.0697249859577446,0.0437941076951728,2.07427537642957,2.06893117080034,0.848,0.754,-0.207017000002372,-0.0313948419109048,"9",5.5,5.3,2.7713,4.9,2.4899,0.2,2.7287,-0.170406023677014,2.20544614846203,2.5287,2.4101,2.06246404984123,1.85782873285752,0.5995,2.5,0.00839050741047316,1.3900448364048,"51"
"CPI",2005-10-01,0.0861012242098669,0.044977447717003,3.7271866404649,2.2247828947819,1.387,1.2,0.728682480092208,1.38980255728025,"9",3.3,2.5,3.7377,2,2.5413,0.8,0.4377,2.53904975278753,-0.475156011146789,1.2377,0.5413,0.493858512685641,-0.308573510489592,1.2478,2.4,0.852161973198312,1.2960278974065,"52"
"CPI",2006-01-01,0.0702506889703991,0.0318285094198247,2.127336428533,0.493002794103285,1.7,0.988,1.27204785536049,0.714255811476381,"9",2.2,2.1,2.2295,2,2.4103,0.1,0.0294999999999996,-0.621981986421105,-0.952773558747104,0.1295,0.4103,-0.852639284584553,-0.460434969114631,0.3118,0.1,-0.366055043580058,-0.866361699554447,"53"
"CPI",2006-04-01,0.066153518431357,0.046025163464042,1.71379461078504,2.36277223208673,1.33,0.7,0.629730958078495,-0.203468069615663,"9",4.9,4.8,3.2838,1.7,2.6099,0.100000000000001,1.6162,-0.621981986421103,0.903756972309778,1.5162,0.9099,0.832244757532915,0.118725219656891,0.8735,2.8,0.365005317877646,1.67209565339971,"54"
"CPI",2006-07-01,0.0682406696194419,0.037939548696624,1.92445811331946,1.29785684199987,0.97,1.17,0.00477397693925811,1.29420631966649,"9",3,3.1,3.3662,-0.2,2.8193,0.1,0.3662,-0.621981986421105,-0.558815135726462,0.2662,3.0193,-0.686544492230432,2.56404247785274,0.7563,1.4,0.212467887998987,0.35585850742348,"55"
"CPI",2006-10-01,0.0660798356997286,0.0307673575136844,1.70635755380049,0.353243848299623,3.4,0.7335,4.22323359962911,-0.096718937613637,"9",-2,-1.9,0.5234,4.3,2.8029,0.1,2.5234,-0.621981986421105,1.96523330543816,2.4234,1.4971,1.93452124344116,0.799435513585308,2.2959,1.7,2.21627869893059,0.637909324418386,"56"
"CPI",2007-01-01,0.0566167899484683,0.0310896232264743,0.751219098098513,0.395687833960459,1,0.5096,0.0568537253675279,-0.810185524337625,"9",3.8,3.3,2.3337,3.2,2.6458,0.5,1.4663,1.18432186455526,0.728365325114071,0.9663,0.5542,0.164098990777023,-0.293619214182241,0.4692,1,-0.161196754647456,-0.0202092485697285,"57"
"CPI",2007-04-01,0.0537474486034692,0.0256017033453919,0.461606394833358,-0.327098312675929,1.8267,0.7392,1.49199799288922,-0.0785556524670238,"9",6,6,4.0663,1.9,2.481,0,1.9337,-1.0735579491652,1.27525028775098,1.9337,0.581,1.33952036695387,-0.262551373791775,1.4205,2.8,1.07693342490518,1.67209565339971,"58"
"CPI",2007-07-01,0.0453451335452381,0.0313101881686648,-0.386468785186925,0.424737325954397,0.8646,1.1,-0.178199539205396,1.07114843190106,"9",2.8,1.9,2.3268,2.6,1.7592,0.9,0.4732,2.99062571553162,-0.43361896327856,0.4268,0.8408,-0.491410449420838,0.0386211983516222,0.1542,0,-0.571173635294023,-0.960378638552749,"59"
"CPI",2007-10-01,0.0576035939587501,0.0343655309808493,0.850820693952105,0.827141061017028,1.3005,1.1,0.578519205457363,1.07114843190106,"9",5,4,2.8937,2.9,2.833,1,2.1063,3.44220167827571,1.47720224442863,1.1063,0.0669999999999997,0.334203386750518,-0.858404730534293,1.1345,1.4,0.70470044755623,0.35585850742348,"60"
"CPI",2008-01-01,0.0605868020980536,0.0289421362025945,1.15192637283276,0.112853189035648,1.15,1.3582,0.317252467508877,1.89391338363011,"9",4.3,5,3.2045,4.8,2.2647,0.7,1.0955,2.08747379004344,0.294507934986201,1.7955,2.5353,1.17160302750004,2.00296655438313,0.3715,2.1,-0.288354663343233,1.01397708041159,"61"
"CPI",2008-04-01,0.0616311702575327,0.0657054171333921,1.25733812051414,4.95475881766539,1.2,1.2,0.40405204822266,1.38980255728025,"9",5,4.7,3.5086,7.6,3.0538,0.3,1.4914,0.281169939067074,0.757733773043439,1.1914,4.5462,0.437602558874407,4.33409790666626,1.2439,0.0999999999999996,0.847086068961736,-0.866361699554447,"62"
"CPI",2008-07-01,0.063901358959961,0.0435586507920435,1.48647624246612,2.03792033401711,1.834,1.3,1.50467073167343,1.70845668265943,"9",6.2,7.2,5.1185,-0.4,2.6894,1,1.0815,3.44220167827571,0.278127127376196,2.0815,3.0894,1.51910200784589,2.64530574693377,2.0647,0.399999999999999,1.91536868367508,-0.584310882559541,"63"
"CPI",2008-10-01,0.0502117592307326,0.0282825405424907,0.10473684394191,0.0259811836428742,3.7443,1.8999,4.82093551242422,3.62006278080914,"9",-8.3,-8.5,-2.3165,-3.2,0.6043,0.199999999999999,5.9835,-0.170406023677018,6.01374990625111,6.1835,3.8043,6.50316080986929,3.47405198182721,5.0059,8.1,5.74338138639788,6.65499342030972,"64"
"CPI",2009-01-01,0.0427455848660526,0.0216455048629366,-0.648850366785924,-0.848149187766062,1.8726,1.31,1.57168000798447,1.74032209519735,"9",-2.4,-2.4,-2.4538,0.9,0.9504,0,0.0538000000000003,-1.0735579491652,-0.924341156966879,0.0538000000000003,0.0504,-0.94461716155022,-0.87764824361197,3.0581,0.8,3.2082925987046,-0.208243126566332,"65"
"CPI",2009-04-01,0.040229157784296,0.0314097253905743,-0.902842193512064,0.437846869575632,1.6825,1.3,1.24166800211067,1.70845668265943,"9",1.3,1.2,0.9057,4.5,1.9377,0.1,0.3943,-0.621981986421105,-0.525936514737807,0.2943,2.5623,-0.652402109895752,2.03426624432875,0.0447000000000001,0.3,-0.713689408090211,-0.678327821557843,"66"
"CPI",2009-07-01,0.0405220516951987,0.0277589849524457,-0.873279382013792,-0.0429736727833327,1.6,1.3,1.09844869393292,1.70845668265943,"9",3.7,3.6,2.2954,1.8,1.7011,0.1,1.4046,-0.621981986421105,0.656172765861403,1.3046,0.0989,0.575144113332976,-0.821424726487432,0.3577,0.9,-0.306315555257273,-0.114226187568031,"67"
"CPI",2009-10-01,0.0365025113252635,0.0232372800448872,-1.27898571404334,-0.638504536422038,0.8,1.1,-0.290344597487604,1.07114843190106,"9",2.6,3.3,2.2232,1.2,1.4197,0.7,0.3768,2.08747379004344,-0.546412524250315,1.0768,0.2197,0.298359960456103,-0.681387595175183,0.5221,1.5,-0.0923466689769692,0.449875446421782,"68"
"CPI",2010-01-01,0.0506823411045678,0.0260817189322622,0.15223432583842,-0.263877889660037,1.1555,1.4,0.326800421387393,2.02711080803861,"9",1.5,1.6,1.9124,1.4,1.2285,0.1,0.4124,-0.621981986421105,-0.504758470613443,0.3124,0.1715,-0.630410041559179,-0.737263337966991,0.4927,0.4,-0.130611177837315,-0.584310882559541,"69"
"CPI",2010-04-01,0.0512622819825081,0.0243333206452882,0.210769796247674,-0.494150577310554,1.2485,1.0481,0.488247641515029,0.905766940829269,"9",-0.7,-1,1.2122,0.9,1.8485,0.3,1.9122,0.281169939067075,1.25009404749276,2.2122,0.9485,1.67790661180115,0.163472183801368,0.0163,2.4,-0.750652403043742,1.2960278974065,"70"
"CPI",2010-07-01,0.0439072597966013,0.0223558704714479,-0.531598434547915,-0.754590529475746,0.9,0.8,-0.116745436060038,0.115186055763519,"9",1.4,1.6,1.2427,1.5,1.6561,0.2,0.1573,-0.170406023677014,-0.803240186421479,0.3573,0.1561,-0.575855131707679,-0.755115753713752,0.6058,0.7,0.0165900450234048,-0.302260065564635,"71"
"CPI",2010-10-01,0.047202993426896,0.0267751810735662,-0.198948459815883,-0.172545501466989,0.7542,0.9,-0.369853013421429,0.433840181142701,"9",2.6,2.2,1.9562,1.8,1.6984,0.4,0.6438,0.732745901811165,-0.234007121973774,0.2438,0.1016,-0.713761195586191,-0.818294757492871,0.3001,0.7,-0.381282756289788,-0.302260065564635,"72"
"CPI",2011-01-01,0.0599438269135261,0.0288764627496415,1.08702862839118,0.104203670998806,1.2991,1.3339,0.576088817197377,1.81648043116297,"9",5.2,4.6,2.4222,2.8,1.2525,0.600000000000001,2.7778,1.63589782729935,2.26289598086569,2.1778,1.5475,1.63610953164766,0.857861601483796,0.7238,2.8,0.170168686027516,1.67209565339971,"73"
"CPI",2011-04-01,0.0612314026700524,0.0382386958711323,1.21698817334256,1.3372560020141,1.71,1.1908,1.28940777150325,1.36048637774536,"9",4.1,4.2,3.4248,0.6,2.0428,0.100000000000001,0.6752,-0.621981986421103,-0.197267310619904,0.7752,1.4428,-0.0680935097267969,0.736488359361342,2.1723,1.4,2.05541158004832,0.35585850742348,"74"
