"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20"
"FEDm_1",0.0389879387154563,0.0278714959145233,0.0627252778681092,0.066736176791495,0.0312278896345849,0.0333244823910668,0.0548725266753455,0.0644673244589363,0.0263008858553662,0.0372207042751668,0.0534970657280808,0.0484435118199526,0.0354080534993283,0.0717916458047775,0.0561986535839375,0.0487747434339043,0.0491812148257862,0.0551488413617734,0.0720508003297298,0.0657707670326793,0.0501371813387292,0.0275874353344973,0.0670380587957315,0.0501007104060694,0.0292602459898261,0.0342481615211058,0.0661588158544658,0.0715729250866516,0.0267229872619677,0.0298913067978266,0.047619240548956,0.0632479938338421,0.037749164282698,0.0720019515850243,0.0512703604244206,0.0513185443496275,0.0527027867049801,0.0433258114388994,0.0651715568454112,0.0628747615992698,0.0453817418765243,0.0265756972843353,0.0641469154871873,0.038961479994358,0.0325024600494175,0.0342468407225962,0.0563081660194194,0.0716449318364199,0.0247538414639755,0.0272979725922469,0.0597894226318995,0.0459383346993958,0.0380855013211063,0.0865480679487936,0.082717176814167,0.0431231783304536,0.0806300414325176,0.0426593325280303,0.0472078501104899,0.0514810468566659,0.0400352635415023,0.0260901716553161,0.0540739953808375,0.0403795327516271,0.0306669505555009,0.0426284131712201,0.0636320379839473,0.0705531179271304,0.0255926360585521,0.0326862004143657,0.0598869345712285,0.061486226906342,0.0381861599424442,0.0866845094474615,0.0511840738993573,0.0458936960622019,0.0705699749650817,0.0384228512228269,0.057491153482647,0.0638561000604093
"FEDm_2",0.0459959784213846,0.0251328516795892,0.0634625342800966,0.03824304900575,0.0374793708222925,0.0354536116546656,0.064729419443931,0.0732919077339998,0.0273601448338308,0.0265105839939287,0.0562133805021478,0.0569249738285363,0.0372758761732711,0.0830599679823811,0.0638540799090869,0.0350964912824989,0.075981689744686,0.0451280962178911,0.0516467555045004,0.0571592369855316,0.0385962113443233,0.0273502325552795,0.0519426924454215,0.0473631553458304,0.0316374911197413,0.0394103986087361,0.060437224830714,0.0695341472245217,0.0252502919411711,0.0327208648709345,0.0553123877200338,0.0495319123684699,0.0468923201236899,0.0910056421439855,0.0576308424018446,0.0501832115805179,0.0741902667532975,0.0420113578094874,0.0456136394360076,0.0633857093759925,0.0487579478572412,0.0261430239250855,0.0719687658681142,0.0425803536451549,0.0357342301513653,0.0438061467255794,0.0641262587085519,0.0695094714503255,0.0224778826720251,0.0255787287223682,0.0681892606430464,0.0616430848717599,0.0416194577826664,0.0835655951157591,0.053858407616428,0.048968828228776,0.0510948264633761,0.0465689454959996,0.0452627554204066,0.0485460286359708,0.0542192008174782,0.027738997146193,0.0748535682944881,0.0431344178518318,0.0361647545292453,0.034608926923481,0.0554830120385361,0.0578147543357079,0.026685957693179,0.0320889386677039,0.0527479088520654,0.0594364368427513,0.0349334158366817,0.0812008657570563,0.0649669055837138,0.0509830176904841,0.0608993648732905,0.0403856983914055,0.0545684828709348,0.0570853750037722
"FEDm_3",0.0480697705066975,0.0262168948793216,0.0765031953065532,0.0428273937279064,0.0431709190822181,0.0421896658270493,0.0701476863064869,0.0750827348521894,0.0220668490633224,0.026247434976795,0.0592856911760875,0.0629052522630399,0.0395976114063577,0.0729382460501957,0.062562436850251,0.0388413909840394,0.0445615818726446,0.0452776342933155,0.0477377551213941,0.0537698554541347,0.0577561286832944,0.0277865996384327,0.0623576400984594,0.04051981328516,0.0361401173840726,0.0405619259998744,0.0677222501202582,0.0606711480801836,0.027105856633512,0.0264050295677566,0.0555578969688293,0.0592245461495146,0.0385682130250925,0.0833385614360263,0.0509092241010414,0.0502560328354043,0.0611164977200951,0.0514665605798384,0.0504233432468051,0.052112614446349,0.0477608335185867,0.0281596568065388,0.0599920163982081,0.0472813082613536,0.0328700865203057,0.0364157757625523,0.0416446367732094,0.0778080722284946,0.0262409150249907,0.0239604907846722,0.0652681278061629,0.0565723873995516,0.0232828737613486,0.0911649973795652,0.0461391701043097,0.071575791694448,0.0801324099382862,0.0491299018981614,0.0413207192961722,0.0532798286430821,0.0513012038223785,0.0275207255971126,0.0649476673711162,0.044069798751572,0.0424807794998475,0.0369545503683241,0.0483373298394137,0.0664121432045094,0.02284754540433,0.0297440586219952,0.0573344709246476,0.0528908548909862,0.0275614766425239,0.0713918076554141,0.0672735202556784,0.0571638690557795,0.0780191078198237,0.0472211128444595,0.0511755933741547,0.055352384055933
"FEDm_4",0.044283573494776,0.0284266775510066,0.0511639111441961,0.043038560107038,0.0257237507240445,0.031396440318979,0.0427381733580666,0.0699030281503535,0.025391191943288,0.028123659548515,0.0593054529372911,0.0627321871813045,0.0278262436184678,0.100047345898804,0.0468693540825166,0.0670632619158344,0.0905008694763038,0.0541611976424565,0.0433821004394141,0.0579230204673438,0.0514780489438151,0.0269363124632016,0.0602821697582364,0.0386522683021787,0.0327765594868244,0.0379219860644909,0.0491399835330672,0.0692822629610831,0.0235188085276074,0.0294695438072964,0.0640148486952625,0.0590520180543595,0.0287888516959948,0.0759598115766064,0.06361334898245,0.0613324372551714,0.070715903793436,0.0471814317673358,0.0567267559461691,0.0531566483854132,0.0392853340040555,0.0265168345419046,0.0701700005985425,0.0543475830996083,0.0367130309608951,0.0526421008484329,0.0542782183064865,0.0663382374259798,0.0245270287953887,0.0348251083362221,0.0863764402312875,0.0605024003993603,0.0308442161189841,0.0626275131964143,0.0547978228116756,0.0608051210752901,0.0463107327516097,0.0385530242780611,0.0484335904795047,0.0511056617402967,0.0579372109866467,0.0318160978325442,0.0631760325163271,0.0494562277902311,0.0279342849868791,0.0389419773328887,0.0452495815638477,0.0661201368377556,0.0236502123704503,0.030314292099573,0.0501373147219884,0.0573211764822244,0.0396317267722422,0.0706847970795015,0.0624548791040846,0.0539616835371306,0.0892441783148009,0.0328685917031401,0.0563952772941114,0.0527043206736324
"FEDm_5",0.0457451756837467,0.0274661100162444,0.0635209468953419,0.0459327716232949,0.0349759654999024,0.0501008772592806,0.0639050034333,0.0638867915091553,0.0252562163961971,0.0297650429667894,0.0870470146413624,0.0583231830642921,0.0386205172463782,0.0551003107883971,0.0586711153315211,0.0560100519880165,0.05231741113691,0.0394714221294271,0.0515601838249502,0.0523238885654924,0.0449079264663482,0.0327167932474103,0.07694241903744,0.0479105547901178,0.0332447790703819,0.0374891099136534,0.0387341673862567,0.0590076428935129,0.0247231229539203,0.0298459204662198,0.0560897245585457,0.0493252163036038,0.0432577633319321,0.0722210413611377,0.0535659388905827,0.0704502338851233,0.0789886554838631,0.043881196903967,0.0464685655377133,0.0602292275182699,0.0440608774002657,0.0259992421352738,0.0400017598398074,0.0446811401796981,0.0287154038827146,0.0541663862658747,0.0693830196039522,0.0680521306931295,0.0249837630973526,0.0244039979048118,0.0675936719657511,0.0698978185105659,0.0361598156163217,0.0977574100368434,0.0470243997655633,0.0421777792962375,0.0726097142457456,0.0485092560478712,0.0503138051774414,0.0435086083347783,0.0433301167183271,0.0305234561636971,0.0681495514491604,0.0446782137330402,0.039168941985364,0.0323917417386259,0.0544293429327078,0.0614676265000194,0.0271242070806321,0.0392961801617085,0.0649390241036298,0.0546205289788428,0.0315779198439527,0.0645527129285589,0.0666287526178552,0.0412125824386222,0.0744033284635861,0.0383581238944199,0.0579022872699901,0.0652453609972597
"FEDm_6",0.0435645079044198,0.0268275278759418,0.058449391689879,0.0495266081458681,0.0364706736620042,0.0507679058607925,0.0575680707928143,0.0637131796468537,0.0243020657973585,0.0300181142817204,0.0701205670091223,0.0690745081868861,0.040794391943333,0.0799137644592206,0.0441063854115826,0.046476678602893,0.0525424867818133,0.0408988351544786,0.047451187778591,0.0674131490144273,0.0443540672281651,0.0294863468128533,0.0424237245267566,0.0425399658918866,0.0280042446950618,0.0350922009596199,0.0654417992642921,0.0654059249462054,0.0275601688784817,0.0296128189000349,0.073734916454835,0.0598678332693409,0.0347770336121488,0.101124336304245,0.0503459158229546,0.0369559951393019,0.0796401261018327,0.045850488899168,0.0535489545850031,0.0542331377078126,0.0682975443945364,0.0304342534913673,0.0539392403893585,0.0387488323213438,0.025409075914207,0.0434893923533221,0.0672781205922281,0.0755446523742574,0.0248949680306138,0.0278337303423109,0.0537746906101239,0.0571370410737651,0.0277998445740868,0.0771737882600144,0.0488136137832029,0.0680054667910538,0.0623507343513411,0.0330769722883242,0.0619892797812124,0.0540087582833301,0.0538148778433162,0.0285369179105218,0.0667938944954253,0.0432267991696456,0.0307489889886727,0.0413188965827877,0.035389615903989,0.064498310635699,0.0263923821736665,0.0302401643981019,0.0505550351907706,0.0554846487974284,0.03342292322438,0.0783488835900529,0.0483890545936151,0.0774609488919391,0.0735426294428917,0.0440112817312475,0.0619814717159225,0.0558422747199263
"FEDm_7",0.0598272256144174,0.0272765986964529,0.0694804162873199,0.0350702521207901,0.0381121398048719,0.040501195011409,0.0630443932267872,0.0781357909145674,0.0256170612498105,0.026452450583429,0.0525441240021252,0.0513689118452058,0.0303251698480492,0.0582690108461269,0.0555035649355063,0.0673892824255642,0.0686181139255834,0.0314533608246344,0.0642281957266566,0.0567827421106928,0.0595573630223031,0.0287954064812977,0.0529024992546061,0.0415430508456748,0.0259170240418364,0.0468833927015207,0.0293858773547463,0.065516327449769,0.0248021247734397,0.0235471891489285,0.0566559611696257,0.0581579525482762,0.0244740752396121,0.0986002367797151,0.0438692390970954,0.101089909413068,0.0751358096135189,0.0353402805707912,0.0565321194700972,0.0512941610240774,0.0430384517755119,0.0271712246508773,0.0587680858647609,0.0507225667254962,0.0278539310218979,0.0397408361134077,0.0475976793272155,0.0677000964520234,0.0226946642586057,0.0258262704421942,0.0682735480104778,0.0642028192812016,0.0389021953071104,0.0864915711295167,0.0499598663969704,0.0472094062187267,0.0856046061261857,0.0396244178223295,0.0588327377296029,0.0497850253458877,0.0487531297135415,0.0236478718425168,0.0689692842609722,0.0355789131113202,0.0348866724870419,0.0506959930647652,0.0618123058863078,0.0680370459365983,0.025618027648862,0.0358025998695157,0.0663968330061203,0.0524303492797454,0.0358072555393086,0.0485693890969339,0.0531040316867005,0.0514189957863522,0.0592855542286675,0.0404081370014062,0.0653476875096551,0.0734299230436687
"FEDm_8",0.0387481261344195,0.0264762571074145,0.0573590764036996,0.050735926521698,0.0286483399600886,0.0413655977353505,0.046147123201103,0.0714928449177397,0.0238018885193325,0.0310484613226669,0.0583617310971067,0.062895335341544,0.0386922734992806,0.0863079622933432,0.0478107521895644,0.0530660790153076,0.082212373048309,0.0371918907314383,0.0613040673819626,0.0563338935786306,0.048109586117978,0.02528230128617,0.0650891922339262,0.0347134679989412,0.0338996542393619,0.047463266638273,0.0622939593160281,0.0713084583234865,0.0227766722690085,0.0303197501854444,0.0669786436534728,0.0633166241152043,0.0301719992966078,0.0713867033869104,0.0467076588457606,0.0466399029761706,0.0701358584202871,0.038689392177646,0.0617171106172164,0.0629997979021062,0.0362642063262112,0.0312204332123311,0.0609306279787747,0.0552710986341219,0.0340868545106294,0.0429311267919677,0.0540950058915133,0.0627236919704457,0.0237066550626687,0.0344079224521299,0.0599696377564185,0.0606539313704454,0.03152989912069,0.0937013800199524,0.0454267260772785,0.0471379475644193,0.079562904608577,0.0354225315530872,0.0565772217360878,0.0543801973622505,0.0409371850704454,0.0251307068847071,0.0678996019470814,0.0652686864592376,0.0339983062594385,0.0495278282168948,0.0634749313229326,0.0669798839519905,0.0269192451478483,0.0286502256220443,0.0612547195478725,0.0508623179491756,0.034634756864313,0.0783505024372325,0.0588981249718146,0.0468182456216662,0.0514443435927814,0.0374453983603129,0.0549931795612263,0.0565118102109847
"FEDm_9",0.0362642063262112,0.0312204332123311,0.0609306279787747,0.0552710986341219,0.0340868545106294,0.0429311267919677,0.0540950058915133,0.0627236919704457,0.0237066550626687,0.0344079224521299,0.0599696377564185,0.0606539313704454,0.03152989912069,0.0937013800199524,0.0454267260772785,0.0471379475644193,0.079562904608577,0.0354225315530872,0.0565772217360878,0.0543801973622505,0.0409371850704454,0.0251307068847071,0.0678996019470814,0.0652686864592376,0.0339983062594385,0.0495278282168948,0.0634749313229326,0.0669798839519905,0.0269192451478483,0.0286502256220443,0.0612547195478725,0.0508623179491756,0.034634756864313,0.0783505024372325,0.0588981249718146,0.0468182456216662,0.0514443435927814,0.0374453983603129,0.0549931795612263,0.0565118102109847,0.0439846682731414,0.0268915796095631,0.0848398817344659,0.0783171155909558,0.0401372702581481,0.0317095551443332,0.0366539798315345,0.0664480320960737,0.0234024944371678,0.0252393661152742,0.0563725163310664,0.049744940583382,0.0394001339468583,0.0693186455946533,0.0705501030349955,0.0490220408748645,0.0613022348287647,0.0356949984365256,0.0607453357442668,0.0502251075339652,0.0552028351002921,0.0285020573607819,0.0726504690715036,0.0508343770541896,0.0352602004239811,0.0356276634828078,0.039606783842101,0.070845911531116,0.0289227396232904,0.0293897636480561,0.0599120740585691,0.054074564295757,0.0364899800740604,0.0794892011164297,0.0619993721104677,0.0540654058190211,0.0609024012857799,0.0300702440040167,0.0525839269684619,0.0635700291293169
"FEDm_10",0.0543989242838249,0.0253758769497253,0.0877032176647626,0.0524657351958019,0.0393002685331772,0.0330445648467337,0.0581124123802012,0.0732634062970007,0.0245003674947477,0.0258401318974051,0.0486490492754794,0.0517921351883025,0.0274250423544845,0.0786179797638056,0.0525763155179937,0.0460540666375958,0.06033256953264,0.0409890679228063,0.0566123427524835,0.0629465255110285,0.040679613651426,0.0296942667587385,0.0694360427945341,0.0702583216631206,0.0358094019197522,0.0322188566846142,0.037334256022008,0.0747232771219066,0.0281856959964331,0.0268890361120422,0.0673282113557784,0.0542257422659625,0.0385820258648567,0.0735986573822572,0.0591774943122444,0.0483982715390748,0.0637692226724867,0.0315124636111881,0.054505145629198,0.0636739966423776,0.0382791282047367,0.0289027476240321,0.0825839242748004,0.0801686865734868,0.0435786969634399,0.0402893861789605,0.0352651331858305,0.0595612417531598,0.0262022543188315,0.0324001566060466,0.0645844052691619,0.0506717195228707,0.0376553480954859,0.0513151770987059,0.0771033379150478,0.0440486851857427,0.0554436449072424,0.0410232041106478,0.0539353006091003,0.0569878216026697,0.0392466506187069,0.0253275643146382,0.0641168482322806,0.0576878579236444,0.0400068322506998,0.0430992969062894,0.0400537405773948,0.0763569895898411,0.0265097690083666,0.0297340223440162,0.08007507070404,0.0618471305836228,0.0344767566550486,0.0577133306241706,0.0637680228816355,0.0552260377897009,0.0600662824899679,0.0300225039219782,0.0596306439267788,0.0550346486571789
