"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","pre_meet_T25","pre_meet_T26","pre_meet_T27","pre_meet_T28","pre_meet_T29","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","post_meet_T25","post_meet_T26","post_meet_T27","post_meet_T28","post_meet_T29","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","pre_pub_T25","pre_pub_T26","pre_pub_T27","pre_pub_T28","pre_pub_T29","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24","post_pub_T25","post_pub_T26","post_pub_T27","post_pub_T28","post_pub_T29"
"FEDm_1",0.0297578334921342,0.0500727827657302,0.0221653430645326,0.0206415697993959,0.0193216135159909,0.0268000828945461,0.0227098916191092,0.023324824945105,0.0159867871185206,0.038659436384046,0.0326569506802773,0.0383541784393931,0.0397489268755925,0.043808633178295,0.0183910718545663,0.0396095885807718,0.0485482161441452,0.0327055942066194,0.0419880196529322,0.0429746912205151,0.0498016015460319,0.0234380914537775,0.0427899329607796,0.0440156546275617,0.0449200887808967,0.0334426321341853,0.035450974733999,0.0477801950141722,0.0301347923163775,0.0397015743756666,0.0329612456162702,0.0198162385055929,0.0213595360648191,0.0179609511255277,0.0277778009005592,0.0178960008952005,0.0250609463677839,0.0163026130311587,0.0385016618208803,0.0266921305020803,0.0369789831857008,0.045313354527314,0.0450328846147489,0.0205612364641663,0.0374358262354368,0.0517877983129415,0.0283199787515371,0.0436411658273636,0.0312544213300861,0.0407480157194449,0.0258662433312858,0.0428965790288027,0.0497284214489449,0.0525337692803288,0.0347009766376568,0.0486397128342599,0.0429568500504149,0.0375730832140269,0.0421664699438802,0.0249301799849431,0.0207274480227024,0.0273448638444456,0.01787565682824,0.0302680799217918,0.0173650255003453,0.0232723122322449,0.0172692705201503,0.0690568134192945,0.0358861963932621,0.025937678032969,0.0352492066120649,0.0542726315842118,0.0155150527904316,0.0441152294426975,0.0529009281351608,0.0204953650052207,0.0459249689779323,0.0294441762282042,0.0373033824633554,0.0243158781327938,0.0318181015177424,0.0838736857488607,0.0481864049495576,0.0303657174075075,0.0284712731112884,0.0433350593228994,0.0223129439258017,0.0387522054471665,0.0248702436455225,0.0212134742323866,0.0214468105835418,0.0195720655524126,0.0300073251598661,0.0214741951868328,0.0297459384092978,0.0170864864937918,0.041280374105966,0.0258921339646416,0.031169022335298,0.0449837252781215,0.0450819762275017,0.0195653760711471,0.0444421681765542,0.0582561232495959,0.02824387205684,0.0503573718087689,0.0253655413256879,0.037295699550134,0.0275702949194473,0.0349379388221513,0.0734582443809065,0.0393230230355585,0.0286248333016604,0.0467764682792204,0.049509661069023,0.0236974073309575
"FEDm_2",0.0418916149357692,0.0257250889579875,0.0259165718764,0.022859461310819,0.0185607462527974,0.0308883055648227,0.0167498001081213,0.0270714958692055,0.0183297619385821,0.0474372459007981,0.0319074345292865,0.0286543653434163,0.0419216802026658,0.0470205190762105,0.0149923581790752,0.0385472286892873,0.0545858706220598,0.0219133015065944,0.0544457675741239,0.031568648905696,0.0363764798701523,0.0250475621125152,0.0250394942359973,0.0787085121493977,0.0532749757059658,0.0308908361000518,0.0351086486192746,0.044435227972633,0.0301309958902938,0.0372235478096255,0.0295904471781007,0.0202353272506134,0.0246698852626933,0.0218014301775621,0.0291822886044658,0.0223273792748305,0.0269842257885613,0.0174147102005028,0.0509375379300109,0.0250933932312167,0.0265696915234542,0.0402272357130373,0.0452780028479194,0.0207279886857172,0.0413671358602775,0.0566087429633636,0.0238305239875566,0.0474039021967912,0.029871444021501,0.0309384132601255,0.0328856311799033,0.0400594661462162,0.0794518415346492,0.0374579006295474,0.0309736521875287,0.038617136602006,0.048075573338437,0.0241955446137855,0.0385137139755504,0.0330917328570347,0.0247373201659212,0.0255893800727759,0.01923726719739,0.0287465176693388,0.0149806156596137,0.0309076625627735,0.0151186273792126,0.0402813073993536,0.0329642492330558,0.0317067959402546,0.0467487800050849,0.0460692943433939,0.0182438371334908,0.0521058694912473,0.0546682011173988,0.021272932898245,0.0462504848654888,0.032767417642559,0.0290571316316596,0.0304670685018428,0.0363691363616437,0.0537940597718653,0.0574851135790323,0.0262695677798868,0.0467663686408336,0.0366660258561004,0.029123520267952,0.0429750076123541,0.0364161810999562,0.023945023883588,0.0255192331357209,0.018718058229484,0.0395388418000608,0.0193420155047658,0.0242868816418505,0.0167590295729218,0.0464855204740678,0.0321955742035094,0.0284379250304969,0.0300394781794472,0.0359868585699677,0.0196706406203757,0.0386567300483546,0.0557468986949226,0.0310147380329686,0.0418364599127337,0.0314575023588972,0.0388754499527999,0.0230746564293592,0.0412200111303413,0.0531235925255672,0.0627607587773874,0.027198983211669,0.0458160881485341,0.0403665307530275,0.0285353304648709
"FEDm_3",0.0390243762672275,0.0346130076692696,0.0297725776824236,0.0209989606038666,0.0184258252753814,0.0266716087199247,0.0155427026930525,0.030157982181366,0.0157617058039768,0.0431233286872888,0.0355352057998215,0.0278897067450665,0.0492268814341347,0.0502131219479994,0.0190544294588238,0.0486715365318429,0.0478694834973671,0.0255063085896603,0.0496402065200567,0.0309803599689185,0.0336771045543939,0.0278548937618891,0.0280707114622631,0.0467719977318242,0.0570431184832278,0.0257834585018249,0.050708487499107,0.0421138993945745,0.0292970125334265,0.0426831662386105,0.0325306142734269,0.0252318789563235,0.0264448901857066,0.0199147780125513,0.0407957485529651,0.017954847958104,0.0285824461659508,0.0155185965857214,0.0349061656101893,0.0297078347032902,0.0281008392911544,0.041990027963538,0.0397837749222869,0.0207068293034687,0.0419027968988889,0.0583289775508458,0.024569800463819,0.0436340857686365,0.0388189918570019,0.0328998967111038,0.0263878346693561,0.0394186833865339,0.0550058281849185,0.0485446723785793,0.0292281373344729,0.0469016309960067,0.0366765891871372,0.0328296358894118,0.0292885995235064,0.0351956913230834,0.0235506511398169,0.0378074178961091,0.0159851527468421,0.0270448510730729,0.0159232407552711,0.0223117384156133,0.0158779015299094,0.0282526984339775,0.0307590531678953,0.035713551977695,0.0285145581779476,0.0517718728340173,0.020103115680474,0.0507422004048875,0.0540345755969606,0.0197192497154602,0.0498575311571607,0.0361504388254227,0.0277852066030154,0.0161724454102374,0.0515345952648507,0.0760914285603388,0.0452234036115671,0.0316654568161129,0.0501838796550225,0.0390433523297923,0.03369614137394,0.0291105677753408,0.0275018244978118,0.0291251160662578,0.0271492414961602,0.0179497373092,0.0314738435866604,0.0164722630417597,0.0279804516426045,0.0164501257512439,0.0494734277450279,0.0343085230089201,0.0356025834993835,0.0335452290304476,0.0443473801228716,0.0189691050425817,0.0424854793930997,0.0457378253662393,0.0234653240196179,0.0526933507006218,0.0360968278681138,0.0305940101354811,0.0158540779666553,0.0471442900412265,0.070529595592746,0.0502512386248981,0.0329302615470962,0.0385426106594626,0.0446140918800333,0.0296015965884367
"FEDm_4",0.0288195959633989,0.0331070861117189,0.0182027174591965,0.0395433521555624,0.0160658401101766,0.0241594153246042,0.0185364927785358,0.0194979578953264,0.0163854785444585,0.0290212529483727,0.0301209274758715,0.0322909250182366,0.0302487478953344,0.0477595572008022,0.0195405983542058,0.0456551121272453,0.0587976179754443,0.0238359458209065,0.0464836629124413,0.0401149095080193,0.0308472281439096,0.0204504108597997,0.0475353230794738,0.086919130716146,0.0379265844888131,0.0303568540449804,0.0537659883263035,0.0395976725035853,0.0344136142571304,0.030139049219865,0.0259270243103124,0.0224311732469366,0.0242908217206158,0.0178265159873156,0.0341250717638624,0.0162993574221714,0.0271277411654729,0.0173957177785104,0.0461706933960605,0.0377420892542999,0.0336527437632653,0.0357876021578311,0.0466481889919384,0.0194970910742419,0.0473225100610757,0.0477182395715856,0.0245002879158839,0.0509767750167287,0.036511179177281,0.0366140548333719,0.0176404152215225,0.05126293912422,0.0684760847545718,0.0436824922510509,0.0287880503235765,0.0416987399235481,0.0416722028279532,0.0280751477449306,0.0338491077433904,0.0384936354118541,0.0264477466773679,0.0289929651135252,0.0183573985004079,0.0317925098334703,0.0169480555699307,0.0398432578446534,0.018320372349142,0.0431144994063372,0.030240702304786,0.0338579753208233,0.0335907130713089,0.041388376867143,0.0159111498972107,0.0673347972690449,0.0410062240552198,0.02542617831121,0.0563498338777351,0.0268474944731809,0.0300715770497585,0.0210781292921343,0.0455591054942109,0.0422681665828719,0.0533890240587979,0.031419305163728,0.0444666930460792,0.0417020336653502,0.0219329717493276,0.0337400523122314,0.0366095187379821,0.0178279775131362,0.0393747393136961,0.0186836522586055,0.0356016121974288,0.0190246420921503,0.0277714874480105,0.0150316696094216,0.0502086506027207,0.0228929001507646,0.0356926700850921,0.0306656613434527,0.0421874911860364,0.0222043577138501,0.0371730417460157,0.0411085355203692,0.0215308193810271,0.0418738950882781,0.021967115754032,0.0370612498015809,0.0279306957798933,0.0409527447450161,0.0729802512134764,0.0502312171734804,0.0371662358240042,0.0465191063200408,0.0405702712952635,0.0354177377929433
"FEDm_5",0.0370262897095312,0.0312778745026321,0.0244574243165433,0.0213895793653564,0.0185255478224966,0.0348221055920306,0.0174440961599608,0.0382208400573349,0.0173531239813982,0.0415481198840522,0.0323516374797336,0.0294590031943345,0.0429268790900781,0.0416918374843346,0.0177693841260653,0.0681411935553614,0.0367709205570823,0.0247956750074369,0.0501289259756957,0.0295194217128954,0.0338935166277954,0.0253852997505752,0.0468849870023341,0.0493678455421869,0.0485230199215613,0.0335613880344841,0.0384478841499273,0.0414526392543467,0.0268635401424348,0.0277096199626312,0.0369485562334659,0.0202775288535026,0.0346788435587885,0.0191997616931275,0.0296064148981649,0.0172482091380576,0.025987492720819,0.0201247953572033,0.0416365887314101,0.028681401688994,0.0291396556458591,0.023746926699605,0.0440986470026974,0.0214105606760886,0.0465067030527859,0.0430976530954426,0.0198850191658224,0.0343244178454323,0.0289563124003653,0.0326894655887529,0.0299437325630598,0.0579201553920109,0.0691715476222426,0.0603109406280836,0.0340990507002589,0.0423427101264324,0.0458402738212042,0.0344170151376914,0.0387265366051318,0.0366077810220044,0.0182110020463533,0.0230470700075038,0.0172181714213174,0.0298623381792634,0.0161680463776618,0.0404330969158419,0.0156340258054195,0.0357831531630222,0.0244573739564834,0.0273121224616001,0.0477418143643278,0.0462389025676441,0.0162439856979512,0.0513966784123674,0.0588109432078277,0.0214059873907523,0.0518918574241749,0.0309733824293882,0.0356447423775884,0.025619272894135,0.0343859563591188,0.0827278914890997,0.0285995181042976,0.0302989130875606,0.0534854165704533,0.0340247370509201,0.02704928261079,0.0396714440897278,0.0322866558497408,0.0281899960016812,0.0235796721602671,0.0202829127498303,0.0310488947843392,0.0272894268379643,0.020890063329073,0.0176414700327586,0.0407436672074694,0.0417114710747086,0.0343257886202492,0.0325549625751601,0.0363813612716653,0.0211277516831314,0.0494755223824991,0.044686991892091,0.0289961485035549,0.0445723260223099,0.031722603403586,0.0399371186905421,0.0220243049302049,0.0346108560882289,0.0611361286518243,0.0551635429644905,0.0278250919249791,0.036491224629934,0.0459263436382472,0.0297062580097417
"FEDm_6",0.0356302449978303,0.0417664146883109,0.0220726332244011,0.0230618928523586,0.0175548870915054,0.0306949855713898,0.0182138383312621,0.0375521883091316,0.0172457313150526,0.033828568620574,0.0245235696162098,0.02499198594888,0.0390376287230974,0.0463336781197606,0.0185089283394062,0.0562365849838971,0.0514652144479361,0.0310208179901547,0.039723764783655,0.0261958692944363,0.0311810312019739,0.029453116430719,0.0381420448038306,0.0617357371865864,0.0435802896810786,0.0280009211782938,0.0543105891188006,0.0522617417354625,0.0256751014140048,0.0430410598785898,0.0307432471643038,0.0195489117104984,0.0248212073346543,0.0198089248190603,0.0311606766683373,0.0194785609426116,0.0237564653117911,0.0159665398687944,0.0304214893978764,0.0358949703420493,0.0350229967765984,0.0415050674164398,0.0397399912077029,0.0190567971276973,0.0533995173728326,0.0659488503088958,0.0229679775573003,0.0527743246131371,0.0328726512989715,0.0354802403722,0.0250527220050151,0.0292718804001751,0.0800815602656511,0.0317659635275361,0.030315141130513,0.0415388035584795,0.0397803934627045,0.028783068159583,0.0670784591467632,0.029870543529417,0.017015653629597,0.0358934912836769,0.0189453981259463,0.0413392044565811,0.0158707646566912,0.0307113775649625,0.0153902595693379,0.0363378163627322,0.0296847885877829,0.0353285156237246,0.0270797486598679,0.0456573900277835,0.0205056948772791,0.0389487625600391,0.0531285361196142,0.0257793487395492,0.0543925029399702,0.0238561069381539,0.0396442667764696,0.0186349077908679,0.0497921123466393,0.0468849621711016,0.0388225776441336,0.0269952894228874,0.0406139605121254,0.0405466799694289,0.0352508799668764,0.0321811537939588,0.0327520379158111,0.0212763799579382,0.0467773774287206,0.0163800518335276,0.0277083327852349,0.0182306545078995,0.0290475070999979,0.0185255652711081,0.0349859138298696,0.0256896569555513,0.0295281255272585,0.0220853927567645,0.0430892068101936,0.0173634828293348,0.0400380759316676,0.0469139472871247,0.0300961889944398,0.0457566310102501,0.0311334627152597,0.0413194903539307,0.0235048832972494,0.052582517599197,0.0708350676930412,0.0517573649412237,0.0360153243096919,0.0404258310179461,0.0396399691439996,0.0343604064018093
"FEDm_7",0.0706769697053323,0.0249030588318214,0.0287691021781406,0.0344381082725185,0.0180377702370194,0.0307512279126443,0.0156796339881309,0.0273084907761497,0.0169555753010567,0.0402876491400342,0.0346533396466965,0.0357294851050321,0.0202157457767137,0.0451571242382917,0.0181445855503218,0.036808609524924,0.0373239767049779,0.0268596585418452,0.0541531435677276,0.0224414860551583,0.043328895367572,0.0202835740280987,0.0499769837372954,0.0514581262479279,0.0517755856453301,0.0302350157969982,0.0378448480672721,0.0417071030419951,0.0340951270129734,0.0253547760300699,0.0341924774711497,0.0175699251991005,0.049795341899472,0.0165865474072666,0.0353339173741621,0.0156524491009227,0.0329630287170916,0.0168784656968039,0.0303686011716749,0.0233507708005171,0.0309161987297198,0.0205316188716861,0.0499966730005502,0.0185353738436409,0.0483614140337238,0.0627069737539914,0.0240247359901797,0.0462477487081882,0.0258715481355272,0.0359182514846553,0.0168827432654096,0.0690505761718788,0.0696797715960998,0.0396485955925881,0.0299593714476991,0.0397892103533957,0.0348227340958873,0.0390101600569479,0.0295442056013438,0.0406037323707672,0.018829715157884,0.0278008422129233,0.0167888128190166,0.0303819935298727,0.0172166532017849,0.0276097420112033,0.0163950769573609,0.0328508840252883,0.0290052114680061,0.0322507252950705,0.0369677995875246,0.0446553137970706,0.0172691348803775,0.0502116680542734,0.050338451650887,0.0218184696032261,0.0504776625639936,0.0251827046508161,0.0413975859483601,0.0290282559728324,0.0370005196754953,0.0884236855163232,0.0468668334832778,0.0283563951067734,0.0475083492001676,0.0399548245163493,0.0252647511417302,0.043556288590529,0.0219332569801771,0.022790109502855,0.0269803977247296,0.0187089415088001,0.0345703025752487,0.0219641590013859,0.0368610743152522,0.0177314282570941,0.0392967579837178,0.0315652975422671,0.0347223870437278,0.0350733912034123,0.0409412677940355,0.0154119341677722,0.05206036052928,0.0299731219974037,0.03961148478065,0.0488712683664897,0.0286838415121343,0.0431444121959565,0.0255888013583932,0.0392260769740985,0.0535033932816243,0.0545806488935121,0.0270727790555272,0.0358822381482592,0.0504908326568558,0.0292037460588112
"FEDm_8",0.0296790972939368,0.0388060847231802,0.0190305418434391,0.0304079149921705,0.0173181700035705,0.025715147111675,0.0192954109954407,0.0275092592576578,0.0157806862775563,0.0320763792057325,0.0298313947764267,0.0350719584942378,0.0314447983384095,0.0498132217860578,0.017433194007539,0.0425207163421352,0.0531623980419458,0.027283020813125,0.0483918003530795,0.0263867232170286,0.0441836909446228,0.028424453817549,0.0407505613277646,0.0804122585912802,0.0458946595213034,0.0286813403599633,0.0469766186892028,0.0447269500971238,0.0229915487768461,0.0419035759515387,0.0237711722042329,0.0230299474170982,0.023593381892743,0.0180799266088129,0.033789133993584,0.0203200144209259,0.0350739366563499,0.0168758087671184,0.0326419172857316,0.0299180382114987,0.032111135191031,0.0405990276952575,0.0424854604085217,0.0166600179324026,0.0486285911688879,0.0416377979016465,0.031062031267348,0.0513783678369613,0.0249043151483558,0.0407285591186927,0.0243291271751873,0.033873593622905,0.0760415024131474,0.0542367349056457,0.0238566973064478,0.0444246902782603,0.0465249219289796,0.0275205752906876,0.0332587647599292,0.048731554764026,0.0229422935069913,0.0288035248386367,0.0180494007721466,0.0264231792298081,0.0208942809846095,0.0312005989901871,0.0161030249174881,0.0331136428758894,0.0270373957854223,0.0311521974465628,0.0365602800088513,0.038190457571584,0.0222084874889004,0.0450045509989998,0.0581496150197032,0.0304565767689248,0.0477799719565623,0.0228844243426869,0.0377750379779774,0.0228370145766499,0.033003323727801,0.0851564465981806,0.0459903759064602,0.0279101577756032,0.0428530419890175,0.0385467357443035,0.0269836426760966,0.0266100283470346,0.0543214950629718,0.0218201645109776,0.0264703492699109,0.0177938945229529,0.0291542725178908,0.0183078038568057,0.0372999372198948,0.017015364309446,0.0383422768807088,0.0367550982424628,0.0278692442115237,0.0465535197625003,0.0443788367798751,0.0158512707313708,0.0499143090070469,0.0524503196476895,0.0238871195301613,0.0439747884900934,0.0250542984328089,0.037653954476833,0.025836266348599,0.0367798970666314,0.0510205143781114,0.0532057716965813,0.0312010836854534,0.0354286855419231,0.0449360372673285,0.0301133982044123
"FEDm_9",0.0332587647599292,0.048731554764026,0.0229422935069913,0.0288035248386367,0.0180494007721466,0.0264231792298081,0.0208942809846095,0.0312005989901871,0.0161030249174881,0.0331136428758894,0.0270373957854223,0.0311521974465628,0.0365602800088513,0.038190457571584,0.0222084874889004,0.0450045509989998,0.0581496150197032,0.0304565767689248,0.0477799719565623,0.0228844243426869,0.0377750379779774,0.0228370145766499,0.033003323727801,0.0851564465981806,0.0459903759064602,0.0279101577756032,0.0428530419890175,0.0385467357443035,0.0269836426760966,0.0266100283470346,0.0543214950629718,0.0218201645109776,0.0264703492699109,0.0177938945229529,0.0291542725178908,0.0183078038568057,0.0372999372198948,0.017015364309446,0.0383422768807088,0.0367550982424628,0.0278692442115237,0.0465535197625003,0.0443788367798751,0.0158512707313708,0.0499143090070469,0.0524503196476895,0.0238871195301613,0.0439747884900934,0.0250542984328089,0.037653954476833,0.025836266348599,0.0367798970666314,0.0510205143781114,0.0532057716965813,0.0312010836854534,0.0354286855419231,0.0449360372673285,0.0301133982044123,0.0287877365449426,0.0756669800682862,0.0285932872067491,0.0321665850060116,0.0165019288608967,0.0395085062277533,0.0167446243628581,0.0192743619268034,0.0160210907465336,0.0434597156186948,0.0439107998482054,0.0282122265157181,0.020652865705428,0.042904169122785,0.0177926869926879,0.0438548159233738,0.0427519174550648,0.0200183813663488,0.0463411255042636,0.0224161579827989,0.0486729723689527,0.0279547734747075,0.0355165348958659,0.0571599955305989,0.0619997252960604,0.0272186587152551,0.031550303775057,0.0442055400033666,0.0201415329539321,0.0331096791027265,0.0357376014231403,0.026150804465113,0.0323411073136596,0.019532052778302,0.0339457700054664,0.0191980912125714,0.0218267824415775,0.0172949803747841,0.0414130613053901,0.0436853145600415,0.0364949292155863,0.0278430276859244,0.0426597966264128,0.0190268613100561,0.0394212065947038,0.0537855096194864,0.0261580282132008,0.0470923550388876,0.0230072683590124,0.0368100371763731,0.0243138370683507,0.0382346205649782,0.0543334277920829,0.05399088613733,0.0342065541786619,0.0413983262634671,0.0431100456913724,0.033878037481341
"FEDm_10",0.0309934988421079,0.0438778929849272,0.0292783469693195,0.0288986691005967,0.0188967168952693,0.0378007802892354,0.0140610638061783,0.0188122524792183,0.0150608094836336,0.0316530383766757,0.0410317538758819,0.0375257780088644,0.0423911159089094,0.0514176641466229,0.0177014469030112,0.0342317116247949,0.048004974831293,0.0218481377714263,0.0473490980434459,0.0262626860568336,0.0395763831821408,0.0193798983067646,0.0308226647292051,0.0587230996467333,0.0672250741969256,0.0274929633164387,0.03997639670011,0.0469488517678067,0.0327572317556297,0.0318291296701924,0.0634408498263657,0.0234153674317705,0.0314260830075657,0.0178784821713918,0.0320594666700357,0.0181768264734358,0.0212588657611588,0.0180507187367679,0.03958050572786,0.0343805337155252,0.0300798841694317,0.0241699386455807,0.0454381453731588,0.0194835301827148,0.0466928368979875,0.0505948280268644,0.0266463663333841,0.054134249835721,0.0211277236172081,0.0400608937064126,0.0274912789712912,0.0354556172631701,0.058229171072491,0.0507242998689896,0.0309692578622079,0.0380098947891747,0.0435350073226894,0.0256602468694527,0.0358398687067143,0.0750450313537882,0.0299060942203352,0.0251062906667929,0.0199892589211995,0.0338328502110202,0.0212759983831996,0.0251864262318243,0.0148844579781258,0.0489880393640245,0.0459895845966627,0.0329758429269578,0.0205527009768077,0.039073202434502,0.0173431325306536,0.0485006222092353,0.0285909454519407,0.0282727376892343,0.0449465891560871,0.0277315857553481,0.0407378488049093,0.0254024804634675,0.0333187278561134,0.047410904214475,0.0601550656129537,0.0291565327103728,0.0323468298205085,0.0483726755820977,0.0190676751706483,0.0322920875815225,0.044314286676714,0.0276804296217018,0.0283589208936775,0.0183964345973714,0.0333137630350555,0.0187730670794121,0.0322272602968144,0.0181760413207087,0.0427884115448388,0.0439623293260222,0.0375592540962078,0.0236055526248914,0.0484661609327438,0.0173326057032687,0.0653787579105873,0.0375805295043053,0.0230458017254603,0.0465433235687219,0.0200804810853785,0.0395710809502032,0.0234917954539029,0.0412325013064626,0.0476493706166213,0.0450769162090349,0.0318516026182579,0.0464065456542806,0.0451981889737796,0.0196464990920528
