"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22"
"FEDm_1",0.0418077555150068,0.024394997749687,0.0610462961554417,0.0285295539457665,0.0360715071597638,0.0589381459338004,0.0226741455583152,0.0509578241352176,0.0405252312353843,0.0260888556524414,0.0596525813573922,0.0567088049572695,0.0562791458207961,0.0392599929018243,0.0508627146223013,0.064269273878747,0.035145357824732,0.0437476917959563,0.0539681938323845,0.0554221690503019,0.0568216336649706,0.0368281272524995,0.0438184192563325,0.024254295848127,0.0631912981993277,0.0252968403336783,0.0437800922282791,0.042184813189939,0.0206942681748579,0.0489529055530025,0.0432093749988831,0.0238757349651044,0.0559140833033249,0.065369389149381,0.0698895474009146,0.0314287195845526,0.0397034257942846,0.05810715853291,0.0330272312034308,0.0494113545436344,0.0596033568212127,0.0590289133993431,0.0536883846285234,0.0455703928909565,0.0496456938203158,0.0242241413948957,0.0591205325679449,0.0315314600121734,0.0508305101915036,0.0327547334479096,0.0198782429683755,0.0812948188579929,0.0413983371198828,0.0227288804537646,0.0478750541440059,0.107764359725286,0.0480898329631325,0.028928891581577,0.0394381444592319,0.0444728788294231,0.0365983965871309,0.0418375468190762,0.047125785959282,0.0660456370481831,0.0508652282353269,0.0275508928135859,0.0517806827658228,0.024650384130358,0.0500802400449883,0.0301964178890454,0.0464015824428183,0.03277697239665,0.0221425910591208,0.0485251219573285,0.0449742285905916,0.0242460557328875,0.0584295452534516,0.0894999327171791,0.0716850436173274,0.0322483617753182,0.0349520912288963,0.0527334286330179,0.0365009198032879,0.0462496789844293,0.0606566436470046,0.0540531954948655,0.0573196613167622,0.0298972205188488
"FEDm_2",0.0466318602488926,0.0230192500685157,0.058931910695306,0.0317780184906134,0.0477451254484929,0.0340472448128096,0.0216663057621411,0.0607156042513825,0.0403457683449371,0.0261418327012468,0.0540891097919375,0.102356480998809,0.0572257472610495,0.0254755764308125,0.0397829611449236,0.0505783608104995,0.0366986730069256,0.0343861897311356,0.0544904623434306,0.0638788036431756,0.0566131547757338,0.0334015592372296,0.0494081786193566,0.0252165581526447,0.0499332262555179,0.0305729774465696,0.0440180689751248,0.0378611500936508,0.0220603314680203,0.0542252708945647,0.0422596963867869,0.0251548553678297,0.0596787166004341,0.0989868805569648,0.0602124195349917,0.0306685529003959,0.0373508723513043,0.0395606095614612,0.0452312002655846,0.0496035179200561,0.0588719934730582,0.0567074398231914,0.0518192366046043,0.0305982467478875,0.060255266348624,0.0224229851324337,0.0672405586342472,0.0323348597980652,0.045795067181596,0.0428560584292901,0.0189335337861885,0.0506104732533527,0.0427767315206121,0.0234399097821536,0.0438766121064266,0.0752206819691285,0.0682272130615889,0.0241410510729401,0.0405834542941111,0.0425170151617468,0.0435538305433706,0.0430542701717496,0.0595317892374581,0.059776322995324,0.056001606852356,0.0368507086672368,0.0423326325920275,0.0253987286105813,0.0697778886502446,0.0326323822174553,0.0625714019992261,0.0441185727320978,0.0208651570836696,0.0601152055340016,0.0400579541191343,0.0259729902946371,0.0489138594292065,0.077317085273556,0.0652319519610567,0.0326828569329444,0.0383831227807963,0.0519306544373343,0.0338266101612875,0.046942753723665,0.0459049667596816,0.0481405329005612,0.0511475014143076,0.0357351903925276
"FEDm_3",0.0555800385745797,0.0236925310080791,0.0691341365790664,0.041825268900907,0.0429209308632392,0.0419096886281507,0.0183961140835867,0.0577635020371895,0.0398426268180746,0.02337831638172,0.0499829944697036,0.0653613233462197,0.0655216538132659,0.0264535950154724,0.0380485918671056,0.0476357976057019,0.04042599573952,0.0320446826308026,0.0637663319844412,0.0626514380221686,0.0568471752954181,0.0368172663355875,0.0454774274373369,0.0252725371915044,0.0585125539915569,0.032402713088191,0.0608842200213726,0.0403523878677877,0.0205339421419805,0.0471359907118757,0.0448257229128142,0.0254611020060799,0.0460643731481079,0.0743401178456617,0.0670812913321355,0.0252622785623021,0.0467321069817784,0.0452139936443597,0.0372807914965528,0.048967850651595,0.0605386803881338,0.0529647334798113,0.0562682569986476,0.0384269281004143,0.0547801835270902,0.0247116367194861,0.0541278412730642,0.0325028764776304,0.0358293767378761,0.0414382128494297,0.0216102498803295,0.0454598482567686,0.042810142365686,0.0245020338214747,0.0477684777393596,0.0965805691199461,0.0782922601238205,0.0208027378236365,0.0446054427262723,0.0393361050842186,0.0233548631483723,0.0672538350428565,0.0406933567260488,0.0627154164210984,0.0579050289350058,0.0429195052005292,0.0498459673987033,0.0243950714644093,0.0599038233991869,0.0388493977086175,0.0424311171822553,0.0384774810163945,0.0216969528598282,0.0638900840022601,0.0417397460625151,0.0224598376649146,0.0521254228082758,0.0764642347598114,0.0689617996236161,0.0303794949557545,0.0426593125703965,0.0429184157586268,0.0258273662672642,0.0562846904559076,0.0408500691326178,0.0538757490853848,0.0684375876920445,0.0375263781312152
"FEDm_4",0.0449822435073212,0.0257394672064617,0.0464503173978813,0.0242979797645128,0.0345602789617385,0.0392331544210566,0.0221248805589676,0.0457560165205232,0.039689147782755,0.0238641299603669,0.0513021108800775,0.106772844454429,0.0822128840127438,0.025742930447301,0.0472853754671024,0.0419902722742816,0.0276302818390135,0.0681080954114497,0.0428144915591395,0.0595929461731317,0.0565555352329228,0.0432946161668231,0.0549478495195624,0.0243693273241357,0.0551701378142811,0.031066058107931,0.0449366657855054,0.0336175591310355,0.0214872976925265,0.0613367415923544,0.0417744151911289,0.0236182656049912,0.0517098180242727,0.0767845479602965,0.075230715114039,0.0290317431466732,0.0432826168157249,0.0479468117966522,0.0272432973740276,0.0575969786816003,0.0437052542430285,0.0545230493726312,0.0641688754343563,0.0364519742732455,0.0840530155978959,0.0227819737793642,0.062276522721956,0.0359090666007133,0.0452693188790145,0.0485177569620287,0.022448021945247,0.0508706474486673,0.0432012077091312,0.0232185702517943,0.0493026748773052,0.0526278335129515,0.0683016150569933,0.0333313278017706,0.0367231643893635,0.0412238756663055,0.0309804183670149,0.0552296143001101,0.0459742051172771,0.0519231479726926,0.066803276149082,0.0290327448933211,0.0462582165386723,0.0277343272253677,0.0591738573601463,0.0315165062190265,0.04513682228286,0.0421775403694261,0.0214375392341717,0.0554544411022818,0.049297111851238,0.0234372359148754,0.0427585441855609,0.0990107970373659,0.0579416316551223,0.0308151571587676,0.0304461017215881,0.0501644247646207,0.0398223572295401,0.054170403370985,0.0390537602704658,0.0531710725189485,0.05562421560816,0.0453979363808092
"FEDm_5",0.0763013982511143,0.0239721678738497,0.0581398786865444,0.0341100086890146,0.0486918576856007,0.0381020178335355,0.0234395198891879,0.0553889668166085,0.0473030108030664,0.0246601924156214,0.0526552238493095,0.0585766991964929,0.0583845822287608,0.0276642162039937,0.0365277220527708,0.0426363395961663,0.0394936852182969,0.0506352021606136,0.056436553461091,0.051880951659998,0.0593131487669717,0.0356866566613915,0.0557325384604617,0.0281519690084098,0.0712610830976212,0.0345350992312216,0.0368192337495969,0.0433075127366442,0.02194012798978,0.0473832844504317,0.0453743043423289,0.024431225760953,0.0515042511377149,0.0923390207274729,0.055201196499941,0.0274376654924049,0.040177366302551,0.0408033295395579,0.0419665903948862,0.06614506440621,0.0357205702188909,0.0600249892158719,0.039083510433311,0.0406600668037384,0.0670224387131025,0.0235678944931898,0.0353146502100693,0.0254293094639783,0.0470085030413091,0.043726416283214,0.0205313824894352,0.0445535933164423,0.0422600978090339,0.0236454548313654,0.0420423414634425,0.106019977907418,0.0789026978794725,0.0236008156030673,0.0387822158255336,0.0497986973301634,0.0364804880931377,0.0419309732288895,0.0593830728118592,0.0552755265159891,0.0621885577881005,0.0325348949017866,0.0487810848642485,0.0259761758538038,0.0610945768438809,0.0398184710355357,0.0508004006993566,0.0404157935480312,0.0231323906673153,0.0633493164994327,0.041178073946828,0.0277679548842317,0.0582971067591645,0.074587425664765,0.0637682251813958,0.0393920992916085,0.0377866452482436,0.0486338656460057,0.029038618247121,0.0440052932543319,0.0413054721452242,0.0487310052035426,0.0573960135855534,0.0347439909303794
"FEDm_6",0.0683763047121635,0.0247378023374609,0.0532144699320332,0.031063617486872,0.0461098214519507,0.049872219688939,0.0206383465956959,0.0415235948120057,0.0400393674452133,0.0241350588984058,0.0634581629545031,0.0819090657431579,0.0754038839898968,0.0311162764003718,0.0336385590040685,0.0437488409356564,0.0415542503644276,0.0458451772672624,0.0489721801966246,0.0562385722096214,0.0473195033919014,0.0310849241817681,0.0557096254194598,0.0255020949464061,0.0380620122935418,0.0278677296642998,0.0534172519635821,0.0394022765905,0.0218707967049303,0.0474585499961,0.0414741339298043,0.0249815136258962,0.0501650538102403,0.109675227563577,0.0717194650589891,0.0303058323401355,0.0394930025174443,0.0481752920128296,0.0324668003608689,0.0389500239701424,0.0536932935008741,0.0506878160369509,0.0674586854790756,0.0314635222143524,0.0453660588385128,0.0277313684388458,0.0518809898699172,0.0228183305655427,0.0850994632293808,0.0344714663894205,0.0187610741579078,0.0471527068688845,0.0411081872874868,0.0232818268367641,0.0494788121011437,0.0683629259112535,0.0704334516174308,0.0290299773026075,0.0301168906800716,0.0570134106278461,0.0276618142972762,0.0673053936836971,0.0387690888415871,0.0596130165072075,0.0621417106732711,0.0424020352739449,0.0488290902492923,0.025723159106839,0.0633099832132768,0.026869629571796,0.0401416633394789,0.0380341589954804,0.0231406073221029,0.0443370049113161,0.0439829974086517,0.0234611202392308,0.0493964555379524,0.0827562425772135,0.0657152866180641,0.0310503913309396,0.0405959695757527,0.0536090907092911,0.0324469521214586,0.0751503909310639,0.032640051756552,0.0608469100809638,0.0551978763174101,0.0427649680858731
"FEDm_7",0.0426877383611336,0.0257609063090422,0.0678461658584514,0.0352344870379279,0.0744988524677799,0.028607330572178,0.0212569964733187,0.0533569662722818,0.0432229328196317,0.023216588277898,0.0494482802485117,0.0658058732836453,0.052940828956541,0.0279938764096254,0.028455354890009,0.0587501154948691,0.0296597405769958,0.066293603567402,0.0328666468328134,0.0591787101607712,0.0693857462010978,0.043532258928075,0.0569353721910609,0.0243409599385487,0.049514252066254,0.0238682051076483,0.0453475769621558,0.0394575452147734,0.0210110321344009,0.0407646740211895,0.0357891712630342,0.0223550009840002,0.0487734199759937,0.0927267324900563,0.0775553593566745,0.0242426126938756,0.0339777394164826,0.0479171908892084,0.0243006987690029,0.0955814065693837,0.0301090045375812,0.0686636348175941,0.0533143251900667,0.0434540854110146,0.0578699671737562,0.0252051641124487,0.0560547444215947,0.0248552941768551,0.0425381110246867,0.0455977144790918,0.0220800621303295,0.0448234226408101,0.0383817974081157,0.0212185265214559,0.0485111161024467,0.103378465356275,0.0691665078126915,0.0236306074236454,0.0353186783584203,0.053257681216538,0.0368235282255891,0.0479160069440906,0.0442560674772891,0.059964817687214,0.065441214166769,0.0337105051398873,0.0642957020789581,0.0219704759252968,0.0648787680175507,0.0328158583595117,0.0564123466107496,0.0296211541279352,0.0212279389568548,0.0534126114513711,0.0447693303652322,0.025782050828838,0.0632660864260004,0.0577073945090078,0.0453264750977959,0.0384879018005501,0.035766085762933,0.0620133646319014,0.0350807160245637,0.0497124582103566,0.0488677515480255,0.0504877309000322,0.0620964057152017,0.0360013926513333
"FEDm_8",0.0518671732255354,0.0236211591104815,0.055194090240681,0.0255965930115483,0.0376731435700423,0.0453711965437109,0.0223090667272124,0.043471586127795,0.0392976146223559,0.0221216226125156,0.053661520998112,0.0982740210887677,0.0714289426636337,0.0301321507711186,0.0324423197787977,0.0563290183743081,0.036810878982868,0.0557911295440874,0.0402136230618519,0.0627811519671707,0.0646280829138176,0.0309839140635885,0.060239944576594,0.0226634851402076,0.0622317796476006,0.0305104191645369,0.0518690768310883,0.031642164666481,0.0196554441363806,0.0464008070314874,0.0424973218723841,0.0236801810712869,0.0543136105855783,0.0863945510557792,0.057294570707941,0.0307377762199554,0.0332724827398322,0.0603431350482371,0.032204678116222,0.0428708688343478,0.0516911113637794,0.0567339877766693,0.0679312136263533,0.0348213897872577,0.0540353399663937,0.0273127275190153,0.0555961523465667,0.0304678950560281,0.0380621448788794,0.0565192728699763,0.0210252587523943,0.0430905277617984,0.0404337904430058,0.0229970194572847,0.053119031730365,0.0986243005994963,0.0787347005257859,0.0326913239241832,0.0311799219468777,0.0510241758136065,0.028869332953708,0.0451788706903425,0.0448686337801851,0.0553219747942219,0.0575530014746313,0.0332946027152539,0.0616173743387128,0.0205292583438911,0.0627805414458973,0.0295420745608591,0.040696223546835,0.061099915404398,0.0211988873541196,0.0544271399918559,0.0476440868468716,0.0237806140823181,0.0539623700933245,0.0725652021605595,0.0594026314330363,0.0268237790079938,0.0323656263038449,0.0519267443587354,0.0362573022469488,0.0443836732197929,0.0581615912826712,0.0562651774706646,0.0502237200978913,0.0343460664087781
"FEDm_9",0.0540353399663937,0.0273127275190153,0.0555961523465667,0.0304678950560281,0.0380621448788794,0.0565192728699763,0.0210252587523943,0.0430905277617984,0.0404337904430058,0.0229970194572847,0.053119031730365,0.0986243005994963,0.0787347005257859,0.0326913239241832,0.0311799219468777,0.0510241758136065,0.028869332953708,0.0451788706903425,0.0448686337801851,0.0553219747942219,0.0575530014746313,0.0332946027152539,0.0616173743387128,0.0205292583438911,0.0627805414458973,0.0295420745608591,0.040696223546835,0.061099915404398,0.0211988873541196,0.0544271399918559,0.0476440868468716,0.0237806140823181,0.0539623700933245,0.0725652021605595,0.0594026314330363,0.0268237790079938,0.0323656263038449,0.0519267443587354,0.0362573022469488,0.0443836732197929,0.0581615912826712,0.0562651774706646,0.0502237200978913,0.0343460664087781,0.0501648419431097,0.0221473534120828,0.0733027508759977,0.0366365878039822,0.048787358002526,0.0817302554890663,0.0192083799758896,0.0669444623074641,0.0433999628187896,0.0225989214920337,0.0484419737579624,0.0606152043729537,0.062450671738544,0.0240398204105729,0.030913335042555,0.0597966067399134,0.0341645633452312,0.0498469584534969,0.0315270350308678,0.0528517297350774,0.0541585540918729,0.026272673160011,0.0469241406451475,0.0257874115480617,0.0680159355562662,0.0347493234195341,0.0445394255923498,0.0444995001270092,0.0213732232142667,0.0578273140358339,0.0457332753528643,0.0256933007344037,0.0535087845173488,0.0800910378216469,0.0652183945166222,0.0309324350324843,0.0267198076800859,0.0574240201352846,0.03462229584845,0.0518957378620035,0.0353969371529522,0.0494721060469027,0.0588715216737394,0.0407040714867425
"FEDm_10",0.040016727553982,0.0217893895181944,0.0779132646930202,0.0399863986536058,0.0503878806311117,0.0484160900333538,0.0202935030900347,0.0475822732032389,0.0427652288789896,0.0235932433148002,0.0579880850609982,0.0677054999483187,0.0657692709231098,0.023046550153988,0.0332001863044095,0.0557694075902525,0.026565564647138,0.0462050120431329,0.0523785999532154,0.0601474578070809,0.0610757001707294,0.0374046658272955,0.0484143501086168,0.0265395481900008,0.0616467904014582,0.0323480952206548,0.0424017507901002,0.0719172434714779,0.0209805039526723,0.0533637698216791,0.0422873046951957,0.0248689209053008,0.0560111105399213,0.0781747818594945,0.0653540437106163,0.0288079799603049,0.0309367225552013,0.0555136221659428,0.0345899003660574,0.0458131387581099,0.0340541082299052,0.0550906890995378,0.0621044083390549,0.0287812168586972,0.0537365889323665,0.0249803104013571,0.0716924058167637,0.039442399114063,0.0466434568061992,0.0841846123086852,0.0210308306897707,0.0724718414477429,0.0392726954870671,0.0239485900212012,0.0614909291241279,0.0586995673394319,0.0475033583432789,0.0317373575890655,0.038006009670436,0.0443884640453642,0.0380691721722341,0.0404637660208834,0.0278204611821735,0.0500589562355536,0.0588473162354127,0.025510911016822,0.0715302704914577,0.0237316227203947,0.0588191923053943,0.039742579379734,0.0472048338908253,0.0532544407579712,0.0212244339532935,0.0626377413056505,0.0439163495645022,0.0253576827299837,0.0520215572617362,0.061741654674462,0.0641954226294872,0.0293090549335909,0.0254783740705154,0.056089039630418,0.0334437030955589,0.0532538486322998,0.0319784846010009,0.060782870407541,0.0582336466476032,0.0260531963165796
