"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","year, last, first, month, time, two, sinc, end, still, week, ago, next",0.0209,0.0227,0.0322
"Topic 2"," ","busi, like, store, one, retail, open, shop, small, custom, new, mani, two",0.0174,0.0253,0.0324
"Topic 3"," ","inflat, polici, committe, risk, particip, member, expect, monetari, outlook, feder, fund, condit",0.0808,0.0436,0.0155
"Topic 4"," ","stock, percent, point, index, fell, rose, gain, share, investor, earn, price, close",0.0214,0.0205,0.0431
"Topic 5"," ","industri, product, manufactur, factori, car, plant, produc, order, cost, airlin, high, electr",0.0255,0.0255,0.0241
"Topic 6"," ","report, month, sale, week, show, rose, percent, data, depart, expect, fell, releas",0.0235,0.0206,0.0344
"Topic 7"," ","hous, home, real, estat, new, apart, year, price, sale, properti, rent, start",0.0244,0.0225,0.0246
"Topic 8"," ","health, cost, care, insur, year, save, pay, plan, benefit, retir, pension, system",0.0175,0.0286,0.0284
"Topic 9"," ","fed, interest, feder, reserv, polici, term, rais, economi, point, short, meet, inflat",0.0226,0.0304,0.0308
"Topic 10"," ","loan, credit, mortgag, borrow, interest, debt, payment, lender, card, consum, lend, pay",0.0277,0.0336,0.0241
"Topic 11"," ","price, inflat, oil, energi, increas, consum, month, rise, food, core, higher, cost",0.0466,0.0265,0.0211
"Topic 12"," ","bond, treasuri, yield, secur, million, note, issu, debt, week, price, corpor, bill",0.024,0.0221,0.0255
"Topic 13"," ","tax, cut, budget, state, spend, billion, year, govern, deficit, propos, fiscal, increas",0.0184,0.0233,0.0328
"Topic 14"," ","school, incom, peopl, famili, work, educ, univers, student, program, class, live, studi",0.0171,0.029,0.0314
"Topic 15"," ","quarter, spend, increas, consum, inventori, busi, pace, fourth, declin, continu, sale, second",0.0729,0.0252,0.0169
"Topic 16"," ","citi, new, develop, build, york, plan, project, million, center, area, offic, communiti",0.0171,0.0258,0.0351
"Topic 17"," ","percent, year, increas, last, averag, compar, accord, annual, rise, sinc, figur, total",0.022,0.0223,0.0329
"Topic 18"," ","committe, direct, feder, reserv, purchas, condit, secur, financi, polici, agenc, maintain, stabil",0.0582,0.034,0.0142
"Topic 19"," ","american, unit, state, countri, nation, world, america, south, war, north, militari, brazil",0.0164,0.0231,0.0294
"Topic 20"," ","presid, offici, administr, hous, meet, white, plan, congress, secretari, week, agreement, deal",0.0167,0.026,0.0355
"Topic 21"," ","member, particip, continu, recent, activ, effect, relat, busi, expans, pressur, labour, demand",0.0686,0.0378,0.0156
"Topic 22"," ","period, remain, expect, term, continu, declin, somewhat, project, staff, reflect, balanc, littl",0.0703,0.0289,0.0136
"Topic 23"," ","govern, minist, polit, russia, prime, reform, leader, power, offici, russian, countri, privat",0.0163,0.0247,0.0342
"Topic 24"," ","fund, invest, investor, manag, money, stock, asset, firm, return, financi, capit, valu",0.0223,0.0346,0.0267
"Topic 25"," ","new, state, law, rule, case, board, agenc, regul, group, servic, york, commiss",0.0176,0.0421,0.0337
"Topic 26"," ","european, europ, euro, countri, union, germani, german, franc, greec, debt, zone, french",0.0175,0.0227,0.0292
"Topic 27"," ","peopl, say, get, now, one, just, want, like, think, time, thing, make",0.0156,0.0249,0.0425
"Topic 28"," ","trade, dollar, japan, foreign, currenc, export, import, unit, japanes, exchang, valu, yen",0.0274,0.0243,0.024
"Topic 29"," ","even, like, way, much, one, seem, just, make, now, problem, differ, long",0.0185,0.0533,0.0373
"Topic 30"," ","economi, growth, spend, slow, recoveri, product, demand, consum, forecast, recess, domest, weak",0.033,0.0279,0.0264
"Topic 31"," ","presid, elect, polit, vote, support, polici, new, candid, issu, conserv, state, former",0.0172,0.0255,0.0343
"Topic 32"," ","bank, financi, central, crisi, govern, billion, institut, money, capit, financ, lend, system",0.0221,0.0486,0.029
"Topic 33"," ","china, state, world, global, countri, unit, chines, asia, year, develop, india, like",0.0178,0.0257,0.0279
"Topic 34"," ","compani, million, billion, share, busi, profit, execut, corpor, year, analyst, sale, oper",0.0167,0.0232,0.0357
"Topic 35"," ","job, worker, unemploy, employ, labor, wage, work, month, hire, hour, benefit, number",0.0279,0.0251,0.0255
