"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","economi, recess, year, recoveri, time, now, fall, last, even, still, growth, cut",0.0184,0.0242,0.0314
"Topic 2"," ","say, get, peopl, now, think, just, want, make, one, thing, like, time",0.0141,0.0231,0.0365
"Topic 3"," ","polici, inflat, committe, expect, risk, particip, member, longer, feder, monetari, term, outlook",0.0762,0.0395,0.0137
"Topic 4"," ","report, percent, month, week, show, depart, data, rose, last, fell, expect, sinc",0.0199,0.0188,0.0326
"Topic 5"," ","stock, percent, point, index, fell, rose, gain, investor, price, close, share, day",0.0185,0.0183,0.04
"Topic 6"," ","govern, polit, minist, russia, countri, war, nation, power, militari, prime, reform, russian",0.0145,0.0214,0.0333
"Topic 7"," ","committe, reserv, feder, direct, secur, condit, financi, stabil, agenc, polici, maintain, growth",0.0532,0.0307,0.0128
"Topic 8"," ","build, develop, citi, project, plan, new, center, area, space, communiti, offic, million",0.0155,0.0233,0.0304
"Topic 9"," ","program, health, care, insur, help, provid, cost, need, peopl, year, servic, feder",0.016,0.0257,0.0253
"Topic 10"," ","price, inflat, increas, consum, month, energi, measur, expect, rise, core, cost, higher",0.0487,0.0246,0.0173
"Topic 11"," ","loan, credit, mortgag, borrow, debt, interest, lender, card, payment, lend, home, month",0.023,0.0306,0.022
"Topic 12"," ","growth, member, expans, effect, forecast, project, staff, potenti, demand, expect, pressur, outlook",0.0581,0.0339,0.0142
"Topic 13"," ","bond, secur, treasuri, million, yield, note, issu, debt, week, price, bill, percent",0.0187,0.0193,0.0242
"Topic 14"," ","new, state, york, citi, year, million, governor, local, offici, public, last, servic",0.0154,0.0205,0.0255
"Topic 15"," ","oil, product, industri, price, energi, produc, manufactur, gas, suppli, demand, high, plant",0.023,0.0227,0.0217
"Topic 16"," ","fed, interest, feder, polici, economi, reserv, rais, term, point, short, growth, expect",0.0204,0.0275,0.0285
"Topic 17"," ","one, year, peopl, day, like, two, work, first, time, live, back, just",0.0149,0.0214,0.0361
"Topic 18"," ","consum, sale, spend, retail, inventori, increas, motor, vehicl, store, car, month, auto",0.0357,0.0202,0.0186
"Topic 19"," ","period, term, declin, chang, littl, remain, intermeet, increas, spread, balanc, net, equiti",0.0546,0.0272,0.0122
"Topic 20"," ","way, like, one, chang, even, use, make, need, seem, world, new, much",0.017,0.0533,0.0332
"Topic 21"," ","hous, home, real, estat, new, year, apart, sale, price, rent, start, properti",0.0221,0.0202,0.0226
"Topic 22"," ","presid, elect, vote, polit, hous, administr, support, white, polici, congress, candid, issu",0.0148,0.0217,0.0334
"Topic 23"," ","rule, law, case, regul, board, agenc, group, commiss, requir, public, protect, use",0.0157,0.039,0.0295
"Topic 24"," ","quarter, growth, busi, first, pace, second, equip, fourth, increas, third, product, real",0.0585,0.0231,0.016
"Topic 25"," ","school, incom, educ, univers, peopl, student, famili, high, american, work, class, studi",0.0159,0.0262,0.0268
"Topic 26"," ","fund, invest, investor, manag, stock, money, firm, asset, capit, return, financi, valu",0.0194,0.0314,0.0243
"Topic 27"," ","european, europ, euro, countri, union, germani, german, franc, greec, debt, govern, zone",0.0159,0.0203,0.0271
"Topic 28"," ","percent, year, last, averag, month, increas, two, sinc, three, compar, accord, half",0.0195,0.0196,0.0309
"Topic 29"," ","bank, financi, central, govern, crisi, billion, institut, money, lend, financ, capit, banker",0.0194,0.0446,0.0271
"Topic 30"," ","offici, meet, week, plan, deal, announc, negoti, today, agreement, presid, call, confer",0.0163,0.0229,0.0305
"Topic 31"," ","billion, quarter, share, year, million, profit, expect, analyst, earn, percent, compani, result",0.0173,0.0192,0.0278
"Topic 32"," ","american, unit, state, countri, trade, world, nation, america, south, intern, mexico, north",0.0152,0.0217,0.0267
"Topic 33"," ","tax, cut, budget, spend, billion, year, govern, propos, deficit, plan, fiscal, increas",0.0167,0.0211,0.0284
"Topic 34"," ","dollar, trade, japan, currenc, foreign, export, import, japanes, valu, exchang, yen, deficit",0.0257,0.0221,0.0208
"Topic 35"," ","pay, money, save, year, cost, account, retir, pension, mani, even, much, plan",0.0154,0.0255,0.0266
"Topic 36"," ","continu, remain, recent, activ, particip, indic, improv, busi, level, suggest, sector, growth",0.0596,0.0266,0.0139
"Topic 37"," ","china, chines, countri, asia, year, state, world, global, govern, india, economi, hong",0.0165,0.0216,0.0237
"Topic 38"," ","compani, busi, execut, industri, corpor, oper, new, custom, technolog, deal, servic, manag",0.0149,0.0242,0.0318
"Topic 39"," ","job, worker, unemploy, employ, labor, work, wage, hire, month, forc, hour, year",0.0254,0.0226,0.0228
