"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","compani, billion, million, year, share, profit, quarter, analyst, execut, earn, expect, first",0.0198,0.0246,0.0362
"Topic 2"," ","growth, spend, consum, forecast, slow, continu, expect, pace, recent, household, real, project",0.0627,0.031,0.0217
"Topic 3"," ","polici, inflat, committe, expect, particip, risk, member, longer, outlook, condit, term, feder",0.0861,0.0471,0.0169
"Topic 4"," ","stock, percent, point, index, fell, rose, gain, investor, share, close, price, week",0.0235,0.023,0.0461
"Topic 5"," ","economi, year, recess, last, still, now, even, time, fall, sinc, mani, back",0.022,0.0298,0.0388
"Topic 6"," ","presid, administr, vote, elect, polit, hous, support, white, polici, issu, congress, candid",0.0188,0.0288,0.0426
"Topic 7"," ","health, program, cost, pay, care, insur, year, money, plan, save, peopl, benefit",0.0193,0.0327,0.0341
"Topic 8"," ","fed, interest, economi, polici, feder, reserv, rais, term, point, central, meet, short",0.0252,0.0348,0.0349
"Topic 9"," ","hous, home, year, mortgag, real, estat, new, sale, apart, start, price, properti",0.0281,0.0261,0.0279
"Topic 10"," ","price, inflat, increas, consum, month, measur, rise, energi, expect, year, core, higher",0.0563,0.0296,0.021
"Topic 11"," ","bond, treasuri, secur, yield, million, year, note, issu, week, percent, debt, new",0.0244,0.0242,0.0283
"Topic 12"," ","oil, price, product, energi, produc, industri, year, demand, gas, suppli, fuel, food",0.024,0.0273,0.0274
"Topic 13"," ","percent, year, report, month, last, week, show, sinc, increas, depart, rose, figur",0.024,0.0238,0.0444
"Topic 14"," ","member, recent, busi, particip, effect, activ, relat, might, continu, note, like, howev",0.0686,0.043,0.0185
"Topic 15"," ","compani, busi, industri, new, like, store, technolog, custom, car, execut, make, sale",0.0196,0.0326,0.0357
"Topic 16"," ","get, way, make, now, one, think, like, much, just, even, need, thing",0.019,0.0478,0.0463
"Topic 17"," ","european, europ, euro, bank, countri, central, union, germani, govern, german, franc, greec",0.0203,0.0288,0.0344
"Topic 18"," ","china, countri, world, state, unit, chines, global, south, develop, govern, american, asia",0.0199,0.0285,0.034
"Topic 19"," ","quarter, product, sale, inventori, increas, manufactur, good, busi, declin, order, equip, sector",0.0681,0.0273,0.0211
"Topic 20"," ","peopl, one, day, year, time, like, say, work, now, just, two, get",0.0183,0.027,0.0462
"Topic 21"," ","period, remain, term, declin, continu, chang, littl, increas, balanc, intermeet, spread, somewhat",0.0643,0.0338,0.0159
"Topic 22"," ","govern, polit, nation, minist, russia, countri, war, state, power, militari, reform, offici",0.0183,0.029,0.042
"Topic 23"," ","committe, feder, direct, reserv, financi, secur, condit, stabil, maintain, polici, agenc, rang",0.0597,0.0379,0.016
"Topic 24"," ","bank, loan, credit, financi, borrow, debt, interest, mortgag, lend, lender, financ, money",0.0276,0.052,0.0323
"Topic 25"," ","trade, dollar, japan, unit, foreign, currenc, import, export, american, japanes, state, valu",0.0289,0.0275,0.0272
"Topic 26"," ","state, deal, new, rule, law, offici, group, case, board, regul, agenc, agreement",0.0197,0.045,0.0405
"Topic 27"," ","fund, invest, investor, manag, money, stock, firm, capit, asset, financi, return, valu",0.0238,0.0389,0.0312
"Topic 28"," ","tax, cut, budget, state, spend, year, billion, govern, plan, deficit, propos, increas",0.0208,0.0266,0.036
"Topic 29"," ","citi, new, build, develop, york, project, plan, million, center, offic, area, communiti",0.0194,0.029,0.0392
"Topic 30"," ","school, incom, univers, educ, peopl, year, student, american, famili, studi, high, class",0.0202,0.0346,0.0344
"Topic 31"," ","job, worker, unemploy, employ, labor, work, wage, month, benefit, hire, forc, hour",0.0294,0.0279,0.0289
