"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0430223127953289,0.0517223158411213,0.0496896842099386,0.1748021823417,0.0602696515494606,0.043327960449021,0.172504848313084,0.0582703411905734,0.0380566904832651,0.0793947434300863,0.0466582271716721,0.0503949841520145,0.0487554026638223,0.0391833732050059,0.0439472822039055,0.0096052657948043,0.00568897565696632,-0.00059034450149004,0.0279555652024366,-0.000126530090992766,0.00946374298312734,0.0540703766123315,0.00635408440116824,0.00393848887665869,0.0155460646541962,9.20340996431288e-05,0.00198171604797777,-0.00300022337142209,0.00381547825462693,0.00692069070819542
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0405108763633482,0.0508034767290187,0.0481526206052896,0.198028242190076,0.0587395165332429,0.043281337186156,0.150216133389083,0.065864097747459,0.0382984348915042,0.0785844348193529,0.0411831182166063,0.0514905092349635,0.0507597809132594,0.03793843786313,0.0461489833175105,0.00538096423922127,0.00831505464804339,0.00237239845419546,0.0283059093959031,0.0112364148489334,0.0116034817933419,0.0385120367705925,-0.00144461973371544,0.00585940045592504,0.0265060349287295,0.00373459128668986,0.00403510522804108,-0.00991933326806831,0.00519913043535261,0.00945499663039681
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0389514400918853,0.0494475483183152,0.0459440035962382,0.193074891910546,0.0516248736007835,0.0445841797621306,0.161073021559573,0.0609505106588857,0.0432490443432786,0.085044325755514,0.0414267019758551,0.0470543538575572,0.0512049387070369,0.042411909105308,0.0439582567570922,0.0076210382799275,0.00121439274298985,0.00751638474003533,0.0173980050401352,0.00669814506952697,0.0140676321709746,0.0351996320698925,-0.00732842015841884,0.00209942785508856,-0.00212845894639419,0.00118460579242605,0.00252366237123915,-0.00815504789212613,-0.00299220379760693,0.00574216387182125
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0408218762049519,0.0566402887814969,0.0489475436513069,0.193720675419923,0.0545592514772171,0.0429791255541099,0.163098639328435,0.0606747255737067,0.0384536443513947,0.085180211846529,0.0417380534798498,0.0449998567684934,0.0486097613435104,0.0365827954868723,0.0429935507322032,0.0121386731168633,0.00431924965448965,0.0102097742792967,0.0489091700744554,0.0153692488112713,0.0106564213519166,0.0412928114990431,0.00473223196119985,0.00619775614748975,0.0183167464917797,0.0056443878286573,0.009264441353115,0.000546861051129398,0.00801216073134503,0.0074910031045203
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0484127642677467,0.054434380722829,0.0465852064612974,0.17273228798724,0.0567473569479498,0.0472705626256052,0.155560518088136,0.0510272398521219,0.0400111120211526,0.0900560162603,0.0403709274543387,0.0506676628200757,0.0578630728393495,0.039948801083258,0.0483120905685994,0.00957260438806193,0.00887710008903047,0.0125527701114583,0.0665850389207534,0.0149892389033235,0.0189724323414763,0.0426387711057205,0.00883519822038785,0.00810875891911663,0.00638585199852619,0.0130037071820401,0.00977712090769949,-0.00181656525406076,0.00845635998025327,0.00619094065844464
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0479790474453126,0.0516561049168818,0.0492625742722038,0.178208070256359,0.0542540334169305,0.0426064262480562,0.162729928381968,0.0583407265064424,0.0403448530041757,0.0842671038111814,0.0409237007811632,0.0506023744780364,0.0499737518123829,0.0409016849378228,0.0479496197310833,0.00548844557455313,0.00658137608315365,0.00442775456947004,0.0326832105568134,0.00748188335754253,0.0114352565038947,0.0173088099346512,0.00269889775467828,0.00237134069380062,0.0144378036729128,-0.000907073965976254,0.0150510895176465,-0.00757690490531406,0.00217446628656921,-0.000253662046650061
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.040498621030844,0.0525693677906014,0.0451823532813579,0.17114710604917,0.0596855869167814,0.0490192628969681,0.157255197782184,0.0643893805867291,0.0399526738990318,0.0895067950839929,0.0378955861140602,0.0444997614861768,0.0544541048936064,0.0407902903668884,0.0531539118216077,0.0275385132952281,0.0243434028523053,0.0208478696656934,0.10149300336195,0.0423009320213485,0.0395663544193873,0.0982094888457165,0.0283073283894297,0.0240241535163281,0.064994748351132,0.0219267365207597,0.0266650664041863,0.0205531158933837,0.0234500742013246,0.0268797817920742
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0422363358700163,0.0531472759281579,0.045295372107924,0.190300434000445,0.0555766367084933,0.0457102470327366,0.145191798054654,0.0632419501902969,0.0381795248982892,0.0938910464260502,0.0413775049223848,0.0434337947574845,0.0523641512924926,0.0435899117016115,0.0464640161089628,0.0275895756606552,0.0286354986861602,0.024908543726631,0.0676288135476724,0.0336461180115758,0.0280394802794484,0.129693264859092,0.0291799383532075,0.0192114655785613,0.0628744500395253,0.0134890616979214,0.0241132587854111,0.0264354455867889,0.0203283100769521,0.0288228723652425
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0469826766008539,0.054531960548994,0.0412232993645496,0.184572350535731,0.0505950195394287,0.0449542738880041,0.17252981947798,0.0626664645973373,0.0386982871603978,0.0797517615089531,0.042632336398189,0.0433885339612238,0.0472162366071515,0.0423376343686486,0.0479193454425575,0.0284052548780908,0.0298137964025554,0.0241744375611389,0.093827549611526,0.0346319107005578,0.0313139954192093,0.109224268223416,0.0332076306255196,0.0227454006970293,0.0395708139487511,0.0205449741345198,0.0221086659110303,0.0221482941806604,0.0259517508167891,0.0239224403144585
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.042896121609525,0.0491682342161761,0.0380518625887587,0.193704542535647,0.0555300579699217,0.0418277287408877,0.147218237351474,0.0689661787994584,0.0445348013155406,0.0894673535381175,0.0407994123592781,0.0461989919600395,0.0524403849329494,0.0445874647687288,0.0446086273134972,0.00501324625125809,0.00200468625434163,0.00631145188398105,0.0500460095115831,0.0071942052891621,0.00761395482138588,0.00451749684238782,0.0030814510994998,0.00795706668625642,0.0172890303364337,0.007300126332089,-0.00762123078360838,0.00383165507023206,0.00514046316225509,0.00426175247425019
"FEDm_11","1994-05-17","1994-07-08","1994-04-01",74.3030303030303,0.0421108152300535,0.052613503007018,0.0361445529904576,0.166218018295373,0.0498029784834643,0.0425434196855976,0.175749229402608,0.0596038188840678,0.0397035550236982,0.0966477426883388,0.0419740186751888,0.0476875068423354,0.0542754736409355,0.0453043605956345,0.0496210065552282,0.00659373999140704,0.00250157869056832,0.00701186963659757,0.0440863665025024,0.0129522423919404,0.00846309825309562,0.0137193108874168,0.00575611054565038,0.00669368970835985,0.0120806620945834,0.00417327090231524,0.0105902425617045,0.0054203078580453,0.00747362971510858,0.00329686007797584
