"speech_id","date","quarter","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent"
"SPEECH_370","1996-06-13","1996-04-01",0.0488830264442443,0.00242866380654644,0.00764411704555625,0.00425531530931183,0.00135945280708504,0.00635969139451401,0.0695382567150817,0.00135945278979206,0.00135945279379506,0.0285140228045533,0.00135945280789339,0.00449561008488304,0.0113556147285314,0.0100881794094758,0.0297196848147267,0.0203911303364174,0.236928614157669,0.251997242062365,0.0106348661109084,0.0224905075309883,0.0150931367744517,0.0137888677662702,0.00250136433376084,0.0264270349786347,0.00135945280609117,0.00135945282401897,0.00555255831600445,0.00736815669525298,0.150741921528387,0.00464570002278966,-0.00058390497056944,-0.000208275416826729,-2.38215020653873e-05,-0.000291172685676804,-1.73448819107627e-05,-9.42716273395945e-05,-0.00387414306061818,-1.73448819877432e-05,-1.73448817224515e-05,-0.00196444976209739,-1.73448813402924e-05,-0.000117363476071452,-0.000390011260084018,6.24499309962654e-06,-0.000903029290188942,-0.00056765194839141,-0.00449531523188053,-0.00942613067711618,-6.61326156302454e-06,0.00067234625037862,0.00059370862049008,-0.000795923037957963,2.00948403188833e-05,0.00180428365456293,-1.73448824145142e-05,-1.73448823892536e-05,0.00054173585104931,-0.000279695077542369,-0.00562077615363828,-4.54494047013461e-05
"SPEECH_546","1996-06-18","1996-04-01",0.0171224285787753,0.00104972949980119,0.0967667815477562,0.00104972950270583,0.00928412799089891,0.00104972950069767,0.0525497331270738,0.00104972948218699,0.0168044270737779,0.00926832016351503,0.0603906828110606,0.00104972952451619,0.0681944311571716,0.00104972958553561,0.0242059312036707,0.00434695594094793,0.26407409133337,0.12158901569722,0.00104972950135258,0.0143273371326325,0.00216688468828108,0.0859275190121746,0.00427081765162045,0.0159020987726929,0.00104972949884155,0.00104972966542684,0.0140654658852428,0.0442604284608164,0.0639852265222719,0.0010497294879642,-0.000121612545001133,1.06272296063381e-07,0.00090982552123981,1.06271827767563e-07,0.000249309204230994,1.06271815952846e-07,0.00149570908443544,1.06272322026526e-07,0.000113443149483061,0.000173991794040398,-0.000254174897421167,1.06272596146488e-07,-0.00267189881452488,1.06272295704858e-07,-0.000508605588377222,2.75831591065663e-05,-0.00336640740395809,0.0012066458658246,1.06272350102919e-07,-0.000331833918188375,9.41589883044865e-06,0.000118629525359283,1.06272129461535e-07,-8.37343451076408e-05,1.06272143370755e-07,1.06272480668849e-07,-7.93551319666309e-06,0.00166910799338136,-0.0019829064190111,1.0627253944108e-07
"SPEECH_647","1996-09-08","1996-07-01",0.00346912781233067,0.00515500530056198,0.00356647475415273,0.124234924386779,0.0142373637706117,0.00173960567849012,0.126858568243692,0.00645647648416882,0.0017396056796176,0.0181869609266295,0.00173960570937683,0.00309332774015434,0.00173960565769513,0.0243267141981895,0.225933910590056,0.00173960573389814,0.113463475563557,0.00745282489959589,0.0093783267854562,0.00173960582436693,0.00379862854992538,0.0244618506664563,0.00173960566274986,0.0209936278597346,0.0166978052129552,0.0258319208505328,0.00173960567821989,0.0108257829139621,0.159338884857849,0.0383211720082358,-0.000141517758102672,-0.000403705686395246,-0.00014151772130651,-0.00506007973158803,-0.000846181207493187,-0.000141517718797027,-0.00479091308697002,-0.000255177255699641,-0.000141517718774459,-0.000924725113668362,-0.000141517722801002,-0.000170946459461908,-0.000141517717884436,-0.00152056716606097,-0.0127592272120964,-0.000141517728933382,-0.00292063344894107,-0.000469091316220122,-0.00205119799515129,-0.000141517747943935,-0.000179297958767508,-0.00114259601052989,-0.000141517718748285,-0.000210796359706436,-0.000314940481038096,-0.00224044027924655,-0.000141517720835904,-0.000141517721750304,-0.0101412172501479,-0.00166624686750873
"SPEECH_435","1996-09-19","1996-07-01",0.0253259625369149,0.00155225039861678,0.0675842575591499,0.00587743544817402,0.0015522504153829,0.00725414627784259,0.161985936328272,0.00155225040585133,0.00528778674329791,0.016052718872627,0.0226679214780655,0.00365939919393565,0.0731067030464536,0.00757544915595869,0.0235936349452339,0.0202979124219974,0.123742014029394,0.176148574864945,0.00155225039022046,0.00155225040821694,0.00785071410198734,0.00973037505623653,0.0511792586356263,0.0170149655218442,0.00155225039447865,0.00865738257041204,0.0312148604486254,0.0429169075282889,0.0791240589291767,0.00283812189277267,0.000763464846938631,-2.41137061749811e-05,-0.000620716913721089,-2.98314679667342e-05,-2.41137070547811e-05,0.000150564157097652,-0.00348581027115443,-2.41137064653225e-05,-0.00019921697194685,-0.00107803324222812,0.000112701903529634,-0.000102156253631669,-0.000407944241062617,-2.41137064626826e-05,0.000197095611361352,-0.00028690304710696,0.000358095381536493,-0.00476105651152902,-2.41137058390281e-05,-2.41137062940669e-05,2.249498099322e-05,-0.000280257573425578,-0.00252191525681313,-5.20648566348599e-05,-2.41137064909119e-05,-0.000890593236196539,0.000243337071238305,9.98106571969385e-05,0.000686372790748407,5.11064597841254e-06
"SPEECH_574","1996-10-02","1996-10-01",0.0146028332564849,0.00188600247368879,0.0771353771843913,0.00355585786586945,0.0263285835515749,0.00946388673255213,0.0916994455130179,0.0196522226936609,0.0382553576947043,0.0511371238711442,0.0148044849129944,0.0132123418796633,0.102865520806219,0.00188600248070973,0.00757581230117199,0.0120088307741716,0.0791503387109153,0.0906612705699351,0.0165052837400281,0.0727751007882331,0.0210796502129269,0.0130975702545925,0.00188600243769811,0.0503330715429791,0.00188600245954621,0.0128239815284122,0.00312562548221368,0.0171883499276438,0.0359069824879038,0.0975110858649531,0.000451081195278774,1.64379353691553e-05,-0.000481394165754347,-7.50609911851619e-05,0.000503409992087834,0.000116146938391821,-0.00259405739335706,-0.000756006423605116,0.00150544821301719,-0.00336646936538893,0.000260146380925167,-0.000723018032806998,-0.00415004316016595,1.64379347117774e-05,-3.72875316347808e-05,-0.00029031443620425,0.00248136120305813,0.00159752843754418,-0.00071977885315925,0.000500998105432594,-0.000315773774164648,0.00101532475831516,1.64379344414261e-05,-0.000138481164843498,1.64379343861876e-05,1.64379352821917e-05,-0.000107524367434123,-0.000716941556069835,-0.00140687270387801,-0.000943123330804414
"SPEECH_371","1996-10-05","1996-10-01",0.0857918058201678,0.00769498366953076,0.0572553379461312,0.0070185620856035,0.00573643014527369,0.00126753856240082,0.0766661316043205,0.00436283643567895,0.00439012500214451,0.00753771019985098,0.00126753856557045,0.00126753858170897,0.0325179029578574,0.0180170152369547,0.0241231284588244,0.00126753859728421,0.209652940521066,0.263051043921704,0.00126753856178383,0.00393792867518306,0.00834736873145987,0.0131272179138217,0.00543417211641048,0.0104927852033018,0.00126753857163258,0.00126753857346295,0.00126753856981503,0.00126753856764006,0.142169187647919,0.00126753855549645,-0.00195782935969722,-0.000296152342173627,-0.0030958882304259,-0.000147958560140783,-0.000287088322877708,-5.809881699517e-05,-0.00231242688008202,-5.80988181392246e-05,-2.74852256195136e-05,-8.63395551379365e-05,-5.80988181407856e-05,-5.80988220904471e-05,-0.000269604468702997,-0.00014936170601542,-0.000225059352877068,-5.8098818721575e-05,-0.00198746381875961,-0.0139255754402166,-5.8098819677121e-05,-0.000400456523323925,-0.000965769351120053,-3.7084245735557e-05,-0.000143132156601151,-0.00109846257049489,-5.80988199784411e-05,-5.8098819054125e-05,-5.80988181964494e-05,-5.8098819239602e-05,-0.0100395020819772,-5.80988181737072e-05
"SPEECH_478","1996-10-07","1996-10-01",0.0170136944952224,0.00172301907981381,0.00172301913676017,0.00172301909436274,0.00883372849136626,0.00615993892589093,0.146241808428202,0.00172301911681805,0.0504063896820671,0.00172301911797454,0.00172301909847087,0.0184428257455823,0.0584570677512769,0.0185119858236854,0.0101512852775355,0.0412270936520508,0.0865569528202207,0.0133940677188199,0.00172301909384857,0.00172301914890159,0.0198029646153413,0.0379389929992626,0.151216607453971,0.0194985824670668,0.0526347813117903,0.169991368568624,0.00172301913392434,0.0294252131958579,0.0203639966240681,0.00822348193122274,-7.97058541739146e-05,1.77180301848614e-05,1.77180311879565e-05,1.77180302194465e-05,0.000291206853260034,-0.000162157099969514,0.000739451279837044,1.77180303187212e-05,0.000240135838810816,1.77180299056711e-05,1.77180304997536e-05,0.000777709240907984,5.41732321120741e-05,1.77180310777392e-05,-0.000172508160575677,0.000150907228690197,0.00413070241692508,1.19680158620058e-05,1.77180292557715e-05,1.7718032064193e-05,-0.000198718476436383,0.000677195023062003,0.000134021239285745,-0.000648865595288559,-0.000637884210713712,-0.00189995363238845,1.77180295325515e-05,-0.000980379324404397,-0.000269329927079424,0.000129794975359589
"SPEECH_572","1996-10-09","1996-10-01",0.0116223165609169,0.00133637336341439,0.00273586628424981,0.0103804195339269,0.010763883731151,0.00210566439360597,0.212977592387539,0.0162878161840091,0.0251395086203115,0.117810659689505,0.015360956536505,0.0739066268198345,0.104297691886472,0.0159524503319067,0.0264868155385359,0.0100022856442157,0.0836329599384086,0.0474264162625506,0.00133637336740895,0.00133637338138947,0.0262640198130039,0.0114627520353579,0.0013363733688137,0.0527886684924475,0.0013363733914772,0.0532623697485768,0.00355500062559258,0.0223390166169321,0.0354200020867303,0.00133637336521079,-0.000337772007511239,-2.38220002156657e-05,3.57308898887303e-05,-0.000142669606086031,-0.00117766845522802,-7.26658746761516e-05,-0.00605421159648976,3.45196059178185e-05,-0.000351553834932758,-0.00167050357853642,-0.000167572982870535,-0.000607917104985749,-0.00303297763236883,-0.000368148502311453,-0.000565029644889664,0.000255723556346545,-0.00140302116121319,-0.0010308709567499,-2.3822000095117e-05,-2.38220002507099e-05,-0.000595968006855962,-0.00010787224843163,-2.38220008724953e-05,-0.00107599486580504,-2.3822000447078e-05,-0.001104478009364,-0.000423174907871436,-0.000246992376543521,0.00040047975939174,-2.38220000964248e-05
"SPEECH_573","1996-10-11","1996-10-01",0.071039869448463,0.00203846455756551,0.0404125675918639,0.018563785338993,0.0376954576719423,0.0108352237309406,0.175172570527306,0.00691125747553128,0.0121370833557635,0.129960642585248,0.0027259201503578,0.00112408622148336,0.0116037507022671,0.0134460652158069,0.0121411424434429,0.00336826227377464,0.0725005903208055,0.00452322606695357,0.00112408623274458,0.0110155926866078,0.027753084543849,0.00771608156253296,0.00632745418327419,0.0332128880857379,0.048240972940508,0.0433392716415156,0.00621737299777794,0.0571390407252106,0.08728079388997,0.0444333948317625,-0.00214400725420249,-7.46083003853845e-05,0.000483566707024589,-0.000351513514799937,-0.000182375874046369,9.67456763803603e-05,-0.00236195961114243,-0.000332893411474368,-0.000187581481479001,-0.0059627642559876,-4.44170086416555e-05,-1.87684028487813e-05,-0.000337775164846053,-0.000740456096146224,0.000368601659636816,-1.87684031134867e-05,0.000116049140389882,-0.00020767923504384,-1.87684034014439e-05,-0.000264051669835752,-0.000903307710896126,0.000122515944771773,-0.000108915021873387,-0.000724696140813574,-0.00317370423468156,-0.00205728410078282,-0.00010726725262649,-0.00228045642807568,-0.000474873397100017,-5.86135982918465e-06
"SPEECH_446","1996-10-16","1996-10-01",0.0165801564940714,0.0170040596775081,0.161815259304713,0.0529512346570887,0.0162426783268798,0.0333102472936359,0.236372311486988,0.00781436967726655,0.0297413627311548,0.0659306959532621,0.0145371799493711,0.0153925263805226,0.00161726424393461,0.0150580902548655,0.00161726426958803,0.020708532328515,0.094452406015238,0.00161726425511161,0.00161726424183454,0.00161726427322597,0.00918106385763968,0.0184084714775282,0.0016172642526848,0.0882085925517398,0.00161726425629017,0.00280404971053954,0.00653476634042584,0.00326195901652658,0.0483936991036633,0.0139754376181867,-0.000304468386413253,0.000218793134293203,0.00128285878196972,-0.00119995695419899,-0.00119251778553914,-0.000673830009081873,-0.00144898866684142,-0.000588580318806738,0.00138964819387064,0.000217819719848536,-3.01681897843059e-05,0.000638688615687884,-1.21053958529912e-05,0.000778531427248065,-1.21053966734724e-05,0.000380836710897707,-0.00107778721433639,-1.21053955581236e-05,-1.21053954744302e-05,-1.21053959369746e-05,-0.000252226018121514,-1.98829243669943e-05,-1.21053944964974e-05,-0.00501529943205146,-1.21053962758496e-05,-2.40931266572273e-05,-0.000168216572028957,-1.2105395292757e-05,-0.000412239646305419,-0.00124849393494854
