"speech_id","date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent","T31_sent","T32_sent","T33_sent","T34_sent","T35_sent","T36_sent","T37_sent"
"SPEECH_370","1996-06-13","1996-04-01",47.7878787878788,0.0197752455685225,0.025711403404471,0.0424289517276793,0.0172912901306327,0.0226590679939315,0.018641934094337,0.0251075314710504,0.0270474160391498,0.0157883432374945,0.0288220380940626,0.0211048531045512,0.0275410504960114,0.0173729818392285,0.0165522061719065,0.0187110450976992,0.024017334664673,0.0424689783986973,0.0255587885250322,0.028466171482144,0.020550554020296,0.0561684311894082,0.0235796337011848,0.0194252242674698,0.0316611676148449,0.0216603757650101,0.0275756741473006,0.0167134032574823,0.0921289120476369,0.0186280994801893,0.0373996683769668,0.016539564384752,0.0255516240985803,0.0270967790663423,0.0290155758545365,0.0164075227416865,0.0350455478592328,0.0197856105858055,-0.000841990184760404,0.00163074840388226,-0.0039704648912158,-9.56158948694205e-05,-5.11310925383551e-05,-0.0032549739055643,-0.00102046785466013,-0.00110856729033055,0.000409412817194599,0.00336686200935185,-0.000449241146714142,-0.00191219781811826,0.000189440457430217,0.000708418230431559,-0.00126526789868823,-0.00102674659019157,-0.00455400235024156,-0.00747653342428899,0.00202066552483939,1.75883480697057e-05,-0.010598695955156,0.00312477383078238,-0.00135345217806951,-0.00230917741540859,-0.00261382202210794,-0.0132903996756029,-0.000460770930254404,-0.0180277713795509,-0.000359863973864204,0.00215303573935564,-0.000908609029227156,-0.00427551002942674,-0.000826434070181085,0.000707086981948097,-0.00060283912106301,0.00272087654950022,0.00177035699936541
"SPEECH_546","1996-06-18","1996-04-01",73.9473684210526,0.0206077261334331,0.0503879726174166,0.0355296823190127,0.0162107671975997,0.0170787216181056,0.0163847570874629,0.0273202156378724,0.0315118707495084,0.0185649251480231,0.0186634456634441,0.0240421465924645,0.0490570072494381,0.014756954724998,0.0142349044993365,0.0159552503443053,0.0238284854814894,0.0326231838662117,0.0225785524088213,0.0516855332624749,0.0364211299445324,0.0785976862744827,0.0161085906388692,0.020443110375821,0.0236677323383961,0.0326016789514759,0.017715006768905,0.0126221040091947,0.0525836921950547,0.021569066461541,0.0217615198009125,0.0194043056934639,0.0173423672893113,0.0255888348031364,0.020675321648166,0.0417341651240139,0.021868441916348,0.0182731431649569,0.00782318199439977,0.0238539574893287,0.0126115035313412,0.00465045376791361,0.00502417590398396,0.0042861215389632,0.0154749204858759,0.0113261453159663,0.00459179608566035,0.00374955328373066,0.00550377536630252,0.00242102361460777,0.00482164423762671,0.00554316143449783,0.00533611454402256,0.00832778418848051,0.00411624906858643,0.00560343209007814,0.013788026299763,0.0130323944950237,0.00747844286175882,0.00722179842022173,0.00398074929136867,0.0108987426157199,0.00783972887440285,0.00462778453720403,0.00417085923355451,0.0206630058245266,0.00745259298538701,0.00616239957699632,0.00938855349037759,0.00537044863745369,0.0114325576807414,0.00250813422262423,0.0132459599447553,0.00317746691814852,0.00826047161333925
"SPEECH_647","1996-09-08","1996-07-01",52.4444444444444,0.0211511893888576,0.0197096297965956,0.066560945877167,0.0170041580293226,0.020857257706409,0.0591801423355261,0.0222415825748748,0.0231404140760496,0.0204402091412935,0.0300845366607961,0.0184958884422555,0.0163818376415027,0.0170137934481943,0.0225114220596978,0.0252438048909393,0.0187921034109569,0.0451167881279881,0.0290210634631164,0.0457433420380683,0.0167548914536061,0.0416949563629963,0.0190817650500538,0.0246165609005212,0.0347613032167819,0.0453261623442709,0.0224516152891299,0.0207811775890193,0.016886900148341,0.0343786001065838,0.0177260838428161,0.0245386156380427,0.0220160969030515,0.0230422455919671,0.0263595011609733,0.0188746156914814,0.0205897186030667,0.0314290809976859,-0.00809206862568385,-0.00865945983886776,-0.0304538650993231,-0.00829921442148324,-0.0108081598793083,-0.0166292671490085,-0.0108292785981278,-0.00978689660310627,-0.00774840252029049,-0.0180593497475236,-0.00881833815122654,-0.00841871471087752,-0.00920203448420568,-0.0114660015303982,-0.0117274679016418,-0.00970760179990748,-0.0194766697407107,-0.00803363049110001,-0.0136685106861948,-0.00827475212230209,-0.0144417791424865,-0.00980519110134643,-0.0104717092565794,-0.0133365095963512,-0.0200642742175937,-0.0109683832517121,-0.00805616794039162,-0.00887187547212063,-0.0201324708781828,-0.0079635689644915,-0.0111866249990703,-0.0103508927581794,-0.0115491776219897,-0.012671260156336,-0.00712871417109503,-0.00821782343474824,-0.0106530727862043
"SPEECH_435","1996-09-19","1996-07-01",40.7083333333333,0.0225078699907497,0.0347597655053188,0.0244570427153179,0.0180644758220288,0.0227707978328935,0.019249979501073,0.0278704436364755,0.028016836081987,0.0200161175703362,0.0233542339298319,0.0325945182584685,0.0392908934499428,0.0307036263684382,0.0177952266572223,0.0222383492801569,0.0281826834628486,0.0289312213923088,0.0284798375682989,0.0244473461189189,0.0236014005150212,0.0512425197837131,0.023785597655261,0.0191792223101685,0.0318744707327634,0.0237339584803358,0.0306025385881066,0.0168680649144526,0.0605942126938054,0.0203273357130895,0.0309743920355419,0.0184761705628254,0.0213863213170303,0.0314508495019018,0.0317067164592001,0.0245078966648847,0.0265665188877244,0.0193905480415581,0.00382773114190718,0.00853872388374416,0.00679705752607741,0.00261283496076116,0.00116545831470246,0.00301318811769836,0.00831486181518277,0.00577509716356967,0.00315878974960196,0.00777208639189916,0.0102663474062229,0.00767187272600166,-0.000744292704989849,0.00308141233907813,0.000898055134954393,0.00382723924104004,0.00276750066103945,0.00498439937652835,0.00276132442853257,0.00194168723860764,0.00985619707713076,0.00560798727409674,0.00229157077441053,0.00794911081020467,0.00631295633474054,0.00515859725408383,0.00234793268359697,-0.000709324095311506,0.00388489230198017,0.000837794511131871,0.00253167475291848,0.00330728865609864,-0.00617194490764672,0.00630754660137568,0.00715208751618896,0.00550296570885789,0.00491889487888611
"SPEECH_574","1996-10-02","1996-10-01",49,0.0205063969112029,0.0582553696681232,0.0189843906437736,0.0169287780018042,0.0212413434101778,0.0185583508808091,0.0366211813870858,0.0327083712705467,0.0234331040648405,0.0217552426775395,0.017541038314708,0.0490883892783559,0.0162804154018468,0.0218600799718284,0.0244748707980605,0.0333508758951623,0.0242958314052693,0.0238554433629863,0.0225993978323355,0.0231250740885441,0.0311573418472362,0.0235213731048729,0.0273298320443674,0.024687086972051,0.0231404160487034,0.0223558573602294,0.0281623360265311,0.0484838429359883,0.0200234546568901,0.0300554983916041,0.0211966234051887,0.0250558805070787,0.0260015394913471,0.0272559716991585,0.0202465829884889,0.0265583008812188,0.0493041163740451,0.00295552265100901,0.0239711479604752,0.00280404247183304,0.00360038696813108,0.00627972421311007,0.00163472371052309,0.00289648567318191,-0.000192601968377413,0.00964723753669979,0.00466791430682401,0.0024440443716242,0.00870210787768217,0.00490538543340769,0.00407725824072799,0.010147105788597,0.00763926475765516,0.00486894639652375,0.000247974168355116,0.0145160126726897,0.00685685021179893,0.00853109502895955,0.00861061382486006,0.00872489606089729,0.00115860150643069,0.000400361335162081,0.00662624217148573,0.00249139529301139,0.00623045308925205,0.00256977244490948,0.00976884297475737,-0.00128696215939983,0.00405612675304463,0.00304951942257838,0.000280573145831339,0.00619663171386418,0.0117996184394353,0.0157477485590422
"SPEECH_371","1996-10-05","1996-10-01",50.9130434782609,0.0220057777128204,0.042251297045263,0.0365755697619743,0.0209378661050837,0.0172480529756453,0.021578087861843,0.0193575534269742,0.0245048210282346,0.0181353997044663,0.0220669948475687,0.0193062501747529,0.0278248649583325,0.0180108740387551,0.0189813651650183,0.0220931234142925,0.023471218343093,0.0372589450591123,0.0332973012641764,0.0283855618226624,0.0177841158651925,0.0674947590795538,0.0219449160119518,0.0186234644155126,0.0281768617467126,0.0250235378637224,0.0242282841479989,0.0180964863157304,0.0840269594717583,0.0226371846509179,0.0237048879240057,0.0209906554833656,0.0197625558581296,0.0243007376719498,0.0258946397398633,0.0183553497368478,0.0475878450658878,0.0180758342408304,-0.00990413698870688,-0.00499832933100495,-0.0111940983200262,-0.00673378050309342,-0.00618330733623408,-0.00377741547238849,-0.00417337758094276,-0.00447261219201879,-0.00337109626407015,-0.00805674368095588,-0.0072991314915355,-0.00263967916362556,-0.00556530698622755,-0.00477897291854833,-0.00800459535972271,-0.00496877608853777,-0.0148488152451584,-0.0156335237337479,-0.0079344335424473,-0.00630242819468563,-0.00715595583146286,-0.0101343602377016,-0.00477272551096655,-0.0102277094541127,-0.00445847046853016,-0.00561022664631178,-0.0053117438815154,-0.0235556584783118,-0.0055423381063683,-0.0038050344638292,-0.00408698483557171,-0.00739845412417544,-0.00194776759994368,-0.00705457395600937,-0.00296621263300474,-0.00169929946331788,-0.00555905140432415
"SPEECH_478","1996-10-07","1996-10-01",40,0.0285594486811424,0.0231856073526992,0.0233064668575043,0.0187344726362734,0.0241152437328761,0.0227323129659998,0.0235012121459159,0.0350547521694973,0.0164694609755359,0.0355115303135851,0.0204012659878494,0.039403496347224,0.0669248562422372,0.0205659552772541,0.0189498548754213,0.0240144221445904,0.024001427472712,0.0288877844143006,0.0272795750707603,0.0366216281470196,0.0292992188963914,0.0269651750835631,0.0181971353727018,0.033925292465567,0.0338826841764583,0.0367493361982029,0.018985228472855,0.022975792694944,0.0187833547089211,0.0243055197419557,0.02671803769325,0.0210446035567513,0.0393709858599565,0.0253479070908241,0.0187755847011511,0.0260094504832851,0.0204439189928232,0.00758153445192159,0.00984150707797378,0.00986511867526614,0.00812468198377531,0.0106644552907958,0.0105416254644923,0.0111300237738017,0.0103539362113904,0.00668613608157337,0.0113455453495075,0.00736829525973189,0.00996265926348169,0.0246901338590351,0.00924831905892956,0.00964105631597665,0.00743470957561875,0.00862137491256189,0.0133926560869489,0.0115708923617146,0.0127296390412419,0.0121181881349632,0.00954256450052367,0.00723671795475371,0.0141109886978009,0.0146069406026694,0.015879856162075,0.00933500810161385,0.00852881298861904,0.008532561112633,0.0106833271915417,0.00970512612077497,0.00719585895406215,0.0118365923727288,0.0107908828602381,0.00815994511837935,0.00882320993073959,0.00966722268130509
"SPEECH_572","1996-10-09","1996-10-01",51.8387096774194,0.0241816736400329,0.0193916077152246,0.0248946095473686,0.0203016405051586,0.0205044691016238,0.0221219959560071,0.0467097817163505,0.0317987399333523,0.0432556101968736,0.0247775700938445,0.0171441147290302,0.0533840212566645,0.019210348095822,0.0220424364147514,0.0205340612053489,0.0331363877909069,0.0314958782949021,0.0423305188410662,0.0255139950250327,0.0275733663100735,0.0356536990387068,0.0223597781087545,0.0218141498119828,0.0301039004283872,0.0250005210168867,0.025674587326601,0.0318625168559799,0.0289667558293434,0.0184821415746684,0.0282933877044841,0.0239775009311354,0.0217167667680177,0.0297530023930239,0.0205502647428398,0.0184399330672146,0.0273641387398446,0.019684129292694,0.000585164957755771,0.000524428949166863,0.00155211221450429,-0.000134615168777372,-0.00088785824507378,0.00247828088146634,-0.000481062082686772,0.00182580431645636,0.00476071753603224,-0.00011907204075711,-0.00267323059225242,-0.00387501360112292,0.00154844774414747,0.000948161218512565,0.00100159994237668,0.00762724436324168,-0.000958139231035553,-0.00280207812024546,0.00216588211182298,0.000615310539052572,0.00235000109654455,0.000505780728559341,0.00312719018601982,0.0016240324631776,-0.000175909289440464,0.000553083793762288,0.00159447408931073,0.00108660463913122,0.0031464069813399,0.00231078912318961,0.000580033693048018,0.00116226505901504,-0.000342845544796035,0.00114496400437447,-0.000208099029526494,0.00112267329215066,0.000671703285314458
"SPEECH_573","1996-10-11","1996-10-01",54.875,0.0294473058425929,0.023002433322636,0.0243286110276194,0.01812334702477,0.0266969745445438,0.0213900532233583,0.0533429514427175,0.0643304733136855,0.0210919142476829,0.0204269076570959,0.0203053826966474,0.0212092351114289,0.0203193342785574,0.0173458017766419,0.0203218803069919,0.0218143130234174,0.0277401719930679,0.037088138352269,0.0222939220869329,0.0212835973359975,0.0410220236757023,0.0192746647768423,0.0287283611734941,0.0351249158887089,0.0274504247709247,0.0237450382342762,0.0312572879874353,0.018983631386143,0.0357328585189896,0.0241193153154565,0.019710502682117,0.0211356678632994,0.035498928736638,0.0218871422370023,0.0216018196431197,0.0294135137776047,0.0334111547235916,0.00129296606246166,0.000435231086287674,0.00608082893526668,0.00200176833838926,0.00443775209394574,0.0011878497212786,-0.0173838368300612,0.000715525063946575,0.000183283812578591,-0.000861873360930111,-0.000485503203099194,-0.00110161089810242,0.0003486952185757,-0.0003263252342066,-0.000260805429254864,0.00254707020994011,0.00296755318387181,-0.0049364503780048,0.00135043565075035,0.00196065434641677,0.00111879797030381,0.000625927118206904,-0.000994809299631545,0.00559748357498967,0.00245880042601556,-0.00204933423130572,-0.00410936505405471,0.00141432752179872,0.00427189557391573,-0.000663136085853633,-0.000933653393648475,0.000352865647619563,-0.00225898779205185,-0.000146845329630931,0.00117564246042824,0.00180972189685937,-0.00452460214176015
"SPEECH_446","1996-10-16","1996-10-01",39.25,0.0162795570637456,0.0338627095094826,0.0186844911926433,0.0233198630862798,0.0416705617776416,0.0262439057040578,0.0367948340582979,0.0268765733239877,0.0222655232076592,0.0277191231401741,0.0276523428561763,0.0211417224611095,0.0180469459217597,0.0215400660608085,0.019573922617694,0.0374284188704863,0.0411697686680477,0.0376070050930055,0.0249229507596749,0.0227760927745638,0.0330446360310531,0.0195136348067273,0.0221680091652231,0.0451185263869408,0.0255006630940153,0.0245545563126982,0.019858782320686,0.0187419726269364,0.0224332804228454,0.0337660567718133,0.0296403326980738,0.0187780359347735,0.025715574555432,0.0253633925956984,0.0413198818326164,0.0226400426439631,0.0262662436532081,0.00360426997488235,0.00556894005817326,0.00294596939870067,0.00351363926074587,0.0131051279587912,0.00672451805795783,0.00316273779862789,0.00100700682975449,0.00337143742604814,0.0053117706565525,0.0105015537881625,0.00232400206278489,0.00570903564528813,0.00266740064311162,0.00279965991079946,0.0182236585468253,0.010121011394083,0.00226629655843757,0.00529358640501685,0.00728317314495768,0.00877325708608647,0.00255696477188622,0.00470396821558899,0.0115866832715111,0.00879041991109803,0.004205383309303,0.00484080047224902,0.00244588123806463,-0.000199625857556273,0.00925631664597343,0.00948730293876502,0.00151631366794148,0.00527832497972035,0.0016417810725327,0.0154124280412962,0.00555384158368415,-0.00221379094191939
