"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent","T31_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.021439808179451,0.0625801617365081,0.0326718674214267,0.0231971553313187,0.0198386863779555,0.0184590297894494,0.0197181447564592,0.0280161436047557,0.0283650961148151,0.0508843238956493,0.0190007528878879,0.0192535408829947,0.0232756867971989,0.0873749954025264,0.021493549421699,0.0173022631982897,0.0182684258028745,0.0164380751496427,0.0972194062195514,0.0184197488856831,0.0502549761477701,0.0165016584501421,0.0986141003769219,0.0257501259319445,0.0334851058126246,0.0200180410699615,0.0235134556824745,0.0268374906195642,0.0203057392771621,0.0162447739096365,0.0252576708656609,0.00441664384492333,-0.00155906766445227,0.00117507334779257,0.00397117000644749,0.000560269832664113,0.00190267822860413,-0.00107929302539532,-0.00389055051848432,0.00627780687536963,0.0173112310208269,0.00223087241424152,0.00275788172933642,-0.000754638702691947,0.0126656418352206,0.00432596908601993,0.0018368638630661,-0.000613216785384589,0.00129862438681625,0.0467821982889206,0.00281992631007147,-0.00984265019864487,0.00237601793305162,0.0474687607015083,-0.00156876008063265,-0.00642983646295289,0.00446083530568141,-0.000362023451582237,-0.00445045196464846,0.00216044842312596,0.00176707095589457,0.00369988979351427
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0173688816121962,0.0418094264484652,0.0437229615996598,0.0224482099140845,0.0208438082875271,0.0193278717157824,0.0177369071725123,0.0351608646790978,0.0323564115204171,0.0538547523637886,0.021825493660084,0.0215791229061482,0.0220023462866633,0.107332571033543,0.0179861648670112,0.0187530276266147,0.0191778005650067,0.0179460566345391,0.0821694300024239,0.0166435440918776,0.0494757479818462,0.0181866283910437,0.0952817841686103,0.0228487057065344,0.0332630673059891,0.0192585419019222,0.0219928969013319,0.0238257192970504,0.0216140150942127,0.0176144333129777,0.0265928069510387,0.00315192296687936,0.00251570038710023,0.00262916903781568,0.00453609413783535,0.00148103506956662,0.00316475840162221,0.00260458147820783,-0.00121191187377091,0.0109155869939456,0.0237491275320997,0.0015435372432737,0.00572261247669758,0.00414877408218204,-0.0102628816178176,0.00429374574106174,0.00219252738965955,-0.00160087757971553,0.000639382241265301,0.0314257233382844,0.00300850024455255,-0.00819253083346663,0.00129806245193993,0.0580627356790426,0.000624641243176447,-0.0114223351542282,0.00184809393761327,-0.00052549932152676,-0.000535860944829233,0.00298078111484311,0.00329213578984002,0.00707423446043235
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0173903636495825,0.0479925989890891,0.0458473773286696,0.0214693388529789,0.0228913725897544,0.0191282417466627,0.0174132581703277,0.0291018413402766,0.0233425599688477,0.0528821957235999,0.0219895016540678,0.0193486012433075,0.0227554921487797,0.0877091630866853,0.0185834225480374,0.0204248185103208,0.0190709445251904,0.0198532179542373,0.0975454313131211,0.020063050369775,0.0454568316828505,0.0185573860159724,0.105518538401629,0.0184260829388807,0.0362484843257112,0.0194234079967099,0.0204557920125796,0.0261535821227621,0.0215488574929842,0.0170196012054777,0.0263886440911316,0.00165809902350884,-0.00454749658311746,-0.00768443110120988,0.00141160899495249,0.000633382957194331,-0.000275265226259684,0.00276008933396774,-0.00166134991843645,0.0068992150059493,-0.00123336347777532,-0.000576705181767803,0.000282384620184779,0.00376982014053641,-0.0237982358485202,0.00404904107380921,0.00193059233442829,-0.0013823247438479,0.0013298135417706,0.0405333019640884,0.00205308274152525,-0.0072265766313218,-0.000484455741886613,0.0606709267474852,0.00321877148004982,-0.014337019274279,0.00352135702869149,-0.00104191560791544,-0.0010023505179698,0.00633947853485959,0.00131512439293777,0.00353635914787888
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0201587647305821,0.0603968252417961,0.049097063726023,0.0213580915540434,0.0212543673123751,0.0195649925038392,0.0187555957463114,0.0301594898851351,0.0257691063612822,0.0528607370890072,0.0229389293697989,0.0202999294469822,0.0269359759463672,0.0988761353245105,0.0179072291600975,0.0182960420015436,0.0179616103317931,0.0159253564298732,0.0861004842240333,0.0194650580603076,0.0489227024981532,0.0167587111297979,0.0967155862546885,0.0224578416397209,0.0294456967244004,0.0178227964635478,0.0226627380972287,0.0229674586777996,0.0199989610965884,0.0179634083269202,0.0202023146454522,0.00389411979415423,0.00738447628210355,-0.00535210592584987,-0.000147023810491259,0.00502164972412982,0.00245460769910241,0.0047561425213618,0.00309550883092804,0.0100299258363115,0.0136883508220066,0.00289002690731041,0.00362257033904584,0.00348574364217908,0.0160597003314925,0.00347849518428066,0.00329468720831991,0.00191203446066896,0.00245859834334737,0.0256765952512503,0.00458149545392052,-0.00103639930048126,0.00281815940180916,0.0615124935227935,0.00484669206621327,-0.0013561348773243,0.00217087564043443,0.00594269797200964,0.00366623485733819,0.00482475235068287,0.00246775229336005,0.0049582146341645
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0206583806811427,0.0522366727246493,0.0312093148458947,0.0239651849762617,0.0193581224451822,0.0186045067529447,0.0185093139853015,0.0292886750188214,0.0305106053946218,0.0481155651223667,0.023611271947342,0.0192591749451593,0.0265722914369494,0.0797331395285843,0.0227552181810453,0.0218878048527432,0.0197093468773391,0.0189894055516508,0.0905095877794068,0.0189329736813125,0.0533253020612779,0.0170775899576042,0.105867166303889,0.0197305095689994,0.0357660245656445,0.0178350256680962,0.0266421294114717,0.0243430280579506,0.0202330444159694,0.0213994440190631,0.0233641792413144,0.00480792470697636,0.00882145420141506,0.00779709078146376,0.00223959135995958,0.00531831050127808,0.00454801613620984,0.00243491795126107,0.00428320280597011,0.0167941108813844,0.00725763882559627,0.0033678584681779,0.00306180384833956,0.00429401954107747,0.0048977630833612,0.00575120567313211,0.00394800535508602,0.0029717030158251,0.00459885370598761,0.0275225078493207,0.0059626533507305,0.0075067807890949,0.00448382626068188,0.0653018437468368,0.00499975309681443,-0.00509995172599785,0.00436362855372104,0.00541733146454222,0.00406991179761011,0.00728104941581737,0.00238898567086664,0.00173753735969157
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0203626208153918,0.0542872300794383,0.0371587543320119,0.0241610554905136,0.0216429518772222,0.0196528718511557,0.0182673694061904,0.028560861097873,0.0281730030034281,0.0508231503049392,0.0213049067346547,0.0217197813592778,0.0217037455474863,0.0957714552962654,0.0194096932397175,0.0185008524683832,0.0186676841204998,0.0167496555067895,0.0841252321830675,0.0193648840201448,0.0531445478233505,0.021142268689331,0.0956840639537606,0.0203054018858438,0.0294431620648801,0.0199514625568707,0.026844946473434,0.0242187849640979,0.0209925095089732,0.0182198334954719,0.0296452598495358,0.00158544994704674,-0.00719947184616183,-0.00459919072085941,0.00660046515511177,-0.00128011937560769,0.00441396360617709,0.00162609217624566,-0.00397890722271723,0.00504213897747412,0.012241529090506,-0.000433604697908657,0.00311765085883927,0.000849981220928207,-0.0012111834811403,0.00374682077488968,0.0028114729040916,0.000743952264416429,0.000702291429620083,0.023475246610158,0.00331666810654774,-0.0118979004430377,-0.00224868500546368,0.06937439760486,0.00403607479543321,-0.00754408360077933,0.00172588473464518,0.00344019987468011,0.00293432329035522,0.0019077532334822,-0.000525315356534061,0.000628798682447205
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0193457515698048,0.0642591052046878,0.0357799419253818,0.0237478785226244,0.023692704260037,0.0173565829645588,0.0201834060342543,0.0296602085101212,0.0215751264627175,0.0456297596983593,0.0212348404632937,0.0232103177759342,0.028662062830663,0.0886722106456519,0.0231356581730507,0.0191039652242363,0.01799853121027,0.0199838941025926,0.0830948113556838,0.0178365967084939,0.0463042541305514,0.0191385051503198,0.099506727439788,0.021241232586408,0.0359469589171521,0.0183576487035893,0.0184326231755298,0.0243207878716061,0.0246480333019543,0.0209085969519571,0.0270312781287269,0.0110772225955833,0.0372908317236624,0.0190622175816359,0.0105408131417728,0.00780217577183007,0.00958236013269152,0.0104834396853716,0.0199062982300741,0.0175429076770964,0.0359122651161674,0.0153416648194864,0.0143857203569944,0.0156278071733101,0.036566887329013,0.0171852471401405,0.0104039129126944,0.00941331387428198,0.0138764381196055,0.0460081434167201,0.0109697762748178,0.0283317094594809,0.0102907067657478,0.0817324518686821,0.0139436798739794,0.00752314573956334,0.0112950983635804,0.0111116945900474,0.0109828319122268,0.0191538716670327,0.013131691218618,0.0146242449983393
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0187720917413367,0.0526171883505319,0.0623205507462775,0.0227060142710616,0.0218732370550467,0.0196285592407281,0.0187213377325153,0.0308269771726157,0.0254958787059716,0.0518192626763642,0.0197949568672132,0.0250337343777256,0.0222704161383334,0.100985581637564,0.0205918706120324,0.0189092545832701,0.0208021214232849,0.0176205871648137,0.0793367603622089,0.0165187565971174,0.041771448565569,0.0172891207388703,0.0885511154361923,0.021218667117542,0.0312320448217867,0.0193611913137849,0.0212224284692742,0.0254577593565473,0.0189050061533171,0.0226812347551298,0.0256648458159739,0.0115858595217525,0.0424706226469795,-0.00724202692474698,0.0106560623194607,0.0135566816740229,0.00798752327290333,0.011088886763406,0.0136503116307877,0.0197666141035722,0.0401820276896269,0.0120893017550192,0.0181551456181504,0.0125951932255027,0.0481687847019814,0.0142422813766869,0.00881589638285809,0.00526605024003969,0.00912822841352043,0.0798494253258142,0.00863631251565102,0.0126480471929367,0.00920262232106574,0.0681300121356691,0.0113244037743896,0.0124546865738505,0.00535222465023233,0.0106871521644199,0.0133939333028705,0.0133884002036704,0.0116818616731511,0.0156835710096001
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0215705310123149,0.0563776135466912,0.0507685457562656,0.0246361599804328,0.0196070018749361,0.0190904471617088,0.0173135978772337,0.0278946744079594,0.0300191791181647,0.0521179745590398,0.0182020490281799,0.021508629826517,0.0287130571485228,0.09554576939795,0.0212178156895091,0.0230164956995466,0.0215396418266638,0.0177175373165747,0.0909401038519705,0.016927553936961,0.0355344993444876,0.0188642370145966,0.0906177340118624,0.0205366215288718,0.0297902522355295,0.0220299400719714,0.0197451072212378,0.0209468649225558,0.0209877059262992,0.0202178712223194,0.0260047874831259,0.0117394834248833,0.0148923326084821,0.0317623472641517,0.0125309603150073,0.00910664243568441,0.0115350771023062,0.00981248247862146,0.0166709151327572,0.0267913124711224,0.0241543954044088,0.00988230188567404,0.0120754724130878,0.0170939387838943,0.0373496479073383,0.0121358330020002,0.0137029588524423,0.0106012194071078,0.0109504607810835,0.076542859369932,0.010223951421576,0.0155788420297216,0.011518730561251,0.0640375370908135,0.00866674936470697,0.0100378308353622,0.0138663783696968,0.0105233443912236,0.0102765919298958,0.0147810625723729,0.0106549213337869,0.01209460248486
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0179876072573794,0.0456922765021412,0.0594656426422371,0.023972142758919,0.0254364560866808,0.019492817612417,0.0186875442794484,0.0314857684368098,0.023370123421141,0.0579715595073409,0.0207932785263422,0.0274934454485242,0.0221078903000761,0.0964690162848726,0.018294982474025,0.0230469378177796,0.0193374387283478,0.0198809100693241,0.0776922334252043,0.0166996500674882,0.0458689845238579,0.0176090138328959,0.0898168011619316,0.0198368255332868,0.0344939221661732,0.0208668258762297,0.0291560403279139,0.0169042806125261,0.0183684435521071,0.0178066384895834,0.0238945022769958,0.003015235509307,0.00287034642959839,0.00392134954607944,-0.00148450221061806,0.000547092021757566,0.000631371848250821,0.00164553073791744,0.0019194120416511,0.00322759639052767,0.0115405541706265,-0.00101575375860901,0.00548487618986127,0.000409674862741033,0.0139072589823188,0.00351859926263502,0.001014346534247,0.00246687831894253,0.00376456580860492,0.00297262250047031,0.00172699393004921,-0.00458380938829691,0.00272063470121526,0.055217871717847,0.00208442906649019,-0.000528425055229575,0.00392989552758908,-0.0068870765261417,0.00295847641256689,0.00470108105171424,0.00336815172380156,-0.00112391311640749
