"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21"
"FEDm_1",0.0552366077916569,0.0271107807765783,0.0615455532319263,0.0252836575540983,0.0396187788064456,0.0267168451653212,0.0542619740649124,0.0580470573439823,0.0679248208027462,0.0559048763554049,0.0616865884623632,0.0697405990618221,0.0395522325905757,0.0317481732937153,0.0562726655072035,0.0357804260659811,0.0463820431310226,0.061979897000733,0.0563770030941094,0.0309067042885055,0.0379227156108962,0.046862331257049,0.0268121985212662,0.0665338589998559,0.0219231271891664,0.049954520037526,0.0272414315511399,0.0482271560403641,0.065795828077894,0.0591060029472892,0.0674267301143436,0.0456907457581685,0.085637549852496,0.0367548350857841,0.0276447602979559,0.0580586518267046,0.0380083016037538,0.0496480889573679,0.0579997747438008,0.0421001823846704,0.0311226788151687,0.0474512459382351,0.0602301732083635,0.0251771748902987,0.0616275554994438,0.0208768054755594,0.0438600030023326,0.0239885494849773,0.0820736676086296,0.0544827849479612,0.0529788129798201,0.0629889387032301,0.0373615718639473,0.110624490035652,0.0279459329558729,0.0289076421268714,0.0687326866710892,0.0346440876433963,0.0449824204256743,0.0525418871146428,0.0404014111811548,0.029582721733715,0.0359906824473678,0.0561009189602766,0.0262662997242472,0.0512421836923309,0.0242250843448077,0.0536768130443284,0.0260293670206092,0.0502273699187705,0.0609663165837288,0.0544922771520791,0.0716693206283504,0.040115019377867,0.110073544877176,0.0328406383280851,0.0298128559783806,0.052090963744256,0.0393475624013049,0.047461932817377,0.0615534693680702,0.0384958799733722,0.039884198884822,0.0334279831797603
"FEDm_2",0.0539468966781289,0.0249186488574981,0.0594739259352647,0.0229923711950098,0.0512740150719829,0.0261060512709063,0.0642488082728278,0.0580498084461583,0.0541963270561895,0.0678611042376207,0.0395876093533937,0.106421143762404,0.0258200614827717,0.0337747232215783,0.0625751920020177,0.0338284075361608,0.0388879222313202,0.0579145314021521,0.0414176189909896,0.036132696097837,0.0405721368977881,0.0525643019667085,0.0272482148347217,0.0526581039081144,0.0227622620798554,0.0467961023677712,0.0255630947170567,0.0540752618905088,0.0595879739841164,0.044961640998442,0.0693893564117039,0.0452832361535036,0.115433385502899,0.0318068458739837,0.0298795994564429,0.0516907213088885,0.0461034050947568,0.0515144200847422,0.060861850914591,0.0417186222330301,0.0369942201452458,0.0331073800729177,0.0648921881802525,0.0257353689228411,0.0697264280857528,0.0189405560980158,0.0555386739286203,0.0275951511356106,0.0528051754853162,0.060354026305325,0.0450100325655383,0.0674622058458116,0.0438425380524928,0.0904598884622782,0.025828769034781,0.0336903853778733,0.0503770299344546,0.0409719404356027,0.048073449812087,0.0478128141511922,0.046378263423524,0.0414515171074169,0.0430535976552132,0.0483351548825757,0.027295994042123,0.0722785420954531,0.0232506761729198,0.0602914299605475,0.0258080919893612,0.0594554178941582,0.0474080521779842,0.0559464387107947,0.0617545498582147,0.0461686175290549,0.0881145004584922,0.0351508640779559,0.035827718086572,0.049421609803613,0.035757976474062,0.0523947309009961,0.0543029952503239,0.0407599129793181,0.0374391589282583,0.0428375677272214
"FEDm_3",0.0602964372311982,0.0264134762872507,0.0709934982874713,0.0186894868502328,0.0511276680854556,0.0264915242807853,0.0597316010669965,0.0677430583953262,0.0497166455800724,0.0706110361937933,0.042953438613412,0.0803677036525729,0.0293918908959884,0.041104504376343,0.05056213971844,0.0394242096352993,0.0358775000302091,0.0535779460184794,0.0444873006468808,0.0393258285283078,0.041113105625485,0.0520264838616379,0.0276616884731526,0.0609423769554569,0.0217613513575887,0.0585829145272858,0.0277918169388155,0.0471272703867713,0.0619538525768482,0.0474175835392131,0.0626012783406192,0.0471459483979777,0.0878242987571736,0.0275093932955156,0.0337134039739117,0.0515266634501091,0.0378262167808741,0.0555841390552638,0.0497878486275361,0.0514096032703765,0.0410577232334769,0.0487481442003958,0.0637091710650029,0.0267862798004525,0.0592693739366529,0.021837247368244,0.0537676934300981,0.0264829538329519,0.0458979138669649,0.0351684033536358,0.0417416637807765,0.0724441675044698,0.0469543608400678,0.118617307199942,0.025870802288765,0.031779888994276,0.0535987633009052,0.023799823897201,0.0787261265972608,0.0507786565532693,0.0486626603740053,0.0311110769465585,0.0429956650684993,0.061647045214332,0.0263982705022933,0.063458411368456,0.0214858526307784,0.0488521928938874,0.024948292383524,0.0645883505503208,0.0423421904582239,0.044375338552967,0.0622715751636506,0.0419301403574455,0.0926263823782497,0.0341963529372046,0.0397521321894581,0.0622031402307287,0.0276364661400711,0.0620021997523227,0.0536608376726402,0.0462053359577363,0.0360134691890805,0.0434060234766292
"FEDm_4",0.0564782359895759,0.0274524890180923,0.0501799779869568,0.0218889270200414,0.0516034926477777,0.0258787846496819,0.0463226235196425,0.0404752769837887,0.0436690909384441,0.067922637317864,0.0446900982686842,0.131936802508384,0.0283337095986875,0.0245171733387284,0.0537019587290174,0.0298035882462302,0.076517631274873,0.0556218356343929,0.0531872820861976,0.0287338224650804,0.0410845617778591,0.0666508715489529,0.0263226897475863,0.0587830177063284,0.0214365714530359,0.0494537742277789,0.0250679030470545,0.0631173771257124,0.0450080110038997,0.0510001709498723,0.0631864428264139,0.0360177230707467,0.0960453166594626,0.0336879131629282,0.0310313763463645,0.0640018405846646,0.0279645527188613,0.0643358552630318,0.0530213225533406,0.046437339703644,0.0349198537320432,0.0425100765682772,0.0863102431164483,0.0259654128514334,0.0647214910176828,0.0225965719141759,0.0526240725222928,0.0257468097519077,0.0586663352898822,0.0501859520567226,0.0483080052380952,0.0618384392942206,0.0503757345643901,0.0705557966531716,0.038661935354096,0.0339225479733891,0.0481099951042456,0.0294430987616945,0.0590028148561168,0.0494124267076257,0.0384653466819501,0.0497255623723611,0.035361407918098,0.0484143817159045,0.0305541807412096,0.0626699570291443,0.0229123918454946,0.0433392672014167,0.0252731982813467,0.0575745223345613,0.0465095145432729,0.0494842327813794,0.0608681168474897,0.0487820845031904,0.103421149467597,0.033271564488704,0.0311263340228607,0.0593293059155426,0.0416943238791155,0.0580480297257848,0.0490786748386001,0.0330114636771638,0.0393235923474814,0.0553137138127403
"FEDm_5",0.0822785713026539,0.0265675839233644,0.060966352102995,0.0230298157538891,0.0537286817076277,0.0274178265326906,0.0563696355080878,0.0594383229931782,0.0485105793059111,0.0606598427051135,0.0433865524403969,0.0651706425546564,0.0324554863733607,0.0341709141961257,0.0505468897580338,0.0365999169464697,0.0554501141944609,0.050944322777163,0.0387771030205232,0.0513952431241265,0.0421356027791719,0.0528539415802207,0.0316348315405926,0.0731745849392351,0.0239114374411047,0.0407275395931344,0.0252490402394138,0.0536080613737163,0.0389169870624713,0.0419616121076084,0.0496761689738556,0.0492145556802165,0.100239951487633,0.0296954622245677,0.0346652917449257,0.0593641419516056,0.0453104248746052,0.0709906864684343,0.05521937532623,0.0443052690808471,0.0350308391620088,0.0442497971475725,0.0684446315350127,0.026618459370569,0.036445580332126,0.0220285877784564,0.057504327227453,0.0238047591084732,0.0480746016355273,0.0615585260549826,0.0500109230949708,0.0682536522566694,0.0470952973242082,0.123693687106129,0.0260108382612902,0.0271459281159372,0.0565857179647864,0.0379407181295405,0.0457454564001849,0.0439156053124377,0.0412948504030203,0.0477993307840822,0.0400285218041428,0.0590147797182945,0.0291166576270646,0.0635609673440209,0.0232195070120079,0.0601257875232526,0.0294560926662825,0.0639652702829883,0.0472812672828132,0.0574530479009472,0.0604797232145562,0.0427636475727181,0.0819250617093055,0.0402071241539319,0.0403669986136698,0.0470944187539098,0.0299250549532215,0.0545412497738673,0.0594911515601039,0.0382924056542292,0.0297249340587501,0.0419948526240649
"FEDm_6",0.0691841321573725,0.0277085622327943,0.0539504820792195,0.0224764985517477,0.0545475231277966,0.0227596075561327,0.0441419000637321,0.0542885300680072,0.0481950191539361,0.0575264086957977,0.0532193349560609,0.0985229513115594,0.033586908898582,0.032695383926714,0.0522261464373228,0.0425367389929057,0.0476014242544113,0.0653519644151065,0.0349616295602529,0.0444098404065688,0.0401090131539793,0.0657713648617009,0.0289472642321582,0.0391781614905806,0.0219182827748713,0.0621090622333392,0.0288560178375201,0.048852627546495,0.0552737629742102,0.0502977490831803,0.0673841601649521,0.0413232126605412,0.122484743418898,0.0314119019292197,0.0287777667297702,0.0547735029844339,0.0347210523460048,0.0472001984362531,0.0524275231185351,0.0426599617861085,0.0358432515494192,0.0397884318418081,0.052552325550097,0.0293732531275877,0.0540322359529264,0.0193962057477707,0.0774279810641892,0.025848309728817,0.0418598006584917,0.0431737663326802,0.0553225460251369,0.0766893042521814,0.0369985363928791,0.0840998469613675,0.0324669625947985,0.0262848192686992,0.0598800047627874,0.0277965224776555,0.0735087848157407,0.0522404854730997,0.0346896511654384,0.0428580661556339,0.053500591492022,0.051558171197916,0.028144524548668,0.0653641087131505,0.0227545446936925,0.0435880158556806,0.0248011519132081,0.0454595189231353,0.0344543527481913,0.0572451877674548,0.0558376344436154,0.0441812059031411,0.101398762934232,0.0341440034760894,0.0287508224423166,0.0633941868807723,0.0328887162182088,0.0787159083577102,0.053637237001166,0.0454937089727927,0.0405261433012646,0.0476620937075941
"FEDm_7",0.051764438719847,0.0264843701670521,0.0677362361720835,0.0204314312886414,0.0696385315614031,0.0253258211290149,0.0498270291587053,0.0381724161769691,0.057347538072842,0.080222080018092,0.0334402550167015,0.0749918715878975,0.0330331036749665,0.0373270764760839,0.0556770699263982,0.0285374744010052,0.0717916175203804,0.0529189835978015,0.0331683447698383,0.0387763519503362,0.0533879586139404,0.0584036949986789,0.0280833452917783,0.0520295961245419,0.0211182915427529,0.0457820390636727,0.0249118146568451,0.0413901443907212,0.0286284674020845,0.0499311130249556,0.057027640743513,0.0392957680058054,0.117476306021354,0.0266664716185905,0.0248583497887158,0.0734692455401777,0.0240648885060142,0.103189646721429,0.0515056760591045,0.0366525053313678,0.0462803661061599,0.0492346290617366,0.0658270651911404,0.0263144007259727,0.0577763155487118,0.0243175017531049,0.0498487197707359,0.0209502357207666,0.0493582380541773,0.046774831156834,0.055860542173886,0.0694844135174445,0.0512143223627436,0.114199566662457,0.0270131443876612,0.0278439398322324,0.0548496111792388,0.0407248112082893,0.0515597066788468,0.0511222046329551,0.0392116056661703,0.0366011037432508,0.0391477200333807,0.0640889386095017,0.0226550996474148,0.0683497661994963,0.0232061363620065,0.0551086149403689,0.0277776007615935,0.0509712378062402,0.0545001038170866,0.0644675346194512,0.0656519763317541,0.0342213320641194,0.0609752514122825,0.0424042443407619,0.0331816662032308,0.0497216208927967,0.0359006669693921,0.0550961872411153,0.0625409175344262,0.0406354728651772,0.0453314886861117,0.0432141426956724
"FEDm_8",0.0592454626684361,0.0253829862695268,0.0567749090241814,0.0237365483470582,0.0471606426352926,0.0216770784557147,0.0467406534172839,0.0449815728171492,0.0593104064989327,0.0675401320052204,0.0488454959563618,0.111559949060531,0.0344875474294178,0.0274458657222663,0.0594299346346646,0.0386012868518354,0.0579216843243802,0.0568297089670711,0.0381801579289361,0.0387723763637674,0.0353756006219727,0.0659640495947821,0.0243209387396927,0.0652345551793905,0.0216727800776769,0.0524825846424353,0.0248477255414215,0.0448893595946891,0.0582869901220658,0.0614271143413432,0.0715654769612457,0.0357634547031647,0.095137237566175,0.0335988330546864,0.0320042527157302,0.051750040432495,0.034544074518931,0.0488420150679788,0.0561586758689103,0.0383703473023562,0.0418482977941354,0.0412911961806942,0.0591011075191276,0.0312379746793351,0.0611328136777362,0.0221992496445993,0.051613033158513,0.0275739990731061,0.0451686654843599,0.0524074678960853,0.0537419795135274,0.059456908326468,0.0507822751949549,0.117952839256882,0.0348514312014883,0.0316156072357271,0.0552143530300546,0.0318022222405624,0.0519039861752334,0.0532493723083475,0.0336729514309517,0.0396118731234605,0.0357098898294798,0.0616915627415911,0.0233961126602111,0.0630275170300157,0.0221472399061798,0.0472482614184706,0.0269193209296434,0.0584364391181315,0.0622050130407467,0.0508764772902915,0.0657488772312401,0.0650904408363828,0.0820397526033011,0.0320273978890318,0.0327251962604354,0.0468051704770075,0.0352819776028776,0.0496569013175939,0.0542145679362008,0.0361889391956472,0.0445020609269329,0.0397707735880674
"FEDm_9",0.0591011075191276,0.0312379746793351,0.0611328136777362,0.0221992496445993,0.051613033158513,0.0275739990731061,0.0451686654843599,0.0524074678960853,0.0537419795135274,0.059456908326468,0.0507822751949549,0.117952839256882,0.0348514312014883,0.0316156072357271,0.0552143530300546,0.0318022222405624,0.0519039861752334,0.0532493723083475,0.0336729514309517,0.0396118731234605,0.0357098898294798,0.0616915627415911,0.0233961126602111,0.0630275170300157,0.0221472399061798,0.0472482614184706,0.0269193209296434,0.0584364391181315,0.0622050130407467,0.0508764772902915,0.0657488772312401,0.0650904408363828,0.0820397526033011,0.0320273978890318,0.0327251962604354,0.0468051704770075,0.0352819776028776,0.0496569013175939,0.0542145679362008,0.0361889391956472,0.0445020609269329,0.0397707735880674,0.0552404018167417,0.0268134551585992,0.0791780647076114,0.0190619128524557,0.0436192999832941,0.0229395092094406,0.0725303586838291,0.0315993830321746,0.0653621924522555,0.0615603833171363,0.0781359118391253,0.0818924184432791,0.0264213706850674,0.0406529369588732,0.0487939932612149,0.0369328310458179,0.0551487271798142,0.0504623825669233,0.0347156739598946,0.0323026027273159,0.0366361901191359,0.0551690729835837,0.0268133044972545,0.0723090893979896,0.0222328305074655,0.0457492831610293,0.0282210923135529,0.0627535340709168,0.040535433220947,0.0547032774825558,0.0658921162698042,0.0512857741118098,0.0950281260124172,0.0338712147735654,0.0361388297171851,0.0490752868419557,0.034228968824427,0.0560963585708617,0.0566663392694515,0.0300536593676081,0.0336630641056804,0.0495133444999387
"FEDm_10",0.0446383581605511,0.0253955014105793,0.0835463921431179,0.0204856628329329,0.0512628821114199,0.0258991782548225,0.051189957478879,0.0493761572680572,0.0587945636620549,0.0703513731549322,0.0503145978540094,0.0858589339736007,0.0257370145014082,0.0416665166982838,0.0609030201442079,0.0266280290768912,0.0496428223442025,0.0602123531096663,0.0404098976092189,0.0327526182542084,0.0449341699569558,0.0617376388565381,0.0298194291854921,0.0679060950099298,0.0211299461002852,0.0434916133527213,0.0248535193021627,0.0606453902422481,0.0376867858542409,0.0564954340952254,0.0686630581413125,0.0728255757568704,0.0928065251377766,0.0326368676133962,0.0354776855208642,0.0523725150793642,0.0361907284025809,0.0499832986828287,0.060091075298431,0.0310892923134119,0.0312038234948395,0.0328937025594803,0.0609315220961344,0.0289917562941439,0.0773112049239491,0.0225921495158145,0.0523617630260344,0.0270863500828059,0.0705019470891573,0.0314472701300843,0.0508963143294365,0.0540317398850211,0.0798655718611487,0.0583199759189975,0.0364598653320281,0.0435770428267444,0.0555009515316769,0.040935840593623,0.0445099011359626,0.0550006900678657,0.0403783134291547,0.038111337504405,0.0311884924258119,0.0770570271860965,0.0254918975904398,0.0611733384768793,0.0210313841969286,0.0573528669641188,0.0281741342223941,0.0617094818404842,0.0338056895456572,0.0582532416122698,0.0697324876535453,0.0546152712503999,0.0714026769883716,0.030388312289556,0.0424701772861367,0.0572916736437939,0.0350009532862358,0.0586575380642139,0.0534804821561323,0.0295575969966022,0.0434202260566753,0.0299335426930688
