"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","new, citi, hous, build, develop, york, home, year, project, area, million, two",0.0352,0.0441,0.0596
"Topic 2"," ","committe, polici, feder, inflat, condit, monetari, meet, reserv, direct, period, expect, financi",0.1205,0.0701,0.0278
"Topic 3"," ","stock, percent, point, index, fell, rose, share, earn, investor, gain, expect, quarter",0.0389,0.0381,0.0651
"Topic 4"," ","peopl, year, school, incom, famili, health, univers, work, american, care, educ, mani",0.0325,0.0578,0.0571
"Topic 5"," ","particip, continu, growth, expect, risk, member, activ, remain, outlook, recent, effect, note",0.121,0.0672,0.0277
"Topic 6"," ","bank, loan, credit, mortgag, financi, interest, borrow, money, home, debt, lend, payment",0.0467,0.0727,0.0469
"Topic 7"," ","tax, state, cut, budget, year, spend, plan, billion, govern, propos, hous, increas",0.0331,0.0444,0.0576
"Topic 8"," ","percent, year, report, month, last, sale, week, increas, show, sinc, expect, first",0.0407,0.0385,0.0638
"Topic 9"," ","one, like, peopl, now, say, get, time, just, even, make, way, think",0.0304,0.0561,0.0788
"Topic 10"," ","job, worker, unemploy, labor, employ, work, year, wage, month, busi, benefit, number",0.0481,0.0452,0.0437
"Topic 11"," ","presid, polit, govern, nation, elect, leader, power, vote, support, countri, war, russia",0.0305,0.0465,0.0721
"Topic 12"," ","quarter, spend, growth, consum, product, continu, busi, increas, pace, declin, remain, sector",0.1163,0.0476,0.0331
"Topic 13"," ","bank, european, central, countri, govern, europ, euro, crisi, union, germani, debt, german",0.0344,0.0516,0.053
"Topic 14"," ","fund, bond, secur, investor, invest, treasuri, million, yield, manag, billion, debt, year",0.0487,0.0516,0.0452
"Topic 15"," ","compani, busi, year, million, industri, execut, billion, profit, oper, corpor, last, share",0.0325,0.0478,0.0602
"Topic 16"," ","trade, unit, china, state, dollar, american, countri, foreign, world, japan, export, global",0.0402,0.0458,0.0532
"Topic 17"," ","economi, fed, growth, interest, polici, rais, term, reserv, next, cut, long, feder",0.0411,0.056,0.0567
"Topic 18"," ","offici, new, state, deal, group, issu, includ, public, rule, use, law, call",0.0332,0.071,0.0625
"Topic 19"," ","price, inflat, increas, oil, energi, consum, month, rise, year, higher, cost, measur",0.0762,0.0479,0.0358
