"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","compani, busi, year, industri, million, execut, billion, oper, corpor, last, profit, new",0.0416,0.0608,0.0722
"Topic 2"," ","percent, stock, report, rose, fell, point, year, index, week, quarter, expect, share",0.05,0.0475,0.0899
"Topic 3"," ","tax, state, cut, budget, plan, year, program, spend, propos, billion, health, govern",0.0424,0.0633,0.0732
"Topic 4"," ","committe, polici, inflat, member, particip, condit, expect, meet, risk, outlook, monetari, feder",0.1752,0.0934,0.0348
"Topic 5"," ","bond, secur, treasuri, yield, million, feder, issu, note, term, investor, interest, year",0.0714,0.0605,0.0501
"Topic 6"," ","new, citi, hous, build, home, year, develop, york, two, project, area, plan",0.0444,0.057,0.0725
"Topic 7"," ","quarter, growth, spend, busi, continu, consum, increas, remain, activ, sale, declin, product",0.1462,0.0626,0.0415
"Topic 8"," ","economi, growth, fed, year, interest, last, cut, polici, next, term, recess, rais",0.055,0.0676,0.0694
"Topic 9"," ","presid, polit, offici, govern, elect, nation, leader, state, support, vote, power, administr",0.0395,0.0661,0.0928
"Topic 10"," ","price, inflat, increas, month, oil, consum, energi, rise, year, expect, declin, higher",0.0951,0.0611,0.0457
"Topic 11"," ","bank, european, govern, central, countri, europ, euro, union, crisi, debt, financi, germani",0.0443,0.0686,0.0657
"Topic 12"," ","bank, fund, loan, credit, financi, mortgag, money, invest, interest, borrow, investor, asset",0.055,0.0974,0.0644
"Topic 13"," ","unit, trade, china, state, countri, american, dollar, foreign, world, japan, export, global",0.0496,0.058,0.0646
"Topic 14"," ","one, peopl, like, now, time, get, just, say, make, even, way, work",0.0393,0.0763,0.0955
"Topic 15"," ","job, year, percent, worker, work, unemploy, labor, employ, number, incom, month, peopl",0.051,0.0598,0.0676
