"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","offici, meet, week, plan, deal, announc, includ, negoti, call, confer, news, agre",0.0204,0.0293,0.0357
"Topic 2"," ","year, last, month, first, two, end, sinc, three, next, still, time, ago",0.0245,0.0246,0.0319
"Topic 3"," ","committe, polici, feder, inflat, condit, monetari, fund, reserv, member, expect, stabil, financi",0.0908,0.0466,0.0165
"Topic 4"," ","stock, percent, point, index, fell, rose, investor, price, gain, week, close, day",0.0231,0.0223,0.045
"Topic 5"," ","european, bank, europ, euro, countri, central, govern, union, germani, german, franc, debt",0.0198,0.0282,0.0328
"Topic 6"," ","new, law, rule, york, case, regul, state, agenc, author, board, use, account",0.0225,0.0463,0.0332
"Topic 7"," ","cost, health, pay, care, insur, save, year, benefit, plan, retir, money, mani",0.0192,0.0308,0.0313
"Topic 8"," ","price, inflat, increas, consum, energi, month, rise, measur, cost, expect, higher, core",0.0562,0.0304,0.0213
"Topic 9"," ","bank, loan, credit, financi, mortgag, borrow, debt, interest, lend, lender, card, financ",0.0293,0.048,0.0309
"Topic 10"," ","particip, member, risk, note, recent, outlook, continu, effect, activ, howev, relat, might",0.0801,0.0444,0.017
"Topic 11"," ","bond, secur, treasuri, yield, million, debt, note, issu, agenc, back, percent, week",0.0328,0.0258,0.026
"Topic 12"," ","school, incom, peopl, famili, educ, univers, work, student, high, program, live, class",0.0191,0.0313,0.033
"Topic 13"," ","peopl, one, say, get, now, just, time, want, like, think, thing, day",0.0172,0.027,0.0457
"Topic 14"," ","store, like, car, retail, year, one, small, shop, food, mani, open, sell",0.0194,0.0255,0.0332
"Topic 15"," ","presid, polit, elect, vote, hous, administr, support, polici, white, issu, congress, candid",0.0183,0.0271,0.0386
"Topic 16"," ","percent, report, month, week, last, increas, show, depart, data, sinc, rose, averag",0.0238,0.0232,0.041
"Topic 17"," ","economi, growth, recess, recoveri, spend, still, slow, grow, confid, cut, fall, demand",0.0282,0.0303,0.0328
"Topic 18"," ","citi, new, build, develop, york, project, plan, million, center, area, offic, communiti",0.0188,0.028,0.0372
"Topic 19"," ","china, oil, chines, countri, world, asia, south, year, india, korea, global, gas",0.0199,0.0253,0.0296
"Topic 20"," ","remain, growth, continu, period, expect, term, somewhat, pace, declin, activ, project, moder",0.0802,0.0315,0.015
"Topic 21"," ","compani, busi, industri, execut, corpor, million, oper, technolog, deal, manag, servic, new",0.0185,0.0287,0.0356
"Topic 22"," ","fed, interest, feder, reserv, polici, term, rais, point, expect, short, economi, meet",0.0261,0.0353,0.0323
"Topic 23"," ","like, even, much, way, one, make, need, seem, use, time, problem, differ",0.0207,0.0592,0.0395
"Topic 24"," ","fund, invest, investor, manag, money, financi, capit, stock, firm, asset, return, billion",0.0244,0.0396,0.0296
"Topic 25"," ","govern, polit, countri, minist, russia, nation, war, power, militari, leader, prime, reform",0.0178,0.0265,0.0393
"Topic 26"," ","state, unit, american, trade, world, nation, countri, america, global, mexico, intern, develop",0.0189,0.0282,0.031
"Topic 27"," ","quarter, percent, year, billion, share, expect, earn, analyst, profit, sale, first, million",0.0246,0.0234,0.0316
"Topic 28"," ","dollar, japan, foreign, trade, currenc, export, import, japanes, valu, exchang, yen, economi",0.0323,0.0273,0.0243
"Topic 29"," ","tax, cut, budget, state, spend, billion, year, govern, propos, deficit, plan, increas",0.0202,0.0255,0.035
"Topic 30"," ","hous, home, real, estat, new, sale, apart, year, price, properti, rent, start",0.0274,0.0251,0.0263
"Topic 31"," ","quarter, spend, product, consum, sale, busi, inventori, manufactur, increas, equip, sector, good",0.0742,0.0282,0.0212
"Topic 32"," ","job, worker, unemploy, employ, labor, wage, work, hire, month, hour, increas, union",0.0315,0.0273,0.0264
