"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","citi, new, develop, build, plan, project, center, york, offic, one, area, local",0.0292,0.0423,0.0533
"Topic 2"," ","committe, polici, feder, inflat, monetari, condit, meet, reserv, expect, direct, stabil, financi",0.1101,0.0652,0.0259
"Topic 3"," ","stock, percent, point, index, rose, fell, share, gain, earn, investor, report, close",0.0351,0.0344,0.0607
"Topic 4"," ","growth, continu, remain, period, pace, declin, expect, moder, activ, somewhat, recent, increas",0.105,0.0453,0.0239
"Topic 5"," ","state, new, million, school, program, york, health, servic, care, author, law, public",0.0287,0.0475,0.0508
"Topic 6"," ","particip, member, risk, recent, note, continu, effect, outlook, like, howev, relat, might",0.0964,0.0629,0.0268
"Topic 7"," ","fund, bond, investor, secur, invest, treasuri, yield, year, manag, interest, term, debt",0.0456,0.0475,0.0409
"Topic 8"," ","tax, cut, budget, year, plan, spend, billion, propos, govern, deficit, increas, fiscal",0.0305,0.0413,0.0518
"Topic 9"," ","compani, busi, million, year, execut, billion, industri, profit, share, oper, corpor, last",0.0288,0.0421,0.0562
"Topic 10"," ","peopl, one, now, say, get, time, like, just, year, mani, want, day",0.0268,0.0406,0.0684
"Topic 11"," ","economi, fed, growth, interest, polici, rais, cut, recess, reserv, feder, next, term",0.035,0.0469,0.054
"Topic 12"," ","presid, polit, govern, elect, offici, nation, leader, vote, support, administr, russia, former",0.0274,0.0409,0.0717
"Topic 13"," ","quarter, sale, consum, product, spend, busi, manufactur, good, increas, inventori, industri, retail",0.0829,0.0396,0.0345
"Topic 14"," ","price, inflat, increas, oil, energi, month, consum, rise, cost, higher, year, expect",0.0681,0.0434,0.0328
"Topic 15"," ","like, way, make, one, use, need, even, chang, world, much, american, differ",0.0301,0.0845,0.0606
"Topic 16"," ","bank, loan, financi, credit, mortgag, borrow, interest, debt, lend, money, payment, financ",0.0404,0.0741,0.0457
"Topic 17"," ","trade, china, unit, state, countri, dollar, foreign, american, japan, world, export, global",0.0367,0.0406,0.0507
"Topic 18"," ","percent, year, report, month, last, week, sinc, show, increas, depart, first, expect",0.0354,0.0354,0.0582
"Topic 19"," ","bank, european, countri, europ, central, euro, govern, union, germani, german, crisi, franc",0.0309,0.0435,0.0489
"Topic 20"," ","hous, home, year, new, real, estat, sale, famili, start, apart, properti, month",0.0383,0.038,0.0391
"Topic 21"," ","job, worker, work, unemploy, employ, labor, year, incom, wage, peopl, benefit, american",0.0389,0.044,0.0452
