"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16"
"FEDm_1",0.0806519707282879,0.0335051228567825,0.086954067495467,0.0748076398888486,0.0564739314547654,0.0681572409423394,0.0626119751880081,0.0693833728445325,0.0742958276075631,0.0378010877384805,0.0379838996577787,0.0660876638389123,0.0585994288209448,0.0832358942871397,0.0604213680446003,0.0490295086055491,0.0716180400429458,0.0343174903175133,0.0925990150162196,0.065734823211959,0.0505337775366042,0.0813425870251974,0.0563511100834379,0.0569476868833651,0.0857653596104683,0.0350477815103853,0.0335922562729781,0.0518501121081918,0.0595856706627194,0.0870897729278329,0.0778972185917557,0.0597272981984262,0.0611680505119931,0.0320467412043745,0.131000984575271,0.0565103507195488,0.0826505440291017,0.0636357487235219,0.0631866413406547,0.0493948079996248,0.0878905884370459,0.0300435250404491,0.0340516609087406,0.0514001242805342,0.0530148599378299,0.092470303747387,0.059299644243593,0.0522354243003303,0.0658311388337147,0.0327843740478482,0.119676747742378,0.0776158188090053,0.0599283087917995,0.0744287371002124,0.0720358835142206,0.0501989120147271,0.0849803641533369,0.0340437800864315,0.0352153293739589,0.0450340045505918,0.0568105933227431,0.0712352840670867,0.0723180877303756,0.0478626358615698
"FEDm_2",0.0629003789907812,0.0319989419099221,0.122301336761111,0.0607538889330307,0.0656863121654154,0.0726936507779803,0.0643335730368711,0.0484967634654909,0.0885793202390825,0.0319346832773152,0.0403600605529058,0.0535589162437468,0.0468135254551944,0.0867347206400522,0.0651319623126348,0.0577219652384659,0.0540146040101937,0.0339592995966536,0.129224983737812,0.0722589886254694,0.0667428674989045,0.0722077131492853,0.0641006980883367,0.0554163286033239,0.0821660844265692,0.0332020064890935,0.0344565869382233,0.0513098244273205,0.0611670571234683,0.0752632315549917,0.0666527779678355,0.0478569477625189,0.0600016350875293,0.0314039914654035,0.10182271912909,0.050746349643766,0.0611997446308806,0.0769617953462044,0.0805597987133012,0.0491166589780065,0.0820073219962835,0.0287471114345831,0.0406247689641081,0.0520334179647893,0.0588020339996681,0.0934542912947845,0.0730446764533994,0.0594736848982022,0.0625827862911868,0.0343243258789589,0.100517259523441,0.05819993414037,0.0554132241542821,0.0679149926104324,0.0628550283695439,0.054961745352596,0.0697189150202915,0.0356863442711496,0.0418303138120938,0.0509923247567388,0.0611374072775738,0.107891622851425,0.0698600542591092,0.0661137214308072
"FEDm_3",0.0599880144470327,0.0310255779362801,0.089027822805999,0.0592159751190264,0.0620137236026293,0.081217170782063,0.0734253929732585,0.0496544958030424,0.0861759950039592,0.0298290759637165,0.0466623530221313,0.0527541394519217,0.0454919672334533,0.0987710498341813,0.0771349873907362,0.0576122586305691,0.0569797490300373,0.0350834566563349,0.0986229821810724,0.0565029938700776,0.05487317978812,0.081178097733943,0.0701351747515929,0.0535492567568861,0.0742059106303766,0.030577320839909,0.0413947417539363,0.0599622465070418,0.0639162321199458,0.0814837157303235,0.0702290882914901,0.0713058533589127,0.0571155649781303,0.0323362689671763,0.132354576236474,0.0551028619535638,0.0418693114333015,0.0532201173731368,0.0736276702689072,0.0545027439013612,0.0848522905691761,0.02918551658201,0.0384568170672836,0.0529164385207972,0.0892020065777119,0.0792588542225655,0.0714010146743939,0.0545979466740113,0.0605096013057546,0.0325174240841558,0.107771190866869,0.0589993443978905,0.0609890058992519,0.0579230563261443,0.07150815984293,0.0495171073113629,0.0799984837631184,0.0328013734995208,0.046758088494315,0.0536317852859045,0.0739274126143317,0.0902463181616906,0.0621561119399035,0.0607455362068567
"FEDm_4",0.0551299167831758,0.0320780594866208,0.143732848288851,0.0621360966249075,0.0462350070500082,0.0565196919340551,0.0632602564616738,0.0517265947024969,0.0800251412578722,0.0328743153720715,0.0321106258540938,0.060298414790777,0.0864155704644523,0.0675760271519513,0.0779369979356983,0.0519444358412948,0.0649003746030319,0.0331852246427163,0.112532808953246,0.0579763892587804,0.0611345972000533,0.0593649142512168,0.0776501307155845,0.0446148558207912,0.0809681312946917,0.0331355273947044,0.0397961083809992,0.0516700973355811,0.0747661378616322,0.0829334409045147,0.0670977253298984,0.0582735360525579,0.0601800444352088,0.0299375794908021,0.0808239416748954,0.0614168656688591,0.0522284671711929,0.0646668870692002,0.107837233110626,0.0621560689972303,0.0771572978261834,0.0350665222926223,0.040127967683965,0.0454568805062115,0.0714880288904915,0.0932961639626797,0.0667266712781162,0.0514333799417156,0.0669544218750487,0.0347091025753334,0.114439314263777,0.0545995839940555,0.0539931527373088,0.0536177238495758,0.0622826741505246,0.0584505927825117,0.0791716213727937,0.0342526617149991,0.0346386950452358,0.041183414048135,0.0691905877502297,0.0986338825116632,0.0721431141841379,0.0717394571446695
"FEDm_5",0.0607028002253887,0.0323907735479574,0.0780150209264213,0.0618925122122361,0.0579948441399307,0.0729364160139444,0.102945017017021,0.0540764475461486,0.0759651313354176,0.0356840263461773,0.0389935742763361,0.0477612868845671,0.0673624259307573,0.0885002258418288,0.0658576794152049,0.0589218183406631,0.0545154330393034,0.0373315246521159,0.111791737539753,0.0627038094330082,0.0533812768016898,0.0447791287967403,0.0651019500103725,0.0606287586738512,0.0721160523400871,0.0307673205260216,0.0371611545579842,0.051970671023189,0.0786694781399522,0.109046144561307,0.0731004558715217,0.0569351040331027,0.0604588387804414,0.0309905671105904,0.135711534593911,0.0531187890436705,0.0537260212100634,0.0800180651643214,0.0889021970689632,0.0531068573777051,0.0794520769219328,0.0292407431210741,0.0313119454647675,0.0512826334787317,0.055973163747135,0.0567468985890016,0.0851024451537181,0.0548572231739734,0.0689246688846041,0.0341814340144569,0.0984832040976815,0.0687860278196956,0.0614163825385091,0.0633053071356265,0.0688226530580319,0.0512723114940406,0.0721536318133297,0.0389487218217787,0.0488247505453915,0.0501102167103852,0.0609967577115052,0.0911876589896996,0.0624864484014586,0.0600998249638053
"FEDm_6",0.0566540528105388,0.0313836735825616,0.104535372948563,0.080721720669975,0.0547229084453333,0.0706571945390392,0.0897582796152505,0.0565294728660948,0.0717414599909023,0.0328416051724956,0.0370213796802519,0.0480557571565616,0.0556611694540939,0.0724814364341235,0.0817336779355826,0.0555008386986325,0.0651854953499178,0.0329775633274172,0.140102500283425,0.0619880085429681,0.0571093455848644,0.0763193944245838,0.0746442147458661,0.0512032286222468,0.0786709912775645,0.0334183308980472,0.0364738553515395,0.0516302644136786,0.054843197448627,0.0570108451428262,0.0702670615975554,0.0581557029888721,0.0726637177917241,0.037142082606108,0.0944548329883437,0.0610748985750103,0.0468711079877442,0.0738791219899415,0.0685248101611164,0.0471091992790705,0.0858846112801637,0.033076523149963,0.0322402999265164,0.0406920856019867,0.085262078452048,0.0651049317683823,0.0750949249650818,0.0809247734767994,0.0707594758983131,0.0362260236810225,0.110383660793217,0.0644880749475633,0.0447788194303502,0.0449641245985425,0.0663510380621354,0.0529129997608631,0.0777539594158596,0.0347596376247063,0.0351888578171693,0.0513662736855099,0.0920852855048952,0.0892818535732934,0.0659120191986161,0.0627878960079424
"FEDm_7",0.0771377853875267,0.0337473056424643,0.0838355636233276,0.0612257915018045,0.0520889771088757,0.069884043261176,0.0651007960002886,0.0443236336616668,0.0899196841377464,0.0329029978421186,0.0434559852852408,0.0410610734498298,0.0822943046223665,0.0843125839130855,0.0647222472373126,0.0739872273251697,0.0636760187448753,0.0347992430186745,0.125485779245552,0.0608945046522082,0.0381142982754393,0.0394425250536491,0.073894003663326,0.0463614285817173,0.0821208400037698,0.0313472459871873,0.0323475987503963,0.0428288893475419,0.114980051761069,0.0727678225376967,0.0715726799734495,0.0693670704034476,0.070218913950049,0.0313369246283227,0.128986598443267,0.0573477420533619,0.0532962313205796,0.0572041291970076,0.0782206890263035,0.0560458658725116,0.0835217635130077,0.0299485418625145,0.0339830955854029,0.051308542889908,0.0607397672236075,0.0793259746139645,0.0727984358378376,0.0557167839823547,0.0780155935070088,0.0291047005952538,0.0723918225557686,0.0803485820412346,0.0555946771539717,0.0758635803450404,0.084257790951445,0.0409088980725603,0.0803112758364277,0.0373050139461871,0.0416544721769733,0.0503735576406133,0.0634978057395141,0.08999390649396,0.0602531044570854,0.0601252184869558
"FEDm_8",0.074350348265119,0.0316789908116863,0.124739453022993,0.069002333540383,0.0532121780523603,0.0553893128505093,0.0708946634692032,0.0573837636616288,0.0857726924855081,0.0318854835457337,0.0336810152639934,0.0467875593520854,0.0679222503768905,0.0754726169671277,0.0715978142091805,0.0502295241255978,0.0699247870153942,0.0284349572221427,0.108036236901624,0.0674046260545735,0.0517210951492793,0.0724478087935239,0.0818689466227111,0.0393289367983044,0.0891391370698178,0.0344106934262317,0.0398722270447454,0.0463728718875683,0.0565179017960065,0.0838124972891189,0.0719276388525783,0.0587796380763806,0.0683880832396339,0.0366119855003361,0.129149434506337,0.0663888275351327,0.0434785458006781,0.0694602942317398,0.0741091427491003,0.0612679352074432,0.0759854315020618,0.0352353460985308,0.0393273024739236,0.0438668489487623,0.0592848651168663,0.0791826224339316,0.0712529582560691,0.0470103763994532,0.0628603276277193,0.0296775667057923,0.0980563346606662,0.0635711632529099,0.0548496725819152,0.0745614659444866,0.0834013611124954,0.0719261326633805,0.0779231421372855,0.0308812454428487,0.0379626474728874,0.0453728650816421,0.0565813262769195,0.0991007674339423,0.0587836145472456,0.0544903670578635
"FEDm_9",0.0683880832396339,0.0366119855003361,0.129149434506337,0.0663888275351327,0.0434785458006781,0.0694602942317398,0.0741091427491003,0.0612679352074432,0.0759854315020618,0.0352353460985308,0.0393273024739236,0.0438668489487623,0.0592848651168663,0.0791826224339316,0.0712529582560691,0.0470103763994532,0.0628603276277193,0.0296775667057923,0.0980563346606662,0.0635711632529099,0.0548496725819152,0.0745614659444866,0.0834013611124954,0.0719261326633805,0.0779231421372855,0.0308812454428487,0.0379626474728874,0.0453728650816421,0.0565813262769195,0.0991007674339423,0.0587836145472456,0.0544903670578635,0.07197742450209,0.0295617694181602,0.0924857373341149,0.0523905809322888,0.0624233374401438,0.0465423150124499,0.0611576767667972,0.086005250783444,0.0754067985950945,0.0298162625859782,0.0469363740468759,0.0419901971909666,0.063191911863979,0.119863597048768,0.0612115140551355,0.0590392524237134,0.0651908050174863,0.0341897851311022,0.102582606180486,0.0700263912919523,0.0603108989793741,0.0504006624756973,0.0669979301281888,0.0623507724340664,0.0797194629136811,0.0342471178442445,0.0422538786404277,0.0433106652751842,0.065927949683969,0.0945728443138955,0.0649196102936153,0.0629986193966291
"FEDm_10",0.0689142312139857,0.0305742593806543,0.0988658452142556,0.0636658760687041,0.0501376510607358,0.0686565044884327,0.0521150142362212,0.0583723628499632,0.0841829718893777,0.0308902460781647,0.0480691902159055,0.043610160148317,0.0593067593684894,0.107819987523403,0.0666899981445775,0.068128942118812,0.0646793499706579,0.0331807618151697,0.101825049800523,0.0660730958947182,0.0564555565263224,0.047409529562365,0.071428984777689,0.0778526973913922,0.0872535852528587,0.0340287307299732,0.0409410411327571,0.0431603533978176,0.0598474112013137,0.101643498248359,0.0655701944659269,0.0486501598321564,0.0664741902744573,0.0343358741196424,0.0713907283584537,0.0755255722367164,0.0734707308371026,0.0469017082415541,0.0733424279191539,0.0824798048029066,0.075552342168766,0.034631812120028,0.0462265618528311,0.0543147788002678,0.0536898919957773,0.104355881434761,0.0609432589789703,0.0463644358586114,0.0714766314340132,0.0320988338042516,0.0847059027975107,0.0610987791565784,0.065752841526299,0.0472146427806219,0.0949058516636837,0.0616743028932356,0.0848026184543831,0.0327850074384947,0.0463986096365763,0.0375557222630094,0.0680988267830704,0.087696436909858,0.0739851066524559,0.0497498858059582
