"speech_id","date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent"
"SPEECH_370","1996-06-13","1996-04-01",47.7878787878788,0.0455947747417802,0.0562541924490316,0.0281466467978172,0.036855201483022,0.0733175583788646,0.0403208476772928,0.0420287278753728,0.0298188837227275,0.0588942632340505,0.0273274416346371,0.0270324432292482,0.0338259779832104,0.0316951194675,0.0637050683546569,0.0276505666790728,0.0336072321014323,0.0839527144370048,0.071206329024595,0.044894540874529,0.0366704610376647,0.0348757351307306,0.0423719486298155,0.0299533250559438,-8.71491341783635e-05,-0.00477630443376443,0.000312958418736729,-0.00280247815505489,-0.00671804173998393,-0.000232080864903395,0.00110462411928672,-0.00240328949239071,-0.0125262198109991,0.000535262269955268,-0.00145088273990612,-0.000243563616718126,-0.00223451155702778,-0.0106614408001883,-0.000403583849116168,-0.00236964821606355,-0.018450526598802,-0.00525700450979791,0.000457622729494937,0.00309175998784715,-4.53380158630594e-05,-8.69932019060888e-06,0.00133325509968476
"SPEECH_546","1996-06-18","1996-04-01",73.9473684210526,0.051338359417762,0.0734151421592054,0.0253025822766098,0.0277715304683059,0.0994442330497302,0.030365889142807,0.0698321138971894,0.0358065159158552,0.0457819850808764,0.0348971257871991,0.0238402770734417,0.0383281814634594,0.0373536085240804,0.050412429618714,0.0293506614039045,0.0346358888107017,0.0484645923882111,0.0466689920416276,0.0354698364721233,0.0321601345380429,0.033353317158366,0.0656084993555201,0.0303981039562669,0.0243551569144362,0.0246953052244796,0.00858097020978933,0.0103224762478675,0.00965243762845839,0.0104095911055641,0.0106502818619942,0.0071033882960528,0.021568547512096,0.00991969514649717,0.00903510616420432,0.0105392589607988,0.0164498864527261,0.00583948718932129,0.00556214644136497,0.0101496556387498,0.0217289336403341,0.0116937000492309,0.0143112214655974,0.0105381840525143,0.00527609007606524,0.0231876822643927,0.014195908922198
"SPEECH_647","1996-09-08","1996-07-01",52.4444444444444,0.0347856115134582,0.0887289230719954,0.0317555711687354,0.0426870191219818,0.0474349784426566,0.0788683927803261,0.0267829433611876,0.0304658684539785,0.0617791274117894,0.0403391731919519,0.0345908505960479,0.0425251762451655,0.0303982771657933,0.0620914357847314,0.0566700259486822,0.0546224383196379,0.0329587235665004,0.0314281949536222,0.0314101192725937,0.0292954898052494,0.0313419163282638,0.0335100096757969,0.0455297338198545,-0.0158414796468174,-0.0303337710344777,-0.0179182698926257,-0.0200209029181632,-0.0182813336968802,-0.0380102681292654,-0.0134310644853487,-0.015666454508945,-0.0224540291237822,-0.0151788053616942,-0.0156500144663811,-0.016832538652878,-0.0140259583672158,-0.0339888653039957,-0.0169145944228921,-0.0245952980025394,-0.0159535271167739,-0.0156600080758355,-0.0143162982566387,-0.0151174731673895,-0.0132891533747277,-0.013914928163228,-0.0166341436816714
"SPEECH_435","1996-09-19","1996-07-01",40.7083333333333,0.0459727041516177,0.0417852431268507,0.0300513331437404,0.0411880260673583,0.0531482434951976,0.0391390682871176,0.0540386027354486,0.0478389082718142,0.0736874756903515,0.0377067127844777,0.0309099452338679,0.0396377969088251,0.0400273782810971,0.0408292394566825,0.0336938278334792,0.0330427279704687,0.0634984553711682,0.0547502659246162,0.0458994871863924,0.0390760611636086,0.0370647358691953,0.0446055577601192,0.0324082032865054,0.00792783501767792,0.0117573831837247,0.00550191691355006,0.00690093080795606,0.0068447161467636,0.00471059880147572,0.0101197157295747,0.00568167052138588,0.014158166441205,0.00637447031700731,0.00521651491823041,0.00786542132502203,0.00659320403498402,0.004783013972325,0.00210938152316557,0.00575549475299021,9.18501082830204e-06,0.0108459223956566,0.00528742516247146,0.006598311213224,0.00564359498565988,0.00739433631390433,0.00743839355612044
"SPEECH_574","1996-10-02","1996-10-01",49,0.0579259460666046,0.0369642438848206,0.0255820867578228,0.0400572127329308,0.0455236254049615,0.0315360282713173,0.0731719772124973,0.0322875619592188,0.0467113352648529,0.0390573007414786,0.042985855331384,0.0404753043010378,0.0457398981949038,0.0411925925749692,0.0316144240697727,0.0371386669628101,0.0405839477692747,0.0523273235193929,0.0495526181882254,0.0307439458452895,0.0327551758092934,0.0585388282293204,0.067534100907821,0.00731938185875666,0.0182855925865965,0.00779647585264198,0.00825129632261601,0.00525654906871014,0.00758140783546164,0.000965425195520249,0.00713008456853496,0.00307310902716833,0.0142377257825991,0.00649474744205007,0.0135652722983668,0.00969235977411316,0.00772678470239826,0.0035874130866877,0.00532892950318978,0.00775929151606049,0.0188376984547079,0.0172986624328135,0.00668210190448458,0.00705335412834572,0.0132608388201306,0.020440560884639
"SPEECH_371","1996-10-05","1996-10-01",50.9130434782609,0.0375686591840265,0.0484564367656433,0.0315015712898631,0.0316163022712622,0.0814659479508144,0.042910590387375,0.0429355386743937,0.029795554179279,0.0650735260032394,0.0293450718847807,0.0297498421962828,0.0366344213658946,0.0316013307801563,0.0572756125017142,0.0310583951089761,0.0373945174527532,0.0557253480825215,0.102297425313614,0.0381994553351338,0.0302289008205143,0.0326504833327554,0.0458904109705177,0.0306246581484891,-0.00677753654546727,-0.0141590849367756,-0.00958883606108257,-0.00871073845314499,-0.0135697578086813,-0.0110024525217475,-0.0125195650966198,-0.00805539953915991,-0.0170534417536291,-0.00644353565229918,-0.00658542793628103,-0.0153076542331017,-0.00721978065875412,-0.0233901462409815,-0.00640378469763324,-0.008265580227817,-0.0248014854964882,-0.00732790683166656,-0.00821549624677328,-0.0078518956450579,-0.0127434491703652,-0.00871419329335122,-0.00741997844225747
"SPEECH_478","1996-10-07","1996-10-01",40,0.0403448372316323,0.0391943386569589,0.0327991596178605,0.0586399826900465,0.054932726062865,0.0296789199889978,0.0524219964637476,0.0852803856302855,0.0493270026808519,0.0295517320668474,0.0356151312136706,0.0530012006839674,0.0402559758820535,0.0377667830729332,0.0348163343988003,0.0434337201520866,0.0424234938971508,0.040388651140757,0.0413398284873567,0.0354692320211158,0.0508446731279497,0.0384529758421846,0.0340209189898806,0.014166342788583,0.0158630531995641,0.01333198097873,0.015002358161315,0.0219491355273447,0.0124021890932142,0.0179466718718288,0.0326896235613942,0.0187023942170142,0.0126736015639445,0.0137533717292375,0.0264484442368302,0.021221892171299,0.0165245864872063,0.0130381485003921,0.0200075784813214,0.0138030789125568,0.0155312814529809,0.0151568748432368,0.0150130182686481,0.0128233052231108,0.0144249085206459,0.0150742637907616
"SPEECH_572","1996-10-09","1996-10-01",51.8387096774194,0.064083796703163,0.044636061561122,0.030639182725154,0.0393205916507434,0.0461504893047121,0.0392105141932989,0.0807406277937097,0.0312765887841508,0.0806119034299871,0.0329079691665328,0.0419225290553295,0.0411363190970314,0.0551183262135615,0.0403652152377236,0.0326874247380372,0.0415434224522572,0.0366093927109039,0.0450658182936276,0.0421723735073904,0.0306948310388121,0.0365755342743404,0.0337229238168504,0.0328081642515611,0.00111471427918513,0.00425457958921365,0.000316049444052647,0.000689763827510653,0.00354059363779768,0.000798578903571689,-2.11617755547706e-05,0.000128554519541262,0.00730425164687507,0.00016247844267499,-0.00112130872403509,-0.00198783909242918,0.00370172258880785,0.00342500264949335,0.0031186529817623,-0.00277661452593993,0.000975146193630092,-0.00184551923175664,0.00407470799519688,-0.000464315878630815,0.00195995848991639,0.0048623164436244,0.00174492185925152
"SPEECH_573","1996-10-11","1996-10-01",54.875,0.0913629671733269,0.0402902202389556,0.0274180836018414,0.042770776190371,0.0470203915895243,0.0392790413096023,0.0364853152110685,0.0349048025320679,0.078839152298874,0.0464947613300748,0.0387575887873422,0.0397038561061252,0.0324022314562813,0.0446961037758212,0.0358554204537169,0.0424038446156178,0.029501648916166,0.0552415332982274,0.0371529463639412,0.0319189549090349,0.0488297242957554,0.0328582492540721,0.0458123862921914,-0.0142501937041784,0.00741207908991189,0.00164222765067193,-0.00279922078194199,1.01263194937986e-05,0.00152501768669443,-0.00257309807349871,-0.00168673438715468,0.00205173101050322,-0.0010006520820821,-0.00377032121271081,0.00453922744075133,0.000812740463163465,0.00327072983117409,0.0015774089540247,0.00266091491615989,0.00175235904076125,-0.00207478733280569,0.00126833086056835,-0.00308832800951403,0.00251397035216923,0.00309409383222569,0.000410315387863974
"SPEECH_446","1996-10-16","1996-10-01",39.25,0.0571380654335459,0.0374664522580448,0.0325955788045573,0.041125396257473,0.0528032043492583,0.0369154381991818,0.0330512408259612,0.0310992137327138,0.0870423676381051,0.0459324105504055,0.0331917196790555,0.0481819590297468,0.0450722194120174,0.0395892465953241,0.0541217555581655,0.0379700378195741,0.0321725512356973,0.0351810312530421,0.0480532823016677,0.0436115413195342,0.0307780789857895,0.05170740061971,0.0451998081414292,0.0128989771150353,0.00508237113763936,0.00846852108079219,0.0100378417095901,0.00929118335117082,0.00146393379602916,0.00717633735045798,0.00811458636785024,0.00972256301230932,0.0128741927776149,0.00914668518870715,0.00804970033316382,0.01958736242136,0.00319085077875747,0.0133564226404603,0.00979160440817405,0.00697369812495411,0.00643804120313776,0.0173746407073065,0.01076002193823,0.00629187500205359,0.00975165059574828,0.00329798488538405
