"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0217086523484657,0.0354103147870721,0.0491223760756342,0.0181726597644613,0.0850002589702485,0.01768710499505,0.107841563875575,0.0317308165024776,0.0611928073008122,0.0229612707540969,0.026754730840849,0.0255289097719886,0.0285547603889365,0.0188753341957346,0.0978333401498601,0.0216404506301937,0.0214963682094125,0.0449375229734873,0.0176708584732319,0.0221856667118226,0.0210786913308149,0.0263832535136362,0.034966453801906,0.0209624202521359,0.0210148624644559,0.0230977776260747,0.0216838073079285,0.027273309086,0.0272336568976375,8.97216049088811e-05,-0.00451961860417971,0.0198581978059661,0.00261210233575674,0.00614042303371518,0.00287527952422602,0.0390067586743361,0.00908806303182388,-0.00982566257351141,0.0014892583760204,-0.00376456939797658,0.00711106628559896,-0.00316226625605813,0.00175168949051891,0.0406573291134534,0.00432720589543199,-0.000795550853511322,0.0149638124334978,0.00303407339007,-0.000373544076288925,0.00216313265171241,0.000735230411999247,-0.00569390757547385,0.000991870998260715,0.0017434713286887,0.000860803924325032,0.00628341348640771,-0.000396475853977854,0.0044640767224872
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0196739385259617,0.0327837544151469,0.0480353968659871,0.0209247522361164,0.111048429388251,0.0197216988226296,0.095242032753397,0.0307761351266446,0.0506941913432475,0.0236239652922137,0.0238764770383295,0.0298056938886896,0.0258207653996194,0.021119755803701,0.104700247721136,0.0230331965572833,0.0198822626935863,0.0427220219825484,0.0173376878920696,0.0210013621772235,0.0192018841134195,0.0253321702305579,0.0389204796199251,0.0181904640430731,0.0207903876517727,0.0225036822052295,0.0209076968286013,0.0222281878112571,0.0301012815723825,0.00432752871189005,-0.00116445416559121,0.0208503010624732,0.00230453737616556,-0.0149352849029602,0.00483453700967033,0.0299703332670638,0.0123076176460161,-0.0113680284716638,0.00195955534953659,0.00237911326733302,0.00836387654825187,-0.00157474162638514,0.00203988604364537,0.0485936195411351,0.00604021646465119,0.00321005882722543,0.00879124456304366,0.00298281090798927,-0.00098758197568668,0.00409557342945063,0.00148723030930931,-0.0115187398880481,0.00336270595655918,0.00402446468456719,0.0028492869611797,0.00344501685391678,0.00531415384938696,0.00716672851345706
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0191555465539308,0.0351683218902663,0.0491570563619465,0.0203692164074202,0.0942973230804431,0.022180207372783,0.09910769314973,0.0226670161094112,0.0514791128500695,0.0208450152053748,0.0262590012517171,0.029138432838751,0.0258821127998965,0.0221594876516744,0.11485027178171,0.0236806400090683,0.0211029914283498,0.0408897919171126,0.0200118353652652,0.0223157380229894,0.0179874588746985,0.0212727419144346,0.0352881408871085,0.0180346141250042,0.0239273917068965,0.0250238855565641,0.0256179163075502,0.0225516005176514,0.0295794380621827,0.00366569733844392,-0.00402564912734575,-0.000948509022350607,0.00296397745636396,-0.0329039323578696,0.00317500224217232,0.0405458005181552,0.00669984721771133,-0.00736257726383227,-2.1360119206156e-05,0.00118910324263854,0.00214611057082118,-0.000332910561607926,-0.00064469790155736,0.0554080405297485,0.00406964516491901,0.000443949416386682,0.00668214863311683,0.00189756917064687,-0.00234272042742648,0.0010949690604837,0.00277389759871872,-0.0137182723181658,0.000171800644960427,-0.00170231459304557,-0.000479803016054299,0.00453962242240467,0.0037048730020524,0.00397165168822854
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0213720173186423,0.0312773698575775,0.0463602565698064,0.0206018237831668,0.100970401665501,0.0214443722797466,0.108695516590266,0.0252149249235747,0.058792146697151,0.0214301319914047,0.0300720880508777,0.0275731972978605,0.0262089600396734,0.0217225580977891,0.111542738997756,0.0198064016021539,0.0202847640189377,0.0357754581731496,0.0189320895113706,0.0191168524502187,0.0187501440267256,0.0237240607418898,0.029507609127739,0.0200408878489508,0.0250592969185412,0.0239254638961241,0.018812343565639,0.0317070063449453,0.0212791176128218,0.00589348196017593,0.00144178068630739,0.00931040102728505,0.00390689493676974,0.0151001955928334,0.00593581032810491,0.0337528445391592,0.00856584826905759,-2.67017122841802e-05,0.00227795741118618,0.00598941882368607,0.00151108533435829,0.00208380064115853,0.00538324721558867,0.0505222968189533,0.00492713129240324,0.00462011555683527,0.00688676884212158,0.00495764291361828,0.0015239332974101,0.00347188213593192,0.00512927676554165,1.38356312400796e-05,0.00321026457512666,-0.00021353579375668,0.00362618952548791,0.00280307640849745,0.00460767907284105,0.00588831536093392
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.021401867326808,0.0363152852360433,0.0457809347188732,0.0237216892082884,0.0775352581346808,0.0214980768497585,0.09378914789044,0.0289699846436391,0.0563070362393314,0.0243559798106487,0.0278924384035251,0.033984658554437,0.025126737969538,0.0193637784251286,0.110018290352052,0.0239112447149233,0.0186933732446961,0.0461305047614842,0.0187385724285718,0.0192393052017667,0.0190921620449005,0.0237295928955721,0.0390324869342335,0.0190940166413845,0.0250120784429406,0.0231397474462011,0.0207094358328713,0.0325052966922623,0.0249110189550001,0.00689091905647822,0.00716498108025652,0.00798790796893725,0.00572459615661038,0.00171467688266231,0.00512390952766938,0.0182768102300333,0.0133214833912264,0.0163777610636084,0.00423939477205134,0.00473100646985989,0.00964725342994539,0.00362399909885629,0.00498636830495561,0.0605365779766978,0.00937696278015799,0.00426390668045681,0.0123018489145899,0.00326789147723318,0.00399259696431383,0.00532123128597811,0.00605464195957559,-0.00537770829071946,0.0041121393210301,0.00464256766575525,0.00524538762644272,0.0044379215727014,0.0032747662649171,0.0018675288399508
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0214383258078015,0.0288529066494216,0.0521793498530203,0.0228361054201317,0.101044248178584,0.0207036843753847,0.096628176664669,0.0255006669117837,0.0560128613646913,0.0218655672040018,0.0285944026041291,0.0275294167267866,0.0285912735725887,0.0184870889414254,0.0992422551257489,0.022781146922017,0.0219172591808566,0.038696036033519,0.019174172991079,0.0220616706456618,0.0216470051441762,0.0222120365067129,0.0323440001327721,0.0195780420019253,0.0256612316998888,0.0226073288113722,0.0222530242944412,0.0283402578755443,0.0312204583598657,0.00239087993677567,-0.0037063798121547,0.013806730470195,-0.00246252152120005,-0.0055226729828912,-0.00203185300615085,0.00221101174658644,0.00416544759115653,-0.00146584185416936,0.00176638215609594,0.00556582336522756,0.013046033257211,0.0060059601711084,0.0034546798350074,0.055277616449221,0.00637273978597363,0.00181066206889472,0.0111158919117047,0.000914309983798847,-0.00061409021697244,0.00456558599977535,0.00740804774479327,-0.0106649483183747,0.00102532523209973,0.00386282842795587,-0.00124215897320337,0.00135698839882418,-0.00388125551418378,-0.00112852874535912
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0218859032952254,0.0336036832201475,0.0485344827543792,0.0185563256305073,0.0937905997470321,0.0206459743701891,0.0951036402905946,0.0245226571223832,0.0537381166199451,0.0251505937701144,0.0213756765561397,0.030871998150788,0.0248717004204344,0.0194074079302052,0.101476135525272,0.0256016406670783,0.0194735580959508,0.0422627739571476,0.0207195743934366,0.0209902917821188,0.0212425443863018,0.0233800257334401,0.0369881377776209,0.0180344116172861,0.0230763513587968,0.0287168191406667,0.0222412469778939,0.0336819219566587,0.030055806752246,0.0110639532846238,0.0173077171859567,0.0376463974017254,0.0108907330280814,0.0337151117321946,0.0141947129991434,0.0455649737404414,0.0202959706942153,0.0301629381328158,0.0164818685227124,0.0141000121380013,0.0249849453921978,0.0123736925341793,0.0111658983279219,0.0816744177224863,0.0196170597904335,0.0113773768974651,0.0299429399413869,0.0146618724265963,0.0111721997873458,0.0104885838062916,0.0163832003514958,0.00817415708032034,0.00993355538036148,0.0135384611833791,0.0188015117147333,0.0147120510810775,0.0151201086831826,0.0155541485694817
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0232731227197666,0.0307238895076545,0.0556571098029367,0.0178854076214307,0.109993334071774,0.0239603723500733,0.0910661500669929,0.0282884452105391,0.0520314011064721,0.0232840490764152,0.0244994780472178,0.0309368135584392,0.0251294175765169,0.0214886397959441,0.102241119767922,0.0209683260538486,0.0200756900039942,0.0382845754488311,0.0193198834271582,0.0223451960081763,0.01882907674253,0.0242262804304972,0.0342859902626895,0.019131488705434,0.0252637078461483,0.0222770042881558,0.0221787818258559,0.0260527034414627,0.026302545235123,0.0124740271816937,0.0147640085498653,0.0417670713216618,0.0127672581382433,0.0385002456955077,0.0123318977803829,0.0934684714511531,0.0181796272251148,0.0175566879526568,0.0129993358616053,0.0110979383304978,0.0268480551609906,0.013246184580763,0.00735369508015575,0.0516481639444618,0.0142809011461593,0.008998425546195,0.0292591978762229,0.00889852403522859,0.00778375190116103,0.0120651709518259,0.014388369841554,0.0099339635482084,0.00908303939558574,0.0128773071817498,0.0120689496524518,0.00852520023050317,0.014185857588193,0.0172447701050528
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0187355243427444,0.0366752055390297,0.0489550179341559,0.0218785941948436,0.0973523627016081,0.0204203145032568,0.107294117787262,0.0262689302449808,0.0419222496760472,0.0212541698839511,0.0221965201303076,0.0358001273427724,0.0205240617960512,0.0229400675787245,0.107402474780786,0.0258360037033178,0.0226568680332874,0.0422825006704424,0.0168036966443852,0.0215463408948593,0.0200182779723047,0.0251512996738551,0.0299338499249702,0.0199603412614298,0.0232254781588045,0.021319658973005,0.0227295624362782,0.0285952726392052,0.0303211105773339,0.00964491592791626,0.019482144115076,0.0224639386365593,0.0120458511099785,0.0303273291432868,0.011931838819864,0.0693938461718567,0.0241699091410307,0.0184162933113533,0.0137514789636016,0.0114470059471599,0.0290337491505421,0.0125652371358566,0.0143060862272773,0.0773600496726022,0.0146500253445147,0.012925645411468,0.0241200917061409,0.010400078045748,0.00965170843634778,0.0126680358881547,0.012408497493063,0.00998045153927134,0.0115670182497992,0.016228606238367,0.0101736623136878,0.0138414809641495,0.0137777859031107,0.0128584224174685
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0208363976366489,0.0366898311474485,0.0513931878858713,0.0215857184108786,0.0989276976868412,0.02380935259999,0.0874193940363892,0.0267501450280858,0.0427279003634775,0.0221810351936638,0.0273071705831375,0.0380622112831329,0.0191480859766161,0.0225801541557544,0.115036452126473,0.0236916553633469,0.0222949229323094,0.0417484109045463,0.0187042445739275,0.0196099432447023,0.0189831181334982,0.0226143517314814,0.0350325730199286,0.0201816499174385,0.0238156253325345,0.0267074191724805,0.022336114066065,0.0233586000259625,0.0264666374673696,0.00226590900044472,0.00523323710728735,0.0135587443742296,0.00337901704680981,0.00539961541260878,0.00448575549972061,-0.00460562072349801,-0.000833967137714802,0.0021793511382145,0.000651834524923227,-0.00633513296663217,0.0100089165613468,0.00281822595177764,0.00175696019735193,0.0586464864225161,0.00771706271821916,0.00617917842686802,0.000482689206798102,0.00282730720791616,0.00230958331383779,0.00195660639533146,0.000593023814281488,-0.000127456868227813,0.00148227092254991,0.000145588369991325,-0.00172616303588135,0.00621571710147872,0.000559516593338385,-0.00328289134437992
