"meeting_id","meet_date","pub_date","quarter","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",0.0135207666705684,0.0095874017348453,0.00888655191493122,0.0842247738797223,0.253264417998223,0.00232654799253669,0.00383210625164734,0.0234243261098426,0.00163824801699852,0.000843465645256669,0.0142676117818661,0.00660524183216091,0.0110709020565451,0.00147506920415685,0.0506619258225383,0.000843465639811249,0.00475839691813117,0.0101274930979262,0.000843465642651715,0.00191128857566517,0.00162451642380977,0.177954012574901,0.00192323706478026,0.000843465644531919,0.0281709255917146,0.0016924092868976,0.0646552416955354,0.00084346564582719,0.187468834413985,0.0307104248719924,-0.000986055708280537,-0.000361077190286133,0.000308996112913636,-0.0012719102076194,0.00106679566664873,-4.46607403152474e-05,-9.03621680616778e-05,-0.000536305879291135,-4.25647263253881e-05,-7.39736485221734e-06,3.44223008717799e-05,0.000107549936021483,-0.000478451624492734,6.04100830940385e-06,-0.00144439391330269,-7.39736483535885e-06,-0.000167456905895237,-0.00021472247056958,-7.39736513216548e-06,5.66720111417419e-05,1.87831082136419e-05,0.00287858036012306,-3.45273000907774e-05,-7.39736489762473e-06,-0.00127011233011431,-2.43762375618296e-05,-0.00309704910047106,-7.39736472527319e-06,-0.00374692965505896,-0.00035603983243248
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",0.00871920544593959,0.00207183688741719,0.0220076443317518,0.0638692250359418,0.24854986955332,0.0019300021757832,0.00299611756196848,0.00827359948899907,0.000847493693286738,0.000847493704190004,0.00742957234282486,0.0193440330406686,0.0091246124837799,0.0110783383386948,0.0414390172412279,0.000847493689687547,0.00317029653621326,0.00381406252798205,0.00422647707472912,0.000847493694154603,0.0052666175542408,0.168568396078412,0.0266487861869734,0.000847493693246133,0.0157176668042748,0.0015694729372008,0.0553730334311126,0.00138984022774095,0.24099833028968,0.0221864779485582,-0.000337086908869918,1.02747980037837e-05,2.27696250079698e-05,4.8341908966032e-05,-0.00121842813347691,7.51356377699678e-06,-0.000134055827538389,-6.46215774784461e-07,-6.72996829666497e-06,-6.72996926889451e-06,6.65148341960603e-05,0.000348030753173365,-0.00024436897818909,-0.000371703521694033,-0.000687440299292726,-6.72996892289746e-06,-0.000104082221500758,-0.000140990396991579,-0.000285818409684138,-6.72996902313147e-06,-0.000138298092303492,0.00452546054291812,-0.00085275286170148,-6.72996862303385e-06,-0.000554760485906847,-4.22371447357305e-05,-0.00337873744645583,-2.58266777740564e-05,-0.00567684153408399,-0.000205814075456853
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",0.00996716765358934,0.00407386866362146,0.0114346027169379,0.0722240237001382,0.26639910401896,0.00570140827399488,0.00730834006597909,0.0132904328964889,0.00307629348595149,0.000886653830309485,0.00884698300130341,0.0025324254571755,0.00466695354076755,0.0104773328971776,0.047398405981004,0.00449312579927077,0.00229773776289866,0.00238262284718475,0.00157499915047095,0.000886653827181299,0.00944606448246645,0.177613188741204,0.0139451145514989,0.00206887559458023,0.00794832928443156,0.000886653830743165,0.0511312910583805,0.00155560435589472,0.234924951242466,0.0205607912879298,-0.000440799188017102,-0.000261922219705033,-0.000230762040924633,-0.0015457964772328,-0.00109189166906504,-0.000215816169958738,-0.000199361242061815,0.000137478581512768,8.19006514708555e-05,-8.39376765896397e-06,-9.6986867482759e-05,7.55741725706479e-05,5.18535318704487e-05,-0.000613870381383234,-0.000692751320732633,-0.000115380114989739,-4.98962363293147e-05,2.49912353959235e-05,-4.84138448725591e-05,-8.39376766684297e-06,2.15393241301462e-05,0.00483825968784338,-0.000665351287943348,-2.33586001790276e-05,-0.000315517672363425,-8.39376782511374e-06,-0.00240526346403076,-2.73263299840642e-05,-0.0084044675184811,-0.000127362795728025
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",0.0125697189315326,0.00594648378893472,0.0156770608857114,0.10023515374365,0.267258410652835,0.00340126752806244,0.0008341799669595,0.0265148616500885,0.000834179968139331,0.00214211296448925,0.00688844479185811,0.000834179968615237,0.0142286111090537,0.00593622989819333,0.0574835693948218,0.00191740774078671,0.000834179970470036,0.00572216066984859,0.00182948550265318,0.00083417996443731,0.00904276860771625,0.156890411352894,0.0118153762445673,0.000834179967894915,0.0108359049054366,0.00187944187807969,0.0494109232217454,0.00312104859814996,0.214081676553689,0.0101663895786864,-0.000285142943501285,-0.000397968733200343,-0.000166777444929507,-0.0011993054546003,-0.000926827496154082,-4.56912679111718e-05,-4.71459338710883e-06,-0.000227853644640174,-4.71459308195223e-06,5.88737360687888e-06,-6.97840117640245e-05,-4.71459336086602e-06,-0.000278309053053515,-0.000246726061794141,-0.00170988419956077,-7.9053754659637e-05,-4.71459346965149e-06,-3.49343399976617e-05,-1.95698999992854e-05,-4.71459332708231e-06,8.95990870636077e-05,0.00454560804351579,-0.000567582103939572,-4.71459333228237e-06,-0.000267213986441518,-4.2495144429462e-05,-0.00136104488200267,-6.38577475681838e-05,-0.00379621044583384,0.000101337110353405
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",0.0164760863531536,0.00173756372601363,0.0231238988258231,0.0765118517952706,0.252349355286579,0.0133337756765507,0.000852951621288178,0.0188664180445959,0.00109819968642778,0.00278662719862581,0.0126992414048328,0.0120937574867533,0.0061174656321754,0.00773515269170633,0.0532420705791313,0.00789188304888255,0.00085295162487435,0.000852951628099233,0.00382785714334159,0.000852951623370242,0.00888306254899432,0.177254117781667,0.0346388646647893,0.000852951621373327,0.0094634080602868,0.000852951622406742,0.0500219911555304,0.000852951622099698,0.180417524881622,0.0234591649637356,-0.000386699410059884,-6.45237457866819e-05,0.000938546499105454,-0.000934292073533438,-0.00209617210908903,-0.000403568492117855,-1.89634077207433e-06,-0.000364822436642206,-1.89634032357685e-06,-0.000138793726511779,0.000354501602240142,0.000654121047559002,-0.000108951463411597,-9.61730677991164e-05,-0.00114756148143517,-0.000414266298369576,-1.89634077760151e-06,-1.89634019917507e-06,-4.98786879035439e-05,-1.89634082989799e-06,-0.000283542351975002,0.00486380242045622,-0.00077284030292217,-1.89634081032349e-06,-0.000132075939775753,-1.89634073759854e-06,-0.00144388130704623,-1.89634074087756e-06,-0.00273205137035275,-0.000999493488619629
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",0.0233011951113096,0.00126688867649977,0.0207987137052234,0.0705031077650388,0.256495315685604,0.00853708662995425,0.000872493997815531,0.0114527740004631,0.00266030399314053,0.0072576265216883,0.00828595416574538,0.00676374626251417,0.00407487984652609,0.00481985502041187,0.0567188930311165,0.00517334012284032,0.00583236548493335,0.00247459373573402,0.0050019285472691,0.000872493995116312,0.0116213379942896,0.165414901111628,0.0250534554717524,0.00087249399729694,0.00783933581815192,0.00213487095945308,0.0431696625261663,0.0052281340529396,0.213714278453172,0.0217879733162059,-0.000260099023114541,-2.41990604069201e-05,0.000951215779882942,-0.000735992373230354,-0.00475925688763239,-0.000312375581583071,-7.19928986452738e-06,-0.000572724027392348,-0.000135921609167147,-0.000466928831669988,0.000183205871649746,3.23136751941837e-05,-5.47879121160488e-05,-0.000439786798326141,-0.000582072032733018,-0.000424022244559191,6.08652061032058e-05,-3.47283406519081e-05,-0.000160199997224382,-7.19928970198228e-06,-0.000251528647740023,0.00482170994162042,-0.00120954473757478,-7.19928978844769e-06,-8.68998658314443e-05,-5.76943682787176e-05,-0.0018616616809334,5.24670123802872e-05,-0.00426819899519726,-0.000331820925753691
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",0.00668128390213686,0.00417197034310705,0.0156031218128244,0.0785759504377772,0.236727018191741,0.0155969527796721,0.00123647493532648,0.0254861464428016,0.000935854717154255,0.0026891042989818,0.0172547664259343,0.0085371965659568,0.00333484459575031,0.00093585472299009,0.0454742992766701,0.000935854706152281,0.00093585471575921,0.000935854719195215,0.00264858989971573,0.000935854713108468,0.010559442196934,0.205447241717705,0.0207764825913233,0.000935854710503639,0.00849239857148588,0.000935854710397118,0.0582381689154546,0.0018984489695053,0.208073622166372,0.0150096372475643,-2.40347806136349e-05,9.71927280466256e-05,0.00121046570282868,0.00195461945786134,0.00223222467170785,-0.000609767321633169,1.56429454816585e-05,-0.000442994806439925,1.31377772017831e-05,5.86767271916168e-05,0.000848629959526251,0.000456691097919482,-4.39810296467712e-05,1.31377771461054e-05,-0.000173256701510826,1.31377767970178e-05,1.31377768460159e-05,1.31377773176855e-05,-0.00018705205077066,1.31377767917704e-05,-0.000344564908805812,0.00500856872059416,0.000359001137122917,1.31377769455191e-05,-0.000161072912119246,1.31377768479516e-05,0.000162005048959132,-2.91015899482965e-05,-0.00060890354045796,-0.000180702980265021
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",0.00577780025755033,0.00500869189605526,0.0196966697750835,0.091864833702539,0.224680021553168,0.00556618646068157,0.00415498087175405,0.0141341410299627,0.00216604902977821,0.0028824899575771,0.00803996033015422,0.0113941232276572,0.00566799987325718,0.0208392131041261,0.0573278222194331,0.000903768022890224,0.00170415879923887,0.00216149285798074,0.00260439757616569,0.000903768026026592,0.00619493729275318,0.163337193532942,0.00605369417133123,0.00090376803161138,0.0108953948814266,0.00618625256706253,0.0569491598117792,0.00150531785792414,0.248913932214677,0.0115817810674122,-8.4740761907506e-05,-8.06516107365252e-05,0.00143156267266185,0.00198488090541842,0.00677244408368852,6.38303247743102e-05,-0.000127072963635828,5.25495890849105e-05,3.05461986205507e-05,-5.42027901437527e-05,0.000372989075200505,-9.02016190524419e-07,1.30879373796578e-05,-0.000142231556459575,-0.00133394561512035,8.80080902445683e-06,-1.78788835764976e-05,-9.38706055233513e-05,-0.000130026093576126,8.800808887247e-06,-4.74882262578673e-05,0.00490970320282741,-2.00560281584831e-05,8.80080827458857e-06,0.00011906469587796,-0.00048643211710211,-0.00174151716568358,2.0994386327076e-05,-0.00305788654177267,0.000178293079263054
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",0.00618160372131025,0.00730620252548553,0.0225926990846849,0.0760712977563376,0.237325490158364,0.0045774202983722,0.00180791587911703,0.0201777344370817,0.00494301685048959,0.00202919622383518,0.0135004411370439,0.0107930478613226,0.00786664019007103,0.00293821570152029,0.0562672314237958,0.00289436706340921,0.0223292516232693,0.00560750086376194,0.00517075005222839,0.000856559790984322,0.000856559783336163,0.158586649707211,0.00528778709544787,0.000856559795725234,0.00596003078247469,0.00242709352569874,0.0510817260258867,0.000856559793850114,0.246706179887757,0.0161442709601274,-0.000147282734249061,3.13494749773277e-05,0.000868005999345019,-0.000482115847166824,0.00432108121286844,2.1414913509469e-05,-2.13940667626472e-05,0.000152900239459747,0.00013249809525414,1.8758136133621e-06,-6.38422865684751e-05,0.000580789588750421,-3.38858473089846e-05,6.95604417500485e-05,-0.000929504213536715,6.90619129298995e-05,8.72667236050727e-05,-0.000126132720800871,-5.93606754135596e-05,7.72907844217945e-06,7.72907838418216e-06,0.00459608777688326,-0.0001128068272229,7.72907870367391e-06,1.91896634468845e-05,5.43785952784697e-05,-0.00124436934601411,7.72907848280689e-06,0.000377669982803287,0.000234173550264396
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",0.0123494851799263,0.00349714967979005,0.0254558210529735,0.0563748743372816,0.238330022862442,0.0210065453568262,0.00487977435026503,0.00581140030297268,0.000925838974637254,0.00298727871236687,0.0154325800541879,0.00351927616515783,0.00258624301957714,0.0154078239691398,0.0472746422729051,0.00171501855647005,0.00849276375082418,0.00265408435402264,0.000925838979793699,0.000925838978601522,0.000925838967373971,0.170979756146281,0.0143534861920486,0.000925838982628032,0.000925838977674637,0.00176972422912635,0.0523317781136648,0.00165183809398853,0.270838185159869,0.014745414227184,-0.00115027158875993,-7.32517853282923e-05,0.000401829666293295,-4.54613898194849e-05,-0.00535091999559679,-0.000439372458232084,-6.67699792495634e-05,-0.000408611157063495,-8.15531171884557e-06,-6.77913088016998e-05,-5.87120175919935e-05,3.11391909687917e-05,-5.80293827039676e-05,-0.000361147380601608,-0.000905476133368075,-1.98903238864491e-05,6.5303322766885e-05,-2.34495180102804e-05,-8.15531181997831e-06,-8.15531153857712e-06,-8.15531183440396e-06,0.00462753351572667,-0.000931300813400837,-8.15531131953026e-06,-8.15531218574144e-06,-8.15531107162367e-06,-0.000785295829183893,1.68791400921004e-05,-0.00387619325239843,-0.000958269714029663
