"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent","T31_sent","T32_sent","T33_sent","T34_sent","T35_sent","T36_sent","T37_sent","T38_sent","T39_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0169788355133898,0.0139928127571405,0.0262923661556601,0.0199935285111454,0.0185165553601915,0.0130040364075636,0.0931058999220299,0.0139819809027511,0.0142947760338318,0.0414545972257107,0.0217491400798617,0.0875405599672018,0.0150545833493097,0.0142887976778536,0.0177098997103317,0.021313384329009,0.0123341960908337,0.0466361884099654,0.0451712645563526,0.014683394679233,0.018122467967399,0.0155605302010767,0.0152189938245603,0.0754857329034386,0.0139592605009405,0.0188902286599872,0.0149838990381593,0.0215256630208623,0.0188051862759101,0.0180412189097693,0.0187987748457868,0.0133619678678587,0.0248313535815561,0.0307943909287261,0.0166248335530611,0.0461441444059533,0.015226276347409,0.0123487253059198,0.0231795542222594,0.00120763249998411,0.00194458840918217,-0.00100720259772621,0.00472720497261454,0.00210693263492019,0.000971238430845575,0.0466341175005027,0.00185188925343546,0.00128241637792436,0.0132289132573274,-0.00164241913195786,0.00160740356478981,0.000244600777920466,0.00239373044806408,0.00608470049571649,0.000580705602248531,0.00229899882295747,0.0196259261613785,-0.0110194928791334,0.00274947924251691,0.00622506587810875,0.000393331441076891,0.00127920532566576,0.0290162158036001,0.00154284018560131,-0.00280691032176796,-0.000398092962989199,0.00221949540704221,0.00115453753683175,0.00395848932191109,0.000882633678266655,0.00124952933198358,-0.00281490692637093,-0.00864671676652833,-0.000944406374250575,0.00657023286563068,0.000764775348638586,0.00239325727226902,0.00380544543999689
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0179997929973051,0.0139647960511538,0.0371729761645552,0.0209499145436658,0.0170776815481459,0.0131949741086703,0.0870881703424249,0.0171226811161807,0.0149859453518753,0.0441568319216819,0.020408843056274,0.0975228052705099,0.0179850839013124,0.016191652790641,0.0207752166172838,0.0220494340469924,0.0138493142471525,0.0386750757764765,0.0382694938689689,0.0179318328781814,0.0233323980274269,0.013363397090793,0.0152096848915779,0.0660968586045567,0.0162785024950526,0.0187535781656547,0.0175770942028868,0.0173877830550569,0.0152053623574881,0.0165266796984169,0.0140172737384825,0.014389816057953,0.0190536475628062,0.0327679913491315,0.0137451134455344,0.045811761428442,0.0134904640275291,0.0140717575305082,0.025548319671251,0.00146174138935211,0.00179404492671209,0.00307753479803771,0.0016363737082678,0.0041496188278748,0.000878900945695092,0.0534789488814956,0.00392966319623739,0.00171288270998698,0.0208541727799683,0.00046060469511936,-0.0123418746927149,-8.3375449003536e-05,0.00543489687695069,0.00475435864629562,-0.00371784879886827,0.00319013629614263,0.0151104386562586,-0.0072318046303287,0.00209291722157121,0.0098869485256516,0.00197003521770317,0.00265615350076139,0.0160617255794583,0.00243786541355573,-0.00199381764146788,-0.0033386078380314,0.00445510802843459,0.00335739336144855,0.002843883723395,0.00303600129060746,0.000985507851250426,-0.000817491459981634,-0.0126483285850065,0.00188662440557502,0.00625295704329087,0.00176378754156091,0.00210618713938747,0.00760730203093853
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0201397818095131,0.0136941145045869,0.039071537008168,0.0176906128359744,0.0207311463197618,0.0142860195078145,0.0967576842536795,0.0183971962982277,0.0151156183934775,0.0485640417644901,0.017278244995928,0.0826271751081594,0.0167200787644728,0.0137608741997769,0.0165062728641117,0.0219660301707067,0.0154442944566815,0.041472411158828,0.0367475057237832,0.0163568317547672,0.0189490100853927,0.0163513519466322,0.0157016521616583,0.069394665757394,0.0136477345707422,0.0197618844763462,0.0161489600985847,0.0170005676366536,0.0138428013396859,0.0192106037299111,0.0141390404149954,0.0180184609696501,0.0213499447843023,0.0334279358956207,0.0129035318447415,0.0412442011173872,0.0150835061497771,0.0142976981188792,0.0261989770087368,0.00174126711594166,0.000825184029689425,-0.00361192588803133,0.00309338722610221,-0.00190906178806725,0.00166831568686547,0.0581882457785313,0.00812914517641099,0.00159468584077061,-0.00426038744162567,0.00174383013595819,-0.0325519384197123,0.000496422300967025,0.00283518369186318,0.000377282152142959,-0.000780929630484982,0.00117899703714416,0.0141483905509546,-0.00488408429345846,0.000256683264713786,0.00612683882680127,0.000396200056845773,0.00112429873682285,0.0284411522921249,0.00110270864511548,0.00135982820733829,-0.000883848058175299,0.0023623482291218,0.00289547798356163,-0.000225844813699533,0.00223455402647139,-0.000143271490963511,-0.00124889731686831,-0.0161864242104986,0.000609763217056143,-0.00119531839230348,-0.00096388510475086,0.00157373394114954,0.00500285190768594
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0168930209675998,0.0138276476632681,0.0438623539506124,0.0215800691799782,0.0197011735654687,0.0149119871830866,0.0936888316809401,0.0163321567176705,0.0156848506383994,0.0428163394933253,0.0202734647702138,0.0907489375026162,0.013605605448132,0.0155857461886258,0.0177724335949717,0.022851453352588,0.0138738740190302,0.0367622039605294,0.039216291788068,0.0151206170956831,0.0174851893190132,0.0146842184564723,0.012518906549887,0.0841211972597971,0.0141877098261157,0.0163616022658385,0.0150426435874682,0.0248565894186604,0.0159734823578805,0.0157304389012534,0.0160224388725147,0.0149383349357651,0.0215757832179131,0.0254055419310023,0.0143290429836012,0.0435914666819035,0.0148014354821757,0.0150980897158289,0.018166829476102,0.00281866186486532,0.00387970275204261,-0.00734896487624955,0.00495223959948003,-0.000237004551231485,0.00328432717304061,0.0647928971477385,0.00608398124217694,0.00469117786304514,0.00931272895876144,0.00122015321059174,0.010828127408535,0.00190949333809819,0.00238200669425614,0.00177800801823119,0.00236203203107961,0.0025184253026758,0.00936139131383826,-0.00338228176758218,0.00193540209386666,0.00681905373027888,0.00248227414860444,0.0020212152000501,0.0206441057770048,0.00297554099906212,0.00304985724610532,0.00140294402162249,0.00322872302213607,0.00490658571253686,0.00195735944247883,0.00410894482681517,0.000926667885206227,0.00387051762746898,-1.55969173485099e-06,0.00365545323216343,0.0106836863309963,0.00124960024923601,0.000333147394734425,0.00564431548454695
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0160747079461015,0.0131667847757967,0.0305516648759842,0.0182556404739117,0.0194565090941175,0.014974394564289,0.101674612689177,0.0163421955247371,0.0167618096861276,0.0410753103051411,0.0162001206671575,0.0683107511294893,0.0179438854168492,0.0139071868503211,0.0262066177835328,0.0290866220893792,0.0150233147365109,0.0401626890995312,0.039332522872329,0.0164639060919825,0.0232915215459415,0.0139640844965445,0.0133547533192345,0.0720475080733746,0.0151825225227292,0.0238042253173663,0.0153042831773725,0.021672101177677,0.015875988627161,0.0140454842642114,0.0199632773942963,0.0162071353649611,0.018967967584812,0.031781990041617,0.0158256873364311,0.0453382055772638,0.0176298071040013,0.0152967101330949,0.0194755002694437,0.00390434502269854,0.0052977215922991,0.00560430046742102,0.00575583014366678,0.00280163068858402,0.00255246893951998,0.0654624166454627,0.00281197641294107,0.00548731367302227,0.00609818018250342,0.00371552638762783,0.00406661605706297,0.00249643200604314,0.00376586316679914,0.0132648401376189,0.0041715533817595,0.00279260395487987,0.011048179396773,0.00577276705189633,0.00311006795872122,0.0120593873569615,0.00303958639721898,0.00355732180841286,0.0118078250175285,0.00188586577101923,0.00106095318542492,0.00393578199755395,0.00183544883269243,0.00592982349403803,0.00416527006602386,0.00322294536260662,0.000425650748952674,0.00107554339276625,-0.0045186813379465,0.00252552868697316,0.011580017068014,0.00302531435047902,0.00426996123099109,0.00226515177522042
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0147628512847869,0.0161530218932129,0.0300215544461043,0.0207918784748175,0.0194801876290132,0.0157344361581515,0.086228672876305,0.0150760714770976,0.0202463682339104,0.0415383995150681,0.0172027696075876,0.087222245187614,0.0145753202476232,0.0171964576691826,0.0209963517515977,0.0245767879995819,0.0148628895899392,0.0416173809352007,0.0479634997826146,0.0187807661699246,0.0201959922639155,0.0156744339010168,0.0165133803808689,0.0651889888670397,0.0163683429519911,0.0204402515644619,0.0163034766140037,0.0224951323653965,0.0149583555658459,0.016433321753444,0.0184883449893165,0.0133659671013205,0.0198159496496635,0.028001236133074,0.0160821929951785,0.0381804135879376,0.0153320049341831,0.0157826712995854,0.0253516321524234,0.0013341308144335,0.000178397932057691,-0.00296275092165679,0.000977822146819556,0.000446175693792281,-0.000840214414042383,0.0639250174800921,0.00166239501942217,0.00455932181408174,0.0113178774850767,-9.06320326444731e-05,-0.00353940323281559,0.000217411845689234,0.00394995119358846,0.00749514033132567,-0.000796720989464253,0.000964527013615235,0.0094191677293025,-0.0126301092701193,0.00536598638130175,0.00491260496905244,-0.00256263057000925,0.00102498018397643,0.0115883012241676,-0.00112250850486492,0.00426629217429948,-0.000396885272962709,-0.00154282323156847,0.00584261504964996,0.00380799141111016,0.00082131800448323,-0.000801207716475998,0.00473087517160308,-0.0101396819500647,-0.000856439461320741,-0.00108465417727146,-0.000130748854632017,0.00340787493641368,0.000683928182304094
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0192193134113345,0.0140667359731975,0.0316983901628336,0.0185032028356849,0.0182016653621347,0.0142846990041151,0.0945632179169557,0.0153260854715694,0.0180432598064147,0.0410607411856206,0.0162450444259546,0.0874900758911679,0.0172878614448621,0.0172656039985412,0.0198310535729908,0.0211403421795277,0.0143599813744194,0.0468311636258791,0.0329977365413236,0.0166194604617519,0.0211788396184724,0.0141628950094608,0.0141222609824825,0.0679451462863018,0.0160834101242601,0.0157735666617674,0.0167691291165744,0.0262202562974906,0.0154261198248259,0.0160314455091764,0.0155980074677278,0.01561924374072,0.0183733324935026,0.0332510861904414,0.0166828661925166,0.0451110942459768,0.017368459346156,0.0154274373056249,0.0238197689402429,0.00732133986367112,0.00875168867462615,0.0152397001321929,0.007631003382606,0.00755872988148025,0.00819371607988027,0.0737479312421193,0.0107733300375388,0.00985784967604109,0.0401638865196695,0.0105197040053701,0.0206482495120624,0.0122227691077942,0.0125226783141744,0.0181474690065022,0.0129529655184282,0.00990804843691952,0.0334503185240227,0.0208690166878526,0.0110570254799647,0.0198398699652906,0.00905836722607268,0.00683516836728515,0.0338177380530465,0.00900443155557077,0.0104121818854535,0.00821517119014248,0.0115365664097206,0.0101784966217255,0.00997078305319181,0.00898201722129827,0.00890110188625051,0.0063684439689647,0.00542652076764146,0.0108698437782017,0.0369161162827756,0.00871118507800961,0.0109453268588866,0.0135738192778034
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0173495480561147,0.0150367283219806,0.0557263145040106,0.0191627803068608,0.0206678499947624,0.0139221851930141,0.083138033884607,0.0172995671057653,0.0142006049581738,0.045162766790983,0.0169059267945879,0.0913133965596907,0.0158842917139807,0.0160660831183218,0.0223243131247738,0.0205195225989353,0.0127867940175356,0.0441124356103818,0.0358819158603194,0.016969338788411,0.0236917341507843,0.0132975825354359,0.0143308017471697,0.0655998174438524,0.015950895484064,0.0160504549139239,0.0170489287073249,0.0190564981895342,0.0152876449967836,0.0191004792148823,0.0162978576557181,0.0156810151761885,0.0223168230493918,0.032401197991904,0.0156630660072859,0.0320833014182167,0.0152318241901302,0.0147898915266518,0.0216897882975476,0.00820421038287354,0.00869143745722671,-0.00866568178568219,0.0111763814403753,0.00965142340773018,0.00814446097565067,0.0679174964890071,0.00984497508427607,0.00831133991664544,0.0371706003916008,0.00898501145300686,0.043185302870417,0.00777967144585329,0.00927187069612167,0.0216757212042208,0.00897047174493789,0.00709320463653439,0.0356685010245575,0.0105511362073627,0.00526881667873568,0.0185271393444488,0.006371415579747,0.00717607633196725,0.0656980761321115,0.00845407243573705,0.00880645703665405,0.00736358628113369,0.00886441053693629,0.00726816660149718,0.00399743235518416,0.00927959752990321,0.00869814957026791,0.0145668281647955,0.00832989027302255,0.0062877778756169,0.022623279206749,0.0093274894054968,0.0100844159114827,0.0139754849606421
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0186623993243619,0.0135166784925754,0.0468545492945546,0.0232265755317974,0.018564006738059,0.0145195919477439,0.0862187138155923,0.0186595419915164,0.0156927039527456,0.0436989912987449,0.016129437827394,0.0901720867853038,0.0156165979081798,0.0167573616820953,0.0207688217897342,0.0200039683965142,0.0161998235282298,0.0437243038036816,0.0290784940156301,0.018283222000225,0.0195126210038436,0.0149817339145311,0.0179716184722499,0.073659395688387,0.0152014809157723,0.0173719364799974,0.015284680388077,0.0225318814247743,0.0164547911165581,0.0164742975237438,0.0165635289870814,0.0138809811307734,0.0160337891318522,0.0250452939770961,0.0159537839256084,0.0399733133501426,0.0159708187941628,0.0159417614777654,0.0248444221729042,0.0105930826891768,0.00878740776604116,0.0258141766137637,0.0166568209118662,0.0115361472944069,0.00781820882480527,0.0653572862185288,0.0143933790392417,0.0102383715221307,0.0174295614201465,0.00759494891259702,0.0206395712499273,0.00901978499482638,0.0114913390579926,0.0128459337356363,0.010046446392944,0.0094318503246475,0.0246497592323001,0.0146430101533051,0.0118975435696314,0.0172090751886024,0.00939119341609195,0.0110107687622335,0.0566566040390203,0.00755592773731476,0.010055700814467,0.00782133408538925,0.0129800450671814,0.00793353191554104,0.00847049801058334,0.0105356122379624,0.0071696825870924,0.00945161934708285,0.00698817011383969,0.00576334978834841,0.0206206363288244,0.010403007540481,0.00975820618719281,0.0109315903340881
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0164445219542087,0.0172830150604714,0.0521112185769646,0.0180433078317786,0.0204913905327357,0.013862475870829,0.0847199765850244,0.017109237208877,0.0139879495332829,0.0447458658080681,0.0166527864005033,0.0887918535534002,0.0166049409716744,0.0161627287534559,0.0305008212199422,0.0239982774506055,0.0150494012213353,0.0456066134085899,0.0350006170558081,0.0196543232891999,0.0191987530095841,0.0155855125507837,0.0169434322189296,0.0563094176818456,0.0156166066297968,0.0181200888690705,0.0136007595612619,0.0178632048815834,0.0156863712777211,0.0192504889101438,0.0143371129479185,0.0153345935991958,0.0137271609989726,0.0308136430281798,0.0170219101605392,0.0434839368276385,0.0146256230654462,0.0151301371815285,0.0205299243131052,0.000383044268656487,0.0037041965717423,0.00339763698862385,-0.000830216594758509,-0.00168774218388148,0.00193699641273684,0.0607271231169923,0.00214748094274686,0.00168911726206191,0.00922636866375435,-0.00127108139030953,0.00265365432377272,-0.000284610906240435,0.00355007858960472,0.00831570656131372,0.000432682067604599,0.00291950713880423,0.00660194593428084,-0.001250601389234,0.00252893407299021,0.000929573618952121,0.00237202382578095,0.0027605840226918,-0.00445135614285556,0.00150506433530698,-0.0057441848030279,0.00106677010368553,0.00231993211185322,0.0019490533680896,0.00388541928053502,0.00245331018504851,0.00241849813315475,0.0023473117202464,-0.00405263196723877,0.00116623237064157,0.00669229221531503,0.00175959543207301,0.00375406873980613,-0.00408041176981283
