"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","product, oil, industri, price, manufactur, produc, energi, demand, cost, factori, car, high",0.0373,0.0358,0.0323
"Topic 2"," ","committe, polici, feder, condit, monetari, reserv, meet, direct, inflat, fund, stabil, rang",0.1039,0.0579,0.022
"Topic 3"," ","percent, stock, point, index, rose, fell, share, gain, earn, investor, report, close",0.0299,0.0287,0.0528
"Topic 4"," ","bank, european, central, europ, euro, countri, govern, union, germani, german, franc, debt",0.0259,0.0376,0.0412
"Topic 5"," ","new, state, rule, case, law, deal, agenc, board, regul, group, use, public",0.0259,0.0586,0.0453
"Topic 6"," ","hous, home, year, real, new, estat, sale, price, start, apart, month, two",0.0333,0.0315,0.0342
"Topic 7"," ","particip, growth, member, risk, outlook, continu, expect, activ, effect, note, recent, project",0.1029,0.0548,0.0218
"Topic 8"," ","price, inflat, increas, expect, period, measur, declin, consum, month, remain, energi, rise",0.0821,0.0389,0.0243
"Topic 9"," ","tax, state, cut, budget, million, year, billion, spend, new, increas, propos, deficit",0.0252,0.0311,0.0405
"Topic 10"," ","percent, report, year, month, last, sale, increas, week, show, expect, sinc, depart",0.0315,0.0294,0.0532
"Topic 11"," ","job, worker, unemploy, labor, employ, wage, work, month, year, number, hour, busi",0.0383,0.0341,0.0338
"Topic 12"," ","quarter, spend, growth, consum, busi, continu, pace, declin, increas, inventori, remain, activ",0.0973,0.0368,0.0251
"Topic 13"," ","one, peopl, like, get, say, just, now, time, make, thing, think, want",0.0226,0.0416,0.0616
"Topic 14"," ","presid, administr, vote, hous, polici, elect, polit, support, offici, white, issu, congress",0.0244,0.0378,0.0504
"Topic 15"," ","citi, new, develop, build, york, project, plan, center, offic, one, area, communiti",0.0245,0.0359,0.0472
"Topic 16"," ","bank, loan, credit, financi, mortgag, debt, borrow, interest, lend, financ, lender, card",0.041,0.0586,0.0354
"Topic 17"," ","state, unit, american, countri, world, trade, nation, global, intern, america, south, develop",0.0241,0.0356,0.0414
"Topic 18"," ","bond, fed, interest, treasuri, secur, yield, feder, term, reserv, note, year, price",0.0356,0.0347,0.0383
"Topic 19"," ","economi, growth, recess, year, even, cut, now, last, time, much, like, still",0.0301,0.0417,0.0477
"Topic 20"," ","china, dollar, trade, japan, foreign, export, currenc, import, chines, economi, unit, japanes",0.0369,0.0339,0.0325
"Topic 21"," ","govern, polit, power, minist, russia, war, leader, nation, militari, reform, prime, countri",0.0232,0.0359,0.05
"Topic 22"," ","fund, invest, investor, manag, money, capit, year, financi, stock, asset, firm, valu",0.0304,0.0483,0.0367
"Topic 23"," ","cost, pay, program, health, care, insur, need, money, save, plan, make, benefit",0.0245,0.0429,0.0427
"Topic 24"," ","compani, busi, million, year, billion, execut, profit, share, corpor, oper, industri, last",0.0237,0.0335,0.0471
"Topic 25"," ","year, school, incom, peopl, univers, famili, educ, work, student, american, like, studi",0.0255,0.0445,0.0424
