"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","compani, busi, industri, year, million, billion, execut, profit, share, oper, last, corpor",0.0393,0.0555,0.0676
"Topic 2"," ","committe, polici, particip, member, condit, inflat, feder, expect, risk, meet, outlook, period",0.1625,0.0874,0.0326
"Topic 3"," ","presid, polit, govern, nation, elect, leader, offici, support, vote, power, state, countri",0.0363,0.0543,0.0827
"Topic 4"," ","percent, month, year, report, sale, last, quarter, week, increas, first, sinc, rose",0.0541,0.0454,0.0724
"Topic 5"," ","fund, loan, credit, bond, mortgag, secur, bank, financi, interest, debt, invest, borrow",0.066,0.0771,0.0567
"Topic 6"," ","tax, state, cut, year, budget, plan, spend, billion, govern, program, propos, health",0.0395,0.0535,0.066
"Topic 7"," ","new, citi, hous, build, develop, home, year, york, two, project, area, million",0.0413,0.0521,0.0681
"Topic 8"," ","economi, growth, fed, interest, term, polici, reserv, long, time, rais, feder, recess",0.0547,0.0684,0.0628
"Topic 9"," ","one, peopl, like, now, get, say, time, just, even, make, much, way",0.0366,0.0681,0.0884
"Topic 10"," ","quarter, growth, continu, spend, busi, remain, activ, sector, pace, declin, recent, product",0.1428,0.0617,0.0354
"Topic 11"," ","price, inflat, increas, oil, energi, expect, consum, month, rise, measur, year, recent",0.1002,0.0594,0.0396
"Topic 12"," ","bank, european, govern, central, countri, europ, financi, euro, crisi, debt, union, germani",0.0416,0.0674,0.0626
"Topic 13"," ","unit, trade, china, state, dollar, countri, american, foreign, world, japan, export, global",0.0477,0.0539,0.0599
"Topic 14"," ","percent, stock, point, investor, index, rose, fell, price, yield, year, bond, week",0.0485,0.0461,0.0737
"Topic 15"," ","new, deal, state, offici, use, group, rule, public, law, also, case, regul",0.0436,0.0909,0.0681
"Topic 16"," ","job, year, worker, work, peopl, incom, employ, unemploy, school, labor, percent, mani",0.0454,0.0588,0.0634
