"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent","T31_sent","T32_sent","T33_sent","T34_sent","T35_sent","T36_sent","T37_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0240930741428464,0.0159096191736141,0.0265462539220197,0.0183532777445081,0.0171791435223601,0.0448503668729047,0.0145441421557783,0.0163334437799102,0.0228157724042845,0.0163178265302721,0.0356291585706666,0.0212932679111973,0.0160835296672248,0.0162056221615941,0.019798103297474,0.0176498387927841,0.0828505296431111,0.016217716318521,0.0874150517027149,0.0138899711331279,0.0161907017813741,0.0142388538322955,0.086625247304544,0.0128787128066142,0.0237450095793344,0.0162228443886363,0.0224152160281778,0.020766846680691,0.0493683840945391,0.0143340277047123,0.0208289780548848,0.0169628210185139,0.0188100399403458,0.0398964864891021,0.0425305555195664,0.0185512316006589,0.0216583337290953,-0.00362595966139739,0.00420352225161447,-0.000469545498695068,0.00337012892763409,0.00447830188020203,0.0163368954035768,0.00114799457941353,-0.000846411781360169,0.00787163388986781,6.82666728524539e-05,-0.00731655022252815,-0.00310920144975454,0.00119966482721014,0.00214993770960075,0.00149563651575348,0.000554132596985144,0.0035631861491722,0.000594053720480875,0.0452623999260468,0.00204708300150392,0.00141948338226465,0.00223741461711104,0.0363940103919591,0.0029582620464661,-0.00121979036850291,0.00177990020997527,0.00110985629437302,0.0013099261980764,-0.00161750669431157,0.000867918410946736,0.00164685704153558,0.000155676055554552,0.0014995557971537,-0.0105539319106032,0.0233867957919015,-0.0020673280490503,0.00343311667519862
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0202642435405932,0.0170709119971093,0.0373252099775025,0.0189807568623744,0.0170328138146189,0.0485019999391708,0.0151925488704252,0.0167544950182134,0.0254613674348777,0.0150880991385708,0.0346772831199697,0.0210060856657175,0.0187625847478182,0.0190885135324233,0.0168961985070322,0.0157513337786016,0.100413393141405,0.0194995822261619,0.0923690347622153,0.0162065262638892,0.0166169133111791,0.0160122964532521,0.0725785379782711,0.0136324716094485,0.0285463115471592,0.0137712173843142,0.0174374235615891,0.0165400971775892,0.0284953573133778,0.0152595021189094,0.0168864552990315,0.0173217337042674,0.0150103908996954,0.0368213646216764,0.0476992442633237,0.0171008962825922,0.0239268041356335,-0.000530983994214497,0.00163352813074748,0.00177327581255118,0.00380894519105923,0.0039765888806943,0.0213628183714577,0.00194128766144181,0.00210970471083085,0.00833505778466647,0.00170096442031155,-0.0161062027905423,0.00212312626953403,0.00068534642430218,0.00254915602656017,0.00325134482125094,0.00176357189934416,-0.0127478593601167,0.00138853566361201,0.0582556108745819,0.00485617641780526,0.00161936850854745,0.00222658102556323,0.0258371804449035,0.00275263901395175,-0.00250684154413022,0.00151279430606711,0.00250939830326609,0.00246964642547101,-0.000595668365266171,0.00184528445981715,0.00506288934469495,-0.00164720537389504,0.00123643760919699,-0.00848165432987275,0.0173831553028469,-0.000222715233359921,0.00602028299990254
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0191184309817163,0.0154334951247591,0.0394451397554899,0.0196303152559175,0.0154010497310815,0.0480096589179455,0.0148613000846841,0.0154719655068916,0.0192597609314407,0.0190930625865695,0.0370753780772029,0.0173432382903003,0.0167642747803748,0.019356577165695,0.0200294509861621,0.0176633623827543,0.0843153783733335,0.0171573481996976,0.0982879473583652,0.0146753061740729,0.0166377439273101,0.0162096829121691,0.0756343205971555,0.0155433042406196,0.0264569420354768,0.0146453851796341,0.0170243661108667,0.0150102167334341,0.0322211342801501,0.0159867922818648,0.0201804106117967,0.0173709476614872,0.0187290584605039,0.0409496411094948,0.0478564333798981,0.0179052283323742,0.02324595148131,-0.000241426606766762,0.00435753549148774,-0.00611304532245054,-0.000865830392453908,0.00149779833172441,-0.00333269422513108,0.00264904881800345,0.00105862383881051,0.00584359336293673,-0.000550276703983217,-0.0135715656534337,0.00298508052719811,0.00174705251691595,0.00123306497189101,0.00429636770949162,0.00655511813809724,-0.0286706360797613,0.000976081386107958,0.0604845998702213,0.00156863021353238,0.00191516360547186,0.00191478265258255,0.031892450754866,2.73107847204501e-05,-0.0035136924734895,5.8028815535422e-05,0.000842231974951419,0.00238348050893223,-0.00148847030096723,0.000682212478676269,0.0044305724675976,-0.00229185785291595,-0.00248672133368429,-0.00601350411667259,0.0073365648808544,-2.6295943353637e-05,0.00309158211396804
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0238494331782205,0.0157717261169124,0.0444078419439522,0.0186593887388501,0.0189225721889346,0.0434518253889062,0.0159956628996955,0.0180539779955754,0.0196291614736766,0.0160691678839745,0.029351255642925,0.0187677891826636,0.0164498043980059,0.0201641071702016,0.0200568723970303,0.0150967702742194,0.0909568522717381,0.0179511061515889,0.0943022243184366,0.01579207437979,0.0149371124297562,0.0145210914956326,0.0845193953870427,0.0137791173020781,0.0242145196640294,0.0147651779288824,0.0217134226503029,0.0194867569299674,0.0418902571564713,0.0147494954993432,0.0253261500969944,0.0138696400271631,0.0161814549306432,0.0366450648488781,0.03441982598042,0.0183604622975392,0.0169214413795584,0.00475189257794319,0.00416816725546813,-0.00975900421881457,0.000922718307978359,0.00404194578014548,0.012335569224678,0.00510324382058689,0.00447376460084056,0.00523936775871741,0.00363077497943914,-0.00112331692714525,0.00467669475757329,0.000668595066822404,0.00193851932624668,0.00192080892718497,0.00365046630237464,0.0133067867644815,0.00573595135715114,0.0658962490704948,0.00409308516162351,0.00239368737973703,0.00194043214153805,0.0273365343448277,0.00293681674519093,-0.000714740081404333,0.0015022490150178,0.00243494509690254,0.00402232112451863,0.00307258155011061,0.00206663097105372,0.00517412683770435,0.00360642360111482,0.00248827922921237,-0.00364515119070825,0.00559377983359496,0.00226410986236854,0.00495563110200282
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0258611477849488,0.0168617503697677,0.0291076058398103,0.0199844253109737,0.0176812924979828,0.0441321098002374,0.0174486201394258,0.0139277524270593,0.0225529925299841,0.0128210406533304,0.0325995073630749,0.017797353306965,0.0210666288951734,0.0183685396084552,0.0206278978649587,0.0174609489244803,0.0736792930952946,0.0141642018301362,0.0975159965471887,0.0148633051283181,0.0159362595094382,0.0189332671127061,0.0718694662271707,0.0146885141707964,0.0286271723190507,0.0140789869770687,0.0220967128309887,0.0156593767286989,0.0394114534943098,0.0171942537854642,0.0219059339465663,0.0187614256557976,0.0158228516989866,0.042659801872644,0.0517163855802717,0.0221306105672472,0.0199851176052288,0.00329720581297003,0.00153306949313579,0.00800190383078574,0.00462985292502449,0.00380725804709619,0.00656595769216549,0.00549308824723647,0.00302153061068482,0.0133618095799377,0.00292233584812851,-0.00387065601413896,0.00291756462498503,0.00145322290273208,0.00460652891264028,0.00306088816046361,0.00769906999347477,0.00218983949105319,0.00467540452434799,0.0675381166029251,0.00444444650951652,0.00476006221963361,0.00423642535126549,0.0120247394315416,0.00266113922536827,0.00540578476610792,0.00366498404241651,0.00182199431719464,0.00622350238518371,0.00297502245026332,0.000261541473796031,0.00123921432606837,0.00235305927164926,0.00339104462347468,0.00505525840946869,0.0223010067284854,0.00455002640777871,0.00285608524737063
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0239164583032825,0.0179852011106543,0.0308362032988132,0.0190934349551511,0.0193932875428073,0.0451858216568644,0.0185935274616028,0.0168564629692402,0.0223370253862178,0.0151284264941494,0.0281212498099452,0.0180929513697989,0.0164814933772484,0.0171920096898957,0.0157186251285156,0.0147055840635976,0.092635577201321,0.0166044685742398,0.0896314526697261,0.0162199217194488,0.0186181184608172,0.0129665958767688,0.0725404991231816,0.0147468616454215,0.0233831851371601,0.0158077659123747,0.0209116756759961,0.017314522522064,0.035706197901185,0.0165731492444006,0.0191893440607949,0.016698616573365,0.0166502359373219,0.0502222986483315,0.0487225607892228,0.0211414326822276,0.0240777570268467,0.00583683497061957,-0.000434472192146374,-0.00692225208106876,0.00374301635569724,0.00326694238769013,0.00568270118463004,-0.00110032966492629,0.000807335004068,0.00308152760928803,0.00379740730841211,-0.00800670365627406,0.000331695774741377,0.00123275605811103,0.00156855079790664,0.00281356483101197,0.00160781247574299,0.0037717759733104,0.00153710241891852,0.0678838705043139,0.00307201237570648,-0.00111290268308628,0.000633570495550204,-0.000674316354902643,0.00373312148951301,-0.000383118537438577,0.000490688877519882,-0.00159334342402645,0.00457459731503233,0.00136317306558975,-0.00396283883951751,-0.00291405273397595,-0.00106949373419928,0.00210128561695835,-0.0100384465767417,0.0266552990658763,0.00142221727098258,0.000606104838858739
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.019874944694245,0.0145479417330476,0.0343764101571335,0.0185666138776851,0.0181434172507968,0.0445313784469224,0.0140654962711436,0.015363362378029,0.0194757051408955,0.014149060570904,0.0351325973176485,0.0186669807950043,0.0169582449167966,0.0169278704091128,0.0202359049477442,0.018853767032022,0.0861566239535402,0.0177480901983762,0.0984951652665555,0.0166143753104005,0.0152652283230093,0.0151678685940217,0.0675099956827245,0.0138606351236292,0.0227457899598135,0.0149015843331976,0.0258039099724709,0.0166538630090659,0.0469438069909235,0.0166606274267922,0.0201700242156629,0.0159622839388009,0.0147007753284895,0.043149583271118,0.0492373240205302,0.0193317438829909,0.0230510052587559,0.00617737114754094,0.00894579361774101,0.0181083658209416,0.00882164156415392,0.0096677240156248,0.0344854355941052,0.00830990216943867,0.0079078154280395,0.0178860686698175,0.0099373027476149,0.00367974894805795,0.011775157842804,0.012007178960765,0.0113278747807746,0.0108352850738641,0.014961355583641,0.0296339010364369,0.00804934114266067,0.0817667159666808,0.0133700829035817,0.00941673396280888,0.0095978108674899,0.0354978739377266,0.00854059014471538,0.0151439941720194,0.00737798356143915,0.0139860824370734,0.0107505910779743,0.0264297896761273,0.00960401084643416,0.0101245578582037,0.00866178750692232,0.00911551222284988,0.0255935903413354,0.0407545319211237,0.0116863352572754,0.0111647307244442
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.020880485891623,0.0151072375638629,0.0520130377420137,0.0228030869358423,0.0186875033634899,0.0462491375041961,0.0189731765189834,0.0155716018413813,0.0228027906641226,0.015096519179782,0.0300678163865994,0.0186212662213818,0.0164794233435502,0.0175785860619215,0.0164692359731256,0.0167760906426925,0.0920217475754018,0.0179066769254132,0.0866230107108023,0.0172725489658888,0.0156621386244934,0.0140508567616041,0.06349848480322,0.0145567369653344,0.0250538518375872,0.0154736440825465,0.0229783439822338,0.0162639220070099,0.0424933814980587,0.0164037231927951,0.0163361258732855,0.018285208998055,0.0175018216912638,0.0370552627371529,0.0479667124264413,0.0166612644409532,0.021757540065891,0.00975283686709913,0.00927288888217674,-0.00542282518643667,0.0111886675238831,0.0106635471461421,0.0370484540904417,0.00946781902475132,0.0076991731339114,0.013751840400663,0.00993963624127184,0.00665761000158503,0.00951718533942393,0.00990159266239802,0.0102202075173321,0.00932289610653135,0.0115174667321031,0.0406512383054695,0.00911737767715011,0.066502140754542,0.0103000314284453,0.00611790008015837,0.00863062330199176,0.0625717363460754,0.00634924834833938,0.00747195849037756,0.00584048869678835,0.0152312033828999,0.00855056358847153,0.0282111857328987,0.00935879205182046,0.00794717895771641,0.00527092757201754,0.00631854800360851,0.0156299889449842,0.0520000919872644,0.00789224052494023,0.0141336365956081
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0170466854876051,0.0158988054057427,0.0473367990964711,0.0205588604809698,0.0184591254480517,0.0440538059342396,0.0156061732219319,0.0140180999437832,0.022575662841941,0.0222055792667368,0.0308798515642922,0.0177146127358665,0.0161052916495658,0.0222183727356249,0.0183564448446164,0.0182122764377705,0.0873888904311135,0.0192232015802082,0.0894150730819909,0.0177320253110948,0.0175390219131552,0.0152122085832707,0.0775913191649139,0.017910755648459,0.0184737643228926,0.0154593043006478,0.0203316341641149,0.0172689792541466,0.0405736189537812,0.0150422133400457,0.0179708079044465,0.0173822768391926,0.0175269006065842,0.0314274947226303,0.0455664587554204,0.0164737994581109,0.0232438045685709,0.0101111590609062,0.0108189009311749,0.0277288800187573,0.0135667713251777,0.00896746970536998,0.0202861084067379,0.00913568551056639,0.0082163318558983,0.0220435362306956,0.0144478074355495,0.0087156374024225,0.00942044522770586,0.00826147602718317,0.0158562636732556,0.00802208112241557,0.0125863644544689,0.025054503734104,0.0107009304962293,0.0624683955283277,0.00887947548895521,0.0106332111319712,0.00902084015947882,0.0602708577080114,0.0122594992123202,0.0129679744997779,0.00927792507866222,0.0087291077357868,0.00662387490746758,0.0132533272595269,0.00926875527846573,0.0106804489723061,0.00806367339436275,0.0106549241138815,0.0124054617012881,0.0329567749450647,0.00874740009618685,0.0104889035947918
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.014908664775188,0.0168999594409823,0.0495018593349035,0.0187887347970909,0.022736104057039,0.0431850904528852,0.0156312493711025,0.0165291281483909,0.0208378239174178,0.0185595515447782,0.029225239100962,0.0177893553473423,0.0175079632607545,0.0181315594162011,0.0171238372701939,0.0176996098395622,0.0983924441342287,0.0214757860215434,0.0895106547385503,0.0159857557259659,0.0168891722043946,0.0175524178261378,0.0579943834816803,0.0143312224139664,0.0257992258699585,0.0149791652147261,0.0202399644061589,0.0155789961082672,0.0414256228464786,0.0160566769441146,0.0179053305674091,0.0165627112818876,0.0190976889278741,0.0354334352185585,0.0492250997533423,0.0203051566667736,0.0202033595731891,0.00150211830213427,0.000760180099499118,0.00152036154874491,0.00134644150098632,0.00200684857888881,0.0116055621259105,0.00216593591046039,0.00252697877723069,-0.000584704558357669,0.00185941379729946,-0.000548972281868026,-0.00128781625133851,-0.00131265363745973,0.00025578911770303,0.00292751659600923,0.00384225146536982,0.0150043454475271,0.0016496121473106,0.0590259484217992,0.00417743721199033,0.0035382992014734,0.00163430576487656,0.00155855947133465,0.00191115525376642,0.00156703027811009,0.00285843434827968,0.00219105988097311,0.00193535383386384,-0.0021669662244726,0.00172852566952057,0.000741640728739244,0.000525638286762745,0.00358896448801738,-0.0079439515719279,0.0115308520373051,-0.00521302328228222,-0.00448710725267235
