"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.023300701869757,0.107449593388625,0.028804888956467,0.0245954394275536,0.028818219081536,0.0753724890398366,0.0387328913153813,0.0278614458178882,0.0243923976573264,0.122138806502408,0.0356432015840725,0.0257597081200457,0.0294822657961957,0.102807619130457,0.0561588573713355,0.029742087004811,0.0274079148887199,0.0310362376016639,0.0243515692883556,0.0403613218522928,0.037087087912824,0.025660039893777,0.0330352164986703,0.00499341463405608,0.0400328494754922,0.00424895814887611,0.00248480748702809,0.00367273950558653,-0.0056714651888681,0.000307927820229141,0.000901476034626673,0.0033830145681027,0.0528369441900791,0.00246237266121442,0.00238556986971133,0.00788076896284983,0.00853908193270683,0.012884251084832,0.000349758112618046,-0.000214104079897308,-0.00101295759599456,0.0054016674188211,-0.00765628125438164,-0.00520936961813902,0.00314586614626093,0.00556809501241707
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0266270983996984,0.114996967578428,0.0328787295144344,0.022189800169601,0.0249357560659447,0.0586283501811241,0.040069411504911,0.0302910896835481,0.0266839792732837,0.107903387369278,0.0309628515706377,0.0244561188974535,0.0279702130246735,0.121123106944646,0.0554061713935986,0.0388505803829653,0.0263895385284422,0.0277395063246338,0.0258608037711041,0.0423039737333865,0.0316069085733831,0.0246662826925454,0.037459374422279,0.00420505435243603,0.0521108985891302,0.00519734536187548,0.00330182170162867,0.005284867724556,0.00155336645953483,0.00482268972434609,0.000291090512919563,0.00193008166224035,0.0314298540523251,0.00758309001186812,0.00337481885727355,0.0106371831826028,-0.0086884418839344,0.0232324797964037,-0.00251003685216677,-0.000493064079848885,0.00256095962647572,0.00231285865841669,-0.0122597578066923,-0.00114014284906876,0.00463732074538793,0.00977722856587241
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0243287885803134,0.119092329156312,0.0318951096682005,0.0270408244036212,0.026640760734919,0.0672564708163671,0.0333813773199449,0.025662746663635,0.02578672715609,0.12522344636331,0.030829833092833,0.025068549332672,0.0288416589452555,0.100600766209028,0.054491972148003,0.038346576677558,0.0258770404272218,0.027857840936386,0.0251234604335814,0.0433464102869678,0.0332909865983764,0.0235048110779277,0.0365115129714767,0.0041315823380927,0.0574221869376708,-0.000475590493401736,0.00270443907799903,0.00132071118500829,-0.0168229896075795,0.00489224016340392,0.000340525101385024,0.00150800467088857,0.0451167509655984,0.00447036981307354,0.00281085666728206,0.00984128070670144,-0.0265413264290964,0.000329207340685104,-0.00397346249406688,0.000636768619762347,-0.000318135225194487,0.00232261095504969,-0.0156005949851887,4.97161594602904e-06,0.0031806920955892,0.00335986018990245
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0266372159443916,0.121379655400827,0.031882040246584,0.0241581122965839,0.0251682304564238,0.070834806784775,0.0319151226324642,0.0285052048622472,0.0274200738277144,0.119477290227017,0.0382521788392697,0.0243347864644353,0.0255615708288449,0.105826990193656,0.0568051909344882,0.0373443303702583,0.0274617340598365,0.0307691101347949,0.0251549773344549,0.0372775180106126,0.0324147630504378,0.0239754523921729,0.0274436447077098,0.0069180689752046,0.0533990867322494,0.00117383443781023,0.00495697413809569,0.00437183907666118,0.00353973888416315,0.0084702187533159,0.00429783455216701,0.00580030881065876,0.0333731004825227,0.00704116158301856,0.00476823773758355,0.00719240963486557,0.0200659563943902,0.011415697803018,-0.00124100212684411,0.00270555509724363,0.00592708919602501,0.00215433531514709,0.000368647665947054,0.00650300565103127,0.00280654545594305,0.00709229320635506
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0269543679434985,0.118761905663573,0.0351053580223073,0.0233972478732422,0.0270772058233546,0.0615908904511041,0.034332493756788,0.0334472098110649,0.023028723714838,0.11710780636503,0.0326411055782312,0.0241935757228916,0.0315245955262146,0.0926409533134505,0.0564707339143084,0.0360037509368613,0.0253845093769602,0.0341119851527765,0.0262869429883949,0.0460657067047853,0.0322358602549369,0.0289844134945306,0.0326526576108574,0.00612191149903166,0.0691406952641865,0.00621429038557583,0.00420649037918611,0.0111404003467781,0.0100628058641982,0.0102878994441523,0.00487052778936765,0.00799242063247058,0.0374586191712896,0.0031444361484158,0.00446474005112006,0.0124730237460967,0.00398686017309313,0.00741280434535724,0.00639627241534181,0.00551887860833117,0.00651500789744675,0.00734089351979161,-0.00605176432469822,0.00605105206809502,0.0043750969876069,0.00400596605999734
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0315544844247246,0.109164656687923,0.0325244670675435,0.026865001966434,0.0263905685896207,0.0660939063044433,0.0317466165271554,0.0293665691899883,0.0255285855260543,0.113508921236526,0.0328707951582977,0.0255073905888762,0.0290570131040834,0.109163278384807,0.0552246555629384,0.033355549215631,0.0278890983738492,0.0357874160067956,0.0245161306473864,0.038464770802596,0.0307287651842235,0.0251527002143421,0.0395386592357597,-0.0018779955670189,0.0585596165746128,0.000734586693447305,0.00360059323280478,0.00434950894322444,-0.00773698997366175,0.00416188714026064,0.000399040218901606,-0.000485424635601618,0.0217075993839047,-0.00213986937370236,0.00307561197708518,0.0046862027507497,0.002465927790357,0.0187515589288393,-0.000179462703245379,0.0013848621462456,0.00607514400254614,0.00135278999162025,-0.0111657499146647,0.00288275377173169,0.00308785303138416,-0.000287350822074972
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0259064869564297,0.110230337479243,0.0306944002172755,0.0222018945684838,0.0275218151732124,0.0624977856827102,0.0340112547265479,0.0295134131919201,0.0253240831150717,0.112999081792854,0.0358018326440504,0.0254559612509839,0.0325896281779018,0.11025612101139,0.0566739901930406,0.0386873860331013,0.0234679138334099,0.0300256105618177,0.0286035774381385,0.0431594423607708,0.0275891043335732,0.0273033626137754,0.039485516644298,0.015057706406348,0.0826746615805423,0.0147985465868462,0.0141133671814931,0.0157794944951444,0.0340541012115455,0.0235737407633872,0.0181583431398068,0.0144342030314486,0.0703836402893308,0.0210617764722791,0.0145329837598855,0.027111028427179,0.0455951306456687,0.0452483077984807,0.0229903113141377,0.0119935889659532,0.0192256746811342,0.016397095932554,0.0105899737929156,0.0137957244033356,0.0177076359862546,0.021823532664577
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0313021034215635,0.121346845705067,0.0325698729651283,0.0225012780124971,0.0260804554612241,0.063228515953959,0.0335050449396035,0.0281008973967016,0.0242777821102199,0.108510991940769,0.0298370467486914,0.0257957575028227,0.0287002407132386,0.108522720757293,0.0618040648717419,0.0424796219170621,0.0256163330902722,0.0284089120369183,0.0249217924385022,0.0411596290551477,0.032668235693888,0.0249185294939601,0.033743327773729,0.0175179160239381,0.0557200285479798,0.0149097317315086,0.011662980270187,0.0155299715422624,0.0241598666358475,0.0200127142337801,0.0142282856174096,0.0161969946283327,0.108350338662508,0.0133919898468522,0.0120034465633152,0.0155485381778542,0.0530280897520551,0.0509905721852976,0.0107249146609698,0.0104970670109298,0.0149398905146695,0.0151795711205736,0.0159105209545933,0.0166539314956818,0.016133704354686,0.0213050327236127
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0261303057670689,0.121741905511723,0.0328020132688908,0.0270441305777301,0.0301361081746401,0.0582033117874454,0.0314642558116013,0.0261095200319955,0.0264541256445701,0.116585610114731,0.0368244617087027,0.0246549563425446,0.031537842217372,0.110979991626361,0.057198141701052,0.0347105963896399,0.0288524955906161,0.0252739038121297,0.0257960192873509,0.0378611443926224,0.0257015724452303,0.0261631749342233,0.0377744128617593,0.0146540015683176,0.0860070609406384,0.0174042249906994,0.0156785680880818,0.0184614342094173,0.0200151922150212,0.0211055485684985,0.0162051831457017,0.0172702977089906,0.0803260065488795,0.0214316697777766,0.0153516308060481,0.0229907440729128,0.0398753525252917,0.0318379567771763,0.0187917728341834,0.0115139891030974,0.014254939360534,0.0146927248108659,0.0149062349420855,0.0156673912784781,0.0161460565201223,0.0170032026324341
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0266092893594413,0.12032520558135,0.0343687430069084,0.0251283770933569,0.0318585446450517,0.0559027320922679,0.0309975340079967,0.0284800327176584,0.0292707922741908,0.103094227283063,0.0299731409934785,0.0254689563253353,0.0288834756261899,0.119177268233251,0.059869541190335,0.0423290297091891,0.0242804310968811,0.0302681490594821,0.026387058019061,0.0444935211699797,0.0244338411912762,0.0251373616111297,0.0332627477131268,0.00301318224522247,0.0554350171387659,8.57412262483367e-05,0.0035298696919666,0.00760706388973134,0.00155254245619057,-0.00255659273084962,-0.00195761323054811,0.00333450736972572,0.00159884256952415,0.00168252482111456,0.00452834392088639,0.00590248406723448,0.0159914262168054,0.0168343686909704,0.00176759814742816,0.00368105154568804,-0.00660512878256586,0.00403456104838926,-0.000563973107350412,0.00281999753464323,0.00543984326586822,-0.00321429276358158
