"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","pre_meet_T25","pre_meet_T26","pre_meet_T27","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","post_meet_T25","post_meet_T26","post_meet_T27","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","pre_pub_T25","pre_pub_T26","pre_pub_T27","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24","post_pub_T25","post_pub_T26","post_pub_T27"
"FEDm_1",0.0486478961134917,0.0233688433631683,0.0457942584847476,0.0234874936376874,0.0195917624337416,0.0316339834281887,0.0510373344617655,0.0466380862518095,0.0465850485069156,0.0307616408297755,0.0570637313703989,0.0444584554051759,0.0231798372596093,0.0492962823690006,0.045703018153878,0.0263591398619255,0.0282775439372546,0.0479724344063198,0.0428356897942195,0.0267613902621031,0.0361857439096399,0.0319772682778964,0.0342732184339608,0.0445200970631566,0.0177631277558978,0.0456308843820914,0.0301957898461805,0.0548878813646601,0.0218410385174373,0.055275261820669,0.0212347060072729,0.0205810881335204,0.029342791317441,0.0353381734420254,0.0397878153689426,0.0404286313408734,0.0431948820864024,0.0484596829806349,0.0392626157958179,0.0251111239549703,0.0529874656988496,0.0508989560916578,0.0264845340682366,0.0214750677986809,0.0477897723931965,0.0325115908065398,0.0272621894334579,0.0509105185673603,0.0391699198907845,0.0346893468060565,0.0399814886836329,0.0180474815161319,0.0454881043234804,0.0375578717912665,0.0579230516324678,0.0209107657101911,0.0531687221154304,0.0256876161750192,0.0194075824387367,0.0306439972635695,0.0263190175681351,0.0350171112936824,0.0770733358113137,0.0526235602892913,0.0411753346105666,0.0470099085803913,0.0255317741214327,0.0700228718697357,0.038832379002948,0.0490772356810369,0.0205737957064995,0.057080468048172,0.0321508378107,0.0254876877169705,0.0331660095589636,0.0306858823503566,0.0311622051389582,0.0299784578242663,0.0177723028501308,0.0290236532157625,0.0224944356152718,0.0557469532451008,0.0196367007146162,0.0418450440752205,0.0259079331467612,0.0201643131975112,0.0350210395467906,0.0305631655228731,0.0368300828784975,0.0449978436090852,0.0399549760987102,0.0548527213815067,0.0468798534713488,0.0320791940854177,0.0613987640552423,0.0490178087411609,0.0395731456539068,0.0236861152689636,0.0570669870136424,0.0295704950889685,0.0284243004681977,0.0479481948756472,0.0362407553793707,0.0295715269957104,0.0326716453732517,0.0160732483968908,0.0386627859154478,0.0256144058001595
"FEDm_2",0.0583278891987432,0.0207155730249763,0.0530020207376878,0.0294679448327372,0.0179335685126091,0.0327854233524722,0.0268975239132849,0.0352524822382506,0.0564016867152551,0.0493129469060651,0.0469414469149512,0.0422013064183157,0.0302933519783148,0.066334557047137,0.0466807713125291,0.0373360342892926,0.0187296453013038,0.0659784909332986,0.0332309693725607,0.0262008061974257,0.0401560346926132,0.0306999021744252,0.0302170760474117,0.0237194778873802,0.0201270652654977,0.0327284188545122,0.0283275858809492,0.0553122095800928,0.0215901737480654,0.041618938045045,0.0247078987813159,0.0221364085120368,0.0340726151672158,0.032861878858971,0.0310338444193734,0.0510853973331444,0.0390560376499535,0.0527832035112623,0.042873361980038,0.0284485715664628,0.0624569618240799,0.045499352718741,0.0477838817629094,0.0220396011876908,0.0595884422071128,0.0297898295951506,0.0349615544256595,0.0429947140078064,0.0328215391456219,0.0318077597180981,0.0379487318104925,0.0171946682841419,0.0314019974134042,0.026130426746114,0.0539215403385412,0.0216792981074093,0.0568824122984502,0.027974107848436,0.0191805606031966,0.0315222628572016,0.0345984534752009,0.0293385085595923,0.0439723262781177,0.045053859546734,0.0360615300919876,0.0541516855933607,0.0325226468077887,0.0592629987643006,0.0495021817442646,0.0365142947472525,0.0174853153297285,0.0464004589708746,0.0361317128381078,0.0327151808049287,0.0490141035709217,0.0338056114196948,0.0295723841469246,0.0390727409032665,0.0172680260185256,0.0365888730306578,0.0298069253045348,0.0438388047536223,0.0206819118925236,0.0571990361889249,0.0282274961884345,0.0200168402942236,0.0444144607319135,0.0379651357002106,0.0373307248814689,0.0521105869671453,0.0433549180031086,0.0446999299179603,0.0410229320541862,0.026796238857776,0.0591274638886192,0.0371049288228846,0.0321176289046673,0.0246717446865868,0.0514259161917561,0.0320230225768836,0.0255589123013519,0.0496397573322278,0.0338085275565272,0.0296590528068539,0.0441858792681511,0.0178604042475106,0.0350385795072373,0.0301191654772441
"FEDm_3",0.0618671523558522,0.0216889447079253,0.0574219854282024,0.0354012950128439,0.0203531050780881,0.0300357942750054,0.0343809049798292,0.038440218815179,0.0510889632515857,0.0438520695072855,0.0397289494227846,0.0511050138601979,0.0317801526911382,0.0541802259482002,0.0523454535601291,0.0287756076412216,0.0187542631559149,0.0419893648083412,0.0333255899064081,0.0297761195100047,0.052369690936715,0.029096570441386,0.0302331394381059,0.0309616459639026,0.0165381496287155,0.0338999595052454,0.0306096701697924,0.0450378611953357,0.0212769223844116,0.0486781231979707,0.0276796167362828,0.0204362400408824,0.0426051136655908,0.0337775331471565,0.0311336732132711,0.0392660076635618,0.0481975331370263,0.039065205547278,0.0428733876449854,0.0312127263754249,0.059521715163817,0.0487803308065456,0.0363981119968302,0.0201505418570731,0.0494082298293944,0.0416730724519913,0.0286579956144144,0.0487328781197338,0.0381047880203155,0.0311506697654562,0.0409244667820552,0.0194260466256167,0.0334099592255313,0.0324212497920474,0.0623553231190535,0.0210068316816484,0.0453531826513481,0.0246874373755976,0.0208968995294391,0.0313712653387518,0.0323090440647442,0.0306873607513999,0.0381959811932726,0.0279929251496591,0.042322338561808,0.0559999049508406,0.0236270527334437,0.0552435722338084,0.032350319579119,0.0413048501533747,0.0177434000520446,0.0747122964794545,0.0370640922661739,0.0174268867863431,0.0434956089521273,0.0549815719404344,0.0332704984134181,0.0499750360624295,0.0171888030291489,0.0334051748772575,0.0350323420738595,0.0521793821920298,0.0189230328936861,0.0506934664408707,0.0327491074632644,0.0204351791050385,0.0395580270643716,0.0324989057314808,0.030156612426989,0.0605906034873986,0.0297600496282947,0.0443021342005281,0.0419444293105457,0.0284313695321959,0.0453955918782445,0.0353120007547274,0.0309816240398045,0.019353177058265,0.0694404521722363,0.036895884138499,0.0196425059455547,0.0371821808539645,0.0525265297125939,0.0352408757449346,0.0417085876075901,0.0185469355143687,0.0457265837650334,0.0298247713374895
"FEDm_4",0.0554111807278023,0.0188708272196316,0.0386089326008993,0.0195900869691731,0.0205974555082936,0.0276356258906561,0.0329726794139342,0.0318430979971069,0.0374536430665149,0.028799662802369,0.0464217048578676,0.0469331470830051,0.0225484742960489,0.0609999179172298,0.0354523421404225,0.0457951219424209,0.0210107853629444,0.0802255571061915,0.0393963392131319,0.0224689842605757,0.0475850045299521,0.0603056187981406,0.0325129586086813,0.0403604726393252,0.0169880504112232,0.0337433581240438,0.0354689705124144,0.053404952364774,0.019774505697549,0.0435037387584789,0.0240558310397625,0.0213461423861926,0.0413869894173274,0.0288978444117379,0.0369925365556659,0.0573398932566334,0.032040616767697,0.0443606763715849,0.0488379922313324,0.028199889821331,0.0472362857003786,0.0371969547903907,0.0298581987580965,0.0197620237058652,0.0679692354192038,0.0380722453477512,0.0215566031992959,0.0378190281357693,0.0523727232084019,0.0311108014603318,0.0466044169746029,0.0180055655833339,0.0436869219927824,0.0286073866437291,0.0509583877825577,0.0205258207412771,0.0557747777979244,0.0309513220598154,0.0178032078334577,0.0359749825749456,0.0393654547733091,0.031878889529921,0.0493349057245336,0.036565161010238,0.0431692452682626,0.0720635565363956,0.0392816705111312,0.0414707569899091,0.0380238751070328,0.0287638611589696,0.0240771517376011,0.0466728999375315,0.0297023076806528,0.0243713748272991,0.0437144179208051,0.0445446222191373,0.0358150619562844,0.03737004174608,0.0182750164779305,0.0407759493213158,0.0227752807756819,0.0472202793198604,0.0202985055841497,0.0529743530440732,0.0230979462046165,0.0240103232373253,0.0387635115842366,0.0341547152999764,0.0349946005767787,0.0518513795418887,0.0382194752083768,0.0355091885857138,0.0398976697659414,0.0293678047852717,0.0496700544224047,0.0339525748979261,0.0343038489718319,0.0219170703035179,0.0722836351534773,0.0228251488204462,0.0295200417983543,0.0446096373833211,0.0480449615880199,0.0393720719453902,0.0385068111485313,0.0163960448077803,0.0402457017254309,0.0379926442953586
"FEDm_5",0.0494370194692807,0.0205787219518539,0.0506840519875293,0.0279676222776961,0.0195658343421089,0.0383611671328308,0.0315201650607597,0.0330759824100761,0.0513224878431785,0.0411296470138749,0.0450502864729238,0.0694040487926619,0.0407163070679429,0.0403280887400166,0.0490205167444852,0.0304381088930558,0.0215399472580353,0.0429996681409331,0.0311212239041325,0.0283989682376974,0.0423776617917302,0.033438471005637,0.0335062348276586,0.0445666230637948,0.0174801772276297,0.0379288666492203,0.028042101693256,0.0401999204138931,0.022554747147099,0.0598633022842328,0.0258766296676341,0.0233500626426698,0.0300738541322106,0.0355010342407836,0.0323169828199675,0.0455070889570441,0.03457837664931,0.0469347128176067,0.0480290826899714,0.0281074645112254,0.051075942701492,0.0285174109486776,0.0267179845049859,0.0193997060755438,0.0641288039855598,0.0314470494220245,0.0320261600450804,0.0412979530931595,0.0556125215857119,0.0381689249809654,0.0556174729338973,0.0176662362239917,0.0307279164531241,0.0347026580721379,0.0535610205741335,0.0200568355492277,0.0317530779787088,0.0181135827713791,0.0197856602370631,0.0343824602798838,0.0341564027588976,0.0321084640733088,0.0407545697580653,0.0430530417951495,0.0341438954529936,0.0562354250684449,0.0444929442776203,0.0705968817123232,0.0496992168111545,0.0336632210566997,0.0190245661648488,0.0707388380623545,0.0312315995548521,0.0278278392852029,0.0523987942271792,0.0383314783676294,0.030366927330462,0.0311204614677105,0.0156374036178138,0.038312559318372,0.0284528324485216,0.0465483024197868,0.0208314224800494,0.0558802918194542,0.0340642045972736,0.0224939029593883,0.0357463718070768,0.0358118111792896,0.0425430667850247,0.0578923543036534,0.0386085667476038,0.0523016876577237,0.0523653775896058,0.0219072532972592,0.0453035968268227,0.0338861448377194,0.0310603447223897,0.0294919124158773,0.0592380341909183,0.0296527676187315,0.024550073206579,0.0418608037929819,0.040457142695749,0.0291712332805983,0.0307322267675935,0.0213940928424268,0.0364210844512453,0.0297859287071779
"FEDm_6",0.0510935981002649,0.018921143463938,0.0470946488490576,0.0240080247452656,0.019615396632892,0.0336551450271279,0.042744257444559,0.0326970313604259,0.0384851150730079,0.0384288361260396,0.0567438147521599,0.0576826965600924,0.044543804885956,0.0591211847989564,0.0424732455196358,0.0274509523756805,0.0217796068804985,0.0534021049203883,0.0255460212760147,0.0313868953437384,0.0534646677335763,0.0375940750231156,0.03069949721969,0.0345774542964754,0.0162916874443262,0.0334072930351632,0.0270918011119542,0.0489395908812657,0.0214182140566218,0.0362291706600983,0.023062904423666,0.0218666649361953,0.035797355645718,0.0317553410356155,0.0354780260210224,0.0403573618870891,0.0447395804016973,0.0431183640643977,0.058815951005396,0.0263473790395508,0.0743019136628823,0.0436927804198197,0.0347499007789653,0.0230898884354214,0.0718917826646221,0.0325779923151169,0.0271358643256316,0.044772792013509,0.0383161211855298,0.0312536853575335,0.0257082561093426,0.0177399193702371,0.0380627455904084,0.0287804537126464,0.0587038674948365,0.0221517346370829,0.0455064918741311,0.0198168409505753,0.0222178062899374,0.0455283820427065,0.0283957330537293,0.0396891616015515,0.0420337585686123,0.0679840474858446,0.0411390921164703,0.0439656378091718,0.0319463474884171,0.0504900733410837,0.0300945506708064,0.0359840515782422,0.020861842206357,0.0524194949615326,0.0249601084467122,0.020265758339436,0.0412699453057735,0.0679938867112582,0.0280514689118142,0.0256739514742393,0.0160784247676042,0.0415927438174716,0.0351847980546024,0.0519798221707565,0.0192856817040824,0.0569663477014644,0.0253399278824229,0.0182759593467102,0.0276494975953766,0.0338428945237064,0.037796951144157,0.0367884892837158,0.0319544071687177,0.0428571705844109,0.0401259288306868,0.032515030166833,0.0486090430163044,0.025964860017419,0.0431145200829005,0.0232366989224352,0.0699112222326963,0.0318696443652568,0.0245896542923709,0.0398670197389475,0.0685738575966333,0.0362028145928156,0.0334129279523562,0.0198987047948863,0.0432095161608877,0.0361614081310499
"FEDm_7",0.0608151468636858,0.021125165456793,0.0571970776388789,0.0318150569707178,0.0199030869230295,0.033467294475492,0.0254093251101292,0.0428103907597573,0.0474852803140957,0.0724248972920814,0.0438582395473137,0.0428742097766885,0.0289116431426339,0.0363761072824658,0.0240768545135543,0.0375246923539457,0.0203416533834933,0.0500006491474392,0.0244865301134365,0.0224212960249815,0.0349169040684907,0.0652484660530043,0.0303506172916102,0.0317249373719485,0.0159653064613973,0.0425778324611763,0.0358913392017597,0.0523882964202731,0.0198402257016311,0.0438469440212928,0.0214439237429187,0.0183800812763753,0.0370564652143576,0.0333738833600392,0.031611844082466,0.0346078442146997,0.0268056123514069,0.0404634740474353,0.0461584044200035,0.0372962843879576,0.0621322089021237,0.025803081784276,0.044343520532254,0.0170242993629139,0.0737229343959417,0.0279264308499022,0.0171962286585112,0.0376712126829199,0.0924455295228787,0.029339043311369,0.0335873333396037,0.0169964329692801,0.0419467859234802,0.0365916745236891,0.0549562097291717,0.0186664118198206,0.047704395898038,0.0209208406570062,0.0193652020530533,0.035264887880129,0.0387378024100504,0.0401900038821706,0.0380562519803199,0.0329109432175149,0.0406860024980438,0.0541073166858762,0.0289305993445433,0.06811365768983,0.0393250900298131,0.0557776527147784,0.0186238414597213,0.0517098217425973,0.0285261871530051,0.030907180601333,0.0469633845664474,0.0425301311846312,0.0294072108137197,0.0333574814123455,0.0157358604090394,0.0412215940974068,0.0273040380695938,0.0506642107520661,0.021492331234596,0.0586316293134193,0.0270508346039831,0.018878192693669,0.0375297800708904,0.0221671163721814,0.0445493478458762,0.0450156593723668,0.0477464742437278,0.0565261204855456,0.0567482764615285,0.0382352746088308,0.0312326376592583,0.039593344593427,0.0360171213827085,0.0269707962991042,0.0438744962959173,0.030744835656597,0.0253448083637318,0.0380177599824628,0.0391494142678558,0.0333979901773725,0.0337983747493775,0.0177035094279017,0.0480679278106221,0.0308517352749823
"FEDm_8",0.0564749329197386,0.0193693574908191,0.0485788900903237,0.0209142150268129,0.0179106458253844,0.0297327705000656,0.0397058687385708,0.0456024505291503,0.0356993153649591,0.0330784756446175,0.0469363231238944,0.0472303592392822,0.030059257724313,0.0683573540889847,0.0335287013694683,0.0452400791633263,0.0216193526264688,0.0517534776844871,0.0289520615741858,0.0290265800887602,0.0455894372685505,0.0548322462828621,0.0299210682198037,0.0322515579347027,0.0162987947014287,0.0467198119993979,0.0246166147796416,0.0562599949464468,0.0203241070938388,0.0560623958875375,0.0254317560598392,0.0188896909444061,0.0369629811355348,0.0238934770199963,0.041766503046112,0.0369519290430506,0.045646979688792,0.0471983066230163,0.0551039926761658,0.0371196712815848,0.051091596484549,0.042052072502971,0.04880441210547,0.0227594271443873,0.0515877776209302,0.0261628062434655,0.0239280504333656,0.0453292769969835,0.0362925272954422,0.0284182712621244,0.0308853189146232,0.0167434011355887,0.0450888694620925,0.0292444069516859,0.0505480748554768,0.0206246194770072,0.045133642466742,0.023894364229315,0.0228275680273872,0.0307367384986562,0.0500897077707021,0.0369695181702697,0.0377043647222764,0.0351626579362675,0.0482265049051716,0.046097606527301,0.0337013121212882,0.0643763962427284,0.0398801105567019,0.0484304677826245,0.0254423532872216,0.0623981602660136,0.0268555001041029,0.0225779519508089,0.0446598835775853,0.0412532829635782,0.0268320357807483,0.0320968750503908,0.0171625380196808,0.0387767585243578,0.027541006185596,0.0546812858860335,0.0220948115546523,0.0539206750528461,0.0229645296330385,0.017968639512094,0.0317444897293909,0.0570686353632852,0.0394493766849585,0.0502694131019069,0.0321658552518265,0.0459714624527104,0.0533021008324974,0.0365739818133511,0.0508111346686506,0.049908509384627,0.0237277590948853,0.0207506509273199,0.0519467975467708,0.028788583653189,0.0292308403014352,0.0385746716934337,0.0369148396327617,0.0332233385256527,0.0371983240320318,0.0164520197361637,0.0350803116284863,0.0292169623060011
"FEDm_9",0.0505480748554768,0.0206246194770072,0.045133642466742,0.023894364229315,0.0228275680273872,0.0307367384986562,0.0500897077707021,0.0369695181702697,0.0377043647222764,0.0351626579362675,0.0482265049051716,0.046097606527301,0.0337013121212882,0.0643763962427284,0.0398801105567019,0.0484304677826245,0.0254423532872216,0.0623981602660136,0.0268555001041029,0.0225779519508089,0.0446598835775853,0.0412532829635782,0.0268320357807483,0.0320968750503908,0.0171625380196808,0.0387767585243578,0.027541006185596,0.0546812858860335,0.0220948115546523,0.0539206750528461,0.0229645296330385,0.017968639512094,0.0317444897293909,0.0570686353632852,0.0394493766849585,0.0502694131019069,0.0321658552518265,0.0459714624527104,0.0533021008324974,0.0365739818133511,0.0508111346686506,0.049908509384627,0.0237277590948853,0.0207506509273199,0.0519467975467708,0.028788583653189,0.0292308403014352,0.0385746716934337,0.0369148396327617,0.0332233385256527,0.0371983240320318,0.0164520197361637,0.0350803116284863,0.0292169623060011,0.0520493299142867,0.0177424579048748,0.0653531096094322,0.0318908240838024,0.0180329042533929,0.0425266246319084,0.0823815258609167,0.0492629823673531,0.0562372069212777,0.031994417680089,0.0403666558550956,0.0459325837942446,0.0257569815190655,0.0448499467688371,0.0247722953763909,0.046460746613764,0.0184974098190318,0.0497653822928302,0.0235724622007321,0.028131241792169,0.0348948085059708,0.0351277851047161,0.0275418266267674,0.0353691486529007,0.0183559204708082,0.0303868403075294,0.0227465810718128,0.0536299448295922,0.0216865458997861,0.0589923934795968,0.0305962122826273,0.0178171073345979,0.0382718024009595,0.039884959805673,0.040625328228602,0.0540672000297556,0.0365701189293794,0.0493415653810027,0.0475908909990944,0.0262747071729376,0.0564039118269593,0.031138156060072,0.0456045454065236,0.0221086020582785,0.0453482811995708,0.0242407475591412,0.0259851263143095,0.0425263069055176,0.0363585367437703,0.0352193233635963,0.0316144997679049,0.0165329180036208,0.0369724486482787,0.0345978193688518
"FEDm_10",0.0632546428971242,0.0201442078313594,0.0688028579459382,0.0331366064123105,0.0163790981649583,0.042976080844019,0.0466658758642071,0.045451940140914,0.0400021436205361,0.03206051715725,0.0502918403711919,0.0362499350091117,0.0257243444298749,0.0485200550725427,0.0467027700248183,0.0394039580400363,0.017821037982543,0.0512453571712634,0.0291893101700003,0.0200603476093506,0.0402313163384545,0.0413882021654075,0.0297978487484355,0.0289308390390097,0.0195879268653278,0.0335329562083004,0.0324479838757148,0.0539638474048163,0.0196773834487394,0.0550920182104021,0.0274308787953315,0.0199119567323413,0.0382212165033871,0.070492425062531,0.0429232847387543,0.0470773380290257,0.0368456623312395,0.0481882521090481,0.0532817534172032,0.024673191379807,0.0541172603510407,0.0275120369042179,0.0468425229395851,0.0220279400648736,0.0494573644068612,0.0231110747399081,0.027905263898738,0.041056535265027,0.032150678470962,0.0299936723563681,0.031288443330193,0.0170969597213548,0.0357650010559626,0.0238960383322814,0.0431837065637508,0.0217599677135356,0.0642403830390498,0.0314194462049725,0.0193707594521361,0.0376784814261257,0.0817408620515059,0.0418050286450806,0.0649072142432617,0.0443724305412358,0.0515755431226431,0.050758754584944,0.0291954606234647,0.0359037222567916,0.0203983323294856,0.0292725102375305,0.0247262862029911,0.046140205428981,0.0288332886525531,0.0271083098793079,0.0353124626938691,0.0310505716202069,0.0293901450017162,0.0347990122294879,0.016626259937649,0.0378626897458484,0.0205681655718755,0.0584753032141259,0.022024490658484,0.0477266373439173,0.0323727603350755,0.017160144249496,0.0376590589314163,0.0510491599623237,0.0444611566802954,0.0553433002762277,0.0331382570576365,0.0457856782013875,0.0660169317243796,0.0343403203281787,0.0391686396986615,0.0258525904932546,0.0321598864835576,0.0211240097839921,0.0471617880484087,0.0210309900530116,0.027385713998702,0.0494256523522157,0.0347430848238137,0.0332418204962386,0.0424490111060742,0.0184043269737528,0.0417892083454492,0.0205100783799237
