"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19"
"FEDm_1",0.053447336132036,0.0299772587985872,0.0678525056034875,0.0441429063135959,0.0288085243843562,0.0371713888623692,0.0607613077766652,0.0669636116757729,0.0683374773877868,0.0410367897488624,0.0721252636833365,0.0363782541224254,0.0595937764664932,0.0556438571503602,0.0712510266548428,0.051949091814232,0.0651412627460897,0.0553906094209954,0.0340277512577055,0.0512833041668876,0.0284443291373418,0.0689337089811111,0.0508438617362654,0.0289069435280933,0.0378545040059415,0.0702364836512182,0.0635873664961908,0.0733670708347963,0.051415810934146,0.083708095339659,0.0300639334915041,0.040558727121548,0.053117056054952,0.0649538995434617,0.0531311591538949,0.0481806952405606,0.0731104358964823,0.0283026146859456,0.0583071045568535,0.0274793634403714,0.0676782243740699,0.0600888887818508,0.0245336396410514,0.0384459376724125,0.0584270839519688,0.0564645846837874,0.0756098219646178,0.033794022288909,0.119867364548622,0.0276314577241232,0.0431873011261206,0.0849240968081114,0.0547433634202163,0.0460755428516613,0.0427387110658785,0.0476239882769182,0.0323795028224561,0.060936021196559,0.0281815265973208,0.0568020686060988,0.0531165760330011,0.0297846432137892,0.0430351418574286,0.0640551436782548,0.0672838807963571,0.0773707177555654,0.0342292034070872,0.103216590332069,0.0323739435233671,0.0395234565058553,0.0527218542588015,0.0624750338445218,0.050750902515525,0.0390145802562511,0.0715033674824035,0.0336253481397431
"FEDm_2",0.0554529734552642,0.0261765696567792,0.0652559939399918,0.0578040463134143,0.0283785454820245,0.0357502395145237,0.064942832964486,0.0596202302133654,0.0793396898606599,0.0407409929218976,0.113265078573436,0.0281154571638779,0.0448845299833605,0.0676852118683031,0.0591758893438927,0.0398769893561484,0.0415254581976989,0.0541221914782186,0.0378870797126578,0.0577925622934184,0.0296233246336368,0.0557864434324948,0.0517560101798735,0.0284124808479335,0.0503942146825673,0.0618297795027152,0.0644799221985587,0.0735717576425104,0.0355182272709098,0.112433295569638,0.031938879835012,0.0431026482178292,0.0577585421215416,0.049338480017424,0.0552354219445996,0.0455431346256776,0.0616932799800743,0.0337915950035856,0.0719068087743608,0.0278586878199789,0.0733734210930393,0.0519938244506497,0.0255192056781578,0.0446610115551431,0.0678762713819893,0.0475929613526284,0.0719359349132746,0.0434784491793313,0.0900644224191856,0.0248893352040329,0.0476287816731178,0.0565614230583449,0.0510817290119582,0.0514929321666317,0.0430749772565992,0.0712886567573995,0.037721166254177,0.0510692826557133,0.0301560242868766,0.0748311549626398,0.066984413317531,0.0259267659698917,0.0364060969050238,0.0541029741325159,0.055152488354533,0.061989430537647,0.0411136315181309,0.0919085887336607,0.0320126025748666,0.0463556834504066,0.0652346741911763,0.0613766272620556,0.0530139809049744,0.0463349886014482,0.0643331496182441,0.0416974420226645
"FEDm_3",0.0648265091366678,0.0280694747567461,0.0747346770967971,0.0482760378238808,0.0246430762575684,0.0439622632663452,0.0714227274662475,0.0549643281895011,0.077291527878716,0.0442467161407372,0.0742593152935084,0.0255922273059904,0.0461846534103532,0.0645537640487277,0.0535293563383778,0.0397791629782741,0.0463770615895248,0.0723360624584316,0.0449510585636046,0.0587848203146729,0.0301587263707807,0.0630552158322852,0.0656930072733883,0.0272949233843576,0.0393855209606895,0.0688956318695065,0.0498199166428711,0.066257356219243,0.0447544819261126,0.0894059927690869,0.0267995506862916,0.0541780667262798,0.0534175267054791,0.0543297060107341,0.0562637234390427,0.0440363903773832,0.0695782727242836,0.0378911697675118,0.0671652148560906,0.0288059024084518,0.0637938056759352,0.0427373461538032,0.0258690829750703,0.0262696182037586,0.0442101681096584,0.053931531786306,0.084454251528449,0.0501535193658258,0.108820255303009,0.0235249129250196,0.0513531598618706,0.0477100389639755,0.0460007954147902,0.0799894347855741,0.0461197611227559,0.0759650133332532,0.0331261872264034,0.0642707767867408,0.0291576487229027,0.068740707753598,0.0459105589300597,0.0238357274163941,0.0308920260720469,0.0491930462983024,0.0580928467648207,0.0729219933385052,0.0454280771965946,0.0927249117692115,0.0266325966064879,0.0473895466526313,0.0693758866000984,0.0525154824852148,0.0663534295333698,0.0469921570987572,0.0635860773218962,0.0459865026523679
"FEDm_4",0.0557321327618887,0.0292105524731914,0.0543175008056397,0.0398153457145751,0.0250887843288992,0.029891102758014,0.0480439274434801,0.0578677884842457,0.0759416950115765,0.0511044741636322,0.123003401542535,0.0267845300601182,0.0563083101183422,0.0481485723533755,0.0487214275532899,0.0764677051551398,0.0455996252282716,0.0809977902754618,0.0269553337683239,0.0695541101172289,0.0290369260552648,0.0643459665347031,0.0480683028621552,0.023305781316864,0.0324296245454185,0.0523657187062726,0.0580452734801243,0.0756803952273704,0.0440474952616647,0.0941169964494023,0.0271100804111524,0.0474269673409774,0.0649222474401139,0.0593036520494771,0.067759045716626,0.0408974554636213,0.0666908466947752,0.0348931143267879,0.10256373546761,0.0278568968226456,0.0705004348872595,0.0519422999594883,0.0250676532836144,0.0350923553295468,0.0565138934709597,0.0570827386611486,0.0689755270375759,0.0344996344804227,0.0622870069665305,0.0336445526392964,0.0412199831512396,0.0603032448025659,0.0497047128699627,0.064069927984081,0.0525166256331299,0.0682672891063032,0.0378914874466192,0.0534412939250927,0.0328562976165279,0.0671281304045743,0.0533734545761938,0.0260047791400233,0.0432708893181126,0.0460327536064479,0.0538237548782571,0.0709128699525381,0.0478157963439149,0.109903642622457,0.0298028666730154,0.0347043976018109,0.0595260306000158,0.0586632732604081,0.0603802108339366,0.0551479537035956,0.0642315021879175,0.0329801027551603
"FEDm_5",0.092513117769896,0.0289578205263637,0.0645210719883793,0.0531544971642162,0.0276374281002594,0.0440939239064471,0.0664860324949633,0.0585968091208731,0.0675251351213134,0.0402629393270841,0.0677331216451744,0.0300473118326101,0.0412254817458753,0.0607288953128692,0.0531120884866134,0.0612811459704517,0.046050702100798,0.0585999676931824,0.03747250969263,0.0601130487176171,0.0340470584824692,0.0798626316394745,0.0434449665261433,0.0267824888106919,0.0458408648684549,0.0396465611549668,0.0616841918914835,0.0608055298736535,0.04541333297313,0.101178486109468,0.0280718692718571,0.0438964292715157,0.055863131526361,0.0466797901831496,0.0733709547640868,0.0534272989817511,0.0663534132385658,0.0335179517151597,0.0776554195281266,0.0289900669050454,0.0416348452594268,0.0545105911836266,0.0251402163344043,0.0413310796456253,0.0714837503913551,0.0479587265274321,0.0719794196800835,0.0395127949151415,0.118475913405563,0.0247286579524774,0.0425634899736044,0.0485727290248178,0.0555987190596643,0.049127109946553,0.0492764610155771,0.0815865928551332,0.0298734163963427,0.0584403994158989,0.0311356991178239,0.0687207851339079,0.0562823270695775,0.0271223493328238,0.0330463676575922,0.0515377050153392,0.064678755111292,0.0675446191356055,0.0404785807768625,0.084377811327577,0.0402915097177124,0.0455609688025331,0.0675183885052732,0.0596623303236207,0.0505117381011303,0.045928340011342,0.0613914081248798,0.0457699173192083
"FEDm_6",0.0796538524960113,0.0292108032214046,0.0599269336302385,0.0523486213155367,0.025115648148559,0.0451122242016195,0.0637036959743911,0.0714005724763249,0.0653196925762122,0.0376712475412161,0.0901556246453209,0.0295070152467945,0.0390598379794158,0.0459822680359753,0.0492744594735709,0.0511309062329167,0.0519348365379547,0.0771142829216988,0.0363774773448386,0.0660635197311078,0.0305685359074052,0.0445374485965791,0.0579378619387964,0.0266080797593459,0.0372575574663792,0.0631439335580944,0.056359005547081,0.0732452411387115,0.0394259449806116,0.123613179542456,0.0309680894814988,0.0465225179862753,0.0515511903576311,0.0571871633645306,0.0464586358055084,0.0457193971791301,0.0701472257141852,0.0326854719446723,0.0577697746296129,0.0321143070796239,0.0570288374610378,0.0922742891383325,0.0248736914202412,0.0293035415683324,0.0497816555825305,0.0555143147526412,0.0783975885411232,0.046779740518597,0.0827622067209709,0.0287743342063029,0.0351333170174347,0.051594497299826,0.0641878797204204,0.0740309928079837,0.0418687410364205,0.0687303150864799,0.0290799754120883,0.0576778232241462,0.0293127772130951,0.0701556150481881,0.0464006021761274,0.0268387559865924,0.0361332797037776,0.0397924196087357,0.0596646403953095,0.0689148438751405,0.0457943936912103,0.103030634975037,0.0288962244109238,0.0434358223164234,0.0465046700384308,0.0647782921607187,0.0826945688034934,0.0489816368741909,0.068350147053211,0.0326428524452484
"FEDm_7",0.0566108198962597,0.0296912823219828,0.0713186198245033,0.0803820985947083,0.0254667380180186,0.0311105884946964,0.0418241711505421,0.0573303049774723,0.0814647946640843,0.0496477362788728,0.0734839500643815,0.027678004956451,0.0350180413458002,0.0587291814203614,0.065475609464552,0.0736934305640362,0.0398597507836968,0.0599976171358901,0.0412172600436903,0.0647406766785392,0.0290182027425042,0.0563291783312349,0.0542930193315716,0.0259735930231245,0.0272557788750262,0.0345215579869955,0.0551512778672226,0.0730798253576795,0.0467262402967424,0.119115226675389,0.0231887086620558,0.0356477233641961,0.0435293168766899,0.0594683238135985,0.105920559545789,0.0461844837911641,0.0716623914265084,0.0281939153539683,0.0718986286859306,0.029177258749865,0.060976139341642,0.048383697579118,0.0246455951823941,0.0398686246406319,0.0537345454328604,0.0508696330711009,0.0749812550007833,0.0387806673348905,0.118999213213637,0.0261923827563315,0.041938692749139,0.0529784973752219,0.06142506916428,0.0539019724849999,0.0510116914201617,0.0703678379583031,0.0298685978587096,0.0760059423088944,0.025136954038906,0.0706457683188667,0.062074815732636,0.0269261902592996,0.0414956302694927,0.0595410356015504,0.0733184294840501,0.0689323719227776,0.0412872751377966,0.0680094362218567,0.0368481872473907,0.0437646658624854,0.0556579798463188,0.0694549252766299,0.0537057854859804,0.0382372177723519,0.0528851034423458,0.0360722857703703
"FEDm_8",0.0648884270414828,0.0275901984356977,0.0606968171800052,0.044557173997741,0.0252211818712504,0.0442342253411716,0.0520666755244224,0.0606068965625559,0.0781291529351444,0.0362911448972354,0.112230504917638,0.0291945746494204,0.0375712160435426,0.0486104426744368,0.0625271061591767,0.062281682215253,0.0522496090023092,0.0713294647802074,0.0297235057713095,0.0741904230612842,0.0266813377240373,0.0676903615223161,0.0590264197748051,0.0245906545505668,0.0368349145898781,0.0602291651621808,0.0611166994967772,0.0755440788777752,0.0422678494990805,0.0987295561234318,0.0320122470443542,0.0429848852783962,0.0502587408863718,0.0642165912674622,0.0482376843461229,0.0362829379656138,0.0640332083845224,0.0350722444450233,0.0676152664172945,0.0323508618224328,0.064616658842232,0.0444217295000853,0.0280448876717112,0.0323555889815588,0.0593377348776616,0.05721715689118,0.0707674809792096,0.0368502642391426,0.117042202521794,0.0346147425833325,0.0375733290813494,0.0470254862820472,0.0610708620983,0.0535252895835932,0.0519205104547976,0.0688733294242555,0.0347766177480221,0.0736819057507322,0.0268786120144254,0.0690935019711518,0.0435491712357101,0.0256528264745598,0.0384427610539704,0.0682409821655814,0.0647691310784504,0.0724347500612326,0.0406196473882288,0.0813052761230367,0.0289422400489648,0.0377593008893739,0.0588641505927604,0.0575192265393471,0.0498843820729711,0.069294569727566,0.0600605678522016,0.0330069969597355
"FEDm_9",0.0676152664172945,0.0323508618224328,0.064616658842232,0.0444217295000853,0.0280448876717112,0.0323555889815588,0.0593377348776616,0.05721715689118,0.0707674809792096,0.0368502642391426,0.117042202521794,0.0346147425833325,0.0375733290813494,0.0470254862820472,0.0610708620983,0.0535252895835932,0.0519205104547976,0.0688733294242555,0.0347766177480221,0.0736819057507322,0.0268786120144254,0.0690935019711518,0.0435491712357101,0.0256528264745598,0.0384427610539704,0.0682409821655814,0.0647691310784504,0.0724347500612326,0.0406196473882288,0.0813052761230367,0.0289422400489648,0.0377593008893739,0.0588641505927604,0.0575192265393471,0.0498843820729711,0.069294569727566,0.0600605678522016,0.0330069969597355,0.0604345697608582,0.0292151976839199,0.0876027498985999,0.0543815730646885,0.0241112858466206,0.0392291594637033,0.0363755200558128,0.0532892319067363,0.0664550505247722,0.0337534360775028,0.0753018064581792,0.0252326450565177,0.0368599231465627,0.0734172551846169,0.062193550961017,0.0582119911933155,0.0786271923881344,0.0629213418563429,0.0423865194720994,0.0589794503119645,0.0301218831978805,0.0769240528738147,0.0523684706586283,0.026871880311938,0.0388061708143936,0.0425641811555166,0.0634476419562317,0.0726904682406959,0.0451685219962065,0.0901450394288927,0.0310695199262592,0.0307784870848107,0.0643179774935878,0.0580752684939056,0.059859611348259,0.0570735393779803,0.0640139833593546,0.0367238519696797
"FEDm_10",0.0480937528487531,0.0278184101702994,0.0901161485820774,0.0598154965114392,0.0269270289362833,0.028089931895854,0.0577947278646658,0.0592297525978775,0.078590608076219,0.0444699294250911,0.0862390765567351,0.0257405181704164,0.0385737787871425,0.0547879386002993,0.0564003900318987,0.0540982219834696,0.0513264879105971,0.0672886443640241,0.0445991566868576,0.0639974662367235,0.0318569541036351,0.0751063161551004,0.0483722555136065,0.0248642781624589,0.0392968331951975,0.0426256996770239,0.062194195941986,0.0760088499128378,0.0347234470848467,0.0900539304689234,0.0304324047756987,0.0335652725320555,0.0608282713931754,0.0588296775314787,0.0527972564646798,0.0742952358020672,0.0630201741182398,0.0371314809302652,0.0656878823589639,0.0312180490265048,0.082201836669216,0.0515078856811581,0.0269019486433996,0.0410425012561433,0.0379405408699104,0.0745459098584333,0.0625999666942762,0.0293209676141534,0.0631058283165826,0.0319414294884997,0.0441531046883936,0.0768494954261039,0.0587705527078287,0.0436006198458813,0.0816191001866135,0.0520059546751817,0.0449864259927559,0.0837252496468578,0.0273480183667037,0.0662158044903017,0.0545925011520782,0.0272430975435385,0.0402383493309642,0.0383664157088621,0.0573021052953404,0.0749005209591209,0.031761778247185,0.0716926403827433,0.0292844972676871,0.0308300913763717,0.0680855477100901,0.0636299700774117,0.0617794478519938,0.0596961182951289,0.0701210891996445,0.0431867570979763
