"speech_id","date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent"
"SPEECH_370","1996-06-13","1996-04-01",47.7878787878788,0.0552897749258057,0.0863599337621147,0.0574312365446839,0.0387445536690363,0.0790944756679341,0.0503391631747054,0.046558344607571,0.0528481263142259,0.0635683441446837,0.0456782186641256,0.0523246723749469,0.109896234690699,0.0551634447302756,0.0439230403606693,0.111292673385694,0.0514877629828295,-0.00351224554944403,-0.0124106901648349,0.00160011741759938,-0.00216473356059098,0.00329542580846151,-0.000344664679701294,0.000469850371746624,-0.00591720746445991,-0.00273630131301831,0.000347297852235082,-0.00495594479388991,-0.0221296670800637,0.00587259035750517,-0.00126623249847945,-0.0247486644521972,0.00476578951918917
"SPEECH_546","1996-06-18","1996-04-01",73.9473684210526,0.0778259594312592,0.0842073473855015,0.0474168225731774,0.0375746810891269,0.0960351410730661,0.0560433171392126,0.0498187874136944,0.0521634875225969,0.0615936720272396,0.0587635382166738,0.044591848433042,0.0623463353375275,0.0483535012622334,0.0349546402783999,0.144290405083124,0.044020515734125,0.0327306250933816,0.0208949323985984,0.0160441832850545,0.00975585189327546,0.0182923713390117,0.00764197929474045,0.0165771928845812,0.0129645363117533,0.0209025614056153,0.0202235990206242,0.00916706505751123,0.0295407961760492,0.0204806477144717,0.0113353022085642,0.0322575139101565,0.0169559534713445
"SPEECH_647","1996-09-08","1996-07-01",52.4444444444444,0.0493891723953069,0.134660357877803,0.0614508136019016,0.0482004642241828,0.043149619821526,0.0455362159378291,0.0433373700306277,0.0876877788124815,0.0732541530285012,0.0585656974184632,0.106026476502772,0.0480779838928317,0.0435688398225546,0.0409913781973177,0.0627367382562396,0.0533669401796616,-0.0234283817510371,-0.0560117835185581,-0.0291935004841448,-0.0238445961599668,-0.019285099353425,-0.0217471200794896,-0.0196519730694212,-0.0409966503685048,-0.0298653496914548,-0.0270680682801546,-0.0372682069428971,-0.0210150814167024,-0.0193442560354306,-0.0210654732646458,-0.0236735526241833,-0.0205700868101507
"SPEECH_435","1996-09-19","1996-07-01",40.7083333333333,0.0673785841261554,0.0652088756686471,0.0600052457134935,0.0431085690338267,0.0858237282670065,0.0562559804862676,0.0558922661199937,0.0509265624535615,0.0773688041983734,0.0483787580170544,0.0510997302485341,0.0884620132637843,0.0635456192368336,0.0462277545040945,0.0915791839475898,0.0487383247147841,0.0127158472900263,0.0135359465449163,0.00844777186887542,0.00977092937583259,0.0132531744992009,0.0124454654280118,0.00946611173252466,0.00760781409568208,0.017005791729703,0.00621132709958759,0.00432673167227173,0.0109127523790935,0.00957692369448042,0.00474627826319283,0.00769137116535331,0.00780336620615081
"SPEECH_574","1996-10-02","1996-10-01",49,0.0998507188180348,0.0543740718375721,0.0564360343840614,0.0556063063948412,0.0833544900071015,0.0505439630472409,0.0583937993531731,0.0620229320492782,0.0578290658563538,0.0617794532994299,0.0443518455403184,0.0626877036809803,0.0493770595805393,0.0400382824315937,0.0741245812656394,0.089229692453842,0.0364572079070631,0.0107804463865954,0.012590721582306,0.00708814691009596,0.014793690844772,0.0130261038806157,0.0108963773016682,0.0149314333869537,0.0067648839814923,0.0167815508329191,0.00944243277893988,0.00730940609067864,0.0197400083883767,0.00359668759459229,0.0183698908685762,0.0150560743109479
"SPEECH_371","1996-10-05","1996-10-01",50.9130434782609,0.073429436563578,0.0828339380331311,0.0467074299865269,0.0403820631052793,0.083539224100895,0.054360521009369,0.0454675233948794,0.0665639541091847,0.0654729560338531,0.0518953195404537,0.0494363831434879,0.083011965782278,0.0411303045516996,0.0455707368863327,0.120709371976828,0.0494888717822239,-0.0129375125832066,-0.0235898906879611,-0.01004680802159,-0.0131246904703647,-0.0105254903327088,-0.015144582472106,-0.0140727772067895,-0.0280982756088881,-0.0126355116421375,-0.0127943365876349,-0.0082846739093801,-0.0332889084245244,-0.0128266475094212,-0.0134855750513087,-0.0191567703658295,-0.0121146766152846
"SPEECH_478","1996-10-07","1996-10-01",40,0.0507017046584908,0.0534116511942625,0.0906755206964517,0.044808212925708,0.106365877166947,0.0712919339803934,0.0639616895314235,0.0643014647124044,0.0761867526244877,0.045163704732496,0.0474878799119694,0.0578702520841352,0.0480857539423377,0.0506639293610222,0.07577417743434,0.0532494950431311,0.0180869423037629,0.0207880535707176,0.0279042543669567,0.0185754546317818,0.0390261950183174,0.019998354018319,0.0254430189644826,0.0318419780490207,0.0269157282642123,0.0189668692691424,0.020437564191009,0.0210594311448387,0.0193604154396035,0.0207688543877304,0.0377915187368045,0.0205834712244608
"SPEECH_572","1996-10-09","1996-10-01",51.8387096774194,0.0503706375078564,0.0597324948194654,0.0632687665511794,0.0537354449496492,0.0802201476848313,0.0574941083528676,0.083923269011395,0.0720223124209938,0.0828429994062236,0.0478505563504023,0.0466579419054604,0.056179184535311,0.050030067179595,0.045168396639202,0.0795198357125224,0.0709838369730454,0.00352242838045031,0.00296147779528761,-0.00125119251462745,0.00336213927628852,-0.0038546474881647,0.0039653461461617,0.00661559369704424,0.00188190117134295,0.00299691264955246,0.00221367785867181,0.00191087526347122,0.00108966473176802,0.000146159159129337,0.000953253581691768,0.00328315656107082,0.00415848799462052
"SPEECH_573","1996-10-11","1996-10-01",54.875,0.056049355669806,0.0579481301363283,0.061888912899671,0.0480435077297877,0.0545219990082414,0.0840139810041177,0.0455042617022721,0.0634439940278012,0.0852438178625239,0.0668599500106544,0.0528377949564536,0.045435298031783,0.0476116131062231,0.0464004207370258,0.088199549208532,0.0959974139087787,0.00370868137678682,0.0114611095836414,-0.00330144637179076,-0.002847262437354,-0.00288294276245698,-0.00188548542757139,0.00113872503983335,0.00103466694312269,0.00134193905542486,0.0054617483266658,0.00365988065208565,-0.000395594816846304,-0.00167173278981853,-0.00100199674251286,0.00609076578076148,-0.0166131181577203
"SPEECH_446","1996-10-16","1996-10-01",39.25,0.0712278934105034,0.0535986168547359,0.0626870827854108,0.0472162798337236,0.0476227604710191,0.0548769128709915,0.0651565148847489,0.0593037423648027,0.0918683583585907,0.0737897889179443,0.0743113090727853,0.0549825685606322,0.0635648145334901,0.0463537739808917,0.069854819184055,0.0635847639156748,0.0165980727313733,0.00645279780915788,0.0153276089991282,0.00986124171363073,0.0114769047084483,0.0128035459060923,0.0202463342024041,0.00319112921931035,0.00912589142606618,0.0204797613514686,0.0166757591880484,0.0133695989773077,0.0166468311068439,0.0119855768000198,0.0187095160312919,0.00619047575533463
