"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18"
"FEDm_1",0.0715249794579127,0.0649063557519281,0.0302175178626645,0.0435672935328813,0.0412017260986411,0.0324049090590597,0.0681267314334859,0.0585633421802656,0.0397353357587789,0.0809399628097912,0.0475348027468116,0.0344318592115542,0.0591831451758357,0.0571939957733287,0.0574778114585539,0.0654058579511879,0.0774200474557503,0.0701643262815686,0.0767980725922457,0.0689023203051179,0.0281176634131836,0.0589779524111436,0.0456275658641044,0.0329756350087979,0.0546358040453836,0.0550729991663061,0.0316111630127255,0.0945570859492695,0.0477755217095855,0.0310381428080391,0.0464852093522283,0.0538974415348578,0.0606221116729505,0.0724014164983483,0.0714948565165985,0.0690090381391142,0.0820555368579367,0.0661461433740815,0.0272902272413581,0.0561583696348948,0.0447570586841885,0.0276643557353582,0.0454665836746211,0.0579537144693742,0.0310451451430944,0.107610757039666,0.0808928692655073,0.0326534046442285,0.0452833198447153,0.0884756737617652,0.0401084570102885,0.0577743483876204,0.0555993225999889,0.0530647126313125,0.0796348457056516,0.0581053979634956,0.0280452868122954,0.0541943933804754,0.0448593094772839,0.0305960122371601,0.0448637143987942,0.0668641226780979,0.0334270478952067,0.10972762448877,0.0639659509714407,0.0348282277623157,0.0423808698607925,0.0552203745404813,0.0480587410526834,0.0738437793979383,0.063477174461561,0.0679071269155565
"FEDm_2",0.0809173787493127,0.0668916131095024,0.0283264737589953,0.061448949110649,0.0436754131674653,0.0289508070570801,0.0456513279896191,0.0576846593700057,0.028999330376887,0.108058699450336,0.0706107617009861,0.0399048593110356,0.0469665906575387,0.0686898815420642,0.0370713104036524,0.0633199823663134,0.0599994748808905,0.0628324869976666,0.0780779868888116,0.0559688202141142,0.0281641929982825,0.0492615214900574,0.0528926510594838,0.0312578597672068,0.0490809502188206,0.060182062792757,0.0332876006121915,0.108159120221068,0.0721007118390628,0.0354871213823905,0.0467002227136132,0.0604383958829674,0.0506042114565955,0.0718776572053698,0.0510902333447193,0.0653686799124878,0.0766619480781457,0.0755666593765259,0.0257894599308571,0.057849703440574,0.0511258043978173,0.0285912088205978,0.0463623446399492,0.0772528259075024,0.0272006419767817,0.107515463410023,0.0513959443033463,0.0388451185780721,0.0495998277487622,0.0553959923820769,0.0543462396619887,0.0702556670974839,0.0525102304223115,0.053734919827184,0.0647086945872161,0.0761223143980678,0.0259915589087682,0.0692998869683,0.0411631420416313,0.0311736031253619,0.0500644232622047,0.0571281487762499,0.0331913031637359,0.0982985914450083,0.0598296171117555,0.0407092023265834,0.0494570275789917,0.0649156824004973,0.0525589414350055,0.0587036008210152,0.0643504632032426,0.0623337984463649
"FEDm_3",0.0830914154772569,0.0774919256085107,0.0280761862822193,0.0549820118120278,0.0511516419228698,0.0294766171463223,0.043743311174442,0.070046722744926,0.0291680634237198,0.0942714193939426,0.0469048865644615,0.0455694331989731,0.0475831911476701,0.0635050623722788,0.04075364316018,0.0774710223363289,0.0579013361249918,0.0588121101088785,0.0661057091176017,0.065286065606999,0.0268656783488762,0.07093830119211,0.043439629699033,0.0315492226800951,0.0505502015114422,0.0639303004807805,0.0276496302869024,0.0981438268952359,0.0622058227236797,0.0395471453831418,0.0575614941641845,0.0531702489030288,0.0536954978846889,0.0744624584021276,0.0576525369204029,0.05724622979967,0.087721226706439,0.0622904907466669,0.0286529152088033,0.0548030210157331,0.0291932256612929,0.0307753450486784,0.0490169801074665,0.070940356891118,0.0262679911148501,0.116492347735731,0.0707088818959596,0.0352064440682531,0.0576341878201569,0.0491948137243545,0.0710302753365031,0.0523183814050371,0.0499337979598275,0.0578193175531291,0.0779715257539616,0.0657162488656542,0.0250047213529208,0.0566961214527822,0.0344869995783612,0.0315062865492827,0.0497683431564735,0.0627044786277086,0.0301895257853971,0.099518343382035,0.0688671775932738,0.0461022661721579,0.051411230827685,0.0695374537517081,0.0621341200000221,0.0512413732575448,0.0576591156645424,0.059484668228489
"FEDm_4",0.0809747876585446,0.0526575226988244,0.0276704553087561,0.0503563910414035,0.0328978991612788,0.0308907941969784,0.0464529137855593,0.0599156062602323,0.0309126200751707,0.126071129535479,0.079032482369313,0.0281516547729466,0.0653454697650769,0.0511796509273126,0.0679163141018274,0.054933890483825,0.0515611351318893,0.0630792827255823,0.0812888587331336,0.061590400580542,0.0245648845677679,0.0556012137970817,0.0363590573662177,0.0313976283207063,0.0420045396419581,0.0711610872020458,0.0305722229955772,0.103847417748277,0.0612880523523109,0.0381811615870592,0.0535270980001005,0.0669786595009111,0.0666799681473378,0.0540568566527749,0.0632194868509534,0.0576814059552445,0.0741346592463166,0.0728399122889975,0.0254620491107038,0.051325506677797,0.0411603904563593,0.0272344044254889,0.0583317882227928,0.105862326643263,0.036947175649508,0.0824248352687546,0.054089509265716,0.0414480225423107,0.0441296519434578,0.0590346766986695,0.0617455288359974,0.0571557837425439,0.0528396073897118,0.0538341715916117,0.0706195771824276,0.0655554516494891,0.0268679602968739,0.0673646246454364,0.0478077831984441,0.0345231637347571,0.0552264969949525,0.0559287589440238,0.0302942530556402,0.0992253972759181,0.0827102342292927,0.0284865339719661,0.0374166880248134,0.0648678349756874,0.0590182380061404,0.0512682377494969,0.0617569634756233,0.0610618025890167
"FEDm_5",0.0714888757118563,0.0654260247109275,0.0268506615519979,0.0571872974325875,0.0469007078792357,0.0315150222699559,0.0497728578759782,0.0971819546009449,0.0326804616943492,0.0782790791830279,0.0491253591239644,0.0397546882564437,0.0454621821852577,0.0623559866597865,0.0631316429395996,0.069299560842989,0.0562330221636438,0.0573546149174542,0.062131945950722,0.0786318105922863,0.0281069855100946,0.0556931609009899,0.050865814015727,0.0341360086324127,0.0529575800145195,0.0625708866811689,0.0292410033023718,0.0971625916523031,0.0698618411232453,0.0340549800200411,0.0489724962363136,0.0564716434120451,0.0789337160398279,0.0466535528638342,0.0498212189097513,0.0637327641423457,0.0787947926961409,0.0435710939060906,0.025751558784407,0.0575646201393823,0.0466493264703653,0.0312977658374299,0.0484545862859955,0.0833287308819554,0.0256016627890524,0.129288373084976,0.0612077280850606,0.0327979184638847,0.0513430917970138,0.0517215400198432,0.0495139063193158,0.0713346187678451,0.0612635005841159,0.0505151850871251,0.068810123416801,0.0708315035121278,0.0288375050757709,0.0575718217543391,0.0361882424506698,0.0343329247336986,0.0495031837027731,0.0638873490427802,0.0394623847879648,0.084738403389111,0.0663465409842964,0.0442959432829006,0.0454662208587257,0.0697281512064561,0.0472110506326882,0.0604320028271537,0.0635090127757701,0.0688476355659728
"FEDm_6",0.0711437641055983,0.0615462816109122,0.0246801760948808,0.054323117310474,0.0506415831660566,0.0335410373862242,0.052614201775603,0.0846345885261066,0.0305547932306048,0.105099094508834,0.0515654431305159,0.0401759469686541,0.0426833990721846,0.0491686478018916,0.0535192426951122,0.0631156440265314,0.0575441904502523,0.0734488481395634,0.0761226670713654,0.0457070853385278,0.0282101668231395,0.0589209279532057,0.0441802719782461,0.0325171717310081,0.0474302728834698,0.0716177882892713,0.0313590926312063,0.125871545785631,0.0697455686460156,0.0334037826850313,0.0504796872127217,0.0521955255037886,0.0423107104142111,0.069664946126061,0.0596162885972624,0.0606465003298375,0.089561904716487,0.0561408338561929,0.0271414925304914,0.0922593230187199,0.0362811316418287,0.0321425805449548,0.0405795892888662,0.0631230175279696,0.0299324373943433,0.0946202771525387,0.0724559640224008,0.0303734618767174,0.0393544081918662,0.0537864376314566,0.0616300541398267,0.0552861198459596,0.0658097497108627,0.0595212169085175,0.0749306977488236,0.0686716850069699,0.0268089483983159,0.0579016284486357,0.0402557067216526,0.0297653572681108,0.0493475579447496,0.0621545742399699,0.0335105726824211,0.102569492994575,0.0820077748203545,0.0338308613317468,0.0478763032801189,0.0498518802070663,0.0695109267098928,0.0427926831188037,0.0683317302742028,0.0598816188035903
"FEDm_7",0.0903671215841076,0.0708483121615038,0.0275242921226707,0.0845254295062871,0.037222349879361,0.0288991400981535,0.0395536296869009,0.0590168913774829,0.0280371354415437,0.0738971028680961,0.0733196827893404,0.0429861520265171,0.0382686861557915,0.0613849656031382,0.0654656682446128,0.0491904737151368,0.0676727946490581,0.0618201720902979,0.0779147142238232,0.0545755430040127,0.025471893792816,0.0657374645987382,0.0316911618831196,0.0297751652599198,0.0447256485298168,0.0711409271979555,0.0275921330149568,0.122474151666287,0.0927021006854475,0.0289516205696128,0.039043568509507,0.0466701473317426,0.0848715994100063,0.0391559456110281,0.0606038508321375,0.0569023638790723,0.0780291627106335,0.0625543468729312,0.0260656408242745,0.0497100262374496,0.0462757014664257,0.028607529907271,0.0528456536657123,0.0765388030760188,0.0257580570623233,0.107997722481101,0.0819300846067879,0.0322518060952624,0.04345450725332,0.0526682160893955,0.0526053746348184,0.0599821090989548,0.0662924793301264,0.056432778587194,0.0757507748057473,0.0732061608072311,0.0292440419710301,0.0650819140288659,0.0450712588841483,0.0256939200763882,0.0417567703325413,0.0781107054631231,0.0373892574018994,0.0608003020813054,0.0639010336331648,0.0382359767416886,0.0457877177157791,0.0562974607583858,0.0553240194757219,0.0602502462827262,0.0719029874823585,0.0761954520578952
"FEDm_8",0.0806785323041903,0.0618964129167023,0.0269266581772764,0.0453463888865124,0.0473260237812215,0.0281986544081762,0.0536638235127375,0.0690689562786778,0.0311536419703201,0.113323854098442,0.0763885182177761,0.0318316459755486,0.040243904334122,0.0502422602388387,0.0566460259598078,0.0544759268710065,0.0678433591787695,0.0647454128898746,0.0849408976320697,0.0699175677752265,0.0262067294404264,0.0597613820661761,0.0407889376743533,0.0272662060616197,0.0385467701576759,0.0789012109549972,0.0319417171382671,0.0873804870813916,0.0698067577686818,0.0363737697282204,0.0448346135979477,0.0511472744415731,0.0511939334704891,0.0655748170872561,0.0688437400934518,0.0665731878301765,0.0722663252531827,0.0641656141035116,0.0277241059740012,0.0475585728840376,0.0383448755714023,0.0359776886876539,0.056869639536307,0.0692051581616151,0.0363392645624847,0.115115445677357,0.0774640821233378,0.0362665552196166,0.039695735386521,0.0481739661038235,0.0480249140974345,0.0628614327150466,0.06312162125426,0.0608250026884071,0.0733020108202358,0.0718276950900091,0.0277695795780166,0.0472403592877976,0.04224760245942,0.0285442839068683,0.0692144725316587,0.0789565491693036,0.0312067814402812,0.0931384051074354,0.0449431102677816,0.0376623581167047,0.0428638345162882,0.0642369177060286,0.0539960032038243,0.0700101087499186,0.0593423522652725,0.063497575783155
"FEDm_9",0.0722663252531827,0.0641656141035116,0.0277241059740012,0.0475585728840376,0.0383448755714023,0.0359776886876539,0.056869639536307,0.0692051581616151,0.0363392645624847,0.115115445677357,0.0774640821233378,0.0362665552196166,0.039695735386521,0.0481739661038235,0.0480249140974345,0.0628614327150466,0.06312162125426,0.0608250026884071,0.0733020108202358,0.0718276950900091,0.0277695795780166,0.0472403592877976,0.04224760245942,0.0285442839068683,0.0692144725316587,0.0789565491693036,0.0312067814402812,0.0931384051074354,0.0449431102677816,0.0376623581167047,0.0428638345162882,0.0642369177060286,0.0539960032038243,0.0700101087499186,0.0593423522652725,0.063497575783155,0.0734898793039475,0.086376680873902,0.024013738652543,0.051384010495881,0.0435697267149617,0.0334448886691994,0.0786924366945981,0.062781185525305,0.0257296773610297,0.0812979864969277,0.0689417644313172,0.0431226869608347,0.0405273958093663,0.0741998111617839,0.0499015364297185,0.0391833241867485,0.0703843835097192,0.0529588867222168,0.0787225402517232,0.0740050077203053,0.0278083958647722,0.0596934281440608,0.0427811748193107,0.0314355559670664,0.0578634778792741,0.0628795927019027,0.0328453844883693,0.0948498745285753,0.0685411457649015,0.0394833797287094,0.035488293338223,0.0649453033693348,0.0510719038527059,0.0496830046259284,0.0589171145753881,0.0689854223794487
"FEDm_10",0.0878268602150145,0.0894607506110497,0.0259811092774659,0.0609932677637321,0.0320888448444456,0.0291424546795907,0.0547960285095177,0.0551001375479472,0.0247622977206237,0.0860839852590352,0.0627265372086716,0.043810640799495,0.046538806916838,0.0556758957356923,0.0482515806252017,0.0641370010847373,0.0667151687576545,0.0659086324432873,0.0798590223766193,0.0700359115045491,0.025834541451143,0.0456570105960893,0.0439272293729293,0.0354725602480769,0.0762720225588083,0.0691491935404179,0.0319570455072867,0.0931321203484037,0.0662506113936775,0.0385420103435032,0.040242928713826,0.0621300205657126,0.0465072328421906,0.0447547892974599,0.0634393102822198,0.0668364390570868,0.0679928525234716,0.0884587884833376,0.0265196685460099,0.0452467778366096,0.0477536755713881,0.0319759777807804,0.0850175990220117,0.0696153810712245,0.0335077228675048,0.0637424977334089,0.0519256250954738,0.0473648237320785,0.046873451318155,0.077496889171056,0.0514300207954951,0.0439363252420258,0.060083774349524,0.061058148860445,0.0831557679820531,0.0671728282190799,0.0277117780956517,0.0482431021416042,0.0444218753415395,0.029849724544098,0.0611434206929879,0.0924493000771111,0.0306770474779473,0.0812021172544446,0.0617804826438456,0.0452373578879087,0.0334860244351682,0.0670468680051661,0.0557870670318879,0.0455349353006862,0.0663395689296936,0.0587607339391265
