"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","one, peopl, like, time, get, now, say, just, even, make, way, think",0.0324,0.0628,0.0831
"Topic 2"," ","percent, stock, point, index, fell, rose, share, earn, gain, investor, quarter, analyst",0.0404,0.0402,0.0673
"Topic 3"," ","particip, growth, continu, expect, risk, remain, activ, recent, member, outlook, effect, howev",0.1232,0.0697,0.0292
"Topic 4"," ","job, worker, work, peopl, year, school, incom, employ, health, american, mani, labor",0.039,0.0553,0.0602
"Topic 5"," ","bank, loan, credit, mortgag, financi, interest, borrow, lend, regul, payment, home, money",0.0472,0.0854,0.0523
"Topic 6"," ","committe, polici, feder, meet, condit, inflat, monetari, reserv, direct, period, expect, member",0.1228,0.0743,0.0297
"Topic 7"," ","economi, fed, growth, interest, year, recess, cut, rais, term, polici, time, last",0.042,0.0569,0.0607
"Topic 8"," ","new, citi, hous, build, york, develop, home, year, area, project, two, properti",0.0369,0.048,0.0634
"Topic 9"," ","quarter, spend, consum, growth, product, continu, busi, increas, declin, sector, pace, sale",0.1182,0.0495,0.0353
"Topic 10"," ","presid, polit, elect, offici, support, vote, nation, leader, administr, issu, govern, new",0.033,0.0554,0.0803
"Topic 11"," ","china, countri, world, govern, state, nation, unit, year, chines, russia, south, develop",0.0337,0.0507,0.0615
"Topic 12"," ","price, inflat, increas, energi, consum, month, oil, rise, higher, expect, measur, cost",0.0838,0.0505,0.0368
"Topic 13"," ","bank, european, govern, central, countri, europ, euro, union, crisi, germani, debt, german",0.0358,0.055,0.0566
"Topic 14"," ","fund, bond, secur, investor, invest, treasuri, million, year, yield, manag, debt, billion",0.051,0.0538,0.0473
"Topic 15"," ","trade, unit, dollar, american, japan, import, foreign, state, export, currenc, economi, valu",0.0486,0.0489,0.0442
"Topic 16"," ","tax, state, cut, budget, plan, year, spend, billion, propos, govern, program, new",0.0349,0.0515,0.0625
"Topic 17"," ","compani, busi, million, execut, year, industri, billion, oper, profit, last, corpor, manag",0.0342,0.0511,0.0637
"Topic 18"," ","percent, year, month, report, last, week, sale, sinc, show, increas, depart, first",0.0427,0.041,0.0658
