"quarter","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent"
"1993-01-01",0.0329479628423202,0.0463456464087003,0.0345434712692983,0.00548382965516327,0.00643568541878992,0.00979390434794819,0.0612810232158304,0.069183382493604,0.0266779107015039,0.0163581935486964,0.0241071670335071,0.0209882633999729,0.0182629378181049,0.0592750630289482,0.00482917033768988,0.056709954210667,0.0491082423067312,0.0179291829532866,0.0247809658235548,0.024488388151675,0.0332360474953621,0.00880262321077921,0.0572790088694498,0.062386895992313,0.0454154530671854,0.0919453268440497,0.0378546018994156,0.0209149833781453,0.00884217873070712,0.0237925355466001,-0.000743316747807154,-0.000954108182721773,-0.00104210421473526,-8.38328946471394e-05,-6.80767997417076e-05,-0.000224468401645671,-0.00263160601552669,-0.00130242458369288,-0.000729021063751857,-0.000494811335144997,-7.64120119133592e-05,-0.00042022921934944,-0.000570255304584843,-0.00248054644427757,-0.000131614273317776,-0.00242358419105712,-0.0020437106991025,-0.000829997478266781,-0.0014611369566546,-0.000645666088097128,-0.00136215346201698,-7.77254422912143e-05,-0.00100033533806238,-0.00176078126989547,-0.00229314536601702,-0.00380255917166355,-0.00157268749645299,-0.000843422331448954,-0.000368251485534271,-0.000692281816760588
"1993-04-01",0.0296571960327986,0.0548514537413136,0.0274880532547021,0.00768551972042939,0.00463841982528098,0.0159606722131666,0.0424002034936538,0.0604332105180193,0.0216698609174736,0.0245244774101158,0.0239920392226501,0.030682465841029,0.0236653903885013,0.0756600519080651,0.00374904064859796,0.0346766166130664,0.0539438150510399,0.0143584490366908,0.025364990801413,0.0308671285018163,0.0493268824282854,0.00772714237963174,0.0624682252254454,0.0560161723686928,0.0323672644064049,0.0935923668376337,0.0353908282370782,0.0263651368768815,0.00739095750696896,0.0230859685931538,-0.000794422656526943,-0.00201577627564476,-0.00100632610483881,-0.000171258633517777,-5.98152998145542e-05,-0.00047110134164471,-0.00166741436318547,-0.00171019863163192,-0.000960405175352694,-0.000530572942028612,-0.000131503132174789,-0.000985693630300663,-0.000657353689649347,-0.00246893431676751,-0.000163151840840844,-0.00116100677094682,-0.00262777115151768,-0.000617631413610062,-0.00112773102103837,-0.000910708999809715,-0.0019765518187017,-0.00016859365394902,-0.00113147491944704,-0.00206636495228736,-0.00181725665070216,-0.00459001625983906,-0.00118842513185651,-0.0015468573869039,-0.000295136872272892,-0.00101705953610855
"1993-07-01",0.0278869373004742,0.05048164034277,0.0295105587007716,0.00517803593857216,0.00566803492296527,0.0155774784776962,0.0489676859091883,0.0657155458777806,0.0326663568823909,0.0215583668107733,0.0238542391405726,0.0309679164461846,0.0188288677182576,0.0612922704236525,0.00468068990473056,0.065776786506755,0.0666114814126062,0.0151353786032562,0.0209834715152741,0.0211963262548028,0.0250362657024099,0.00814079192688284,0.0527708351426616,0.0588343736885299,0.0301479353782478,0.0913646964937144,0.0461247258738981,0.0234914115914845,0.00796317698420386,0.0235877181284923,-0.000548815785724087,-0.00127261424687863,-0.00090331976826308,-0.000131074562311014,-0.000127256916804052,-0.000489021373414457,-0.00175512419565645,-0.00150463851692523,-0.00106665830891017,-0.000691495730192603,-0.000464244415083895,-0.000568746455021095,-0.000494350589393049,-0.00201126653511738,-0.000135963011233226,-0.00248775598394861,-0.00263423013669918,-0.000510184269507376,-0.00090684393435022,-0.000697213062938189,-0.000965167418768354,-0.000162244248039485,-0.000925907097045341,-0.00193336554981615,-0.00133112272913243,-0.00389466386127602,-0.00143713076402688,-0.000909821104417961,-0.000268226139267229,-0.000924079724109415
"1993-10-01",0.0256658147586683,0.0622371727482956,0.0370850345523577,0.0063708858803684,0.00626124895039848,0.0139702346743875,0.0521745845521027,0.0664234933404948,0.0220980583706815,0.0272668959708938,0.0291573070083219,0.0337608783320965,0.017115208970315,0.045686728920748,0.00402141854199637,0.0738920350396117,0.0595605321909981,0.0167010115433703,0.0157228445309912,0.0374180430816873,0.0274351615226671,0.0099214238656476,0.0425868649467726,0.0656610399861229,0.0258404528162836,0.0839951588031115,0.0393090691402454,0.0230551856062646,0.00650105347273334,0.023105157881366,-0.000621147880310033,-0.00153541929749716,-0.000842076135588759,-0.000145748483433907,-1.17784866259409e-05,-0.000428852169995784,-0.0019601541117147,-0.000797625759767472,-0.000522509302647432,-0.00090331782878306,-0.000181955946929257,-0.000833585851388794,-0.000439145216492453,-0.00140387680410812,-0.000139094646453871,-0.00249733206297542,-0.00194075961622457,-0.000593997369744344,-0.000512421314185654,-0.00116726027696107,-0.00106969602905878,-0.00012351751485237,-0.00063865897547111,-0.00184798108954517,-0.00129658235995224,-0.00321031263177619,-0.00127557595439301,-0.000808090224354784,-0.000166216111428039,-0.000927193771246248
"1994-01-01",0.0354630664208668,0.0592605753908144,0.0259404458700343,0.00565608790551706,0.00506628577458009,0.0148023707705707,0.0503601635585292,0.0639576301774242,0.0246504320108976,0.0208726779007255,0.0209674182565202,0.0291487533843517,0.0173555550836252,0.0997523564227207,0.00514797079890646,0.0470073826409726,0.0515049822350786,0.0137875991743438,0.0131484787532929,0.0355569626489343,0.0241215096499442,0.00945428152516089,0.0515729579760923,0.0593746118599585,0.0324672925631581,0.0922799561985229,0.0360681988062855,0.0254411818646152,0.00697849680267424,0.0228343175748818,-0.000947856831242886,-0.00145940835438855,-0.000858949591026436,-0.000123770935903573,-0.000106411602089472,-0.000364548383318713,-0.00183410554673379,-0.000663538367037052,-0.000669272926293889,-0.000658689780550157,-1.37189222506187e-05,-0.000639279292740937,-0.000481952158371845,-0.00328743023134592,-0.000176655962164696,-0.00186088649458646,-0.00174856029012616,-0.000524553771096373,-0.000511915791940529,-0.000928168415514477,-0.000861728572563859,-3.76132035970402e-05,-0.000801532353679469,-0.00187952747898752,-0.00187879954778403,-0.00393391980116042,-0.00114304543861209,-0.000955603187234371,-0.000180276125042928,-0.00108779821148783
"1994-04-01",0.0533266798308264,0.0698577428368329,0.0345102075103286,0.00567415553456136,0.00629694676371675,0.0217138541967202,0.0446092495492094,0.0819573852671286,0.0307303399196172,0.0210099999960298,0.0149609364198578,0.0371504004214655,0.0194351518952961,0.103027726766349,0.0056393622112544,0.0339660768512962,0.0527768899116513,0.0187278284586904,0.015623635656297,0.0322388218796121,0.0202167507338555,0.00896227343874923,0.0511552243599394,0.05182005214019,0.0164462864446518,0.0595684059338288,0.0437212032496575,0.0192782336032174,0.0102992077736788,0.0152989704454907,-0.00168248748376616,-0.0016164384903532,-0.00109685422450886,-0.000136769056264431,-2.36206473102712e-05,-0.000597026866983882,-0.00164038080425246,-0.00104150359408676,-0.000808612878723001,-0.000494902150461762,-0.000161091047045199,-0.000655638648036054,-0.000286686799509359,-0.00311568106897075,-0.000195882268327948,-0.00137607266530869,-0.0017323764318885,-0.000778671290683277,-0.000463119880173775,-0.000983554651544333,-0.000792926548625983,-0.000190417171305302,-0.000981561523494855,-0.00138818518485902,-0.000736324473395469,-0.00250479331314064,-0.000976509163536256,-0.000662354448149153,-0.0003763488578262,-0.000685599065391904
"1994-07-01",0.0436821891259268,0.0666806732631987,0.0264011621458541,0.00677217612361742,0.00593510687128524,0.0153069847502477,0.0495379455900534,0.0654967395882692,0.0236835290268809,0.0229541139772854,0.0225535716460499,0.0294318785663907,0.0190739606527439,0.10069116810721,0.00674593243353048,0.050596468977555,0.0474670607433628,0.0133348274167224,0.0168139626968783,0.0248063181956237,0.0217447768591075,0.0105504125342321,0.0588458765295569,0.0527126965424642,0.0240670040779497,0.0783298072776958,0.0415633664125468,0.0254398413086729,0.0103978077216582,0.0183826408374303,-0.00156177281454203,-0.00185925901241608,-0.000791499920184603,-0.000132925465859921,-0.000110691386731247,-0.000531870943174563,-0.00167276012668688,-0.00119278491678256,-0.000532403022569241,-0.000653307502865834,-0.000328486262022134,-0.000616041243941935,-0.000390698559681436,-0.0027506426729589,-0.000165618957407729,-0.00171818149623166,-0.00176656499307301,-0.000465057717159534,-0.000534705635606098,-0.00063597386193735,-0.000775769243346426,-0.000128988073697895,-0.00100424433205632,-0.00149255297070465,-0.00115272414980803,-0.00282764096411137,-0.00105077091249882,-0.000946751897625135,-0.00029649769064284,-0.000771343495499907
"1994-10-01",0.0560214412970204,0.076595785513888,0.0234049901261248,0.00635601582043191,0.00587830500618926,0.0151005721041909,0.0463466250796156,0.0607642911770759,0.0267877842987562,0.0208144476399143,0.0271165491267215,0.0327965599126166,0.0176295813136981,0.0787001427164865,0.00374439571180949,0.0553449858039774,0.0533566316920204,0.0195041539861107,0.00929609567032677,0.028552589249358,0.0237838268560239,0.0082921966771548,0.0593412809020411,0.0503705789251122,0.0286548237970782,0.0853622476841635,0.0380570444150937,0.0223344937020718,0.00791307512540881,0.0117784886695194,-0.00241542700187375,-0.00221241495239555,-0.00068645382022081,-0.000181285264706436,-0.000107565939375638,-0.000415632294075718,-0.00171536735331507,-0.000885614743962852,-0.000838259327719783,-0.000762637442073783,-0.000269770903768978,-0.000855521650896917,-0.000390271864182222,-0.00242466480421896,-9.33303215605927e-05,-0.00159628907130594,-0.00236393104055909,-0.000821397692960822,-0.000295598186641125,-0.000879941407605734,-0.00106148281803766,-0.000167051669253913,-0.00114025501242893,-0.00163537111627547,-0.00149237571826879,-0.0031861946568191,-0.00125727794512182,-0.00108036363188157,-0.000266448352760285,-0.00047442429765083
"1995-01-01",0.0469954916544206,0.0751289273018256,0.0342650167382707,0.00255815753367594,0.00538908066327723,0.0104709159111979,0.0592066862432699,0.069379413075745,0.0220710831501763,0.0136893152458127,0.0251574808419524,0.0278785025707826,0.0213264547918604,0.0770291980228976,0.00413192905350105,0.0356356407643055,0.0462913561969646,0.02886522018395,0.0122417291358044,0.0248449761858083,0.0295771619240901,0.00538952551544314,0.0550653932031558,0.0589309773366218,0.0295352138436418,0.0619942661515927,0.0533373639643242,0.0299882398225577,0.00675960822373542,0.0268656747493387,-0.0020713642305819,-0.00186568002528919,-0.00139619846628918,-7.45293250421641e-05,-0.000104803365816884,-0.000382777764827305,-0.00286911331588273,-0.00195526706634594,-0.000647978521937528,-0.000479932041023338,-0.00011148210837134,-0.000862522511336931,-0.000860011937217318,-0.00229948762563324,-0.000138320804351972,-0.00138438426072034,-0.00212476640201994,-0.00120788662408017,-0.000430793231632953,-0.000796673401513113,-0.00132037780581898,-0.000133786499453991,-0.0010540491090928,-0.00205697544826835,-0.00154145983289249,-0.00262101147413981,-0.00235796117774652,-0.00137158500517562,-0.000253181242037796,-0.00118439805981412
"1995-04-01",0.0286721890991467,0.0691884622373637,0.0430565997606493,0.00308017159562759,0.0072007365088937,0.00709560162669423,0.0501405157974738,0.0738684821123568,0.0185077758255891,0.0166950356939496,0.0269242331929869,0.0437040905454215,0.0175154742623724,0.0657267287254587,0.00461098869363617,0.0357968706040961,0.0579541715149561,0.015319700287234,0.0200854079208933,0.0314908654751136,0.0371313419066595,0.00619491105894018,0.0512332172468276,0.0558666194560251,0.0365100693426228,0.0687501713313155,0.0551657750025417,0.0280287400324977,0.00801686467084206,0.0164681884718145,-0.00106263268755018,-0.00265598053053984,-0.00140977411260211,-9.72096806846653e-05,-0.000193542178659371,-0.000268411460969424,-0.00220075577566245,-0.00182947359410356,-0.00053415128100627,-0.000598066392238027,-0.00057081833730354,-0.0010019430755245,-0.000500748343885273,-0.00215831726664116,-0.000149999298130361,-0.00145964870256654,-0.00308179778249403,-0.000689889185195264,-0.000701886228833043,-0.000935880196124075,-0.00211663839286809,-0.000164267951088199,-0.00116758952995924,-0.00163842674019882,-0.00185034844177509,-0.00376601629051545,-0.0023863230070021,-0.00148159598761542,-0.00035690583836446,-0.000579789650279935
