"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","pay, cost, money, save, account, insur, make, year, mani, one, retir, much",0.0204,0.0376,0.0354
"Topic 2"," ","economi, now, year, recess, even, last, time, much, mani, still, just, fall",0.0215,0.0341,0.0428
"Topic 3"," ","inflat, expect, term, period, remain, continu, longer, particip, project, declin, meet, run",0.086,0.0362,0.0156
"Topic 4"," ","china, world, unit, state, countri, global, chines, american, develop, nation, asia, economi",0.0209,0.0322,0.034
"Topic 5"," ","percent, year, month, report, last, week, sinc, show, increas, depart, figur, averag",0.0253,0.0247,0.0449
"Topic 6"," ","offici, rule, law, deal, regul, case, agreement, issu, agenc, negoti, use, group",0.0213,0.0511,0.0401
"Topic 7"," ","state, new, health, program, york, care, million, year, servic, help, feder, aid",0.0205,0.0296,0.034
"Topic 8"," ","committe, polici, feder, condit, direct, reserv, monetari, rang, stabil, fund, financi, maintain",0.085,0.0466,0.0173
"Topic 9"," ","quarter, year, percent, billion, expect, share, analyst, first, profit, earn, million, sale",0.0256,0.025,0.0339
"Topic 10"," ","bond, secur, treasuri, yield, million, issu, debt, note, year, week, price, percent",0.0304,0.0261,0.0282
"Topic 11"," ","school, incom, univers, year, peopl, american, educ, famili, student, work, studi, high",0.0205,0.0385,0.0366
"Topic 12"," ","tax, cut, budget, spend, year, plan, billion, govern, propos, deficit, fiscal, increas",0.0214,0.0281,0.0359
"Topic 13"," ","quarter, product, declin, inventori, busi, increas, manufactur, good, equip, industri, sale, order",0.0729,0.0293,0.0199
"Topic 14"," ","presid, polit, elect, vote, administr, support, hous, white, polici, issu, congress, candid",0.0197,0.0302,0.0435
"Topic 15"," ","price, oil, energi, increas, inflat, consum, month, rise, cost, higher, year, produc",0.0483,0.0302,0.0242
"Topic 16"," ","peopl, one, get, like, say, just, time, now, want, think, make, work",0.0187,0.0344,0.052
"Topic 17"," ","citi, new, build, develop, project, plan, york, center, area, offic, communiti, million",0.0202,0.0297,0.0394
"Topic 18"," ","member, particip, risk, note, effect, like, might, howev, relat, outlook, pressur, recent",0.0746,0.0495,0.019
"Topic 19"," ","hous, home, year, real, new, estat, sale, apart, properti, start, famili, month",0.0289,0.0263,0.0286
"Topic 20"," ","growth, spend, consum, economi, slow, continu, recent, pace, remain, busi, household, demand",0.0605,0.0327,0.0239
"Topic 21"," ","european, bank, europ, euro, countri, central, union, germani, govern, german, franc, debt",0.0214,0.0297,0.0354
"Topic 22"," ","fund, invest, investor, manag, financi, money, capit, stock, asset, firm, year, return",0.026,0.041,0.0307
"Topic 23"," ","bank, loan, credit, financi, mortgag, borrow, debt, interest, lend, lender, financ, card",0.0346,0.0521,0.0307
"Topic 24"," ","trade, dollar, japan, foreign, unit, currenc, export, american, import, japanes, state, yen",0.0299,0.0277,0.0294
"Topic 25"," ","govern, polit, countri, minist, nation, russia, war, power, leader, militari, offici, prime",0.019,0.0288,0.0434
"Topic 26"," ","stock, percent, point, index, rose, fell, gain, investor, week, close, share, day",0.0247,0.0239,0.0465
"Topic 27"," ","fed, interest, economi, polici, feder, reserv, inflat, rais, term, meet, expect, point",0.0279,0.0374,0.0351
"Topic 28"," ","compani, busi, execut, corpor, industri, million, oper, new, servic, manag, deal, offer",0.0197,0.0313,0.0386
"Topic 29"," ","year, sale, industri, product, retail, store, car, like, plant, last, food, factori",0.0224,0.0272,0.0321
"Topic 30"," ","job, worker, unemploy, employ, labor, work, wage, month, benefit, year, hire, hour",0.0317,0.0289,0.0289
