"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","like, even, one, now, make, way, much, just, time, need, get, think",0.0264,0.0618,0.0545
"Topic 2"," ","committe, polici, feder, condit, monetari, reserv, inflat, period, meet, direct, financi, stabil",0.109,0.0595,0.0221
"Topic 3"," ","stock, percent, point, index, rose, fell, investor, price, gain, week, share, close",0.0309,0.0303,0.0536
"Topic 4"," ","european, bank, countri, europ, central, euro, govern, union, germani, german, franc, crisi",0.0268,0.0377,0.042
"Topic 5"," ","citi, new, build, develop, york, plan, project, million, center, area, offic, communiti",0.0257,0.0369,0.0463
"Topic 6"," ","economi, fed, growth, interest, polici, feder, reserv, rais, term, year, cut, next",0.0342,0.043,0.0458
"Topic 7"," ","hous, home, year, mortgag, real, estat, new, sale, price, month, start, apart",0.0369,0.0344,0.0339
"Topic 8"," ","fund, bond, secur, investor, invest, treasuri, million, yield, manag, interest, term, percent",0.0395,0.0398,0.0377
"Topic 9"," ","school, peopl, incom, year, health, care, educ, work, univers, famili, program, american",0.0256,0.0418,0.0443
"Topic 10"," ","percent, report, month, last, year, week, show, increas, sale, data, sinc, depart",0.0322,0.0304,0.0521
"Topic 11"," ","presid, offici, administr, meet, hous, week, white, issu, american, secretari, congress, aid",0.0252,0.0386,0.0489
"Topic 12"," ","price, inflat, increas, energi, consum, month, rise, measur, oil, expect, higher, cost",0.0719,0.0399,0.0278
"Topic 13"," ","polit, govern, elect, presid, vote, nation, power, support, leader, war, minist, new",0.0246,0.0367,0.0526
"Topic 14"," ","china, countri, world, state, unit, govern, chines, russia, nation, global, south, year",0.0256,0.0353,0.0456
"Topic 15"," ","particip, growth, continu, member, risk, outlook, expect, activ, remain, effect, note, recent",0.1098,0.0556,0.0218
"Topic 16"," ","new, agenc, law, case, rule, servic, use, execut, board, regul, state, group",0.0272,0.0599,0.0453
"Topic 17"," ","compani, busi, industri, execut, product, corpor, cost, oper, technolog, like, new, custom",0.0259,0.0391,0.0458
"Topic 18"," ","bank, loan, financi, credit, borrow, debt, interest, money, lend, mortgag, lender, financ",0.0386,0.0651,0.0392
"Topic 19"," ","year, quarter, percent, billion, share, million, expect, first, analyst, earn, profit, result",0.0315,0.0318,0.0415
"Topic 20"," ","peopl, one, year, like, say, time, now, get, just, day, work, want",0.0239,0.0346,0.0577
"Topic 21"," ","trade, dollar, unit, japan, foreign, import, export, economi, american, currenc, state, japanes",0.0385,0.0367,0.0348
"Topic 22"," ","tax, state, cut, budget, spend, year, plan, billion, govern, propos, increas, deficit",0.0265,0.0354,0.0458
"Topic 23"," ","quarter, spend, consum, busi, product, growth, continu, pace, remain, declin, increas, sector",0.1042,0.0394,0.0253
"Topic 24"," ","job, worker, unemploy, labor, employ, wage, work, year, month, economi, benefit, number",0.0396,0.0365,0.0357
