"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0226286961448727,0.0913830963969892,0.0276123292200775,0.0238922381728406,0.100839581855096,0.0311617299557702,0.0268436399111705,0.0251176581354695,0.0285061995468345,0.0199280457450838,0.0310603666575436,0.0244930874235146,0.103417322526504,0.0218134063339783,0.0210583372064393,0.0586047631864183,0.0192759283365719,0.0247341011853097,0.0485278135773071,0.0282685371804038,0.0337991880086504,0.0342461357937016,0.0301323859197551,0.0706320802473601,0.0222502736171904,0.0297730577151474,0.00324089136271369,0.00329687180270731,0.00447240809614822,0.00433825396846025,0.0444337954196519,0.00757390975718689,0.0030012040947505,0.000428876732877378,0.00363148196582526,0.00233121371182325,0.00396809770738594,0.00215952742292719,0.0500038770647434,0.00213582373366461,0.000676431111057837,0.00782025057768817,0.00269810096212922,-0.000651751561847141,0.012840399487184,-0.00065613361079311,-0.00165461011033984,-0.00463929074866068,-0.00492609211398471,-0.0138325434285833,0.00438356209838753,0.00464082982512367
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0252257191460195,0.107478692003008,0.0300294311278874,0.0208263176687539,0.112004278649013,0.0364046367388341,0.032203675252651,0.0300780589038615,0.0257594256282177,0.0219645854922456,0.0250962443295106,0.0242961517062453,0.0968737288142502,0.0247919225605067,0.021086990432038,0.0515636302707727,0.0201680845941092,0.0221031491891928,0.0494367119767842,0.0276189467709122,0.0335683730537978,0.0293862424975559,0.0234014075280248,0.0519425801214333,0.0241745201428635,0.0325164954015107,0.00376487765013481,-0.00978932699386564,0.000745512985750948,0.00351623502570324,0.0454056035051562,0.0135887435096267,0.000209245728814836,-0.000489499268753455,0.0106908036469606,0.00307757448044627,0.00386751604190318,0.00556866292559514,0.0349095942321242,0.00258671352312462,0.00306804781059514,0.00327369078622985,0.00515534659539901,-0.00148400766580044,0.0202589869418625,0.00354263359440525,-0.0105226768913453,-0.00170909212691028,0.00177128222146665,-0.00357169642734739,0.00332727596667165,0.00838951831563399
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0227034232782109,0.0962148630549096,0.0261728022815061,0.019904689476016,0.115261921049956,0.0258229548712087,0.0339927785092844,0.0255713837299774,0.0294961392504476,0.0228712404678334,0.0276379892341976,0.0267643713136963,0.104683944644204,0.0251770359587616,0.0225814310606989,0.0494065526105677,0.0221760204583001,0.0246219689698938,0.0520812970284664,0.0229832796159745,0.0377427532531069,0.0291239705190196,0.0231529157172145,0.0590866691125514,0.022539775343445,0.0322278291905518,0.000799591814594843,-0.0293843809733789,0.00211844338883958,0.00199020305152734,0.0497377370925423,0.00845126904496124,-0.00207311292040116,-0.00229009483193556,0.0103821456034343,0.00317956120952422,0.00457457761900143,0.00958857059030581,0.0441287323332845,0.000420830707660041,0.000650604780232592,-0.00447693364957937,0.000916651996900994,0.00027404300536791,-0.00333929191764928,0.0023390164448186,-0.0114398406021903,-0.00100784309702812,-0.000654482845015653,-0.00854515323580208,0.000259584965426635,0.00406052963406909
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0225962415228604,0.0982928461151181,0.026634010925048,0.020966001246072,0.119663734135601,0.0306120090033679,0.0281634179089597,0.0271555493220265,0.0262639134068217,0.0235696703675889,0.0335345035095154,0.022475230615087,0.0955095013853388,0.0234672812428255,0.0209638346219521,0.056702223284024,0.01724788048667,0.0217251579125367,0.0540641996584513,0.0263234004188501,0.0293280235634311,0.0291875696400986,0.0287497390084103,0.0648622670275512,0.0264657364726826,0.0254760571991114,0.00394398338952727,0.0145925151278177,0.00277240735744629,0.0032195061385816,0.0489221272030318,0.009324237958086,8.86191819662154e-05,0.00307853240084728,0.0106551965404186,0.00570809165405388,0.00474222122199604,0.00521354603419955,0.0301339621962643,0.00425929477697015,0.00218199018765738,0.00955560532793575,0.00430604871212462,0.0046073231122406,0.0126575666954826,0.00405597716634178,0.000933469005869846,0.0066371971113971,0.00477214526078964,-0.00168278337012402,0.0020821380140517,0.00634001905159881
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0243312058211193,0.0823217193437318,0.0289409920265313,0.0225831555034633,0.112549354637342,0.0305608337647383,0.0295259323667336,0.0268216255415045,0.0246849209038997,0.0246387527494337,0.0296967062976995,0.0259798654775531,0.0974627043666395,0.0226593314740884,0.0213105399242743,0.0528779714895935,0.0206520780754166,0.0231072071920338,0.0497258335010232,0.024702234570639,0.036224164419949,0.0275286585551167,0.0303462831274405,0.0738903085387659,0.0269309092039746,0.0299467111272953,0.00446555916464462,0.00798849746246807,0.0035983035266414,0.00379146603905255,0.0648785310452092,0.0154955943183577,0.00529465336058285,0.00394739261957866,0.0121253564502862,0.0087811289574527,0.003447201748999,0.00898713250679729,0.0292881607895569,0.0037978740048233,0.00504562113891501,0.00849028541540392,0.00415282461740074,0.00406319808941067,0.011026721662016,0.00566732257178159,-0.00245161383641747,0.00464373520178368,0.00368365220627244,0.00520597155792012,0.00469243886913606,0.00302231898415852
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0228189690546549,0.101042290542637,0.0269479329208958,0.0234308241827536,0.0988874523316631,0.0320521743005382,0.0295212039318321,0.0272289919842355,0.0278413269026083,0.0228352595501226,0.0307831201176476,0.024583626679587,0.0955046826864494,0.0224027898587938,0.0232888346162601,0.054356299856224,0.0228320733320978,0.0250406571137655,0.0522164776145041,0.0269040756641227,0.0311735890151758,0.0279641081955088,0.0270414364753037,0.0654004668824555,0.023735499183571,0.0341658370065919,0.00265553901382769,-0.00770455572326854,0.0046188421672138,0.00155343269509816,0.0522187971407103,0.0048355866840809,-0.00226360856353356,-0.00128953344357872,0.0135409832771214,-0.00204533875299525,-0.00175127223413562,0.00580687908490969,0.0217358284620857,0.00360816183739587,0.000946207583032726,0.00614450138611755,0.0044301730452688,-0.00030808389441399,0.0133440450265293,0.00538350551317766,-0.0077609037331688,0.00416451636453235,0.00265648572173946,-0.0106499630635441,0.00109919345669695,-0.00156672546315398
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0236744852695313,0.0925321668118829,0.0276577122898556,0.0224402613783434,0.099416874846477,0.0302544257157739,0.0353587484230181,0.0286156051982041,0.0296922358769405,0.0228240547279397,0.0298048785933809,0.0258942222342387,0.0919076370651891,0.0227163802126018,0.019114403463403,0.0626927132270557,0.0225439846531306,0.0229266789536932,0.0516872245644609,0.0240520718457002,0.0348972545190828,0.0280789217116739,0.0240863818302732,0.0636483869177347,0.0302178797633039,0.0332644099071111,0.0134340488818769,0.031812522147033,0.012225290071758,0.0130660688501341,0.0755861122106774,0.023767613986789,0.0191048464018173,0.0179204034993399,0.0231220939319863,0.0143504064670783,0.0131919518666776,0.0206268156312961,0.0515515507645139,0.0121159212302556,0.0108984032823627,0.0434765281301726,0.0128739277929486,0.0107665227280488,0.0416706368333045,0.0134546359735197,0.010383068099632,0.0104803259162481,0.0151706541828606,0.0369996720448881,0.0252822338821669,0.0177683147228618
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0221515416944342,0.0994948332395582,0.0319102947906294,0.0226396099303121,0.109944481575147,0.0313544197097192,0.0342360838828642,0.0278373378877514,0.0273640115161139,0.0232537028104411,0.0288819763279049,0.0235256763410028,0.0935777685988217,0.0210438200658245,0.0204238625853193,0.0584273383607352,0.0232621045733804,0.0259743600780067,0.0543081646965243,0.0248567835031048,0.0294943969038714,0.0257873862891557,0.0269943120435354,0.0575135467775235,0.0246153792144606,0.0311268066038584,0.0122148370339925,0.0377207121101637,0.0128581626789726,0.0132364859355689,0.0496026257571595,0.020532393689768,0.0105803862846345,0.0127549247805933,0.0176104876422208,0.01307848353652,0.0173036863404228,0.0162848606991683,0.0947431801844138,0.0105060073286632,0.0123581870612008,0.0467016243646231,0.0111621589929637,0.00340997492103195,0.0414290219073649,0.0125948873869853,0.0123056993307902,0.0140283550122901,0.0127770688797886,0.0226755267590489,0.0165099256416628,0.0196164329948329
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0307559721301314,0.099058447700003,0.0289235000073512,0.0213151158952087,0.115280839863537,0.0334964040794081,0.0311184556484888,0.0231559810113706,0.0260412789805163,0.0207282183773285,0.0331501298011019,0.0253080361616433,0.103806638689841,0.0231861153535659,0.021659277863329,0.0596815339272031,0.0214581809067348,0.0242046808633899,0.048123825770704,0.0246067031995716,0.0317453659940437,0.0229343867693653,0.0258583845610877,0.0442052145548512,0.0271589013467547,0.0330384105434695,0.0184024261597356,0.0297820353067766,0.017283370667782,0.0135213864409992,0.0792462834245814,0.0292295402837434,0.0194599838354073,0.0125661203925375,0.0197877356133884,0.0130312337853727,0.0169950425036997,0.0141347373930135,0.0797093876784212,0.0136908066834497,0.0122203210612438,0.0255032205783656,0.0129227220305561,0.0112126885764243,0.0234032167173011,0.0127319300710587,0.0130968984236267,0.0122073821831251,0.016000022667883,0.0161593051093099,0.0137674893770753,0.0155258964603746
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0244575825929952,0.0952618043062405,0.0303573583018135,0.0230738293581986,0.120922539899251,0.0286822036764508,0.037183370761186,0.0275685952559952,0.0247922869105583,0.0210767430591633,0.0267302487723405,0.025452205214934,0.0881366467561045,0.027876302973827,0.0231919650629544,0.061450971227864,0.0204512345467717,0.0244859125490511,0.0537876869120071,0.0233192858637843,0.0333324702627809,0.0202959329347206,0.029164116988845,0.0508619754329607,0.0293965805491742,0.0286901498300282,0.00229903419813969,0.00710882533658327,0.000195309495588912,0.00187213449923971,0.057852129915337,-0.000616177921011393,0.00107899845097128,-0.0045942558070897,0.00955898452430406,0.00431417978994275,0.00145479443377635,0.00585645146887975,0.00229348259079896,0.00421246258859354,0.0052611604781213,0.00647400783156267,0.00364388672530402,0.00207733619622463,0.0147215627517768,0.0007699452314093,0.000952097816111728,0.00277654850913514,-0.00652547230580827,-0.00537269716353464,0.00691103737689601,-0.000634401779745365
