"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24"
"FEDm_1",0.0430779048404993,0.0239667034126985,0.0543447337240321,0.0503856395489665,0.0451291151094862,0.0565522204198432,0.0258371421554847,0.0494009343997973,0.0311351862456938,0.057714201976881,0.0553939789896954,0.0253759742638746,0.0523094873894851,0.0340534547761668,0.0217800484516959,0.0399024950334405,0.06092070245556,0.0293887149774264,0.0358658276683318,0.0494129577351645,0.0462652781605621,0.0473378457875362,0.0298493275079449,0.0346001249697331,0.0534624738983505,0.0230770256453159,0.0604983286975053,0.0381664489520482,0.0427254710752442,0.0382022630283017,0.0264934055816504,0.0436052184779891,0.035611365584798,0.0549608140573956,0.0665970329566616,0.0244640437626885,0.049985494815096,0.0296972139401641,0.0210875368373498,0.0516474113687154,0.0481327712754238,0.031065772893868,0.0418845817731472,0.0527832110026662,0.0480041544776537,0.0544267318888386,0.0220217285260957,0.0413994994830326,0.0570883258153174,0.021852374206847,0.0551605152642707,0.0348636866791408,0.0493831013476749,0.0325201098261186,0.0264549151665323,0.0787741029358865,0.0438011806446475,0.0468421210817457,0.0535504971249193,0.0249417112369274,0.0805963335893381,0.0544937420561159,0.0193352962935171,0.0344911672284318,0.0421722608706342,0.0304530788599803,0.0318951640071127,0.0574814096380752,0.0325108463340841,0.0438943709335706,0.0214721733832784,0.0259715154758335,0.0448736487653175,0.0230439795526775,0.047514684257453,0.0312945650058211,0.048811422686605,0.0326121229166497,0.0358951574021436,0.0461186389905221,0.0408762126492471,0.0575824703582239,0.0734364608351154,0.0258526447032227,0.0668849132243341,0.050100518473342,0.0213732437008588,0.0439838890137032,0.047639605310979,0.0308660622842934,0.0317528660022759,0.0592309071771357,0.0365625992700582,0.0497647396043679,0.0247332135536686,0.0291954342619846
"FEDm_2",0.0517177219408152,0.0201124994984532,0.0563681193876062,0.0353042643554911,0.0446712095239964,0.0337478409887643,0.0299504158956923,0.0572293036860583,0.0426740117558882,0.0514405200065294,0.060019014494159,0.0306813161091923,0.0776136849099693,0.0461379546463941,0.0215165675599092,0.0428642087089976,0.0462912961878841,0.0301362934535688,0.0291731472112219,0.0609885989344905,0.0287699867484654,0.0481552237021395,0.0217565622598952,0.0326802380344186,0.044118833362515,0.0237915186526042,0.0473906421124539,0.0329937053841303,0.0462077135766806,0.0374026306592459,0.0337325900056619,0.0520548383431588,0.0397982366061326,0.0540297207946305,0.0667673871439896,0.0250231807972852,0.0719442914642613,0.0546219228393394,0.0206274120334393,0.0396527932055306,0.0373128568447878,0.0368030541838645,0.0319366675525336,0.059362472232006,0.0410353980581785,0.0511957346516783,0.0236646676763465,0.0285317318195459,0.0453800418145948,0.0212361721989132,0.0666404782274913,0.0401336254559861,0.0546977874284995,0.0368560198523873,0.037898276007282,0.0486570973957666,0.0403138544732968,0.0380198717478401,0.0565378055111814,0.0291216572577178,0.0672332134083801,0.0385945532818881,0.0196371118113326,0.048325974092649,0.040236938074872,0.0361939526151502,0.0279122189798614,0.0574489901626336,0.0402985704076593,0.0524685167821892,0.0211239966786017,0.035033276333826,0.0393301133664972,0.0232889094576735,0.0693780222227951,0.0346587048265528,0.0415211263561131,0.0390843350495276,0.0309150039481178,0.0557814672819194,0.0573827922383472,0.0463884967737433,0.0522808236649941,0.0300139370703129,0.0647089931511488,0.0404876321633504,0.0211961768905145,0.0529436304404325,0.044475828702573,0.0301194763628886,0.0324622754529039,0.0501800824857269,0.0442192831809516,0.0393102834952785,0.0267173571268653,0.0331552482907722
"FEDm_3",0.0489968231207583,0.0226247264466304,0.0677166139783443,0.0373375478506815,0.0501110501235444,0.0371465890942581,0.0376820381955615,0.0555966153592488,0.0365924140515625,0.0440060053705602,0.0509018310101216,0.0362684909346068,0.0564812213706205,0.0338469553396552,0.0191394650216674,0.0508841786058538,0.0407894422892636,0.0356596527890187,0.0332771979754688,0.0604259532317048,0.0303104622479583,0.0599635641497842,0.0198443859664582,0.0343967754766683,0.0405408303712167,0.0226447634163422,0.0575547174505918,0.0442634949458464,0.0447509412089783,0.0361092183260192,0.0363083207489454,0.0424852356241719,0.0550580507321302,0.0401324594617791,0.0596608813237643,0.0300046104395425,0.0647186931896435,0.0431864246673246,0.0217985106493803,0.050145286616972,0.040287862793619,0.0319853165014076,0.0278863401114141,0.0557714421611254,0.0434675680124955,0.0523011780544509,0.0219437259739179,0.0369941272189212,0.0536713365764082,0.0223057368606949,0.0519452179290039,0.0396527162280994,0.0589295881708702,0.0393016515165055,0.0240965263068699,0.0423166425420637,0.0319251862483076,0.0451289828086847,0.0865708525076669,0.0270346635484498,0.0656440592824112,0.0563905872425916,0.0204404278375876,0.0391608522951563,0.0369950787246479,0.020378099329216,0.0273143101871715,0.0578644962900441,0.0567532389713162,0.0364864471155631,0.0198678441923733,0.0398254572882964,0.0448818427136435,0.0232019283940014,0.0600628643482253,0.0404836443660647,0.047362546873602,0.0367591345683237,0.0340874885792792,0.0621255196153615,0.037069433790681,0.0453152836820656,0.0682814833272452,0.0362664409400704,0.0529234256372548,0.0538215827429982,0.0193646458293305,0.0374914481938251,0.0429307858980231,0.020738530509726,0.0306617655054507,0.0625433189443241,0.0486416768624939,0.0356362736696046,0.0242290871810422,0.0351198478273633
"FEDm_4",0.0510068443557775,0.0228613593642781,0.0434844581950564,0.0428789917154744,0.051680310886352,0.0364479056445719,0.0232854903194491,0.04164600939957,0.0280501675787468,0.0500821946411323,0.085270440566723,0.0210275603240398,0.0777553108902838,0.0613336169182457,0.0202988888948485,0.0447195482264697,0.0381556007339243,0.0248950734798999,0.0294844689996773,0.0528722685738999,0.0542875650447999,0.037515280892543,0.0216609970059898,0.0392996473482467,0.0473671217845323,0.0227739777075063,0.0539740244776417,0.0406561404160595,0.0537381965204597,0.0330637374485692,0.0337943288006201,0.0577877547676849,0.0382105792618668,0.0471402398155195,0.0784617063234182,0.0264894283241378,0.0534274134642608,0.0472581454638944,0.0188701097874146,0.0387915263674646,0.0464464098579788,0.0226252380181433,0.0333139838262654,0.057464451891727,0.0517166837119559,0.0382254647586921,0.0240906116563493,0.0343127255478375,0.0453281829040383,0.0201510579359189,0.0630519817986586,0.0333181668954535,0.0752766019871641,0.0457581116471891,0.0449193103077767,0.051521638248109,0.0397265859061747,0.0453005394417709,0.0560526708491954,0.0312087745936075,0.0433269517268187,0.0410187248976398,0.0212080896836502,0.0422108518906559,0.0395480489032803,0.0247678126053147,0.0341125095566292,0.0595363687660349,0.0479438093221456,0.0428296264830883,0.0260352567383723,0.0258483269113136,0.0473973494731901,0.0272371587746445,0.0585516822028539,0.0269847774399673,0.042420507891858,0.0420629376117568,0.0336984360830521,0.0523321918128162,0.0430689830606105,0.0383488514433994,0.048941389177743,0.0233084589131085,0.0728228539208269,0.0623583801688723,0.0201335823253349,0.0457001704707642,0.0455122052620352,0.0337506827821433,0.0357052687252428,0.0518365808138228,0.0471514404945799,0.0361289032549013,0.0227064644029678,0.0418407434935083
"FEDm_5",0.0444425877549608,0.0224557802936907,0.0541430217797107,0.0345634392646687,0.071017473799778,0.0392269567852015,0.0423240067527709,0.0546253716026968,0.0457209040784209,0.0464414511268097,0.0457541040974155,0.0297359564882703,0.0496761125698882,0.0368178488021322,0.0211355439655313,0.0410952360218872,0.0416762371606403,0.0296843019511426,0.03360387032467,0.0544226514503857,0.050610491508713,0.0546762277263583,0.0240395985979964,0.0321108260962606,0.0493442439649421,0.02785310411024,0.0716636739895073,0.0360630643348109,0.0476090294986233,0.0411363822846369,0.0339191745735031,0.0454312541552686,0.0340971454222408,0.0476782140784028,0.0515270326403376,0.0269465635578334,0.0691104776590675,0.0502352034809216,0.0216051433080632,0.0408428211241751,0.0378393495852251,0.0359684458238344,0.038207103019065,0.0421019583208555,0.0631425333215504,0.0297596219912973,0.0202178774750276,0.0377005822805708,0.0471044641522649,0.0222480204227734,0.0357365723417838,0.0341738526376482,0.0609054134169704,0.0382854664745862,0.0421782613068796,0.0446402335361338,0.0429517253048529,0.0348988304024831,0.0713100530452471,0.022357946804419,0.0835386516448289,0.0427562165749522,0.0200677508558834,0.0523348288214723,0.0392990231664231,0.0311040890620169,0.0317538881728343,0.0595658182062393,0.0389024820536627,0.0535272986885365,0.0194557439285736,0.0309033689785346,0.0425010672987275,0.0246460304300052,0.0597268460547873,0.0321402506828308,0.0539582311829487,0.0358575620776841,0.0251498419995712,0.0612172500966999,0.0448537923589261,0.0565124011421705,0.0606533806573341,0.0336014874459232,0.0546565739814591,0.0505563277061582,0.0241957898160443,0.0370062943417662,0.0447853097723041,0.026805689152686,0.0401273387030798,0.0521316282241813,0.0393092459906659,0.0377523921533489,0.0289396001025568,0.032915668628141
"FEDm_6",0.0475490305593375,0.0236617136019401,0.0514393050508562,0.0288674394093769,0.0631077445956542,0.0418788116282538,0.0409390307325143,0.0419937212898915,0.0413053151104171,0.0595052003701646,0.0608925674931771,0.0294136496501314,0.067241326523402,0.0366563938454478,0.0216198368320509,0.051849429785743,0.0369208371577861,0.0361194134673247,0.0344354393604654,0.0478525131440553,0.0418256892848222,0.0431277318975411,0.0219303756370013,0.0298674835726455,0.0470841332700698,0.0241307611277279,0.0383499372057516,0.0342148549644671,0.060031403966515,0.0347018225154619,0.0283928637582905,0.0457990322622446,0.0463415159186294,0.0469046479764015,0.0726778426888677,0.0241384963571249,0.0809621416553839,0.0522927170818957,0.0209548859797463,0.0434636420465753,0.0433711285183429,0.0291873195405811,0.0296780136070259,0.0594547310776072,0.0344138955194198,0.0481688849147148,0.023179925733523,0.0321054023136323,0.0471608121831759,0.0251375537026714,0.0482070636158592,0.0275415408021647,0.0442541366421167,0.0307012275329371,0.0327911734998313,0.0429431086237825,0.0774940414903133,0.0435701979153612,0.0635315154860141,0.022479756382429,0.057228906520764,0.0503629871574514,0.0208436589287676,0.0426846602899977,0.0544263672458414,0.0226294549282381,0.0315471607555113,0.0627306548565837,0.0524822068241001,0.0363782129105859,0.0232688448796316,0.0396047568258711,0.0532058701529099,0.0233893619662411,0.0600660853554325,0.0358954164634335,0.044610224582023,0.0365254529001359,0.0332078013139534,0.0422899754311912,0.0344300582710479,0.0499237274180739,0.06438947537834,0.0255530311975892,0.067401230908492,0.059833068799067,0.0212070440953141,0.0363781426832685,0.0534099330442397,0.0272421907452908,0.0299229568753217,0.0509720438342774,0.0547253482743998,0.0303642623364117,0.0246832435223966,0.0403740544511491
"FEDm_7",0.046829516781962,0.023255698316705,0.0603984065755552,0.0275969750943354,0.0432350289665052,0.026813099663521,0.0314866208228285,0.0500165773380083,0.0669783584607971,0.0467268365700168,0.0474237622967667,0.0327987144603696,0.0506231987716482,0.0490537295459471,0.019759283652168,0.0414009029990282,0.0531652905723257,0.0242413567899553,0.0360919255598477,0.0703249339858913,0.0558303458676477,0.0320139542083882,0.0232306305836617,0.04070485211612,0.0567658686172965,0.022328699169009,0.0479396749897971,0.02931426449958,0.0514906853316786,0.0333206927548071,0.0386680009234813,0.0368345426542232,0.0410610492790764,0.0434718803284714,0.0805194020281004,0.0220072088444044,0.0760777554748135,0.0657880039840719,0.0204901800845512,0.0317337516924297,0.0501303921410246,0.0191845265647039,0.0279633440897997,0.0485307502772355,0.0695475820970684,0.0253771853967879,0.0208890648934521,0.0405654938841364,0.0462212672448539,0.022448960353955,0.0544908498499445,0.0310190815186384,0.0564357326612031,0.0457312030203173,0.0322801873002747,0.0424689098351485,0.0353421844285377,0.0420816239249934,0.0598172054406178,0.0230328009874317,0.0729426638971868,0.0590103116604851,0.0200176547606913,0.0488547962570587,0.049731738251903,0.0354299563134817,0.0334828887663918,0.0573679449719943,0.0418412461351664,0.0404622680679586,0.0186598275485145,0.0308286968032517,0.0496464704603791,0.0200903915138758,0.061586466309907,0.0325640773397268,0.057446798784636,0.0287500308603672,0.0403996697951581,0.0478014284545583,0.0502974995757847,0.0616185191146243,0.0360681597643446,0.0283945804943429,0.0484586687635127,0.0418180330450731,0.021198959147813,0.0424147893097942,0.0525744094769265,0.03047322054475,0.0400471587413898,0.0551665639050442,0.0465385688048669,0.0447584217851668,0.0279546306640179,0.03393248334394
"FEDm_8",0.050686514810104,0.0214828766092846,0.0514855539824216,0.0306758398908517,0.0508850969417672,0.0437873137710482,0.0344368492584776,0.0401794286207429,0.0331082711004734,0.0508544941487176,0.0620019129344028,0.0239979436877792,0.0700173610749306,0.0570362879135522,0.019691210424865,0.0464657528846737,0.0514208792565405,0.0346255306743813,0.0381131450579814,0.0553579476801074,0.0477007268165388,0.0352226918262485,0.0227296833091172,0.0280366873249925,0.0545784510480824,0.0212337265829188,0.0613428397346584,0.0299535530280977,0.0551375412408709,0.0266827165228381,0.0370190494391131,0.0381593058677026,0.0445343459022717,0.0503438590934852,0.0508169148872939,0.0269909562489127,0.0681761165682851,0.046418164643833,0.0203316671281283,0.0492157014751886,0.0478420876253042,0.0285509324406714,0.0395855184622867,0.0581940823080274,0.040055967574518,0.0466719416144235,0.0254670363630972,0.0326975241999908,0.0434426295951932,0.0251527876174194,0.051896033355295,0.0293801011416812,0.0523103073209385,0.049834268491203,0.0316746143297378,0.0406799328258172,0.0361937479109141,0.052345042206794,0.0703389212073202,0.0286896027439371,0.0761798293996942,0.0545874340535496,0.01872418493133,0.0425199270114957,0.0476418041437776,0.0270480398183039,0.0316153952694472,0.0544422007559118,0.0384312668282614,0.0408625623458133,0.0263684075556994,0.0296409591404654,0.0465042290572222,0.021349727817205,0.0599556566500763,0.0300380549237579,0.0558732292660815,0.0564796256158644,0.0409607591519193,0.051776712039778,0.0368671727216453,0.0479469149782722,0.058792676559658,0.0282822526126128,0.0616039434500007,0.0324312878965611,0.0205277262476251,0.036732596307736,0.0439172409207657,0.0297173456541572,0.0398756897836791,0.051514508228572,0.0423320130487136,0.0523323506879161,0.0214655068234419,0.0327227795567387
"FEDm_9",0.0434426295951932,0.0251527876174194,0.051896033355295,0.0293801011416812,0.0523103073209385,0.049834268491203,0.0316746143297378,0.0406799328258172,0.0361937479109141,0.052345042206794,0.0703389212073202,0.0286896027439371,0.0761798293996942,0.0545874340535496,0.01872418493133,0.0425199270114957,0.0476418041437776,0.0270480398183039,0.0316153952694472,0.0544422007559118,0.0384312668282614,0.0408625623458133,0.0263684075556994,0.0296409591404654,0.0465042290572222,0.021349727817205,0.0599556566500763,0.0300380549237579,0.0558732292660815,0.0564796256158644,0.0409607591519193,0.051776712039778,0.0368671727216453,0.0479469149782722,0.058792676559658,0.0282822526126128,0.0616039434500007,0.0324312878965611,0.0205277262476251,0.036732596307736,0.0439172409207657,0.0297173456541572,0.0398756897836791,0.051514508228572,0.0423320130487136,0.0523323506879161,0.0214655068234419,0.0327227795567387,0.0407693121127344,0.0216311385689302,0.0774561752740645,0.0289427105294226,0.0486749787720122,0.0712126738063098,0.0249108550921722,0.0641402895469135,0.0449228033705037,0.0435743440570391,0.0613888937972433,0.0330090647812393,0.0481509184748137,0.0531108024424092,0.0188091612859633,0.0406684782375974,0.0442046743614788,0.0338361812237742,0.0330900559630146,0.0557686207038926,0.0369197851550914,0.0275980445493013,0.0213807763691052,0.0258292615249734,0.0505381057909763,0.022719210267741,0.0678411549270125,0.0251708368362585,0.0483359719456119,0.0424186610635776,0.0286703791622892,0.0563127792975388,0.0366489395264193,0.0547856270985902,0.0542295048886005,0.0279760414480401,0.0619958913209327,0.052189769663303,0.0232702260474902,0.0483820763245565,0.0450273626649308,0.0293768654538408,0.0318723993658386,0.0554132058079359,0.0406525214346182,0.0328489043143423,0.0236277860756602,0.0396957792738948
"FEDm_10",0.0529238454243348,0.0198236306291692,0.0801764805255262,0.0320776776880797,0.0387270664565425,0.0419468642350511,0.0232432762626639,0.0460449585622728,0.0488254845551836,0.0525316869162866,0.0566820251465401,0.0326767784398073,0.0628047468939145,0.0453811348648039,0.0204745365699007,0.0395444386258605,0.0464818105432045,0.024021961779184,0.0342098565750688,0.0595380225565916,0.0350709739200632,0.0501600542774726,0.0208597840777567,0.0357729044747212,0.0494900748947231,0.0248315908529133,0.0617045007304673,0.0261784815070866,0.0533018980988442,0.0633280464501905,0.0270353988353763,0.0530723067304047,0.0353557418994218,0.0536293137797692,0.0571200306400945,0.0287608870944461,0.0569517685109453,0.0535656729192096,0.0233449141273408,0.0485759597368856,0.0402165975081371,0.032033379958058,0.0358216166404096,0.0580002185951422,0.0362114440352237,0.0310831106562113,0.0231927778951713,0.0271942679035281,0.0457676838137918,0.0236858995020657,0.069482630336504,0.0333701389952187,0.0563749964301655,0.07472766484172,0.030790574156487,0.0697457360061959,0.0418657057275477,0.0537168567951163,0.0368678259653515,0.0349136899429758,0.0477221365700849,0.0366033088959811,0.0216751255234904,0.0441023629791291,0.0427368287921896,0.0327840491126605,0.0430833456275873,0.0454224795044638,0.0389325406759096,0.0266850476410165,0.0252063201275388,0.0237370520368085,0.0487597466388673,0.0214866848176485,0.0557158129045065,0.0244486053850726,0.0717129743403896,0.049888317568213,0.0366801657563361,0.0593135046945342,0.0404307554338822,0.0476156707687716,0.0497589341219436,0.0335204978301737,0.0505111775424242,0.0441869757995937,0.0217503970549415,0.0526576412962046,0.0488782481622933,0.0263140195102329,0.0380470370176942,0.0574731805391889,0.0445482061742017,0.028797997846663,0.023487339848995,0.0240161089472282
