"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17"
"FEDm_1",0.0802612557074804,0.0347227448784841,0.0330996762357897,0.0446053739541696,0.0365410575662014,0.0640136148172917,0.0682833286013333,0.0580123886463481,0.0699121732443109,0.0780172440965677,0.0411279326554927,0.0722801002311634,0.0411145388010314,0.0730143713373484,0.0678756129711503,0.0623605143911774,0.0747580718646597,0.0691904969364807,0.0320236023984732,0.0329999751281731,0.06080263561434,0.0324774276450522,0.05604491464601,0.0765056851123615,0.0548927345217014,0.0538276150968985,0.0847734645363642,0.0347745667129442,0.0782909528112692,0.0417099390763983,0.0670394050550986,0.0753355336689409,0.0776706565078366,0.0716403945316574,0.0583442183917437,0.0301411336670029,0.0290050741076613,0.057226964395234,0.0383242233580764,0.094401853982529,0.0714289462289437,0.0619720584161443,0.0457859358989327,0.127642945662077,0.0297055967408943,0.0837218243876253,0.0436120749588255,0.059742106165527,0.0610717884919774,0.0533784977047956,0.0544947574420097,0.0640419439449351,0.0303454133021324,0.0317082689378733,0.0515209519599871,0.0348157817555614,0.0607915933109825,0.0608372635933696,0.0652655315641141,0.0474929247852264,0.113462986676118,0.0379630055962222,0.0802746559225215,0.0460026321672301,0.0553751655804246,0.0721210488805628,0.0783070288436658,0.0696738031790735
"FEDm_2",0.060800750175671,0.0296010653624999,0.0317325968009317,0.0616265370746536,0.0402470854648938,0.0693530113835517,0.0730347495338556,0.0629239427402551,0.0468632432334677,0.122648777814928,0.0286421582987776,0.0850174634317703,0.0426498540627541,0.0523448234530277,0.0681778350720727,0.0608507888356304,0.0634853172612592,0.0512005300688454,0.0322749129956774,0.0304007415025104,0.0498881445256639,0.0368046342400058,0.0676261075928103,0.0585075392194256,0.0597864089533855,0.0532164259829248,0.118268651095163,0.0373345144493604,0.0803712401866415,0.055363447039567,0.0635338130201526,0.0712893456540829,0.0669434792527149,0.0671900642210689,0.0603086041450073,0.0300687134656148,0.0281102982462591,0.0600630077515781,0.0412607950802714,0.0571440801231138,0.0769939948173004,0.0781431798905383,0.0484196987458667,0.095890547353496,0.0281646363184191,0.0805989522831299,0.0481512279839309,0.0645904314216309,0.0735998677966375,0.0727745699328401,0.0557173946443657,0.0607526811801803,0.0336711065074576,0.0284538195227368,0.0724371992397244,0.0389030342826437,0.069105210991728,0.0818175492611879,0.0585273294732257,0.0549248803940583,0.09499522527542,0.0382619009736193,0.0686248300640388,0.0415206676129579,0.0630809514221033,0.059366937460109,0.0713031924607024,0.0642534838781065
"FEDm_3",0.0567299090149261,0.0304594819472772,0.028307327833512,0.0571257063950268,0.0474694173409157,0.0665416704364814,0.0812379434803311,0.0710710235806515,0.0489636990031926,0.0855055992551396,0.0295404625463908,0.0831077275386697,0.0463318542901401,0.0536829338249301,0.0755930062725578,0.077356328475393,0.0609759087644644,0.0573435602244235,0.0331615291343681,0.0314357487268577,0.0749458055378272,0.0413110286716026,0.0538022730834058,0.0656655994056959,0.0658481123434977,0.0543215713231153,0.0935753179849078,0.0299703476852062,0.0717615530248193,0.0454836342013432,0.0704854041192109,0.0768008967529725,0.0736567742408105,0.0604308435399358,0.0568400462458536,0.0316783033088944,0.0290867703025691,0.0547207273403442,0.0410460616455109,0.0508698501011363,0.0699419088483561,0.0708881306061204,0.0529416472771405,0.122235570877532,0.0271120549746198,0.0860310128289455,0.0296147410819081,0.0892227160401154,0.0504652287528151,0.0781427370332037,0.0591624927349347,0.0609264452174327,0.0314150074973489,0.027002561169412,0.0567401840295375,0.0468493949526301,0.0751593676142822,0.0694755081567396,0.0658665457669986,0.0524039790609738,0.0995672419199095,0.0354385865930063,0.0827461767808707,0.0334674502647612,0.0779717282485969,0.0550599049010773,0.0658659722859041,0.0640439455405187
"FEDm_4",0.0557651198870585,0.0318367714583734,0.0282454544169738,0.0499659466883268,0.0345683254481295,0.0531448738107399,0.0570186974961144,0.061217800997189,0.0514016416778123,0.136328865528751,0.0314704065610781,0.0801780295695756,0.0354349785653401,0.0905655371513555,0.0540849090939836,0.083995770799157,0.0647768708500421,0.0659995770572234,0.0313111197654771,0.0278028813525192,0.057675681893079,0.0405265484989992,0.073186688307218,0.0627703881069713,0.0709123000160501,0.0466825056552856,0.101983031698249,0.0344426187616531,0.082952784150984,0.0339883505653858,0.0818232924939089,0.0571817952971541,0.0710003663479891,0.0597600700318526,0.0602341446814795,0.0292447036637181,0.0300559646951411,0.0557494509743066,0.045444395743876,0.0627861233774716,0.0719391324712875,0.103382783419132,0.0589275607601571,0.0689070710678767,0.0375442161922855,0.0790607792272523,0.0361796813673649,0.0727183860096198,0.0574711667179955,0.0725607948102114,0.057793644820824,0.0627768357244807,0.0348644553024052,0.0277715448530121,0.0680938907430214,0.0363287689233978,0.0664703266187686,0.0714774157950097,0.0600243819798199,0.0588592391523355,0.116026135648412,0.0345716485031037,0.0721970185074795,0.0471086820837551,0.0619753793797596,0.0498193666273981,0.0688352813938566,0.0627996287639846
"FEDm_5",0.0597091393629991,0.031187848127772,0.0298099325434544,0.0592084553501021,0.042507990360001,0.0644666467073673,0.0705766329591016,0.0953150269288,0.05211661090438,0.0741828809928031,0.0347071627278075,0.0744677829956345,0.0439939641798381,0.0723902209291447,0.0703812844999218,0.064651373045023,0.0603270473858497,0.052089420819955,0.036402251953731,0.030165141277521,0.0563141842953755,0.0411120529565976,0.0578757504581775,0.0806459560186133,0.0648750389738855,0.0577981497848094,0.110988034615385,0.0309380936826076,0.0692374946714116,0.0510053522995368,0.0797550037470906,0.0457406376119816,0.0661973710226864,0.0688600658106342,0.0574910487661812,0.0310443550036466,0.030535682992964,0.0574910068646523,0.0345208999936075,0.0532649537857764,0.0455022837276539,0.0853378407808604,0.0533251699392031,0.132059711273689,0.0281733351005607,0.0808670596386175,0.0437892016262755,0.0582789747000541,0.0695228063134971,0.0860557976365537,0.0527398718562071,0.0669467815377914,0.0350446305410334,0.0302017148162611,0.0579575351478194,0.0494005490069809,0.0710493437906416,0.0772021239002053,0.0650824410980308,0.0495918513685866,0.096192830154312,0.04150597248335,0.0730882896307484,0.0369049178141824,0.0560816711876253,0.0585278853870949,0.0648624169448706,0.0703590451904658
"FEDm_6",0.0560681931851476,0.0311997846877511,0.0278931970955605,0.0545615830556619,0.0415013296544266,0.0517963667509795,0.0633503852101694,0.0852344467850529,0.0570506469374414,0.100700956737915,0.0331027359207507,0.0704963755348069,0.0481986647679574,0.0560958843471468,0.0629849527575133,0.0839068439093261,0.0758576526623929,0.0638497571585562,0.0334910593046664,0.0312865824693195,0.0588212355767208,0.0361442330285486,0.0544680393137699,0.0475893409372493,0.070977015963977,0.0521527066256415,0.136693388084284,0.0344662289198226,0.0813317535510704,0.04111414764988,0.0536842240067428,0.0682410797685193,0.0735875328030196,0.0621016748382118,0.0731743796385385,0.0345368902842279,0.0284197443611675,0.0976030479932965,0.0332355447469127,0.0551751637515121,0.0596351773217672,0.0637890820690585,0.0450670241148885,0.091449356773048,0.0322991029461971,0.0843372707680595,0.0336994423535806,0.0773574427015416,0.0540362198978639,0.074083198558506,0.0621019117198339,0.0729897654359071,0.0338501314968071,0.0300726314355196,0.0611695854371204,0.0362727002896277,0.0534967377767632,0.0705468618779533,0.061048821752064,0.0520993392391568,0.108542400335182,0.0345040397230468,0.0777184636720334,0.0408851623982927,0.0912695504206743,0.0402060163612803,0.0727311221064936,0.062596670242077
"FEDm_7",0.0737132638282613,0.0315472761874665,0.0290195107130171,0.0901622706678478,0.0468100087583704,0.062189287548966,0.0751115704802687,0.0591988040165514,0.0407252712825111,0.0829513135779089,0.0322265561460444,0.0878978709933321,0.0385833868183036,0.0759591261168235,0.0443500298118116,0.0660369663723658,0.0635174866801499,0.0672926024023826,0.0328108879678233,0.0287945180077886,0.0675714610667442,0.0320516331824966,0.0482244081510101,0.0574395142545906,0.068827744936328,0.0483635728265169,0.123197307229214,0.0287986350546439,0.0814657193558688,0.0309426004275784,0.109267307286883,0.0401028417196809,0.0756113928387118,0.059237853291738,0.0676576930094488,0.0322277228839897,0.0278127649490209,0.0527363861075138,0.03502685764284,0.0558675605661579,0.0645388110579764,0.0736333647390343,0.0565247151314872,0.124563335614341,0.0288866461822869,0.0810340177871388,0.0477365535644514,0.0614591555652067,0.0566029854366949,0.0753975749113701,0.0582938548510415,0.0762745607326957,0.0275226938572587,0.0304202943491987,0.0684351240810802,0.03783028272463,0.0629394334422267,0.0766592924692545,0.0780868487462806,0.0439484403371215,0.0707436735189828,0.0432809435446215,0.0774840766695623,0.0431660036066275,0.0657115548407403,0.0591257288088142,0.0600758485530201,0.0782951997178848
"FEDm_8",0.0719401845667292,0.0316841133016849,0.0278480502122353,0.0473249185981939,0.0339665536630646,0.0530263264877816,0.0665961474203401,0.0667588122500291,0.0572354935125381,0.120210826351359,0.034917602389271,0.0842337329327131,0.0460431949918143,0.0646755000875431,0.0525037810430605,0.0746915374158612,0.0663432247757813,0.0721180138621228,0.0285357212919536,0.0276665542958785,0.0636428117387788,0.038591097115131,0.055234236016219,0.0716901823292214,0.0778938583047234,0.0435665324617394,0.103430486863217,0.0348755639777533,0.0828805891956702,0.0384414315418343,0.0586166752755287,0.0633169671104957,0.0712136315928703,0.0682856470268621,0.0651571585566948,0.0359060010741238,0.0315262164977008,0.0468372754525477,0.038059704972744,0.049742049207907,0.0692464498997589,0.071226949589634,0.0576432432253228,0.124668178807939,0.0396797130165642,0.0763029457262688,0.0371485961545864,0.0568134008788275,0.0627677282480863,0.0761787208735709,0.0610956678177236,0.0561790773830286,0.0301475578408174,0.0288658601791194,0.0520149477537692,0.0407877740416241,0.0653848694457874,0.0761798991113212,0.0771762628762327,0.072169308392689,0.0930749070738269,0.0318336868091818,0.0730446158785551,0.0434037967419479,0.0589731410972733,0.0733054635431886,0.0622359779435018,0.0652228538881357
"FEDm_9",0.0651571585566948,0.0359060010741238,0.0315262164977008,0.0468372754525477,0.038059704972744,0.049742049207907,0.0692464498997589,0.071226949589634,0.0576432432253228,0.124668178807939,0.0396797130165642,0.0763029457262688,0.0371485961545864,0.0568134008788275,0.0627677282480863,0.0761787208735709,0.0610956678177236,0.0561790773830286,0.0301475578408174,0.0288658601791194,0.0520149477537692,0.0407877740416241,0.0653848694457874,0.0761798991113212,0.0771762628762327,0.072169308392689,0.0930749070738269,0.0318336868091818,0.0730446158785551,0.0434037967419479,0.0589731410972733,0.0733054635431886,0.0622359779435018,0.0652228538881357,0.066361484699618,0.0331059621445431,0.025619038926873,0.0520122103745378,0.0454836122901735,0.081359951272959,0.0942560739725645,0.0619855992898761,0.0843156034644853,0.0860348461273129,0.0296034689492331,0.0733475554330428,0.0410795608012555,0.061213429324843,0.0400592483288821,0.0684857621717143,0.055676592428086,0.0612752656192642,0.0326490865190654,0.0333712174442042,0.0600166746511297,0.0441744466648545,0.0659043182523237,0.0818893659039265,0.0655016712957156,0.0572562124513264,0.0970976756634864,0.0351104753144365,0.077014000937461,0.0410839042054427,0.0597726043054148,0.0475782236547733,0.0682067631064822,0.0720980940106926
"FEDm_10",0.0623687445580155,0.0307927065440388,0.0274976679327886,0.063987713579971,0.0471869076365778,0.0615029287330043,0.0948379175898808,0.0522660552427504,0.0567202373823984,0.0932930464700407,0.031113385672312,0.0832217337779487,0.0321482448525945,0.0580794304124703,0.0626690056609348,0.073286170141899,0.0690281038123744,0.0603245285604017,0.0354385513033611,0.0290796650750004,0.0488511225760268,0.0419360175108723,0.0654823242914356,0.0783305164827814,0.0673631570900488,0.0790340257516811,0.100211085203437,0.0325167895724142,0.0830904873203494,0.0430181716408741,0.054524697296606,0.0443431322714096,0.0665279177087492,0.0699278103445508,0.0634801066773097,0.0334484376433226,0.0307790969555535,0.0484954580393727,0.0519516410526801,0.0782800184164543,0.0878678305320907,0.0694431182949665,0.0872479613894408,0.0725659823359791,0.0385532479655564,0.0688229557323837,0.0467823860873361,0.0580223288957319,0.0415827807818183,0.0575447897454249,0.0651318594545785,0.0700742689245094,0.0308313888991615,0.0305353566127586,0.0496978279290957,0.0480414830237711,0.0738036473629057,0.0717699389289666,0.087172751649615,0.0639648790019591,0.0782172428851195,0.0316885022958424,0.083011622727719,0.0411127159976622,0.060086974878067,0.0437160641025082,0.0739407533661966,0.0623345814141425
