"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15"
"FEDm_1",0.0846098930569083,0.0912616835502556,0.0722917590296503,0.0356974511878208,0.0697536824958828,0.0666142395102102,0.0454339002779918,0.0762247612563166,0.0899716310657739,0.0428985792556155,0.0703718450404788,0.0543307208770945,0.0617175232223025,0.0818561905276349,0.0569661396460636,0.0760773382439478,0.0900749258715417,0.0861467166260703,0.0366444459154334,0.0641696866779938,0.0636964447521545,0.0401998078425709,0.0622887607238058,0.105839244787719,0.0379920581346128,0.0566191891194097,0.0575279415631647,0.0642227945732268,0.0886121026763504,0.0698885424919984,0.0630797781500349,0.0837646365496481,0.06983244218908,0.0321905710499501,0.0996548363669567,0.0703296119147759,0.034178484096201,0.0530801801816473,0.132194179412572,0.0394814330548487,0.0539732575767714,0.0572057986779953,0.0589320374731774,0.0973907382532541,0.0547120150530869,0.0725028031049343,0.0833354541398376,0.0828301648555169,0.0353619332450396,0.0633846150798669,0.075255169570002,0.0423720532763332,0.056694640752769,0.131828142304674,0.0431402243835982,0.0506643076320274,0.0549660767296629,0.0636071290806265,0.0902681114879395,0.0537891743571723
"FEDm_2",0.0691360082129224,0.0831815933528784,0.078296679347369,0.0330793202481461,0.0761584987540381,0.0715825362904246,0.033052611544362,0.0522294124022673,0.125974496037552,0.0481681780402606,0.055495562044502,0.0568392498386088,0.055926474199477,0.0980160322224499,0.0628633474647417,0.0558554275949423,0.0795700368642098,0.0799932336371428,0.0367838562846545,0.0720702970269218,0.0680337483870749,0.0413136600368173,0.0619832701603452,0.133928640836951,0.0416246512762015,0.0561243967797779,0.0610620447829721,0.0658838836527411,0.0910858170604463,0.0546870356188013,0.0645838697799208,0.0846421672604796,0.0842702323451201,0.0333172875098229,0.0621566125914617,0.0867713462199206,0.03153915272319,0.0545249508305416,0.115689203032889,0.0482454583432321,0.0578309501697285,0.0641654661481234,0.0597136381531038,0.0880750118270139,0.0644746530654522,0.070463083407004,0.0884803034164287,0.0747981819636684,0.0346969350019947,0.074441332798186,0.0678976283584472,0.0400275687066429,0.0594976147909263,0.112809338356435,0.0522663344929385,0.05574383378618,0.0540386578993882,0.0677822685938098,0.0778141037828124,0.0692428146451376
"FEDm_3",0.0659663890961121,0.0917707407535905,0.0899635770526825,0.0339554612120383,0.0670203235970372,0.077550688056608,0.0351078507348126,0.0567764836444101,0.104088352377669,0.0552037460279577,0.0568552372048701,0.0652681877619028,0.0454733892370682,0.0927093895818862,0.0622901836613544,0.0645307305047998,0.0763992118975337,0.0886480923341378,0.0366863909598643,0.0580467502369902,0.072706208447617,0.0333694843448947,0.0575540946777833,0.112641454759782,0.0487176893645185,0.0653837568338225,0.05633563363403,0.0704604286967911,0.082977701781726,0.0755423715257092,0.0633291902560938,0.0759006807468332,0.0622088676305757,0.0346063138820869,0.0522793633175409,0.0786476163201952,0.0321530949645772,0.0624082144074602,0.139086042587875,0.0433870255450752,0.0605248637153381,0.040929253693845,0.0963465040716981,0.0973836411819845,0.0608093276788205,0.0690814689812585,0.0878638196054454,0.0642493428834338,0.0323505080780888,0.0758540996504808,0.0717623561421453,0.0339985356266669,0.057929246140806,0.115335874444131,0.0549997056180282,0.0580631693522338,0.0501588546949662,0.0771212409157021,0.0894893783494965,0.0617423995171172
"FEDm_4",0.0616695599681548,0.0706365536407815,0.0635842095826165,0.0342349478463773,0.053508392490715,0.0674838681943441,0.038552674758297,0.0602234328840214,0.152299513145519,0.0362901976156877,0.0690197282032706,0.045246319263179,0.0947038561477389,0.092858640549739,0.0596881057095584,0.073449779324013,0.0799091985400558,0.0661470302756343,0.0321984809267475,0.0732770267040489,0.0795187471660465,0.0355226352083369,0.0526453193985375,0.123019777466846,0.0453742133557554,0.0585252928979153,0.0519413346413744,0.0785837087613441,0.0884951576486911,0.061392297684653,0.0650896208448648,0.086858840949785,0.0766053747304778,0.0333319393166663,0.0663049562294954,0.113117693352763,0.0426741905605119,0.0679362620951991,0.0861831464480122,0.0474130405731923,0.0515910043871837,0.0508101096781147,0.07380716607965,0.0865819198542069,0.0516947348998768,0.0696959751903006,0.0778027469250853,0.0603407433533015,0.0375016635578071,0.0768781294285829,0.0638781449425001,0.0408489348380553,0.06290601908414,0.129715147824539,0.0406394523442203,0.0467815272357581,0.0538960461304565,0.0758634525772064,0.087278201637123,0.0759738149309242
"FEDm_5",0.0658887852616872,0.0839769493279151,0.0813850625735089,0.0361411170097695,0.0675940474556598,0.107150247205761,0.0367843735955889,0.0584179904642045,0.0848086975696725,0.0470438207439542,0.0536832193650306,0.0606868525040365,0.0703204393394713,0.0852470972567993,0.0608713003269404,0.0560087124311792,0.0937786974486016,0.0561289701760602,0.0377465364504318,0.0652397437238851,0.0717499218366815,0.0373640651614098,0.0657547952435672,0.120673618231211,0.0457981924152717,0.0569900494788122,0.0600144885231912,0.0885808538602391,0.0775573781555543,0.0666139768639038,0.0692373362304297,0.0573068160922945,0.0923678586405105,0.0334209367896977,0.0575848265265749,0.0927187884107269,0.0317419520274423,0.0585443827193589,0.147593791832111,0.0391478700983339,0.0560996009424126,0.0565053341299265,0.0584791866997362,0.0914628204853867,0.0577884983750581,0.0727374183630502,0.0954032859799418,0.0716597609646427,0.0359316883786337,0.0677475558131575,0.0747832614817586,0.0496456879186998,0.0548745799335162,0.104761861330921,0.0554783867567816,0.0555488900330753,0.0535829975787816,0.0668605757981836,0.0764924218235066,0.0644916278453498
"FEDm_6",0.0680385318625008,0.0897059435929383,0.0798515907010196,0.0348085029223182,0.0570912417327016,0.0940672001230012,0.0385484687089538,0.0627324608061829,0.118486972991318,0.0483551715811117,0.0524550425927939,0.0577369865523296,0.0597284032532467,0.0781705861808956,0.0602228963986878,0.0710206120849055,0.0654051844028031,0.0862001899222424,0.0351136187786786,0.0523085764419309,0.0803684389615772,0.0397215012896713,0.0544101210007501,0.146801103434925,0.0415941238532858,0.0573490331531102,0.0554075478543899,0.0620154135332949,0.0895115125256771,0.0627730227627583,0.0807649376754157,0.0735505293067615,0.0848078156159976,0.0369172446001835,0.0576973969497893,0.0732307433045838,0.0370558487087429,0.0514755974676829,0.109955015737796,0.0378357395735588,0.0442596597357373,0.0436172264949329,0.0909705831054787,0.0967628819920814,0.0810987797312581,0.0776360774035256,0.0852910560458274,0.0548027397764479,0.0356295597095251,0.0589702589111945,0.0706933350825361,0.0402032838656036,0.0581213031985934,0.119638311631537,0.039598384051094,0.0567611473565158,0.0471679666162441,0.102029319194165,0.0866511813578436,0.0668060757993466
"FEDm_7",0.0819110920450065,0.0909835509945914,0.0779972399076546,0.034731667094186,0.0635519126361713,0.0698687703051551,0.0367002504476439,0.0477691948694414,0.0916921534649772,0.0508895506037598,0.0431575885837864,0.0475942173524657,0.0904356371356071,0.100065323782841,0.072651850776713,0.0712376239766529,0.0709125602268442,0.0481529848681024,0.0348003916624422,0.0546769115203872,0.0787259007170053,0.0325966792327792,0.0520634355962271,0.141262724795471,0.0354365642858774,0.0487271290314927,0.0377949911317381,0.124230087047019,0.0947314171483135,0.0746505987596481,0.0769761456051513,0.0776673393873107,0.0661018531122511,0.032729340195617,0.0589916522526444,0.0863050155027229,0.0326891430497845,0.062231691832967,0.137803129326446,0.0388222962710457,0.0546348002314073,0.0554495803828359,0.0676890493314136,0.0925814035048986,0.0593275600135042,0.0836788869915134,0.100271941973894,0.0775866753456912,0.0319633692043206,0.06085300439205,0.0912573661846834,0.0466108624167936,0.0496627982428693,0.0784384039594938,0.0494260202203921,0.052576565329958,0.057995773222724,0.0684282613605186,0.0842963904720488,0.0669536806830488
"FEDm_8",0.081420991591634,0.0865846485513198,0.0624685708851299,0.0323676137347171,0.0557233855300385,0.0785679821209209,0.0361029779926204,0.0626145252274186,0.135940391076551,0.0407385159898975,0.0501285486886459,0.0540441391323455,0.075076403561727,0.0947726860536247,0.0534486198634093,0.0795222189658456,0.091837210287923,0.0821691843700685,0.0316334353917276,0.0519522833784471,0.0887066500733397,0.0400635462464455,0.048476907201434,0.115508454152321,0.044558370180384,0.0508993032350413,0.054400772468198,0.0620562572467351,0.092858658487186,0.0653567483149041,0.0749649694221271,0.0819658074692394,0.0777063903518052,0.0383483893867483,0.0562838703055968,0.080210648578814,0.0430116651628889,0.0663814195122387,0.138214117541194,0.0440243209520289,0.0492817755648419,0.044685462810722,0.0672353640123527,0.0855610122037343,0.0521247867256677,0.066620667235026,0.0885752198499888,0.0822116028974032,0.0322042884922688,0.0719099205825422,0.0869365344483124,0.0373756576531106,0.0786596694896457,0.103459674363913,0.0427845719783286,0.0503791466445433,0.0577217236359734,0.0605042620809546,0.0825071683618271,0.0581498922861624
"FEDm_9",0.0749649694221271,0.0819658074692394,0.0777063903518052,0.0383483893867483,0.0562838703055968,0.080210648578814,0.0430116651628889,0.0663814195122387,0.138214117541194,0.0440243209520289,0.0492817755648419,0.044685462810722,0.0672353640123527,0.0855610122037343,0.0521247867256677,0.066620667235026,0.0885752198499888,0.0822116028974032,0.0322042884922688,0.0719099205825422,0.0869365344483124,0.0373756576531106,0.0786596694896457,0.103459674363913,0.0427845719783286,0.0503791466445433,0.0577217236359734,0.0605042620809546,0.0825071683618271,0.0581498922861624,0.0757803375047995,0.0957108168181939,0.0497024869026881,0.0319387587571438,0.0857202841516228,0.0678432638870395,0.0311946882539788,0.0858122347565482,0.0992896560365646,0.0519123196778926,0.0487298501978303,0.062552823359761,0.0678145189707899,0.0846113995140838,0.0613865612110632,0.0688612398456883,0.0988896105094905,0.0544204562326684,0.0375353784047023,0.0680133406818164,0.0701872839602989,0.0399384113524849,0.0678642424944706,0.114863473502429,0.0487848750440806,0.0430430981525163,0.0621538915230207,0.0708854616812137,0.0866914076222299,0.0678678289928896
"FEDm_10",0.0724989357483389,0.107496738399737,0.0750835697385841,0.0327233087072557,0.061015204882991,0.0595113234708663,0.030736850127442,0.0607817076290051,0.108970894223652,0.0531047114186871,0.0521847513321623,0.0501743397927813,0.0622647654684387,0.0979536953279876,0.0754992037320705,0.0695047690005939,0.0911395595560482,0.0517528496154322,0.035777729799538,0.0763094007666154,0.0750333348321911,0.0382563672475096,0.0825298119569648,0.114982334493766,0.0481209784186991,0.0454216581255541,0.0594477212806251,0.0626367540230028,0.0936942768191286,0.0553924540643311,0.0701092950180736,0.110125652956678,0.0496236905323312,0.0331733520814661,0.0806093504838802,0.0811529060312908,0.0399806101565425,0.0896961843329395,0.0766193485500216,0.0550373532584227,0.0571640071628667,0.0697621954149387,0.0607179748123583,0.0786032126877952,0.047624866520395,0.0754030662401602,0.0850190115493121,0.0577636719477852,0.031758706363968,0.0682054531631284,0.100537115040613,0.0363841501078705,0.071514554960811,0.0948851032951839,0.0527739143763806,0.0423787515140838,0.0651314958702564,0.0729147112397697,0.0931226947432671,0.0522075995874098
