"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","pre_meet_T25","pre_meet_T26","pre_meet_T27","pre_meet_T28","pre_meet_T29","pre_meet_T30","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","post_meet_T25","post_meet_T26","post_meet_T27","post_meet_T28","post_meet_T29","post_meet_T30","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","pre_pub_T25","pre_pub_T26","pre_pub_T27","pre_pub_T28","pre_pub_T29","pre_pub_T30","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24","post_pub_T25","post_pub_T26","post_pub_T27","post_pub_T28","post_pub_T29","post_pub_T30"
"FEDm_1",0.0318265525824645,0.0339365162295607,0.0159527497354365,0.0201488284453565,0.0552730210518424,0.0357406237112557,0.0297921918673188,0.0198705075580577,0.0316829605558699,0.0389409123251223,0.0282455400387127,0.0385116606340316,0.0261391514460309,0.0473293986566247,0.0202386013669519,0.0448356820334083,0.0378949747951786,0.0191860887775019,0.0206520779999764,0.0234723947492936,0.0408217074344338,0.0315623458891527,0.0227658259198912,0.0417315526938016,0.0429071945636455,0.0443964615639974,0.0465174484762818,0.0498283857415256,0.0336387591391103,0.0261598840181646,0.0388361474336064,0.0415697267006199,0.0156051741415382,0.0241300357387395,0.043752629475195,0.0418899680075605,0.0378633212598369,0.0199002353880088,0.0338006711669272,0.0396724476974978,0.0273790788380651,0.0448675426448292,0.0192762634892791,0.049569724920648,0.0192302427238251,0.0470871662221635,0.0319162626835583,0.0189659163336822,0.0233576722945006,0.0196418148838272,0.0290003414906114,0.0254274448985675,0.0244958207291062,0.0412130225707003,0.0503669377899266,0.0524944549179611,0.0324897026112937,0.0371707196305557,0.0368669515296821,0.0321625617876871,0.0424688575976277,0.0416262452550942,0.0157308195455559,0.0249054465905491,0.0399110598884611,0.0277450172466413,0.0311041103026656,0.0174682449041133,0.0235438396927558,0.0714008988733512,0.0322767902537541,0.0359426835106048,0.0213279324717271,0.0547401580690846,0.0237694325173332,0.0485982585653702,0.0442027879166905,0.0176640566329576,0.0199703644141326,0.0155669365235499,0.0298884755142557,0.0309350970605888,0.0245171825617356,0.0316440856096653,0.0803241851390312,0.0464644916625273,0.0230992810495738,0.0371413008923802,0.024468298453055,0.0215536612851673,0.0338528545010257,0.035687461285024,0.0154057419106708,0.0254828390275205,0.051448638199712,0.04368927007172,0.0388035768772437,0.0170938522069676,0.0267262785137088,0.0428747256374822,0.0295269420022784,0.0410595557440674,0.0193852777066633,0.0562242996043933,0.022141282087732,0.0535651553217005,0.0426703848178904,0.0180703387904824,0.0284282899633829,0.0223624016547368,0.0275033343113219,0.0251585229118274,0.0264037561443813,0.0323089144624398,0.0682768154984698,0.0380016631243464,0.0239857048346328,0.0398624676636392,0.0326105050513292,0.0213891500732095
"FEDm_2",0.0409853477972855,0.037725825459371,0.0195064826922125,0.0210855339437029,0.0446498257959442,0.0326840821570813,0.0355227888136159,0.0171098752022183,0.0212781957451724,0.0506515556157395,0.0327455450053111,0.040451208438169,0.0178187539657295,0.0537395029491373,0.026470150216735,0.0518226491866777,0.039443402640532,0.0185639130035793,0.0269361570369529,0.0174510249410156,0.0321616353943953,0.028155659456815,0.0225717671855032,0.0258352707594464,0.0764373979239314,0.0516347241855164,0.0222985479010298,0.0409439297028383,0.0263427730430776,0.0269764738412636,0.0340827924590224,0.0339243813148841,0.0150596540202787,0.0261999933031261,0.0500463614235661,0.0359504083548383,0.0383405417446894,0.0184067585815748,0.0250495156966248,0.0533584206910468,0.0301347955692577,0.0402680697952373,0.0202388501137862,0.0551621609137635,0.023012209950608,0.0544754430334088,0.0392616611347119,0.0182468365389794,0.0255943916657784,0.0207431583704984,0.0271559337834987,0.0234858805592291,0.0321323468257404,0.0379482999787185,0.0768404378121564,0.0365866457768044,0.029662751465403,0.0316919334720804,0.026332589564075,0.0206067760866132,0.0406082901213267,0.0347742268997865,0.0153465675942299,0.0258143897919405,0.034465497926827,0.0460667509017129,0.039773605172636,0.017772203633294,0.0202554981961068,0.039022476631229,0.0277524114848274,0.0408149667773437,0.0183478344213802,0.0569932363257213,0.0249380702451657,0.0491615123390764,0.0463082653275629,0.0179478378719015,0.0292197424701031,0.0140406966117366,0.0336170660221232,0.0317208040913278,0.0281361384751035,0.0356045297706691,0.0482762095886265,0.0563109892746386,0.0324997760667991,0.0326044744763788,0.0328558179857233,0.0289501135047022,0.0327511263013114,0.0310476775632071,0.0156885728699574,0.0255665193826231,0.0397986159503882,0.0413768110095359,0.0442256829855357,0.0194286147255103,0.023985659272063,0.0483004198300203,0.0415734283643482,0.0292289205450432,0.0204174541061447,0.0581958520300918,0.026700073802173,0.0428805074168518,0.0341066926709118,0.0190935948450989,0.025221199434533,0.0221107524469932,0.0296162488165704,0.0290450873430294,0.0206211708927793,0.0369541406992003,0.0501691127050382,0.0594899711412417,0.0339056276924488,0.03978039094615,0.030789886846478,0.027930187364722
"FEDm_3",0.0424205558107669,0.0320472397221094,0.0150354913017725,0.022289990514073,0.0386377304368178,0.04843404349947,0.0329365204534456,0.018081171231164,0.025301174640827,0.0450873725207364,0.0259991301154896,0.0475706057372203,0.0169608482199715,0.0464240679340897,0.0304517478017295,0.0583769681524889,0.0430956201255856,0.017434963056878,0.029979596528235,0.0154995596997477,0.0301026252814416,0.0308089883021201,0.0264992351187737,0.0269306901560098,0.0443825916244583,0.0571576363964373,0.0337199603798861,0.0373384084128021,0.0297697657240269,0.031225701101426,0.0386429287549636,0.0378964046194782,0.016761174769041,0.0269935475958839,0.0373070500360067,0.0424815406717571,0.0444198549137436,0.0189455896775629,0.0208814809303142,0.0336685155190681,0.0409021646680476,0.0403136471118059,0.0167284085971234,0.0570254049276515,0.025500888435425,0.0416750681031785,0.0372506788162316,0.0192035284052304,0.0293565772835668,0.0180677151310564,0.0380891375373027,0.0285707792509358,0.0237390932571316,0.0378266083976314,0.0507639861151934,0.0469288060456879,0.0317809337649085,0.0335624530009158,0.0346396985510149,0.0300763351121416,0.0264800095511938,0.0332524222060244,0.0151241025944747,0.0365697768908891,0.0397337087847435,0.0453286731622321,0.0361741146727802,0.0185181547959448,0.0230069490801397,0.029315413756249,0.0274977054546731,0.0260335873492439,0.016418681773477,0.0575551708554542,0.0229053584235269,0.0592984018427313,0.0440886172785447,0.0181855070811665,0.0194887228354286,0.0182417595097046,0.0359678784184169,0.0310719914163274,0.015606334777069,0.0504881467037224,0.0743244857071118,0.0463275776077062,0.033322929555775,0.0318773302015412,0.0347357044514762,0.0330607832622319,0.0286627385427833,0.0354201867915497,0.0170099188760526,0.0312623644639197,0.0399191536684662,0.0429243026766986,0.033147616886213,0.0190577480258872,0.0229811839430482,0.0541880051428632,0.0334714361610545,0.0285088883082661,0.0197554416050996,0.0446587904270292,0.0287951427097524,0.0499144371683228,0.042073462510511,0.0184220913038235,0.0239646102088274,0.0188576129540387,0.0339891205679883,0.0297850263065747,0.018572542525982,0.043574392207608,0.0625021832523406,0.0469507254608006,0.0276789144433632,0.0316231722970662,0.0436357530637597,0.0286930375003097
"FEDm_4",0.027272468477229,0.0323701842925449,0.0166508032458404,0.0381545625669887,0.0420714818757687,0.0512186736085576,0.0359694919767324,0.0185327935419079,0.0232695199514138,0.0294735038869947,0.0253243119629471,0.0272084205981801,0.0203493707506573,0.0609377937538714,0.0181557790945259,0.0530112026346735,0.0373095625260892,0.0166962909284824,0.0198440232112998,0.0195889494567658,0.0406274084353248,0.0298802278698485,0.0199000664423326,0.0464484434178591,0.08239456592937,0.0379710600954136,0.0312706948676234,0.0331703585684398,0.03264820743092,0.0322797786013975,0.0295040467264819,0.0311987458023745,0.0158925060847689,0.028651047726586,0.0380731642082765,0.0459389691405851,0.0349002349553964,0.0187527384895731,0.0266356217557805,0.0472573837824814,0.0362156037593351,0.0311879693403053,0.0181914747940006,0.0475123506901899,0.0220789480139501,0.0506698488096833,0.0460552511711332,0.019854474193735,0.02418305271039,0.0187660086490492,0.0329525104574571,0.0315866796298461,0.0195500066787722,0.0477535631197702,0.0622188074126795,0.0434598779572045,0.0264700927336031,0.035570934168009,0.0410001761323442,0.0279179109062383,0.0275858801390063,0.0369492619667755,0.0144128174486699,0.0279579718087906,0.0414141764985092,0.0458672720766993,0.0353155411464415,0.0152112431687784,0.0234695273671497,0.041934530440427,0.0307720748112225,0.0328495142443915,0.0217884402068843,0.0413352029867588,0.0237664661610491,0.0500067933047522,0.0719691674632562,0.0174759952148965,0.0356360669309602,0.0206247883962304,0.0267030296136058,0.0268819672200827,0.0205728292840906,0.0463403450370805,0.0402070799215619,0.0559166552757904,0.037252190568798,0.0327398101520496,0.0364008241016966,0.0206425370435947,0.0355827379122582,0.0409857461612723,0.0145355818295476,0.0386762881553704,0.0312982019459774,0.0424020712547454,0.0332274819143415,0.0200174832695687,0.0279601128524752,0.0516276491063801,0.0366519986192896,0.0313203675022191,0.0243230850831333,0.0380245154564627,0.017921205371931,0.0414112980680588,0.0328658967173192,0.0156038299095807,0.0291929414295223,0.0206467993434246,0.0204836685438466,0.0242084629617898,0.0246421782392943,0.0395859525257536,0.0766409387327538,0.0510950484904236,0.0371226134891229,0.0349415007951701,0.0331349729085879,0.0338693714103794
"FEDm_5",0.0360635530560543,0.0362847147050238,0.0145216533054295,0.0190661967691676,0.0405288931274797,0.037970078137088,0.0378700806457997,0.0179418576868968,0.0239834878246335,0.0433320379306927,0.0343848549688972,0.0396511147960304,0.0201548760661607,0.0370203078931057,0.02289709605686,0.0465124647907889,0.0651266309348603,0.019602802602629,0.0363614883466023,0.0219305769235894,0.0295322057007214,0.0291162365015516,0.0238947606144582,0.0466559543764092,0.0468657207367819,0.0471795160110837,0.0304522634355611,0.0355142304874833,0.0339723471097228,0.0256119984584374,0.0316733929421559,0.0379263504907695,0.0151970517506161,0.0362959296762267,0.0422676409143763,0.039841703366547,0.0300743504302327,0.0202072461907783,0.0292483131074775,0.0420643343128579,0.0308384536620372,0.022788641313486,0.0210079338761849,0.0439937772424386,0.0204451338699118,0.0379422374380874,0.0424499214623652,0.0163307943008716,0.0240672357136971,0.0191965945725219,0.0282034558025755,0.026961481242494,0.0290908624514136,0.0552979405280639,0.0707969471427181,0.0615009298262677,0.0369593963295201,0.0297744404347454,0.0276614302498327,0.0298960793587294,0.0403847207832698,0.0336681319010651,0.0145964184061384,0.0210860149172598,0.0341259915108657,0.0494814672601522,0.0408257662833161,0.017115479940015,0.023712233756618,0.0364249738164967,0.0291766410996966,0.042137231688341,0.0162715338247172,0.0611877609244849,0.0159734376373725,0.049436965277098,0.0488541658462046,0.0167721959500512,0.0374117833381871,0.0191705445669482,0.0295085430315724,0.0237304663431199,0.0241230446070765,0.0344528916900522,0.0836346655325059,0.0261150665916542,0.0329475702589042,0.0379898555066865,0.0322508374355125,0.0274336002746175,0.0300447608012207,0.0319537401625457,0.0172415734797575,0.0255089931405887,0.0461110840886469,0.0380513751075453,0.0446452205356395,0.0193620261901221,0.0303285635207902,0.0446142966043285,0.0284084250401963,0.0286612678016012,0.0289812501715961,0.0442442452341147,0.0287766194645054,0.043975390342807,0.0409622496222465,0.0194510552397486,0.0204028400473204,0.0200233327526471,0.0277036638895369,0.0387001067527356,0.0211479708359097,0.0326512578728891,0.0583603615337054,0.052925616534219,0.0349180528665092,0.0396044954777201,0.0352452822029257,0.026994882685881
"FEDm_6",0.0359355757156125,0.033585922933473,0.0157801058902194,0.0230856245132765,0.053975383883347,0.0522637009907681,0.0342993117544582,0.0185451559363579,0.0266002680209502,0.034152635248826,0.029411247394498,0.0365027394569334,0.020503101876098,0.0516944221085363,0.0221654773530175,0.0408911278073046,0.0525540885419742,0.0167093154400917,0.0377192002531492,0.017986316644468,0.0247803315099285,0.0238785287495545,0.0282536747778143,0.0376347939184349,0.0571217956096934,0.0435327799486644,0.0380408691289784,0.0339516399629165,0.0315800410692565,0.0268648235613988,0.0347602610303637,0.0352627207711963,0.0144978171474278,0.0246918481203083,0.040203077596695,0.0393838967448829,0.0464765749416991,0.0192385861504184,0.0210467921703257,0.0297823821978262,0.0293240670034397,0.0382824379223393,0.0228790118591145,0.0681897689637974,0.0189538093959841,0.0514203042308569,0.0475696134204511,0.0189309645794654,0.0234659734097941,0.0189182251454058,0.0294599549829044,0.0357864665009533,0.0239533231645213,0.0281565051989027,0.079600090578738,0.0314983607377635,0.0325265331381268,0.0355625643030729,0.0355494459554772,0.0246286226377484,0.0473075471956696,0.0309524331511241,0.0140339544306753,0.0365036156470838,0.0401137974232488,0.0407732670988757,0.0520665719901758,0.019542570674662,0.0226732440045337,0.0374032894332301,0.043137736868076,0.0254551681202051,0.0195743522342836,0.0518717001608103,0.0181261550300675,0.0566688896477236,0.0364028030658001,0.0174883699395915,0.0307919006650233,0.0183382825708587,0.0228021293150187,0.0257486454131597,0.0177109725345328,0.0503074881610654,0.0457563799287571,0.0392944562803694,0.0275442454721416,0.0431772216444282,0.0368112597073627,0.0316215521914457,0.0296854017782855,0.0339104828735627,0.01743002084778,0.0449719826520493,0.0406101739003751,0.0438074519900183,0.0266552683283007,0.0156924558346534,0.0234983324871614,0.0373027374614934,0.0318425831919001,0.0215188172304022,0.0203676487510338,0.0474886259207679,0.0214384444335718,0.0523723858405411,0.0370841103000317,0.0182274053482161,0.0276876211731886,0.0199480691098388,0.0306612591347528,0.0236317037777428,0.0222781403299146,0.0470127505855922,0.0671111401855104,0.0542047284818498,0.0318078385181498,0.0460938552475035,0.0313353352286473,0.0343232290571651
"FEDm_7",0.0522848825793894,0.0313304816755241,0.0153889314822346,0.0345342226553915,0.042297108676264,0.0339492143881362,0.049893108746376,0.0186264347679691,0.0251375398106776,0.0425135234980216,0.0331356247537138,0.0197652621804371,0.0208391137460013,0.0356671096216608,0.0293584321967447,0.0576669470779466,0.037388730840983,0.0179323707850809,0.0266692290726749,0.0175962483620537,0.0218414664771925,0.0296500291194176,0.0190708357277695,0.0490843939982432,0.0505159334756607,0.052707047431259,0.0235554615905148,0.0442001740199041,0.0353628284967935,0.032037312745964,0.0261877042503635,0.0307835858676945,0.0143228249995693,0.049838300452482,0.0404909789318111,0.0431746912239876,0.0305462304714996,0.0158776054922422,0.0200447712221767,0.0326484367364704,0.0393384175761143,0.0184902264642636,0.0163155837971416,0.0633165729679253,0.0186246534937695,0.0570102618338666,0.0435717533795952,0.0166948151129203,0.0330506438336686,0.0172507832655578,0.0255768985782751,0.0213268582459001,0.0164144246350829,0.0676414141764286,0.0634126208615264,0.0424269194304254,0.0317876195408535,0.0399760070080992,0.0298348960034859,0.0340235001468031,0.0333713748981948,0.0305928122356542,0.0160231250278334,0.0267368637118632,0.0381344844684964,0.0440269086093548,0.0358598535963007,0.0174105082200787,0.0264476604495007,0.036262488220502,0.0295848776160805,0.0330848748137362,0.017314172849775,0.049872696842132,0.0183930613708663,0.0515426901134226,0.047533708064148,0.0172798185904639,0.0270303720184342,0.0185401934930003,0.0249773241961301,0.028961852362816,0.0292845059207382,0.0345132406708755,0.084672823710127,0.0431637275787049,0.0354074955114183,0.0407256473153562,0.0390104747016756,0.02424036282232,0.0344867476365368,0.0326365919442133,0.0165446146259287,0.0246406962823019,0.0510057284507815,0.0345213448785978,0.040575295430186,0.0161545278395462,0.0306706600354014,0.0387102160702126,0.0369836497656255,0.0370035013302178,0.0249732997777834,0.0293961167288785,0.0254666753571153,0.0411057181130462,0.0470983401755602,0.0217853386363058,0.0341422549046598,0.0218664365457265,0.026294333687695,0.02836785906088,0.0239321357666654,0.0384502233533113,0.0552536984354617,0.0580854574525495,0.020791571336233,0.0436117168947074,0.0397632520472407,0.0256819974366306
"FEDm_8",0.0349025201554945,0.0305721398430752,0.0161305533030159,0.029366448138648,0.0425466193100302,0.0433253698139431,0.0327545134663754,0.0174839184644661,0.0311402699359699,0.03287574531429,0.0252252417047065,0.0288160979974077,0.0216244026608592,0.0543097977320667,0.017614248873522,0.0550333570172058,0.0418660645842057,0.0177007749743813,0.0259181924905896,0.0188855139373905,0.0246571788383669,0.0284318567919085,0.0273911249570731,0.0400569674538802,0.0779859685936842,0.0412879277988563,0.0327598440965269,0.0418896503291051,0.0449493655343799,0.0224983258885757,0.0373250811724604,0.0322575680215024,0.0151188540310242,0.0222422037895248,0.041411192687655,0.04256717923592,0.0395365134951755,0.017913809692668,0.0322681876420986,0.0323821788640192,0.0373803215134423,0.0386222758107861,0.0199497549315912,0.0406768853658392,0.0251460908951677,0.0445744528699419,0.0452070149965818,0.0195175173782667,0.0316633122556541,0.0199072079663612,0.0241355577852746,0.0253977844777981,0.0223868732569055,0.032325802015848,0.0735137336415401,0.0536313815951915,0.0229390988864501,0.0426551491012865,0.0408418758940812,0.0265051407299445,0.0311087857072358,0.0325192551816224,0.0168298538623853,0.0266781683476082,0.0408682447264163,0.0448008939800196,0.0361513257478905,0.0205416487921157,0.0270031073551159,0.0338941033841968,0.0252249860726438,0.0339373775391578,0.0229922531473023,0.0603938339671636,0.0222603624153078,0.0442001789221921,0.0439847324728948,0.0189976639516302,0.0308262412239975,0.0204442905102723,0.0212706120853559,0.0257689858918889,0.0188678513576977,0.0336620505799559,0.0819888985369425,0.0435388651415854,0.0436195336561146,0.0379501593734001,0.0362003435750593,0.0234753924948311,0.0283849639922641,0.0367195900404453,0.0140490091060554,0.0202791103230558,0.0432111005762014,0.0351931181181987,0.0373859519374154,0.0144817084197291,0.0316380617871244,0.0432084908577916,0.0285877908923219,0.0432785737802254,0.020570422686064,0.0482834856976661,0.0206479555911931,0.0484800917656588,0.0467323335054136,0.0178763716265282,0.0358900478640175,0.0178968421781719,0.0230820431816715,0.0320814645732021,0.0246589991043578,0.0358117335987328,0.0523130312713745,0.050245939662294,0.0563106419840311,0.0383362982958534,0.0284964223634072,0.0258684052195338
"FEDm_9",0.0311087857072358,0.0325192551816224,0.0168298538623853,0.0266781683476082,0.0408682447264163,0.0448008939800196,0.0361513257478905,0.0205416487921157,0.0270031073551159,0.0338941033841968,0.0252249860726438,0.0339373775391578,0.0229922531473023,0.0603938339671636,0.0222603624153078,0.0442001789221921,0.0439847324728948,0.0189976639516302,0.0308262412239975,0.0204442905102723,0.0212706120853559,0.0257689858918889,0.0188678513576977,0.0336620505799559,0.0819888985369425,0.0435388651415854,0.0436195336561146,0.0379501593734001,0.0362003435750593,0.0234753924948311,0.0283849639922641,0.0367195900404453,0.0140490091060554,0.0202791103230558,0.0432111005762014,0.0351931181181987,0.0373859519374154,0.0144817084197291,0.0316380617871244,0.0432084908577916,0.0285877908923219,0.0432785737802254,0.020570422686064,0.0482834856976661,0.0206479555911931,0.0484800917656588,0.0467323335054136,0.0178763716265282,0.0358900478640175,0.0178968421781719,0.0230820431816715,0.0320814645732021,0.0246589991043578,0.0358117335987328,0.0523130312713745,0.050245939662294,0.0563106419840311,0.0383362982958534,0.0284964223634072,0.0258684052195338,0.0269138629295048,0.034615965269541,0.013895166461016,0.0316291695811939,0.0370685051297379,0.030052372993726,0.0318734788660249,0.0193421460506075,0.0234498694108496,0.0467827358713058,0.0430132324713549,0.0203857334174641,0.0194856261888664,0.0446719240494157,0.0280774742817456,0.0490954339738225,0.0416355483029388,0.0157582943717628,0.0200899356441476,0.0143870241433786,0.0213136898276963,0.0420973277142993,0.0231057832796591,0.02972675029201,0.0547937987378454,0.0654389822437947,0.0755231537078103,0.0509500546446612,0.0254906464059175,0.0193363137379017,0.0371619849806279,0.0348292992234116,0.0153915435514272,0.0307598688571575,0.0483478266012518,0.0442654765918615,0.0297892046258498,0.0171213399914673,0.0245961424353296,0.0410614035122632,0.0347038635119256,0.0248462364004307,0.0220740247726131,0.0510930929386927,0.0282072186482972,0.0444051216988571,0.0394865139728428,0.0214027051000636,0.023651945958545,0.0192327936921863,0.0223008912803516,0.0388801889642265,0.0216011541085765,0.0374463422586101,0.0524068415947937,0.0530020593780832,0.0367367177982978,0.0378654504960892,0.0351461993052536,0.0321865477506162
"FEDm_10",0.0312546982660493,0.0324314727828197,0.0148843740984537,0.0297332437996424,0.0508103951877531,0.0375074018475002,0.0367971693361933,0.0182598179401623,0.0239128139837598,0.0315555541971088,0.0434299625234583,0.0372214789983965,0.0194137526697472,0.0482471560327111,0.0280609746951102,0.0565748944769935,0.0328306259858315,0.017850735308497,0.0203987221418814,0.0143054556301902,0.0249010893860049,0.0371919763694835,0.0177615626635159,0.029624932098593,0.0534770178880779,0.0661409367756359,0.0434582477516809,0.0429482681343678,0.0310159424542343,0.0279993265761465,0.0378713192167478,0.0373362915655404,0.0149936053188487,0.0291060901742916,0.0472845816600382,0.038293772114406,0.0279419157012884,0.0190375682564577,0.0272179466070007,0.0413774768999763,0.0322298216789838,0.0232252760391777,0.0222530990284885,0.0492476914170878,0.0253897495329429,0.0531281053752885,0.0456424235187364,0.0205438302105606,0.0226006912768075,0.0166460281299019,0.0210604228988995,0.0311580291785142,0.0241523665202301,0.0299815948241617,0.0548356844091952,0.0499663833780991,0.0644227985844611,0.0396300555652712,0.0304954694507506,0.0229299114678458,0.0409629879479103,0.0287115823335972,0.0149681692311079,0.0223447632753167,0.044785029325241,0.0324883203643076,0.0334325776676168,0.0171572768152646,0.0377487406590374,0.0492006861126587,0.0297080943028364,0.0178134618623525,0.0244492182382819,0.0282335311735832,0.0283911679740616,0.0389684655636708,0.0461014362542403,0.0200476689389965,0.0272070888545665,0.0173484000912178,0.026441499282573,0.043306587653089,0.0228834144466655,0.036060228195361,0.0497382349986687,0.0558787753125028,0.0784903526466,0.0341098908306887,0.0361848405271695,0.016837509120816,0.0346728565366597,0.0329387516823325,0.0152118267027879,0.0285338641158251,0.0434789149730227,0.043526438148362,0.0346763052950482,0.0170037882747175,0.0284930628746603,0.0449225822779416,0.0339600498222093,0.0215433165164075,0.0194160780838561,0.0354465441191835,0.0285994246107168,0.0512886196974649,0.0621232781426808,0.0190129778999748,0.0324942178329724,0.0199821893245888,0.017262958283614,0.0392983307043284,0.0238472192576923,0.0382239793723078,0.0485709577754435,0.0464233115314122,0.0444758546173619,0.0383578153748644,0.0377117535286715,0.0185027326228918
