"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","pay, cost, health, care, insur, save, year, plan, benefit, mani, retir, servic",0.021,0.0355,0.0352
"Topic 2"," ","fed, interest, feder, reserv, polici, economi, rais, term, point, meet, expect, inflat",0.0289,0.0378,0.036
"Topic 3"," ","price, inflat, oil, increas, energi, month, rise, consum, measur, higher, cost, year",0.0551,0.0319,0.0237
"Topic 4"," ","china, unit, state, world, countri, global, american, chines, develop, asia, year, govern",0.0219,0.0323,0.0347
"Topic 5"," ","particip, member, risk, note, recent, continu, outlook, effect, growth, howev, activ, view",0.0839,0.0496,0.0191
"Topic 6"," ","school, incom, peopl, famili, univers, educ, work, student, american, studi, new, program",0.0212,0.0373,0.0368
"Topic 7"," ","quarter, growth, busi, pace, continu, fourth, inventori, remain, increas, spend, second, sector",0.0797,0.0314,0.0207
"Topic 8"," ","hous, home, real, year, mortgag, new, estat, apart, price, start, sale, rent",0.0297,0.0281,0.0292
"Topic 9"," ","expect, period, term, continu, remain, declin, project, chang, longer, forecast, staff, growth",0.0772,0.0346,0.017
"Topic 10"," ","bond, secur, treasuri, yield, million, debt, issu, note, agenc, week, back, corpor",0.034,0.0278,0.0284
"Topic 11"," ","fund, invest, investor, manag, money, stock, capit, financi, firm, asset, return, valu",0.0265,0.042,0.0321
"Topic 12"," ","product, industri, manufactur, factori, high, car, produc, technolog, like, cost, plant, new",0.029,0.034,0.0296
"Topic 13"," ","tax, cut, budget, state, spend, year, billion, govern, plan, propos, deficit, increas",0.0223,0.0285,0.038
"Topic 14"," ","one, make, way, get, now, like, even, think, say, just, thing, need",0.0202,0.0473,0.0486
"Topic 15"," ","committe, polici, feder, inflat, monetari, condit, reserv, direct, fund, financi, stabil, member",0.0921,0.0499,0.0181
"Topic 16"," ","citi, new, build, develop, york, plan, project, center, offic, million, area, communiti",0.021,0.0313,0.0408
"Topic 17"," ","presid, administr, elect, vote, polit, hous, support, white, polici, issu, congress, nation",0.0205,0.0308,0.0444
"Topic 18"," ","consum, sale, report, spend, month, retail, increas, data, expect, good, gain, rose",0.041,0.027,0.0303
"Topic 19"," ","peopl, one, year, like, day, time, say, work, now, just, get, two",0.0197,0.0286,0.0483
"Topic 20"," ","european, bank, europ, euro, countri, central, union, govern, germani, german, franc, debt",0.0223,0.031,0.0361
"Topic 21"," ","compani, busi, million, billion, execut, share, profit, year, corpor, oper, analyst, earn",0.0203,0.0281,0.0411
"Topic 22"," ","bank, loan, credit, financi, borrow, debt, mortgag, interest, lend, financ, lender, card",0.0327,0.0556,0.0329
"Topic 23"," ","trade, dollar, japan, foreign, export, currenc, import, unit, american, japanes, economi, billion",0.0304,0.0288,0.0299
"Topic 24"," ","govern, polit, nation, countri, minist, russia, war, offici, power, leader, militari, prime",0.0196,0.0302,0.0446
"Topic 25"," ","stock, percent, point, index, fell, rose, investor, share, gain, week, close, report",0.0255,0.0245,0.049
"Topic 26"," ","economi, year, recess, last, still, now, even, time, fall, mani, growth, cut",0.0245,0.0324,0.0397
"Topic 27"," ","state, new, offici, rule, law, deal, group, case, agenc, regul, board, issu",0.0218,0.0485,0.0416
"Topic 28"," ","percent, year, last, month, sinc, averag, increas, first, three, annual, figur, week",0.0258,0.0258,0.0436
"Topic 29"," ","job, worker, unemploy, labor, employ, wage, work, month, benefit, week, number, hire",0.0323,0.0294,0.0305
