"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","billion, year, quarter, percent, share, million, profit, analyst, earn, expect, compani, first",0.0178,0.0196,0.0297
"Topic 2"," ","compani, busi, execut, corpor, industri, oper, manag, million, deal, servic, new, firm",0.0155,0.0245,0.031
"Topic 3"," ","committe, feder, condit, fund, rang, purchas, secur, target, stabil, polici, agenc, maintain",0.0628,0.0343,0.0137
"Topic 4"," ","quarter, inventori, increas, remain, declin, pace, continu, fourth, first, second, level, third",0.0642,0.0227,0.0143
"Topic 5"," ","stock, percent, point, index, rose, fell, gain, investor, week, share, close, day",0.0199,0.0188,0.0415
"Topic 6"," ","european, europ, euro, countri, union, germani, german, franc, greec, zone, french, minist",0.016,0.0203,0.027
"Topic 7"," ","school, incom, peopl, famili, educ, year, univers, student, work, high, american, class",0.0159,0.0259,0.0281
"Topic 8"," ","citi, new, build, develop, project, plan, york, center, area, offic, million, communiti",0.0159,0.0234,0.0328
"Topic 9"," ","product, industri, busi, manufactur, order, good, equip, capit, sector, output, invest, increas",0.0411,0.0243,0.0175
"Topic 10"," ","fed, interest, feder, economi, reserv, inflat, rais, polici, term, expect, point, short",0.0214,0.0282,0.0295
"Topic 11"," ","loan, credit, mortgag, borrow, interest, lender, card, payment, lend, consum, month, home",0.0279,0.0312,0.021
"Topic 12"," ","inflat, expect, term, particip, longer, continu, remain, project, run, staff, outlook, measur",0.0717,0.0304,0.0127
"Topic 13"," ","bond, yield, treasuri, secur, million, note, year, issu, price, percent, week, bill",0.0232,0.0205,0.0242
"Topic 14"," ","pay, year, cost, money, save, account, insur, retir, plan, pension, percent, benefit",0.016,0.0269,0.0273
"Topic 15"," ","year, economi, recess, last, time, still, fall, sinc, now, even, cut, much",0.0184,0.0235,0.0323
"Topic 16"," ","percent, report, month, year, last, week, show, sinc, increas, depart, rose, figur",0.0205,0.0198,0.0395
"Topic 17"," ","state, new, health, program, care, york, million, year, servic, help, feder, governor",0.016,0.0231,0.0271
"Topic 18"," ","hous, home, year, real, new, estat, sale, apart, price, properti, rent, start",0.0231,0.0206,0.0236
"Topic 19"," ","polici, period, committe, direct, reserv, meet, member, monetari, intermeet, discuss, financi, growth",0.053,0.0321,0.0135
"Topic 20"," ","say, peopl, get, now, think, one, like, want, just, make, thing, good",0.0144,0.0241,0.0379
"Topic 21"," ","govern, minist, russia, war, militari, prime, countri, nation, polit, russian, forc, power",0.015,0.0217,0.0302
"Topic 22"," ","presid, offici, administr, hous, meet, white, week, secretari, plan, congress, advis, confer",0.0154,0.0237,0.0319
"Topic 23"," ","sale, year, retail, store, car, like, last, food, auto, plant, also, consum",0.018,0.0201,0.0248
"Topic 24"," ","growth, spend, consum, economi, slow, continu, household, incom, recent, busi, demand, pace",0.044,0.0262,0.0204
"Topic 25"," ","govern, debt, billion, crisi, brazil, financ, privat, problem, economi, need, countri, default",0.0166,0.0236,0.0275
"Topic 26"," ","one, day, peopl, time, work, two, first, like, year, live, just, call",0.0154,0.0229,0.0356
"Topic 27"," ","price, oil, energi, inflat, increas, consum, month, year, rise, produc, higher, cost",0.0401,0.0238,0.0203
"Topic 28"," ","member, particip, note, effect, relat, recent, activ, howev, might, outlook, sever, continu",0.0654,0.0366,0.0149
"Topic 29"," ","bank, financi, central, institut, lend, crisi, banker, capit, system, money, risk, asset",0.021,0.0469,0.0251
"Topic 30"," ","unit, american, state, trade, world, countri, global, nation, america, mexico, intern, develop",0.0163,0.0239,0.0265
"Topic 31"," ","polit, elect, presid, vote, support, candid, new, right, govern, leader, chang, conserv",0.0155,0.0225,0.0327
"Topic 32"," ","tax, cut, budget, spend, year, billion, propos, deficit, plan, increas, fiscal, congress",0.017,0.0213,0.0285
"Topic 33"," ","fund, invest, investor, stock, manag, money, asset, firm, capit, return, year, percent",0.0208,0.0307,0.0249
"Topic 34"," ","dollar, japan, currenc, trade, foreign, export, import, japanes, valu, exchang, yen, economi",0.0295,0.0231,0.0203
"Topic 35"," ","law, rule, case, agenc, board, regul, group, commiss, new, author, protect, issu",0.0162,0.0369,0.0301
"Topic 36"," ","china, chines, countri, south, year, govern, asia, india, korea, foreign, invest, world",0.0158,0.0204,0.0252
"Topic 37"," ","like, use, way, even, much, make, chang, one, need, exampl, creat, research",0.0177,0.0584,0.0326
"Topic 38"," ","job, worker, unemploy, employ, labor, work, wage, month, benefit, hire, hour, forc",0.0256,0.0231,0.0241
