"speech_id","date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent"
"SPEECH_370","1996-06-13","1996-04-01",47.7878787878788,0.0422622531534711,0.0623332205126747,0.0234056728963712,0.0286313933167139,0.0432386990936497,0.0332242736174161,0.0360864778466559,0.0319085730617313,0.0323068398966928,0.0387829080596329,0.0211342296278185,0.0303752719079953,0.0234179532379397,0.0323248057737537,0.0290414110675887,0.0355183629036293,0.0223313768314522,0.0284635260730285,0.0421116936979079,0.0917970267052364,0.0629566757438986,0.0516414091841082,0.0275969810487049,0.030166209734877,0.035026844444293,0.0383335333086375,0.0255823772541211,-0.0029011355069464,-0.0140935744333723,0.00111502198774146,-0.00277448203035493,-0.00249298032611886,-0.00442094557075671,0.000367189553663627,-0.000581855067670462,0.00150275859119789,-0.00191039374991661,-0.000534003795189138,0.000797150464008544,0.000283351142082677,0.00184547264868267,-0.000876994297282205,0.000361269362744654,0.00162780857832092,-0.00388836308467151,-0.00637194598812438,-0.0192791915181234,-0.0139032859400223,0.00652851498781789,-0.00487815531922124,0.000714696399659534,-0.00120285723929601,-0.000152464446503521,0.00128411436770729
"SPEECH_546","1996-06-18","1996-04-01",73.9473684210526,0.0297103733193016,0.0415594235372587,0.0216189720395323,0.0226742606412585,0.0636088636054275,0.0318295312749341,0.0362821495432221,0.0233829855893474,0.0236537303462783,0.0619474586744772,0.0195460424106408,0.0352896035399133,0.0298413545061532,0.0284246080017546,0.0268935454092882,0.0303009100607579,0.0329255300915665,0.0215070649035474,0.032515657727866,0.0705352779052466,0.0937358969926824,0.0348693004683376,0.0208403638937848,0.0325035162682681,0.0300069307927955,0.0790073523206106,0.0249892961357486,0.0124433509776122,0.00891584589285091,0.00897275411097521,0.00648716690698413,0.0213246071262033,0.0154657017068812,0.00519639209688191,0.00661029169618232,0.00306085428731526,0.0181308630491542,0.00809546780860059,0.0149463949727187,0.00768992745554377,0.0106554269136563,0.00361417973885562,0.0118980761315374,0.00992363105708784,0.0102245285562422,0.0104597658670223,0.017788490980469,0.0127050168513299,0.0102105062622138,0.00828191835436319,0.00699151289162473,0.00601803611452458,0.0283519206370594,0.0113024830208433
"SPEECH_647","1996-09-08","1996-07-01",52.4444444444444,0.0428768586360312,0.0468346402368754,0.024564959019118,0.0524956389884781,0.0737723809140861,0.0326384538703279,0.0677260922125018,0.0292361965526129,0.0244604970877356,0.0335511175965685,0.0286845522309248,0.0273580761657865,0.0257246303583401,0.0400189824732646,0.0286286891260153,0.0240832744004178,0.0356789947772529,0.0297349212929507,0.0276912468010758,0.0217397780559566,0.0398588657096625,0.0320729030407171,0.0395519271177538,0.025897039555223,0.0775929785077722,0.0271259975824834,0.0404003076900674,-0.0165096549841696,-0.0191360489346265,-0.0135363392258609,-0.0145052733664081,-0.0267195984533542,-0.0135579962636901,-0.0236078614038318,-0.0160932035347819,-0.0147357899515401,-0.0112828777038343,-0.0123856048898989,-0.0152950463134184,-0.0122510659547832,-0.0165218629373708,-0.013149196466828,-0.0107542778563858,-0.0146906008851587,-0.0133544559878183,-0.013504658550249,-0.0107862798578238,-0.0172465479546867,-0.0129332323675495,-0.0218978532725645,-0.0145328521067517,-0.0393509061202079,-0.0109987858214538,-0.0146913086851199
"SPEECH_435","1996-09-19","1996-07-01",40.7083333333333,0.0419528753267904,0.0414090960989401,0.025102776091213,0.0286340366571295,0.0380021315840983,0.0369289730232694,0.0331988927530357,0.0284612435566865,0.0383535262534971,0.0479580990532058,0.0228116330689601,0.0333086400272688,0.0296530933784163,0.0349729633740323,0.0318279497475189,0.0360514700977957,0.0296834410348508,0.0334001490651449,0.0371240739414633,0.0756738339272321,0.056042474556057,0.0432857381147597,0.0298124568738044,0.0365673298126606,0.0342587649605855,0.0494278846407102,0.0260964529808739,0.00826917577859727,0.00829373304436801,0.00309462794607735,0.00218326999888193,0.00959663559204308,0.00810705668383006,0.00434957730186021,0.00270814392466604,0.00539531650187031,0.00902150279601148,0.00263547896094259,0.00642623902159142,0.00655771871582289,0.0052953046929717,0.00643390053076026,0.00954155039472499,0.00586088041536193,0.00297066837323628,0.00473441136483569,0.00574727814386187,0.00569258260087153,-0.00201065660621065,0.00818776798648048,0.00983672224343199,0.00553170567246275,0.00520153779979128,0.00585547316576052
"SPEECH_574","1996-10-02","1996-10-01",49,0.0431470116553642,0.0364944936876292,0.0220959467859227,0.0276739928177465,0.0335523363220707,0.0382892200894838,0.0312142010305763,0.0399981764714252,0.0229857778744121,0.0331702186412963,0.0326015667019921,0.0428613167165996,0.0282307433833411,0.0311431813702531,0.02700996889136,0.0353675783792065,0.0380823553514646,0.0261822793372596,0.0352469969523063,0.078668252856508,0.039027789406398,0.0433828743615714,0.0404118773641643,0.0238372649760763,0.0272037938907673,0.0601080400811617,0.062012744603643,0.000774888210720666,0.00750168375367732,0.00578953534602048,0.000261820461420671,0.0138542154752663,0.00495421639313311,0.00294571934813474,0.013774244314965,0.00798147094337055,0.01141671205636,0.00234055568945997,0.014005425100494,0.00782438916692233,0.00921919061683073,0.00185011031329264,0.00942012589077217,0.0169903260204104,0.00839246272029167,0.00524331741207546,0.00791641000261557,0.0126267334381101,0.00612649676938009,0.00567653139148568,0.00745313410047662,0.00522951665858188,0.0132945055827712,0.0147613258695539
"SPEECH_371","1996-10-05","1996-10-01",50.9130434782609,0.0459982702032848,0.0659286643828549,0.0244435787091058,0.0252058028426504,0.0364754740937511,0.0297551845159922,0.0362354118954343,0.0398685106943301,0.0340663017908079,0.0438084542595657,0.0241343924269178,0.0299225715338529,0.0262740203470984,0.0283520753173304,0.0284231160248606,0.0322526608387569,0.0289022174024114,0.0255982004525967,0.0346883798719485,0.0872425773106902,0.0786165250247688,0.0361539683304717,0.0280212173557436,0.0271845257188908,0.0354126820211421,0.0406636575970293,0.0263715590377126,-0.00805052381281131,-0.0345895558871431,-0.00511387433174922,-0.00609831569704748,-0.00551945270012104,-0.00893747555175065,-0.00892165956012108,-0.0100509166430098,-0.00803564476041775,-0.0067344163516774,-0.00698204416876954,-0.00592710554280219,-0.00899241119708938,-0.00989462972778625,-0.00707228383685664,-0.00931162527746037,-0.00558375203252799,-0.00598783776436932,-0.0149585309873265,-0.0126976728711699,-0.011854331635958,-0.00822465903713987,-0.00946809024515921,-0.00546496999023262,-0.0107764438341781,-0.0102401123038823,-0.00663879174057863
"SPEECH_478","1996-10-07","1996-10-01",40,0.0443834095831889,0.0321750050489778,0.0259038183015567,0.0325035015398689,0.0391217010843884,0.0378271362117168,0.0335074840465806,0.0303109965484736,0.07112665363638,0.0404570358347894,0.0258929949213352,0.0311665706885964,0.0303770681231682,0.0627365959087489,0.0461138780606403,0.035416853462451,0.0249885377252592,0.0390726806305253,0.0357339676150374,0.0490541745814453,0.0453931068621288,0.0387466301228614,0.0253029432230697,0.0302319693062962,0.0297987493493106,0.0333380663017777,0.0293184712814271,0.0129019647666367,0.014879039676105,0.0114197931715616,0.0139000464979069,0.014991350159362,0.0164827799673503,0.0144280273750326,0.0102576559479146,0.0264746917834409,0.0111308283970779,0.012268308818786,0.0151741717248676,0.0116632991203986,0.0185840657538617,0.0142032976696314,0.0142291590751337,0.0124591385023273,0.0190712724991721,0.0145166018607429,0.0146669213890479,0.0191316762693837,0.0112255762150963,0.010951729108242,0.0126654189479689,0.0126206134092225,0.0138680901763635,0.0133825852985254
"SPEECH_572","1996-10-09","1996-10-01",51.8387096774194,0.051383894523754,0.0348406913319352,0.0245200124607701,0.0277621911569661,0.0375441047939323,0.0660527648288849,0.038081490958908,0.0273281231434005,0.0305595812090493,0.0386103548924202,0.0357309294291388,0.0473544721129601,0.0529991472981605,0.0328981603345489,0.0321525652548711,0.029303145376479,0.0304828752250918,0.0327518083344103,0.026071955935522,0.0643507236387071,0.044805680561278,0.0409380062627565,0.0416601664620838,0.0251175005057808,0.0288392327040275,0.0304850585909976,0.0273753626731659,-0.00175923429442496,1.20205412397447e-05,-0.00111301394322663,0.00170568016406812,0.00314784047954601,0.00166025697351177,0.0049322325411141,0.000733985152859774,-0.00341043855019428,-0.0023500135145131,0.00278491801258163,0.00882354406125363,0.00131541654592114,-0.000316678535583859,-0.00131745604274196,-6.88083711064545e-05,0.00172479854877044,0.00100056699745487,-0.0012356877347529,0.00435099992777144,0.00039995231136159,0.00249254443365401,0.00407820582596196,-0.00195200640588322,0.00187872843252121,0.0056738239397387,0.000763056766856335
"SPEECH_573","1996-10-11","1996-10-01",54.875,0.0530611866249387,0.0400669585652913,0.0244073893004634,0.0279276923646351,0.0349496519782625,0.0662036446144088,0.0319221204824316,0.0292268453182192,0.0277268700129598,0.0814767286287604,0.0333474725510885,0.0289201819330128,0.029271519863106,0.0389026255883572,0.0328745443386752,0.0319425602694286,0.0420123439903749,0.0283825106841495,0.0275602046283394,0.0286649103182349,0.0467264871606694,0.036652594485461,0.037467404932124,0.0296767652519174,0.0362586991245202,0.0342516013642899,0.0401184856258804,0.00466372964583016,0.00589950721699762,0.00234629133013175,0.00323487702632993,0.000765220447608116,-0.0198949315936288,-0.00030933407099691,0.00375642835483792,0.000201752260960455,0.000344792547745298,-0.00604813998338111,0.00192518991724483,-0.000479678915688611,-0.00485458784922666,0.00166349204599772,0.00166292192851436,0.000317571193763037,-0.0019599965377585,0.00107145595172362,0.000674795594200703,0.00289804350994492,0.00433772469785982,0.000580046550256607,-0.00029814225138098,-0.00268853711860528,0.00565932934210697,-0.00217188398913611
"SPEECH_446","1996-10-16","1996-10-01",39.25,0.0623910748693046,0.0415659814557449,0.0290248145921061,0.0429202923951307,0.0333906745197707,0.0435442020115448,0.0286330080848012,0.0280348980251062,0.0248717414570693,0.039763732811379,0.0272273988547697,0.040437489287536,0.0299040821910811,0.0383338014768688,0.0296373384488623,0.0343245896500578,0.041479705570659,0.0389352429887516,0.0278835017663846,0.0264118822136993,0.0442553548961375,0.0446575900826265,0.0344438055876122,0.0340539108190307,0.0322452808238851,0.0700699499525866,0.0315586551674936,-0.00210563511424371,0.00761014302637435,0.00284561552761818,0.0105764464111628,0.00683540995045289,0.0160923517421251,0.00562827602478669,0.00491956814823125,0.00659055148408245,0.00727744307464124,0.00533366991309613,0.0128726363674603,0.00519946851593925,0.00812162688230834,0.00850676755930537,0.0101445508029951,0.00874946933100093,0.009248094102732,0.00543897235150794,0.00521753681796109,0.0119053554321707,0.0101172097352247,0.00739736515330968,0.00898925329623359,0.00654099710375501,0.0222351994385422,-0.00314729715284725
