"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","billion, year, share, quarter, percent, profit, expect, analyst, million, earn, compani, sale",0.0185,0.0205,0.0301
"Topic 2"," ","peopl, one, day, time, say, work, get, now, like, year, want, just",0.0156,0.0237,0.0409
"Topic 3"," ","committe, feder, polici, reserv, condit, direct, fund, monetari, financi, stabil, maintain, rang",0.0742,0.0402,0.0147
"Topic 4"," ","stock, percent, point, index, fell, rose, gain, investor, close, week, share, day",0.0199,0.0199,0.0416
"Topic 5"," ","oil, price, energi, year, product, gas, produc, industri, brazil, demand, fuel, gold",0.0204,0.0236,0.0242
"Topic 6"," ","way, like, make, get, think, even, much, just, one, now, thing, need",0.0163,0.0416,0.0411
"Topic 7"," ","spend, busi, consum, continu, recent, activ, household, remain, invest, sector, incom, suggest",0.0579,0.0275,0.0167
"Topic 8"," ","health, cost, care, insur, year, save, plan, pay, benefit, retir, money, pension",0.017,0.028,0.0282
"Topic 9"," ","price, inflat, increas, consum, month, rise, energi, measur, higher, core, cost, index",0.049,0.0257,0.0187
"Topic 10"," ","new, state, million, york, author, general, week, governor, revenu, financ, district, california",0.0167,0.0215,0.0259
"Topic 11"," ","inflat, particip, expect, continu, outlook, longer, term, project, risk, run, staff, remain",0.0742,0.0333,0.0132
"Topic 12"," ","tax, cut, budget, spend, year, billion, govern, deficit, propos, increas, plan, fiscal",0.0179,0.023,0.0317
"Topic 13"," ","incom, school, peopl, famili, univers, educ, year, student, american, work, studi, class",0.017,0.0299,0.0304
"Topic 14"," ","percent, report, year, month, last, week, sinc, show, depart, averag, figur, rose",0.0208,0.0205,0.04
"Topic 15"," ","growth, quarter, slow, economi, pace, first, second, product, continu, domest, fourth, year",0.0461,0.0256,0.0194
"Topic 16"," ","presid, elect, polit, vote, hous, support, white, polici, administr, nation, candid, congress",0.0162,0.0245,0.0363
"Topic 17"," ","citi, build, develop, new, project, plan, center, area, offic, communiti, space, one",0.0167,0.0258,0.0336
"Topic 18"," ","product, manufactur, sale, good, industri, inventori, order, increas, quarter, month, declin, motor",0.047,0.0226,0.0188
"Topic 19"," ","law, rule, case, agenc, regul, use, requir, board, commiss, protect, report, charg",0.0174,0.0445,0.0318
"Topic 20"," ","hous, home, year, real, estat, new, apart, sale, properti, rent, price, start",0.0238,0.0218,0.0247
"Topic 21"," ","govern, polit, minist, russia, countri, nation, war, power, militari, prime, reform, state",0.0159,0.0248,0.0362
"Topic 22"," ","period, term, remain, chang, declin, littl, increas, intermeet, balanc, continu, spread, net",0.0569,0.0294,0.0135
"Topic 23"," ","loan, mortgag, credit, borrow, interest, debt, payment, lender, card, pay, lend, month",0.0241,0.032,0.0245
"Topic 24"," ","bond, treasuri, secur, yield, year, percent, note, price, debt, investor, issu, interest",0.0245,0.0215,0.0253
"Topic 25"," ","european, europ, countri, euro, union, germani, german, franc, greec, debt, govern, french",0.0171,0.0224,0.0287
"Topic 26"," ","member, effect, might, risk, pressur, relat, current, like, prospect, potenti, expans, possibl",0.0569,0.041,0.0167
"Topic 27"," ","fund, invest, investor, manag, money, stock, return, asset, firm, capit, year, valu",0.0203,0.0323,0.0273
"Topic 28"," ","offici, meet, agreement, deal, week, negoti, plan, presid, administr, aid, announc, confer",0.0171,0.0252,0.0336
"Topic 29"," ","trade, dollar, japan, foreign, currenc, unit, import, export, american, japanes, exchang, yen",0.0255,0.0239,0.0238
"Topic 30"," ","year, store, retail, like, car, sale, last, food, buy, mani, shop, new",0.0178,0.0222,0.027
"Topic 31"," ","fed, interest, feder, economi, polici, reserv, rais, term, inflat, expect, short, meet",0.0221,0.0303,0.0307
"Topic 32"," ","economi, year, recess, last, time, now, still, fall, even, recoveri, sinc, cut",0.0189,0.0257,0.035
"Topic 33"," ","bank, financi, central, govern, crisi, billion, institut, money, lend, financ, capit, system",0.021,0.0486,0.0286
"Topic 34"," ","china, countri, world, unit, state, chines, global, south, american, asia, develop, nation",0.0169,0.0242,0.0293
"Topic 35"," ","compani, busi, execut, industri, corpor, oper, deal, technolog, manag, new, servic, firm",0.0164,0.0283,0.0326
"Topic 36"," ","job, worker, unemploy, employ, labor, work, wage, month, hire, forc, hour, year",0.0263,0.0243,0.0252
